File;News;Code;Label
1 - Neymar to PSG.csv;Neymar joins PSG;1T;True
10 - Benik Afobe to Wolves.csv;Benik Afobe join Wolves;2T;True
11 - Leonardo Ulloa joins Brighton.csv;Leonardo Ulloa joins Brighton;3T;True
12 -  Jurgen Locadia to Brighton.csv;Jurgen Locadia joins Brighton;4T;True
13 - Jamie Murphy joins Rangers.csv;Jamie Murphy joins Rangers;5T;True
16 - Aaron Lennon to Burnley.csv;Aaron Lennon Joins Rangers;6T;True
18 - Ross Barkley to Chelsea.csv;Ross Barkley join Chelsea;7T;True
19 - Emerson Palmieri to Chelsea.csv;Emerson Palmieri join Chelsea;8T;True
2 - Konstantinos Mavropanos to Arsenal.csv;Konstantinos Mavropanos joins Arsenal;9T;True
20 - Michy Batshuayi to Borussia Dortmund.csv;Michy Batshuayi joins Borussia Dortmund;10T;True
21 - Jake Clarke-Salter to Sunderland.csv;Jake Clarke-Salter joins sunderland;11T;True
22 - Kenedy joins Newcastle.csv;Kenedy joins Newscastle;12T;True
23 - Charly Musonda to Celtic.csv;Clarly Musonda joins Celtic;13T;True
25 - Kasey Palmer to Derby County.csv;Kasey Palmer joins Derby County;14T;True
3 - Pierre-Emerick Aubameyang to Arsenal.csv;Pierre-Emerick joins Arsenal;15T;True
32 - Cristiano Ronaldo becomes a father of twins.csv;Cristiano Ronalto becomes a father of twins;16T;True
33 - conor mcgregor lose to mayweather mma.csv;Conor Mcgregor lose to Mayweather;17T;True
34 - Ariel Helwani UFC events ban.csv;Ariel Helwani ban from UFC events;18T;True
35 - Muhammad Ali has passed.csv;Muhammad Ali has passed;19T;True
36 - Gordon Hayward Breaks His Leg.csv;Gordon Hayward Breaks His Leg;20T;True
37 - DeMarcus Cousins to Pelicans.csv;DeMarcus Cousins to Pelicans;21T;True
38 - LeBron James ejected.csv;LeBron James ejected;22T;True
39 - Indians Abandon Chief Wahoo Logo.csv;Indians Abandon Chief Wahoo Logo;23T;True
4 - Olivier Giroud to Chelsea.csv;Olivier Giroud to Chelsea;24T;True
40 - Carson Palmer has retired.csv;Carson Palmer has retired;25T;True
41 - Italy not Cup.csv;Italy have failed to qualify for the 2018 World Cup;26T;True
42 - usa not Cup.csv;USA eliminated from world cup contention;27T;True
43 - Arsene Wenger step down as Arsenal manager.csv;Arsene Wenger step down as Arsenal manager;28T;True
44 - Ronaldinho officially retired.csv;Ronaldinho officially retired;29T;True
45 - Man Uni eliminated from Champions League.csv;Man Uni eliminated from Champions League;30T;True
46 - Wayne Rooney donation.csv;Wayne Rooney makes £750,000 Christmas donation;31T;True
47 - Neale Cooper dies.csv;Neale Cooper dies;32T;True
48 - Man Uni in Women Championship.csv;Man Uni in Women Championship;33T;True
50 - Mark Hughes signs Southampton.csv;Mark Hughes signs Southampton;34T;True
51 - Nashville to host 2019 NFL draft.csv;Nashville to host 2019 NFL draft;35T;True
53 - Mark Ingram suspended.csv;Mark Ingram suspended;36T;True
54 - Dwight Freeney to retire.csv;Dwight Freeney to retire;37T;True
55 - NFL ban 10 helmet.csv;NFL ban 10 helmets;38T;True
56 - Vasyl Lomachenko surgery.csv;Vasyl Lomachenko to undergo arthroscopic surgery after injury;39T;True
57 - Dean Francis dies.csv;Dean Francis dies;40T;True
58 - Brendan Ingle passes.csv;Brendan Ingle passes;41T;True
6 - Francis Coquelin to Valencia.csv;Francis Coquelin to Valencia;42T;True
