username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Bill_kelley24;29/06/2017 20:59;0;0;Mcgregor couldn't beat that bag in 5 rounds https:// twitter.com/marcisdaname/s tatus/880570781704404992 …;;;;8,80577E+17;https://twitter.com/Bill_kelley24/status/880576612550443008
TheNotoriousMMA;29/06/2017 20:26;11771;34123;You've never seen these moves. #Ghost pic.twitter.com/3u5grfk9Ix;;;#Ghost;8,80568E+17;https://twitter.com/TheNotoriousMMA/status/880568103427428352
TheNotoriousMMA;29/06/2017 20:26;11771;34123;You've never seen these moves. #Ghost pic.twitter.com/3u5grfk9Ix;;;#Ghost;8,80568E+17;https://twitter.com/TheNotoriousMMA/status/880568103427428352
TheNotoriousMMA;29/06/2017 20:40;10702;27047;You are in quicksand.;;;;8,80572E+17;https://twitter.com/TheNotoriousMMA/status/880571756494376960
La_Rod_Grande;29/06/2017 20:59;0;1;UFC is such a shit show I doubt anything dana says. belts dont mean shit anymore, rankings dont mean shit and ReeBox!;;;;8,80577E+17;https://twitter.com/La_Rod_Grande/status/880576608922238976
BSO;29/06/2017 20:35;21002;26611;Mayweather and McGregor training videos from today side by side. pic.twitter.com/cAJDPy9Dwn;;;;8,8057E+17;https://twitter.com/BSO/status/880570391973945344
MMAjunkie;29/06/2017 08:05;558;894;. @TheNotoriousMMA vs. @TeamKhabib ? In Russia? That's the UFC champ's wish after Mayweather, says @danawhite . More: http:// bit.ly/2sjUlf5 pic.twitter.com/UoGkaITk3q;;@TheNotoriousMMA @TeamKhabib @danawhite;;8,80382E+17;https://twitter.com/MMAjunkie/status/880381606401200130
ryanmatthews91;29/06/2017 20:59;2;4;I have a weird feeling that mcgregor won't be able to touch this dude https:// twitter.com/floydmayweathe r/status/880363572181606401 …;;;;8,80577E+17;https://twitter.com/ryanmatthews91/status/880576597530746880
TheNotoriousMMA;29/06/2017 20:26;11771;34123;You've never seen these moves. #Ghost pic.twitter.com/3u5grfk9Ix;;;#Ghost;8,80568E+17;https://twitter.com/TheNotoriousMMA/status/880568103427428352
BSO;29/06/2017 20:35;21002;26611;Mayweather and McGregor training videos from today side by side. pic.twitter.com/cAJDPy9Dwn;;;;8,8057E+17;https://twitter.com/BSO/status/880570391973945344
TheNotoriousMMA;29/06/2017 20:26;11771;34123;You've never seen these moves. #Ghost pic.twitter.com/3u5grfk9Ix;;;#Ghost;8,80568E+17;https://twitter.com/TheNotoriousMMA/status/880568103427428352
Paddy15c;29/06/2017 20:59;0;0;pic.twitter.com/JgPW0TCguT;;;;8,80577E+17;https://twitter.com/Paddy15c/status/880576589280542720
BSO;29/06/2017 20:35;21002;26611;Mayweather and McGregor training videos from today side by side. pic.twitter.com/cAJDPy9Dwn;;;;8,8057E+17;https://twitter.com/BSO/status/880570391973945344
HouseDogWeeds;29/06/2017 20:59;0;2;If anyone wants to bet on the Mayweather vs. Mcgregor fight and take Mcgregor , let me know please.;;;;8,80577E+17;https://twitter.com/HouseDogWeeds/status/880576580963241989
Charterz_;29/06/2017 20:59;0;3;Now I know you're not serious;;;;8,80577E+17;https://twitter.com/Charterz_/status/880576578106912768
FaZe_Censor;27/06/2017 23:00;631;3845;Random thought but Conor McGregor will knock out Floyd Mayweather in the end of the 1st round.;;;;8,79882E+17;https://twitter.com/FaZe_Censor/status/879882069253468161
Kenanj93;29/06/2017 20:59;0;0;#precision that left hand will put him away;;;#precision;8,80577E+17;https://twitter.com/Kenanj93/status/880576577112813568
