username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JamieRoss7;06/01/2017 21:22;2339;2976;Absolutely incredible scenes. A fake account tricks Sky Sports into thinking Aberdeen signed a player called Yerdas Selzavon. pic.twitter.com/xVN58ycXiw;;;;8,17512E+17;https://twitter.com/JamieRoss7/status/817511720713388032
Coral;06/01/2017 20:38;6594;8188;Sky Sports have fallen for a fake Aberdeen signing called 'Yer Da Sells Avon'. Absolutely peak twitter, this. pic.twitter.com/WNzbpR6Ajm;;;;8,17501E+17;https://twitter.com/Coral/status/817500710183047169
ODDSbible;06/01/2017 20:48;2151;2933;Sky Sports have been tricked into thinking Aberdeen have signed someone called 'Yer Da Sells Avon' (Credit: @ffsAberdeen ) pic.twitter.com/v24TU6RDWt;;@ffsAberdeen;;8,17503E+17;https://twitter.com/ODDSbible/status/817503148717834240
LiamMalcolm98;06/01/2017 19:11;103;274;Sky sports reporting that Aberdeen have signed someone basically called yer da sells Avon, surely not?? pic.twitter.com/57j54AxHsP;;;;8,17479E+17;https://twitter.com/LiamMalcolm98/status/817478615109664768
FWPWestBrom;06/01/2017 21:58;0;0;NEWS: Pulis: Berahino still isn't fit (via Sky Sports ) http:// fwp.co/lx8Ekg pic.twitter.com/HVegsPiSjY;;;;8,17521E+17;https://twitter.com/FWPWestBrom/status/817520808872513536
petebrown86;06/01/2017 21:58;0;0;Sky sports news actually thinking Aberdeen signed a guy called yerdas selzavon #Brilliant;;;#Brilliant;8,17521E+17;https://twitter.com/petebrown86/status/817520794469285889
SiisiKwesi;06/01/2017 21:58;0;0;The state of play in Europe's major leagues as the action kicks off again http://www. skysports.com/football/news/ 11827/10715207/the-state-of-play-in-europes-major-leagues-as-the-action-kicks-off-again … via @SkySports;;@SkySports;;8,17521E+17;https://twitter.com/SiisiKwesi/status/817520726739746816
Really_Ryan;06/01/2017 21:58;0;0;@AberdeennFC I love that Sky Sports picked it up;;@AberdeennFC;;8,17521E+17;https://twitter.com/Really_Ryan/status/817520715830333442
TheRedsFC;06/01/2017 21:58;0;1;Klopp: Gomez worth waiting for http:// dlvr.it/N3DLKt ( Sky Sports ) #LFC;;;#LFC;8,17521E+17;https://twitter.com/TheRedsFC/status/817520661300006912
lrboylin;06/01/2017 21:58;0;0;Sky Sports :- Klopp: Gomez worth waiting for http:// ift.tt/2i04fc1 http:// ift.tt/eA8V8J;;;;8,17521E+17;https://twitter.com/lrboylin/status/817520648641794049
