username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Louise_Rooney;24/12/2016 21:59;0;0;Please rise your hand if you've been a victim of tequila.. #christmas #tequila @Hillhead Halls… https://www. instagram.com/p/BOa1EPLj80v/;;@Hillhead;#christmas #tequila;8,1281E+17;https://twitter.com/Louise_Rooney/status/812810018919739392
CStockton7;24/12/2016 21:59;0;0;@DFImpressionist seen this, quality, nailed Wayne Rooney haha;;@DFImpressionist;;8,1281E+17;https://twitter.com/CStockton7/status/812809862346407936
LoxleyKieran;24/12/2016 21:57;0;0;"it's coz u don't have Rooney anymore ;)";;;;8,1281E+17;https://twitter.com/LoxleyKieran/status/812809561308397568
kennethsloane;24/12/2016 21:56;0;0;watching it and wondering why Ferris is likeable? But he still is. Feeling more empathy for Ed Rooney now than when I was 12 though.;;;;8,12809E+17;https://twitter.com/kennethsloane/status/812809109049397252
kgarforth;24/12/2016 21:55;1;2;Dear Santa late shout but can I get some hair for Xmas pls? Oh and not a ginger rinse like Rooney . Thanks. Love ya . X;;;;8,12809E+17;https://twitter.com/kgarforth/status/812808973812383745
flaherty84;24/12/2016 21:53;0;0;Schmeichel neville rio vidic irwin Ronaldo Scholes Keane giggs Cantona rooney;;;;8,12808E+17;https://twitter.com/flaherty84/status/812808470558806016
1JakeLovett;24/12/2016 21:53;0;0;we both know that rooney is a better baller when he drops deeper;;;;8,12808E+17;https://twitter.com/1JakeLovett/status/812808420143333377
Phimwrai;24/12/2016 21:53;0;0;"Lol @B8CSP0RF : To Think NIKE Predicted Wayne Rooney 's New Look Back In 2010 pic.twitter.com/Vg7srupRlT """"";;@B8CSP0RF;;8,12808E+17;https://twitter.com/Phimwrai/status/812808405882699776
TheEricConan;24/12/2016 21:48;0;0;is the punch line you? Rooney & Gerrard never abandoned England and bottled it! Great stuff;;;;8,12807E+17;https://twitter.com/TheEricConan/status/812807274049785856
Humourrr5;24/12/2016 21:46;0;0;Facts About Wayne Rooney ’s New Man United Contract: https:// luufy.com/site/post/575? m=1 …;;;;8,12807E+17;https://twitter.com/Humourrr5/status/812806662591365120
Beautypeagirl14;24/12/2016 21:46;0;0;RT @ChaskaBorek Wayne Rooney and I are building a good relationship - off the pitch as well as on it. -- CHICHARITO HERNANDEZ MUFC ManUtd;;@ChaskaBorek;;8,12807E+17;https://twitter.com/Beautypeagirl14/status/812806612628799488
TreeOnAStik;24/12/2016 21:46;0;1;Rooney v Drogba is pretty hard tbh;;;;8,12807E+17;https://twitter.com/TreeOnAStik/status/812806609843978240
SportsProfitsUK;24/12/2016 21:45;0;0;Learn how to #makemoneynow > http://www. routetoprofit.com #mondaymotivation #rooney #London #earnfromhome #footy #Liverpool;;;#makemoneynow #mondaymotivation #rooney #London #earnfromhome #footy #Liverpool;8,12807E+17;https://twitter.com/SportsProfitsUK/status/812806544865759232
TreeOnAStik;24/12/2016 21:45;0;0;100% a bigger problem and always scored the bigger goals (finals etc) but Rooney had that consistency and better ratio;;;;8,12807E+17;https://twitter.com/TreeOnAStik/status/812806541409656832
1JakeLovett;24/12/2016 21:41;0;0;drogba as an out an out striker though boy! Bigger presence then rooney;;;;8,12805E+17;https://twitter.com/1JakeLovett/status/812805325313179649
MUFCFootyNews;24/12/2016 21:40;0;0;WATCH: Best PL showboats 2016: http://www. skysports.com/football/news/ 11661/10705857/watch-best-premier-league-showboats-of-2016 … #zlatan #MUFC #Rooney #mourinho #pogba #manutd;;;#zlatan #MUFC #Rooney #mourinho #pogba #manutd;8,12805E+17;https://twitter.com/MUFCFootyNews/status/812805234770776066
danieljacber;24/12/2016 21:40;1;2;i got a liverpool Jersey but it had Rooney on the back...;;;;8,12805E+17;https://twitter.com/danieljacber/status/812805165304705024
YKhatib_;24/12/2016 21:39;0;0;If Rooney moved to China, I'll probably start watching the Super League next season. Unbelievable! #ChineseSuperLeague;;;#ChineseSuperLeague;8,12805E+17;https://twitter.com/YKhatib_/status/812804803021643776
BassamLFC;24/12/2016 21:37;0;0;Love this pic of Rooney pic.twitter.com/atxzOSXbPu;;;;8,12804E+17;https://twitter.com/BassamLFC/status/812804444962357249
StolenMaterial1;24/12/2016 21:36;0;0;Come to Rooney 's! We have cupcakes and beer...;;;;8,12804E+17;https://twitter.com/StolenMaterial1/status/812804223477882880
whirringblender;24/12/2016 21:33;0;2;Mickey Rooney =always bad;;;;8,12803E+17;https://twitter.com/whirringblender/status/812803423146037248
footy_social;24/12/2016 21:31;0;0;Jamie Carragher, Wayne Rooney and Steven Gerrard sit down for Christmas Dinner together pic.twitter.com/7suKAJiXYL http:// dlvr.it/MyPcvj;;;;8,12803E+17;https://twitter.com/footy_social/status/812802814447534080
Best_radio_;24/12/2016 21:30;0;0;Best #pop #hits #dance #music #np Rooney - When Did Your Heart Go Missin http:// bit.ly/2fiiRpi;;;#pop #hits #dance #music #np;8,12803E+17;https://twitter.com/Best_radio_/status/812802733958950912
ParadisePad;24/12/2016 21:30;1;1;Our family business will forever cherish meeting Major Dan Rooney of Folds of Honor earlier this year while... http:// fb.me/8eUNZRzED;;;;8,12803E+17;https://twitter.com/ParadisePad/status/812802536201711618
r_uthe_;24/12/2016 21:27;0;1;When you find yourself sympathising with Edward Rooney you know you are past it. #FerrisBueller;;;#FerrisBueller;8,12802E+17;https://twitter.com/r_uthe_/status/812801984717799424
1JakeLovett;24/12/2016 21:27;0;0;yeah thought so, especially picking between rooney and drogba!!!;;;;8,12802E+17;https://twitter.com/1JakeLovett/status/812801810914312193
InnerDaemons;24/12/2016 21:26;0;0;Get Rooney out of England that's fine. https:// twitter.com/SkyFutballUK/s tatus/812797923700383745 …;;;;8,12802E+17;https://twitter.com/InnerDaemons/status/812801650758942720
bobby_carmen;24/12/2016 21:26;0;0;"@WhatHeLooksLike racial profiling by @nfl refs. The Rooney Rule"" rears its ugly head""";;@WhatHeLooksLike @nfl;;8,12802E+17;https://twitter.com/bobby_carmen/status/812801648011702272
mac_a_rooney;24/12/2016 21:25;0;1;The number of times my ears have closed and I've re-pierced them is not ok;;;;8,12801E+17;https://twitter.com/mac_a_rooney/status/812801346516697088
Travis_NTFC;24/12/2016 21:24;0;0;I liked a @YouTube video http:// youtu.be/KA4LNMprGYo?a WAYNE ROONEY vs West Ham (HOME) EFL 16/17 | Individual highlights | HD 1080i;;@YouTube;;8,12801E+17;https://twitter.com/Travis_NTFC/status/812801171584847872
Dat_Guy_Otis;24/12/2016 21:22;0;0;Rooney ... Oga take the money, you have tried https:// twitter.com/SkyFutballUK/s tatus/812797923700383745 …;;;;8,12801E+17;https://twitter.com/Dat_Guy_Otis/status/812800594016632833
petresqr;24/12/2016 21:22;0;1;David Rooney : The Best New York Theater of 2016 http://www. hollywoodreporter.com/lists/best-new -york-theater-2016-david-rooney-956037 … via @THR;;@THR;;8,12801E+17;https://twitter.com/petresqr/status/812800525418774528
weiyichongs;24/12/2016 21:21;0;0;don't la I shy;;;;8,128E+17;https://twitter.com/weiyichongs/status/812800399635726336
Nickmorris69;24/12/2016 21:21;0;0;Rooney to be offered £700,000 a week by a club in China which he may reject;;;;8,128E+17;https://twitter.com/Nickmorris69/status/812800269515886593
Travis_NTFC;24/12/2016 21:19;0;0;I liked a @YouTube video http:// youtu.be/qG_TunTLkUU?a Wayne Rooney 2015-16 | Amazing Skill Show | HD;;@YouTube;;8,128E+17;https://twitter.com/Travis_NTFC/status/812799869073100800
KenInTheBox;24/12/2016 21:15;0;0;@PadresJagoff Unless the first generation actually accomplished something...Mara's, Rooney 's.;;@PadresJagoff;;8,12799E+17;https://twitter.com/KenInTheBox/status/812798992106987520
Giroudesquee;24/12/2016 21:15;11;24;Neville, Ferdinand, Terry, Cole, Beckham, Gerrard, Lampard, Joe Cole, Rooney , Owen. So good. GK was shit though. Ronaldo wink ended them.;;;;8,12799E+17;https://twitter.com/Giroudesquee/status/812798911882608644
Nicholl_Rene;24/12/2016 21:15;0;1;Her name matters. Do you think Carol would have been so popular without Cate Blanchett and Rooney Mara?;;;;8,12799E+17;https://twitter.com/Nicholl_Rene/status/812798834069872640
Kroosology;24/12/2016 21:13;1;0;Wayne Rooney scoring a screamer in the Manchester derby. pic.twitter.com/2IpeqV6CyI;;;;8,12798E+17;https://twitter.com/Kroosology/status/812798448550477825
kenmorefield;24/12/2016 21:12;0;1;Better not say that too loud. Rooney Mara might hear you.;;;;8,12798E+17;https://twitter.com/kenmorefield/status/812798151014936576
oisinlangan;24/12/2016 21:05;0;0;Ferris's sister was right to attack Rooney she obviously knew what he was up to http://www. bbc.com/news/entertain ment-arts-11433469 …;;;;8,12796E+17;https://twitter.com/oisinlangan/status/812796332284977152
LiamPKelleher;24/12/2016 21:03;0;0;@CallumHinder Rooney cracks me up https:// twitter.com/dfimpressionis t/status/812735157568409600 …;;@CallumHinder;;8,12796E+17;https://twitter.com/LiamPKelleher/status/812795985143459840
TheMaryPickford;24/12/2016 21:02;7;6;Soundtrack for Little Annie Rooney by @AndyGladbach now available pic.twitter.com/DVvbXr1J1l;;@AndyGladbach;;8,12796E+17;https://twitter.com/TheMaryPickford/status/812795692443807744
WilliamGamerSwe;24/12/2016 21:00;0;0;@espn that dude looks like a young Rooney xD;;@espn;;8,12795E+17;https://twitter.com/WilliamGamerSwe/status/812795121611796480
RashfordEsque19;24/12/2016 21:00;0;0;Rooney = 7 Started off very bad. Has gotten better since. He's a good squad player from now on imo;;;;8,12795E+17;https://twitter.com/RashfordEsque19/status/812795046697299972
ElliottJMR;24/12/2016 20:56;0;1;Rooney Mara Has Reportedly Turned Down Taylor Swift’s ‘Incessant Invitations’ to Join Her Squad http:// jezebel.com/rooney-mara-ha s-reportedly-turned-down-taylor-swift-s-1790398664?utm_medium=sharefromsite&utm_source=Jezebel_twitter …;;;;8,12794E+17;https://twitter.com/ElliottJMR/status/812794219580583936
warrenrimmer10;24/12/2016 20:53;0;0;. Rooney ones a killer https:// twitter.com/carra23/status /812781529709608960 …;;;;8,12793E+17;https://twitter.com/warrenrimmer10/status/812793281058836480
Brandon_Rooney;24/12/2016 20:52;0;1;merry pre-christmas ya filthy animals;;;;8,12793E+17;https://twitter.com/Brandon_Rooney/status/812793110887624704
shanito;24/12/2016 20:48;0;23;"Man oh man Love Finds Andy Hardy"" gets me real riled up!!! YOU THINK YOU'RE TOO GOOD FOR JUDY GARLAND, MICKEY ROONEY YOU GOON???""";;;;8,12792E+17;https://twitter.com/shanito/status/812792174966210560
rooney_13;24/12/2016 20:48;0;1;tfw the music gets tense so you get tense;;;;8,12792E+17;https://twitter.com/rooney_13/status/812792066812026880
