username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LeviPetersen7;01/02/2018 21:59;0;1;Fake news;;;;9,59215E+17;https://twitter.com/LeviPetersen7/status/959214780044070912
DanielMcNatt96;01/02/2018 21:59;0;0;@KDTrey5 funny line dancing is why @KingJames joined the Warriors. This may become an actual headline this year. https:// twitter.com/sbnation/statu s/959175832051896320 …;;@KDTrey5 @KingJames;;9,59215E+17;https://twitter.com/DanielMcNatt96/status/959214716873859072
SportsCourier;01/02/2018 21:59;0;0;LeBron James to Leave #Cavs for #Warriors ?! http:// ow.ly/BX1w30i9rHc;;;#Cavs #Warriors;9,59215E+17;https://twitter.com/SportsCourier/status/959214618408300545
Scainam_09;01/02/2018 21:58;0;0;Lebron James with his family: http:// youtu.be/HpLGvRcCn7E?a via @YouTube;;@YouTube;;9,59214E+17;https://twitter.com/Scainam_09/status/959214482982686720
mchljamon;01/02/2018 21:58;0;0;HAHAHAHAHAHAHAHAHAHA;;;;9,59214E+17;https://twitter.com/mchljamon/status/959214470114373638
shaadbroo;01/02/2018 21:58;0;1;Lebron is my favorite player of all time, but James Harden deserves it. https:// twitter.com/sportscenter/s tatus/959063979510386690 …;;;;9,59214E+17;https://twitter.com/shaadbroo/status/959214441375129601
DrakePassmore_;01/02/2018 21:58;0;0;Worst team in the West bro;;;;9,59214E+17;https://twitter.com/DrakePassmore_/status/959214403156668417
go3guy;01/02/2018 21:58;0;0;Here is what LeBron is really doing https:// youtu.be/pSjEsCyEEkA via @YouTube #lebronjames;;@YouTube;#lebronjames;9,59214E+17;https://twitter.com/go3guy/status/959214397863337984
AndreMontre;01/02/2018 21:58;1;12;Blake Griffin is our Lebron James this is the best well ever get...you gotta be excited;;;;9,59214E+17;https://twitter.com/AndreMontre/status/959214352942403584
alexia_holmes;01/02/2018 21:58;0;1;If @KingJames join golden state warriors im never watching nba again until he retired from playing;;@KingJames;;9,59214E+17;https://twitter.com/alexia_holmes/status/959214326409236480
BeauLacerte;01/02/2018 21:58;0;0;Come back to your second home @KingJames #LetsGoHeat #HEATCulture;;@KingJames;#LetsGoHeat #HEATCulture;9,59214E+17;https://twitter.com/BeauLacerte/status/959214307480305666
TomBradyworld;01/02/2018 21:58;0;0;Tom Brady vs. LeBron James : Who Is the GOAT? - http:// NFL.com http:// dlvr.it/QDdWsQ;;;;9,59214E+17;https://twitter.com/TomBradyworld/status/959214294754709504
ToBradyFansclub;01/02/2018 21:58;0;0;Tom Brady vs. LeBron James : Who Is the GOAT? - http:// NFL.com http:// dlvr.it/QDdWv9;;;;9,59214E+17;https://twitter.com/ToBradyFansclub/status/959214293815238656
JasoTheDread;01/02/2018 21:58;0;0;You mean Michael Jordan or Lebron James ?;;;;9,59214E+17;https://twitter.com/JasoTheDread/status/959214281437974529
