username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JaredWeissNBA;23/11/2014 21:59;0;0;Jeff Green squares up Aldridge and blows by him with the left hand.;;;;5,36671E+17;https://twitter.com/JaredWeissNBA/status/536670506871947264
MissHottness07;23/11/2014 21:52;0;1;Jeff Green !!;;;;5,36669E+17;https://twitter.com/MissHottness07/status/536668646391963648
Bowen_Arrow23;23/11/2014 21:47;0;0;Not so sure jeff green will ever be a consistent wing option;;;;5,36667E+17;https://twitter.com/Bowen_Arrow23/status/536667471835840512
phyllisxox;23/11/2014 21:47;0;0;oomf lowkey looks like Jeff Green .;;;;5,36667E+17;https://twitter.com/phyllisxox/status/536667307620442113
contact__high;23/11/2014 21:44;0;0;Sad to say but Jeff green will be moved by the deadline;;;;5,36667E+17;https://twitter.com/contact__high/status/536666670321127424
Tzara_1981;23/11/2014 21:42;0;0;@bennygiardina Jeff Green anche..;;@bennygiardina;;5,36666E+17;https://twitter.com/Tzara_1981/status/536666131701170177
Elgirrl;23/11/2014 21:41;0;1;With Jeff Green very improved & focused this yr, & Bass producing, I'm not so keen to trade them except maybe throw in a pick for a great C.;;;;5,36666E+17;https://twitter.com/Elgirrl/status/536665995797352449
bostonnewsce;23/11/2014 21:41;0;0;Reports: Jeff Green , Brandon Bass Drawing Trade Interest For Celtics http:// zpzp.eu/a.php?url=http ://dlvr.it/7cRRfq …;;;;5,36666E+17;https://twitter.com/bostonnewsce/status/536665782164271104
txhelcat;23/11/2014 21:38;0;2;Is it weird that I'm watching my wedding video to Jeff Green with my mother and my current boyfriend? NAH;;;;5,36665E+17;https://twitter.com/txhelcat/status/536665233889447936
jayo1O;23/11/2014 21:32;0;2;Jeff Green has taken about 8 jump hooks;;;;5,36664E+17;https://twitter.com/jayo1O/status/536663547686973444
PacmanJonez;23/11/2014 21:31;0;0;@DreSmithWGL @ItsDerric @TheBreyKeys Jeff Green and Sully both had nice first quarters 8 and 13 respectively;;@DreSmithWGL @ItsDerric @TheBreyKeys;;5,36663E+17;https://twitter.com/PacmanJonez/status/536663351661965313
_Mag23_;23/11/2014 21:31;0;0;Jeff Green #8;;;#8;5,36663E+17;https://twitter.com/_Mag23_/status/536663295911288833
makatony98;23/11/2014 21:30;0;0;Jeff Green 50% when the Celtics tie or trail, but only 34% when they lead. Interesting... #NBA #PORvsBOS;;;#NBA #PORvsBOS;5,36663E+17;https://twitter.com/makatony98/status/536663080420143104
CHold;23/11/2014 21:30;0;2;Crabbe checking Jeff Green is going to be tough. A much bigger body. Now Wright check in, Crabbe moves over to shooting guard.;;;;5,36663E+17;https://twitter.com/CHold/status/536663044655706112
NBCSCeltics;23/11/2014 21:30;3;5;" Jeff Green this season is really becoming really aggressive...his game this season, is completely different it appears from last season.""""";;;;5,36663E+17;https://twitter.com/NBCSCeltics/status/536663006462377985
Pgallagher503;23/11/2014 21:29;0;1;No Mike Rice Jeff green isn't better than Rondo;;;;5,36663E+17;https://twitter.com/Pgallagher503/status/536662931530715137
_STAYJORDAN;23/11/2014 21:28;0;0;Jeff Green for Greg Monroe or picks;;;;5,36663E+17;https://twitter.com/_STAYJORDAN/status/536662548847001600
Awainer1;23/11/2014 21:26;0;1;@RedsArmy_John i dont think rondo appreciated people saying Jeff Green has more trade value than him;;@RedsArmy_John;;5,36662E+17;https://twitter.com/Awainer1/status/536662221070548992
BostonTweet3;23/11/2014 21:26;0;0;Reports: Jeff Green , Brandon Bass Drawing Trade Interest For Celtics - http:// NESN.com http:// dlvr.it/7cRB2b;;;;5,36662E+17;https://twitter.com/BostonTweet3/status/536661990668660736
BostonTweet3;23/11/2014 21:26;0;0;Reports: Jeff Green , Brandon Bass Drawing Trade Interest For Celtics - http:// NESN.com http:// dlvr.it/7cRFFP;;;;5,36662E+17;https://twitter.com/BostonTweet3/status/536661988823158784
Ethan_Norof;23/11/2014 21:24;0;0;@mattyfly519 Every time I have a comment about the Celtics or Jeff Green , you try and turn it into a debate of some kind. It’s weird.;;@mattyfly519;;5,36662E+17;https://twitter.com/Ethan_Norof/status/536661509095448576
k10_daley;23/11/2014 21:21;0;10;Jeff green looked at me so I'm taking that as the okay to have his child;;;;5,36661E+17;https://twitter.com/k10_daley/status/536660772425056256
mannynyk;23/11/2014 21:19;0;0;Has Jeff Green scratched his ceiling yet;;;;5,3666E+17;https://twitter.com/mannynyk/status/536660239232540672
CausewayStreet;23/11/2014 21:18;0;0;Oooo Jeff Green showing some finesse on that layup;;;;5,3666E+17;https://twitter.com/CausewayStreet/status/536659995518328832
ByJayKing;23/11/2014 21:17;1;3;What an outlet pass from Sully to Jeff Green there. Nothing prettier than a full-court pass.;;;;5,3666E+17;https://twitter.com/ByJayKing/status/536659900727037952
BostonNewsdaily;23/11/2014 21:16;0;0;Reports: Jeff Green , Brandon Bass Drawing Trade Interest For Celtics - http:// NESN.com http:// dlvr.it/7cR5zg;;;;5,36659E+17;https://twitter.com/BostonNewsdaily/status/536659471892623360
Steven_Slone22;23/11/2014 21:14;0;0;Talk is that Celtics are looking to trade Jeff Green , hopefully we can get a good suitor and something nice in return!;;;;5,36659E+17;https://twitter.com/Steven_Slone22/status/536658987492839424
LunchyB;23/11/2014 21:12;0;0;@Chrislemus33 who cares then if Jeff green is gonna do the same thing man fuck em he's so inconsistent trade this nigga for something;;@Chrislemus33;;5,36659E+17;https://twitter.com/LunchyB/status/536658508033589248
Jamie_Vargas;23/11/2014 21:11;0;0;Jeff Green forcing shit already;;;;5,36658E+17;https://twitter.com/Jamie_Vargas/status/536658272309104640
LunchyB;23/11/2014 21:09;0;0;@Chrislemus33 no if we got someone with equal value with Jeff green we wouldn't be tanking we would have the same chances of makin playoffs;;@Chrislemus33;;5,36658E+17;https://twitter.com/LunchyB/status/536657896281759744
Nick34shady;23/11/2014 21:09;0;0;What grinds my gears is when people talk shit about Jeff green y'all need to stop hating on the guy;;;;5,36658E+17;https://twitter.com/Nick34shady/status/536657758612094976
Jamie_Vargas;23/11/2014 21:09;0;0;So Jeff Green want out huh? Smh;;;;5,36658E+17;https://twitter.com/Jamie_Vargas/status/536657739527647232
_UncleDrew95;23/11/2014 21:05;2;0;I'll be stoked if Jeff Green finally gets traded!;;;;5,36657E+17;https://twitter.com/_UncleDrew95/status/536656758157369344
GodSon_;23/11/2014 21:05;0;0;Jeff Green inconsistent anyways;;;;5,36657E+17;https://twitter.com/GodSon_/status/536656697042153473
B_2Times;23/11/2014 21:04;0;0;Dang Jeff Green wants to leave Boston;;;;5,36657E+17;https://twitter.com/B_2Times/status/536656625751580672
Chilliin94_asap;23/11/2014 21:02;0;0;I don't like Jeff Green lol....;;;;5,36656E+17;https://twitter.com/Chilliin94_asap/status/536656049307402241
phila45666;23/11/2014 21:01;0;0;Reports: Jeff Green , Brandon Bass Drawing Trade Interest For Celtics http:// zpzp.eu/a.php?url=http ://dlvr.it/7cQxf8 …;;;;5,36656E+17;https://twitter.com/phila45666/status/536655852715790336
ShawSportsNBA;23/11/2014 21:01;1;0;The disgruntled one Jeff Green with a tough matchup vs Batum tonight.;;;;5,36656E+17;https://twitter.com/ShawSportsNBA/status/536655719513481216
