username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
philkef;28/06/2017 20:57;0;0;Google translated this for me as - 'can't wait to go, Mourinho is crap and my agent is working on an exit for big $£€ asap';;;;8,80214E+17;https://twitter.com/philkef/status/880213573955330048
Milaniniho;28/06/2017 20:44;0;1;Arsenal's bids for Lemar & Lacazette both rejected, that's literally two L's handed too Arsenal.;;;;8,8021E+17;https://twitter.com/Milaniniho/status/880210368580259840
jeepeg;28/06/2017 20:39;0;0;Anthony Martial denies that he will be leaving Manchester United during the transfer window – News https://www. africa-news.info/?p=557300;;;;8,80209E+17;https://twitter.com/jeepeg/status/880208990701056000
vmatulampaka;28/06/2017 20:33;0;0;Sur quoi oft?;;;;8,80208E+17;https://twitter.com/vmatulampaka/status/880207540168138753
lyth271;28/06/2017 20:28;0;0;<3 martial #mufc;;;#mufc;8,80206E+17;https://twitter.com/lyth271/status/880206390727385088
S6am50;28/06/2017 20:21;0;0;We are love you Anthony;;;;8,80204E+17;https://twitter.com/S6am50/status/880204480406540290
BallHoof;28/06/2017 20:09;0;0;Yeah Mbappe wants to play europa league for arsenal lol;;;;8,80202E+17;https://twitter.com/BallHoof/status/880201527645716480
bazhef_MUFC;28/06/2017 20:07;0;0;Stay with us sham. Potential to be a legend. At least stay until you understand what a sham is.... #ballymena #dr #MUFC #reely;;;#ballymena #dr #MUFC #reely;8,80201E+17;https://twitter.com/bazhef_MUFC/status/880201050992635905
beINSPORTSUSA;28/06/2017 20:05;3;12;You won't be seeing @AnthonyMartial wearing any other next year: http:// bit.ly/2tm0DtU pic.twitter.com/2mo0672SzW;;@AnthonyMartial;;8,802E+17;https://twitter.com/beINSPORTSUSA/status/880200394042953729
MUFCgifts;28/06/2017 20:00;0;0;Anthony Martial Denies The Rumours Of A Potential Exit This Summer #ManUtd http://www. stretford-end.com/2017/06/anthon y-martial-denies-rumours-potential-exit-summer/ …;;;#ManUtd;8,80199E+17;https://twitter.com/MUFCgifts/status/880199199710752769
simonclarke2371;28/06/2017 19:52;0;0;"They signed Griezmann, Mueller, Ramos, Bale, Ronaldo, Robben and Morata so far. You forgot Lionel Messi and Neymar""""";;;;8,80197E+17;https://twitter.com/simonclarke2371/status/880197248293928960
PrimaScriptura;28/06/2017 19:52;0;0;Manchester United forward Anthony Martial has jumped to social media to dismiss reports that he has requested to leave Old Trafford.;;;;8,80197E+17;https://twitter.com/PrimaScriptura/status/880197179092217858
ManUtdGGMU14;28/06/2017 19:50;0;0;The rumours are false. Thanks martial for putting them straight. No funny business @AnthonyMartial https:// twitter.com/anthonymartial /status/880010846390423552 …;;@AnthonyMartial;;8,80197E+17;https://twitter.com/ManUtdGGMU14/status/880196855375822848
julianfp93;28/06/2017 19:48;0;0;@AnthonyMartial love you Tony lad. https:// twitter.com/anthonymartial /status/880010846390423552 …;;@AnthonyMartial;;8,80196E+17;https://twitter.com/julianfp93/status/880196231766491141
jacques1269;28/06/2017 19:44;0;0;Legend;;;;8,80195E+17;https://twitter.com/jacques1269/status/880195158779867137
Hiragana_is_Red;28/06/2017 19:42;0;0;Love you;;;;8,80195E+17;https://twitter.com/Hiragana_is_Red/status/880194639227047937
loadedhub_com;28/06/2017 19:38;0;1;Anthony Martial Finally Breaks Silence Over His Proposed #Arsenal Move https:// goo.gl/fb/s3gfHA #sport;;;#Arsenal #sport;8,80194E+17;https://twitter.com/loadedhub_com/status/880193783639547905
cfcEthan;28/06/2017 19:35;0;0;He's not even better then Kenedy;;;;8,80193E+17;https://twitter.com/cfcEthan/status/880192914441330688
LDCMUFC;28/06/2017 19:34;0;0;Ambitious;;;;8,80193E+17;https://twitter.com/LDCMUFC/status/880192753912741888
TheLukakuWay;28/06/2017 19:30;0;0;I posted pictures as well;;;;8,80192E+17;https://twitter.com/TheLukakuWay/status/880191617306701824
MattMarson;28/06/2017 19:26;0;0;Man what a way finish!! #MUFC @AnthonyMartial https:// twitter.com/reddevilsdaily /status/879962318301515776 …;;@AnthonyMartial;#MUFC;8,80191E+17;https://twitter.com/MattMarson/status/880190578792644608
KenyaTopNews;28/06/2017 19:20;0;0;@ManUtd star Anthony Martial responds: http://www. mambokenya.com/manchester-uni ted … , http://www. mambokenya.com/page/10557095 pic.twitter.com/CcF6HeF2ko;;@ManUtd;;8,80189E+17;https://twitter.com/KenyaTopNews/status/880189170315952132
mbeenken69;28/06/2017 19:14;0;0;Anthony Martial rubbishes reports he wants to leave Manchester United http://www. skysports.com/football/news/ 11667/10929921/anthony-martial-rubbiswbhes-reports-he-wants-to-leave-manchester-united … via @SkySportsaHellon ywfor a wwbabuqw1 daw;;@SkySportsaHellon;;8,80188E+17;https://twitter.com/mbeenken69/status/880187794093748224
D_W_006;28/06/2017 19:11;0;1;Nope...not a all. He has no clue how sneaky Ed can be;;;;8,80187E+17;https://twitter.com/D_W_006/status/880186822235521024
RuairiBrady85;28/06/2017 19:09;0;1;@Jonnyowens563 you's wish;;@Jonnyowens563;;8,80186E+17;https://twitter.com/RuairiBrady85/status/880186322551361536
