username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
apklein51;14/03/2017 20:36;0;0;Barcelona will be happy to see him arrive in summer!;;;;8,41795E+17;https://twitter.com/apklein51/status/841795138137477121
UmarAbdulmajeed;14/03/2017 20:31;0;0;Barcelona meet with Hector Bellerin 's agent as transfer is imminent http:// fb.me/5DslfCgYn;;;;8,41794E+17;https://twitter.com/UmarAbdulmajeed/status/841793952793694210
DjFlizzyFlame;14/03/2017 20:17;0;0;Media reports that FC Barcelona are in talks with Arsenal over signing Hector Bellerin https:// tmblr.co/ZW7Pnw2JY5lA6;;;;8,4179E+17;https://twitter.com/DjFlizzyFlame/status/841790411748319232
smjabarkhil;14/03/2017 20:00;0;0;I have just bought Hector Bellerin in #dreamleaguesoccer pic.twitter.com/MouFlX85cp;;;#dreamleaguesoccer;8,41786E+17;https://twitter.com/smjabarkhil/status/841786045565943809
Artikeldumay;14/03/2017 19:30;0;0;Hector Bellerin - Hector Bellerin . (AP Photo/Christophe Ena) http:// ow.ly/KXKu50abrkG;;;;8,41779E+17;https://twitter.com/Artikeldumay/status/841778668267573248
FootyPremier;14/03/2017 19:28;0;0;Arsenal in talks with Barcelona over Hector Bellerin sale - http:// plnews.co.uk/arsenal-in-tal ks-with-barcelona-over-hector-bellerin-sale/ … pic.twitter.com/NOKrKBKqi6;;;;8,41778E+17;https://twitter.com/FootyPremier/status/841778080230313984
gbeduhubng;14/03/2017 19:13;0;0;Arsenal in ‘talks’ with Barcelona over sale of right-back “ Hector Bellerin ” https://www. gbeduhub.com/arsenal-talks- barcelona-sale-right-back-hector-bellerin/ … pic.twitter.com/hQ7DQuW93e;;;;8,41774E+17;https://twitter.com/gbeduhubng/status/841774298708774917
BellerinPace;14/03/2017 18:52;0;1;when u see hector bellerin sprinting https:// twitter.com/garylineker/st atus/841763627015237632 …;;;;8,41769E+17;https://twitter.com/BellerinPace/status/841769063911120897
Domque23;14/03/2017 18:12;1;2;@HectorBellerin @Phil_Coutinho welcome to @FCBarcelona_es .!!!;;@HectorBellerin @Phil_Coutinho @FCBarcelona_es;;8,41759E+17;https://twitter.com/Domque23/status/841758955462365184
MadeteIan;14/03/2017 18:11;1;0;@HectorBellerin please dont leave us;;@HectorBellerin;;8,41759E+17;https://twitter.com/MadeteIan/status/841758800243761157
ChatSoccer;14/03/2017 18:10;0;0;Report: Barcelona in Negotiations to Bring Hector Bellerin Back From Arsenal http://www. chatsports.com/soccer/a/sourc e/report-barcelona-in-negotiations-to-bring-hector-bellerin-back-from-arsenal-13354615 … via @chatsports;;@chatsports;;8,41759E+17;https://twitter.com/ChatSoccer/status/841758510534787072
ultra_barcelona;14/03/2017 18:01;0;1;Report: Barcelona in Negotiations to Bring Hector Bellerin Back From Arsenal: According to Diario Sport. The front… http:// dlvr.it/Nd8vFy pic.twitter.com/IyTi5CWePV;;;;8,41756E+17;https://twitter.com/ultra_barcelona/status/841756233270927360
jamesbunyan;14/03/2017 17:59;0;0;his ability to evade the advances of Barcelona;;;;8,41756E+17;https://twitter.com/jamesbunyan/status/841755787756204033
KunaalPuthran1;14/03/2017 17:51;0;0;@HectorBellerin are you leaving arsenal fc and us( your beloved fans)??;;@HectorBellerin;;8,41754E+17;https://twitter.com/KunaalPuthran1/status/841753771025735680
barcanewsonly;14/03/2017 17:50;0;0;#FCBarcelona #Barca #Blaugrana Report: Barcelona in Negotiations to Bring Hector Bellerin Back From Arsenal http:// dld.bz/f5KNe;;;#FCBarcelona #Barca #Blaugrana;8,41753E+17;https://twitter.com/barcanewsonly/status/841753329554358273
BlaugranesBarca;14/03/2017 17:41;2;6;Report: Barcelona in Negotiations to Bring Hector Bellerin Back From Arsenal http://www. barcablaugranes.com/2017/3/14/1492 7202/report-barcelona-transfer-hector-bellerin-from-arsenal?utm_campaign=barcablaugranes&utm_content=chorus&utm_medium=social&utm_source=twitter …;;;;8,41751E+17;https://twitter.com/BlaugranesBarca/status/841751081478692865
luism8989;14/03/2017 17:41;2;1;Report: Barcelona in Negotiations to Bring Hector Bellerin Back From Arsenal http://www. barcablaugranes.com/2017/3/14/1492 7202/report-barcelona-transfer-hector-bellerin-from-arsenal?utm_campaign=luism8989&utm_content=chorus&utm_medium=social&utm_source=twitter …;;;;8,41751E+17;https://twitter.com/luism8989/status/841751080396591104
FCKNCHAMBERS;14/03/2017 17:34;1;7;why does hector bellerin look like lord farquaad from shrek;;;;8,41749E+17;https://twitter.com/FCKNCHAMBERS/status/841749342683820033
barcanewsonly;14/03/2017 17:03;1;2;#FCBarcelona #Barca #Blaugrana Barcelona Transfer News: Latest on Hector Bellerin to Arsenal Rumours http:// dld.bz/f5JYt;;;#FCBarcelona #Barca #Blaugrana;8,41742E+17;https://twitter.com/barcanewsonly/status/841741613739171840
MessiBots;14/03/2017 17:01;0;2;Barcelona have made Arsenal full-back Hector Bellerin (21) a priority target for the summer transfer window. [SPORT];;;;8,41741E+17;https://twitter.com/MessiBots/status/841741078697000960
BarcaNewsForum;14/03/2017 16:58;19;33;Barcelona have made Arsenal full-back Hector Bellerin (21) a priority target for the summer transfer window. [SPORT];;;;8,4174E+17;https://twitter.com/BarcaNewsForum/status/841740261260644352
McKinnz88;14/03/2017 16:51;0;0;being able to disappear it's amazing how he does it;;;;8,41739E+17;https://twitter.com/McKinnz88/status/841738651700731904
SeedoorPiston;14/03/2017 16:24;0;0;Yo @HectorBellerin you pick up the phone from @jmbartomeu and tell him:WHAT'S UP https://www. youtube.com/watch?v=eZRCJL J6djA … xD;;@HectorBellerin @jmbartomeu;;8,41732E+17;https://twitter.com/SeedoorPiston/status/841731663512113152
Noe_Brd;14/03/2017 15:54;0;0;We don't want you @HectorBellerin in barcelona;;@HectorBellerin;;8,41724E+17;https://twitter.com/Noe_Brd/status/841724169289113601
TomPike91;14/03/2017 15:43;0;0;Rumours are saying your going Barcelona @HectorBellerin ? Please tell me it's all lies;;@HectorBellerin;;8,41721E+17;https://twitter.com/TomPike91/status/841721447336824833
GoonerGaunty73;14/03/2017 15:35;0;0;Arsenal 'open talks with Barcelona over £35million sale' of Hector Bellerin http:// ift.tt/2mJN042;;;;8,41719E+17;https://twitter.com/GoonerGaunty73/status/841719468111872000
