username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KABOOM_MUFC;21/03/2017 20:59;0;1;Shanta Arsene Wenger https:// twitter.com/nacimul/status /844329218867650560 …;;;;8,44338E+17;https://twitter.com/KABOOM_MUFC/status/844337692032819200
MikeJacoby20;21/03/2017 20:55;0;0;Arsene Wenger;;;;8,44337E+17;https://twitter.com/MikeJacoby20/status/844336714697052163
amcoys;21/03/2017 20:54;0;0;I liked a @YouTube video from @truegeordienufc http:// youtu.be/AWraf4z-ZVo?a ARSENE WENGER TO SIGN NEW CONTRACT;;@YouTube @truegeordienufc;;8,44337E+17;https://twitter.com/amcoys/status/844336532953731073
MemphisFootnews;21/03/2017 20:54;0;0;"Burley: Incredibly arrogant if Arsene Wenger stays"" https://www. youtube.com/watch?v=wmYY6r uDAQ0&feature=share …""";;;;8,44336E+17;https://twitter.com/MemphisFootnews/status/844336375575056384
junkycosmonaut;21/03/2017 20:52;0;0;The Telegraph: Arsene Wenger 's Arsenal future - the key questions that need answering. http:// google.com/newsstand/s/CB IwoYeT0DQ …;;;;8,44336E+17;https://twitter.com/junkycosmonaut/status/844335852205608963
EdwardHumphries;21/03/2017 20:51;0;0;Arsenal Supporters’ Trust ‘concerned’ about Arsene Wenger uncertainty http://www. arsenalnews247.tk/2017/03/21/ars enal-supporters-trust-concerned-about-arsene-wenger-uncertainty/ … pic.twitter.com/t84oQyYszk;;;;8,44336E+17;https://twitter.com/EdwardHumphries/status/844335657170489344
Leykee1;21/03/2017 20:48;0;0;Wenger denies PSG: Arsene Wenger has denied that he has agreed to join PSG, insisting that such reports are merely… http:// dlvr.it/NhK9J6;;;;8,44335E+17;https://twitter.com/Leykee1/status/844334957904347137
roundclocksport;21/03/2017 20:46;0;0;Jamie Carragher trolls Arsenal fan: Why I want Arsene Wenger to stay http:// dld.bz/f7bUh;;;;8,44334E+17;https://twitter.com/roundclocksport/status/844334394735235072
footballscou;21/03/2017 20:45;0;0;Footballscou: ARSENE WENGER DENIES PSG RUMOURS http:// footballscou.blogspot.com/2017/03/arsene -wenger-denies-psg-rumours-its.html?spref=tw …;;;;8,44334E+17;https://twitter.com/footballscou/status/844334290540417024
jrosario521;21/03/2017 20:45;0;0;Don't let facts interfere with your defense of Arsene Wenger . GG had an outstanding record at Arsenal;;;;8,44334E+17;https://twitter.com/jrosario521/status/844334105064099840
ryangoldy8;21/03/2017 20:45;0;0;I liked a @YouTube video from @truegeordienufc http:// youtu.be/AWraf4z-ZVo?a ARSENE WENGER TO SIGN NEW CONTRACT;;@YouTube @truegeordienufc;;8,44334E+17;https://twitter.com/ryangoldy8/status/844334081118818304
CroydonYid67;21/03/2017 20:44;0;0;I liked a @YouTube video from @truegeordienufc http:// youtu.be/AWraf4z-ZVo?a ARSENE WENGER TO SIGN NEW CONTRACT;;@YouTube @truegeordienufc;;8,44334E+17;https://twitter.com/CroydonYid67/status/844334038341029888
ThibautSave;21/03/2017 20:43;0;3;if arsene Wenger had any ambition for Arsenal he'd leave the club because they'll do fuck all win him;;;;8,44334E+17;https://twitter.com/ThibautSave/status/844333607594475520
SportdecApp;21/03/2017 20:43;0;0;Some big names on the chopping block as Arsene Wenger plans squad overhaul ahead of new season http:// bit.ly/WengerClearout pic.twitter.com/y9IdcY9Y3I;;;;8,44334E+17;https://twitter.com/SportdecApp/status/844333554758766592
alex_kinnell;21/03/2017 20:42;0;0;I liked a @YouTube video from @truegeordienufc http:// youtu.be/AWraf4z-ZVo?a ARSENE WENGER TO SIGN NEW CONTRACT;;@YouTube @truegeordienufc;;8,44334E+17;https://twitter.com/alex_kinnell/status/844333521686708224
sporttlad;21/03/2017 20:40;0;0;Jamie Carragher trolls Arsenal fan: Why I want Arsene Wenger to stay http:// dld.bz/f7bUh;;;;8,44333E+17;https://twitter.com/sporttlad/status/844332914796101633
sportsupdatefbb;21/03/2017 20:40;0;0;Jamie Carragher trolls Arsenal fan: Why I want Arsene Wenger to stay http:// dld.bz/f7bUh;;;;8,44333E+17;https://twitter.com/sportsupdatefbb/status/844332913474834432
