username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
vegetaguwop;20/08/2017 20:59;2;0;Assuming Messi and Ronaldo get into tragic accidents that ultimately end their careers;;;;8,99421E+17;https://twitter.com/vegetaguwop/status/899420707817500673;
federicomendoza;20/08/2017 20:59;0;0;Heck, I'm a Real Madrid fan and I think just as he does. Although my Culé friends here in Bcn don't seem to mind so long as Messi stays;;;;8,99421E+17;https://twitter.com/federicomendoza/status/899420642075869184;
GoonerCraig41;20/08/2017 20:58;0;0;Is flawed you could stick Messi in that Arsenal side n he wouldn't make a difference , biggest problem we have is deadwood .What can Özil;;;;8,9942E+17;https://twitter.com/GoonerCraig41/status/899420452875010051;
MyJodes;20/08/2017 20:58;0;0;you're kidding right? thats akin to saying Messi 's a crap player. your bosses need to have a word with themselves & stop being cockwombles;;;;8,9942E+17;https://twitter.com/MyJodes/status/899420439356653568;
14michaels;20/08/2017 20:57;0;0;Please tell me Hazard is fit for next week, I need to see some beautiful futbol. I've had enough of watching 2012 Messi comps;;;;8,9942E+17;https://twitter.com/14michaels/status/899420259421237249;
EhabNnour;20/08/2017 20:57;0;2;FC MESSI pic.twitter.com/8bccjmOwtG;;;;8,9942E+17;https://twitter.com/EhabNnour/status/899420224528797696;
imtoo_nice;20/08/2017 20:57;0;1;the problem is you guys never replaced players like puyol, xavi, dani alves. barças always gonna fight but i think messi might on the move;;;;8,9942E+17;https://twitter.com/imtoo_nice/status/899420196535926784;
BARCABOY__10;20/08/2017 20:57;0;0;Messi please give him a left hook to fix tht crooked nose;;;;8,9942E+17;https://twitter.com/BARCABOY__10/status/899420189820899329;
Fintadegol;20/08/2017 20:57;0;0;He HAS to say that, it's like if Messi or CR7 doesn't play ALL season long for different reasons, do you think the coach will left them out?;;;;8,9942E+17;https://twitter.com/Fintadegol/status/899420178647310336;
Messi_Afdal;20/08/2017 20:57;0;0;one person followed me // automatically checked by http:// fllwrs.com;;;;8,9942E+17;https://twitter.com/Messi_Afdal/status/899420110443741185;
magnam178;20/08/2017 20:57;0;0;Still bro. People think otherwise. He left cuz he was in messi 's shadow.;;;;8,9942E+17;https://twitter.com/magnam178/status/899420030647103488;
