username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
schorpp1955;13/02/2016 21:58;0;1;LeBron James says Kevin Love -Celtics trade rumor is false http:// a.msn.com/02/en-us/BBpsY 7T?ocid=st …;;;;6,98658E+17;https://twitter.com/schorpp1955/status/698657631896862720
HughleyDominick;13/02/2016 21:58;0;0;We know how LeBron James and Kevin Love and JR Smith and Kyrie Irving they play good @cavs pic.twitter.com/0btnkbRxwC;;@cavs;;6,98658E+17;https://twitter.com/HughleyDominick/status/698657614104829952
_Su_Yung_;13/02/2016 21:58;0;0;I love Kevin Gates music;;;;6,98658E+17;https://twitter.com/_Su_Yung_/status/698657579808006144
Lalo2timez;13/02/2016 21:54;2;5;The one time I kicked it with the famous sauce twinz and Kevin loves lil bro pic.twitter.com/7UXvtUMSht;;;;6,98657E+17;https://twitter.com/Lalo2timez/status/698656626350407680
infobetiscom;13/02/2016 21:52;1;0;Kevin Love y Carmelo Anthony... http:// latarjetablanca.es/kevin-love-y-c armelo-anthony-podrian-acabar-siendo-traspasados/ … #Baloncesto;;;#Baloncesto;6,98656E+17;https://twitter.com/infobetiscom/status/698655956436197376
___MISfortunate;13/02/2016 21:50;0;0;Love Kevin gates https:// twitter.com/kevinanddrek/s tatus/696426895076818944 …;;;;6,98656E+17;https://twitter.com/___MISfortunate/status/698655506030850048
CFAEG;13/02/2016 21:47;0;0;Happy Valentines Day from the restaurant the loves you back. (This is our Assistant Marketing Director, Kevin !) http:// fb.me/2dfogtmrR;;;;6,98655E+17;https://twitter.com/CFAEG/status/698654774774906881
arinahyarii;13/02/2016 21:46;0;0;i just love Kevin Natael Valeriant and i hope he can be my husband in the future :* [bot];;;;6,98654E+17;https://twitter.com/arinahyarii/status/698654426299441152
blazerbanter;13/02/2016 21:45;1;2;Video: Baby Dame DOLLA raps with Kevin Love in State Farm ad http:// blogs.columbian.com/blazer-banter/ 2016/02/13/video-baby-dame-dolla-raps-with-kevin-love-in-state-farm-ad/ …;;;;6,98654E+17;https://twitter.com/blazerbanter/status/698654299610488832
prettynaya1_;13/02/2016 21:45;2;0;I love Kevin gates bro;;;;6,98654E+17;https://twitter.com/prettynaya1_/status/698654236112859137
Krevun;13/02/2016 21:45;0;0;@rockthecasbahh @kevinlove I was droppin more than just dimes if you know what I mean;;@rockthecasbahh @kevinlove;;6,98654E+17;https://twitter.com/Krevun/status/698654185160470529
MonroLinda;13/02/2016 21:44;0;0;Yardbarker: LeBron James says Kevin Love -Celtics trade rumor is false http://www. yardbarker.com/nba/articles/c avaliers_lebron_james_says_kevin_love_celtics_trade_rumor_is_false/s1_8626_20331718 … via @yardbarker;;@yardbarker;;6,98654E+17;https://twitter.com/MonroLinda/status/698654106479681536
marketing162;13/02/2016 21:44;0;0;From NBAMemes: RT ClutchPointsApp: Kevin Love And Damian Lillard Drop Their First Track Of 2016 In Hilarious Video… pic.twitter.com/LlsVYXZA8f;;;;6,98654E+17;https://twitter.com/marketing162/status/698654099244457984
amandsst;13/02/2016 21:44;0;0;"Report: Celtics, Cavaliers talking Kevin Love trade; could... http:// goo.gl/fb/q6rxR7 #risingstarsgame #zachlavine";;;#risingstarsgame #zachlavine;6,98654E+17;https://twitter.com/amandsst/status/698654019481374720
NBAthisWeek1;13/02/2016 21:44;0;0;#CarmeloAnthony LeBron James on Carmelo Anthony- Kevin Love trade rumor: 'It's false' Click> http:// goo.gl/ljE32D;;;#CarmeloAnthony;6,98654E+17;https://twitter.com/NBAthisWeek1/status/698654004985790464
rockthecasbahh;13/02/2016 21:44;0;0;@KrevunLuvBBz @kevinlove you kept it family friendly that time;;@KrevunLuvBBz @kevinlove;;6,98654E+17;https://twitter.com/rockthecasbahh/status/698654002284724225
memory130;13/02/2016 21:44;0;0;@kevinlove you a reckless genius;;@kevinlove;;6,98654E+17;https://twitter.com/memory130/status/698653960807149568
Krevun;13/02/2016 21:44;0;0;@rockthecasbahh @kevinlove saw it already;;@rockthecasbahh @kevinlove;;6,98654E+17;https://twitter.com/Krevun/status/698653926422220801
