username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
dirtychristy;29/12/2016 21:59;0;0;Tony Hawk was everybody's nigga;;;;8,14622E+17;https://twitter.com/dirtychristy/status/814621962052005888;
noah_anyname;29/12/2016 21:58;0;0;2016 might just be one of the truly large numbers that statistics talks about.;;;;8,14622E+17;https://twitter.com/noah_anyname/status/814621624783749120;
noah_anyname;29/12/2016 21:57;0;0;"...riding my skateboard..."" DON'T GIVE 2016 IDEAS! D:<""";;;;8,14621E+17;https://twitter.com/noah_anyname/status/814621407749566464;
sslamii;29/12/2016 21:56;0;2;Just saw tony hawk :-);;;;8,14621E+17;https://twitter.com/sslamii/status/814621169802309632;
nykano;29/12/2016 21:55;0;0;tony hawk just said the n word;;;;8,14621E+17;https://twitter.com/nykano/status/814620873231581188;
RichSchroeder;29/12/2016 21:51;0;1;Ten boards I was fortunate to acquire in 2016. @tonyhawk @devillenunes #og @birdhouse … https://www. instagram.com/p/BOnsJ4fg-PE/;;@tonyhawk @devillenunes @birdhouse;#og;8,1462E+17;https://twitter.com/RichSchroeder/status/814620009481797632;
shrekIover420;29/12/2016 21:49;0;3;i still have a crush on tony hawk;;;;8,14619E+17;https://twitter.com/shrekIover420/status/814619429057150976;
Jennifreshhhh;29/12/2016 21:49;0;0;I hope I die before Tony Hawk;;;;8,14619E+17;https://twitter.com/Jennifreshhhh/status/814619333892505600;
FemmyFrankie;29/12/2016 21:48;0;0;Tony Hawk was my favorite game and skater! He's my childhood hero!;;;;8,14619E+17;https://twitter.com/FemmyFrankie/status/814619208369569792;
CanadaMoments;29/12/2016 21:48;2;1;Tony Hawk plans to keep on skateboarding away from 2016. https://www. twitter.com/i/moments/8145 16272729722880 …;;;;8,14619E+17;https://twitter.com/CanadaMoments/status/814619009769275392;
DerpStevens2;29/12/2016 21:46;0;0;Tas Pappas was better than Tony Hawk .;;;;8,14619E+17;https://twitter.com/DerpStevens2/status/814618585003937794;
bluemorning104;29/12/2016 21:45;0;2;cool dude that likes tony hawk -> lame nerd;;;;8,14618E+17;https://twitter.com/bluemorning104/status/814618395643695105;
rdhoble;29/12/2016 21:44;0;1;I'm not dead! @tonyhawk https:// twitter.com/tonyhawk/statu s/814491611191066628 …;;@tonyhawk;;8,14618E+17;https://twitter.com/rdhoble/status/814618125702402048;
ExtraViejo_;29/12/2016 21:42;0;0;The internet killing off anybody I would of cried if Tony Hawk died;;;;8,14618E+17;https://twitter.com/ExtraViejo_/status/814617682817519617;
Barbs_B1;29/12/2016 21:42;0;0;Why the heck does Twitter like killing off people: Tony Hawk is alive and well https:// twitter.com/i/moments/8145 16272729722880 …;;;;8,14618E+17;https://twitter.com/Barbs_B1/status/814617505989804032;
annayyylmao;29/12/2016 21:38;0;0;@tonyhawk he's like in his 40s;;@tonyhawk;;8,14617E+17;https://twitter.com/annayyylmao/status/814616603778088961;
burnicus;29/12/2016 21:38;0;0;i saw tony hawk trending last night/this morning. .but i knew better to do my own investigating before posting. lol;;;;8,14617E+17;https://twitter.com/burnicus/status/814616535851532289;
Antares1995;29/12/2016 21:37;0;0;I guess i should tag @Neecal_TXT? Tony Hawk is alive and well https:// twitter.com/i/moments/8145 16272729722880 …;;@Neecal_TXT;;8,14616E+17;https://twitter.com/Antares1995/status/814616369438326784;
BradleyWuzHere_;29/12/2016 21:36;0;2;I've been watching videos of Tony Hawk doing cool skateboard tricks for the last half-hour. This is a Thursday well spent.;;;;8,14616E+17;https://twitter.com/BradleyWuzHere_/status/814616140869672960;
spencersmt10;29/12/2016 21:36;0;0;“ Tony Hawk is alive and well” https:// twitter.com/i/moments/8145 16272729722880 …;;;;8,14616E+17;https://twitter.com/spencersmt10/status/814616086049996800;
movies_ent;29/12/2016 21:33;0;0;#Vibe 2016 Tried To Take Skateboarder Tony Hawk And He Was NOT Having It. Read Blog: http:// owler.us/abZ8zt;;;#Vibe;8,14615E+17;https://twitter.com/movies_ent/status/814615448595480577;
EvanMCarr;29/12/2016 21:31;0;1;most of us think you're immortal anyway boss;;;;8,14615E+17;https://twitter.com/EvanMCarr/status/814614924844474369;
Ajmarkstahler;29/12/2016 21:29;0;1;“ Tony Hawk is alive and well” https:// twitter.com/i/moments/8145 16272729722880 …;;;;8,14614E+17;https://twitter.com/Ajmarkstahler/status/814614461428469761;
yasminahmad7;29/12/2016 21:28;0;0;“ Tony Hawk is alive and well” https:// twitter.com/i/moments/8145 16272729722880 …;;;;8,14614E+17;https://twitter.com/yasminahmad7/status/814614041352175616;
BatPowSpecs;29/12/2016 21:27;0;1;Kicking it off #oldschool with some Tony Hawk Pro Skater 2! A night of #nintendo64 FTW! #ThrowbackThursday #twitch http:// twitch.tv/batterypowered specs …;;;#oldschool #nintendo64 #ThrowbackThursday #twitch;8,14614E+17;https://twitter.com/BatPowSpecs/status/814613905112702985;
RoyDRomero;29/12/2016 21:26;0;0;How's your gap? — Pretty good tony hawk skated in my shit today so https:// curiouscat.me/1433306268/pos t/63795213?t=1483053974 …;;;;8,14614E+17;https://twitter.com/RoyDRomero/status/814613530401996805;
balkanfur;29/12/2016 21:23;1;1;YO TONY HAWK KNOCK IT HARD pic.twitter.com/rxCoNXSK7n;;;;8,14613E+17;https://twitter.com/balkanfur/status/814612882260426752;
AnimeLove_96;29/12/2016 21:23;0;0;Is #TonyHawk the best skateboarder in the world?;;;#TonyHawk;8,14613E+17;https://twitter.com/AnimeLove_96/status/814612816091119616;
AnimeLove_96;29/12/2016 21:22;0;0;Do you like #TonyHawk ?;;;#TonyHawk;8,14613E+17;https://twitter.com/AnimeLove_96/status/814612690807222272;
_DVSC;29/12/2016 21:21;0;0;If I ever met Tony Hawk I would honestly break down crying and ask for a THUG 3.;;;;8,14612E+17;https://twitter.com/_DVSC/status/814612417288269824;
NotYellowThough;29/12/2016 21:20;0;1;2016 IS TRYNNA TAKE TONY HAWK TOO OH HELL NOO https:// twitter.com/tonyhawk/statu s/814491611191066628 …;;;;8,14612E+17;https://twitter.com/NotYellowThough/status/814612147263062016;
inyaearhiphop;29/12/2016 21:17;0;0;NowPlaying Tony Hawk - Chief Keef http:// inyaearhiphop.com/iye-radio/ 23:16;;;;8,14611E+17;https://twitter.com/inyaearhiphop/status/814611237497606144;
