username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
golfede;26/09/2017 20:47;0;0;‘Disappointed and unimpressed’ Shannon Sharpe’s full response to President Donald Trump’s NFL http://www. foxsports.com/watch/undisput ed/video/1054207043815?utm_campaign=share_buttons&utm_medium=fscom&utm_content=return_visit&utm_source=share_tw … vía @FoxSports;;@FoxSports;;9,12826E+17;https://twitter.com/golfede/status/912826094960726016
58_JamieD;26/09/2017 20:42;0;0;Get a grip Shannon! It just shows how out of touch you and the NFL are with fans. What a loser;;;;9,12825E+17;https://twitter.com/58_JamieD/status/912824786878963712
ibtsportspicks;26/09/2017 20:40;0;0;Does @FOXSports @NFLonFOX NFL weekly picks really win? See the full track record http:// ow.ly/il4s30fnx4t #NFLSunday #Mondaynightfootball;;@FOXSports @NFLonFOX;#NFLSunday #Mondaynightfootball;9,12824E+17;https://twitter.com/ibtsportspicks/status/912824128972967936
WorktoRideMovie;26/09/2017 20:37;0;0;SPORTS : Herd Hierarchy: Colin's Top 10 NFL teams after 2017-18 Week 3 | THE HERD http://www. foxsports.com/southwest/vide o/1055342147535 … via @foxsports pic.twitter.com/c83hHlmXiu;;@foxsports;;9,12824E+17;https://twitter.com/WorktoRideMovie/status/912823506945105920
BillyBlac;26/09/2017 20:34;0;0;One major thing that will bring this 'flag disrespect' to an end is pressure from teammates! http:// pittsburgh.cbslocal.com/2017/09/26/ste elers-ramon-foster-we-didnt-ask-for-this/ … #nfl #MAGA #foxsports;;;#nfl #MAGA #foxsports;9,12823E+17;https://twitter.com/BillyBlac/status/912822837806690304
PITBULL95;26/09/2017 20:31;0;0;And let's not forget the #AnimalAbusers of the @NFL as well. Even @FOXSports has hired the convicted CRIMINAL & DOG FIGHTER @MichaelVick https:// twitter.com/VivaLaAmesX/st atus/912693255787163649 …;;@NFL @FOXSports @MichaelVick;#AnimalAbusers;9,12822E+17;https://twitter.com/PITBULL95/status/912821987608809472
mwbattle;26/09/2017 20:18;0;0;@FOXSports I have been a loyal viewer from your beginning however an attack on our very core of USA by the NFL has done it for me, I'm done;;@FOXSports;;9,12819E+17;https://twitter.com/mwbattle/status/912818724910092288
9from145;26/09/2017 20:10;0;0;#BoycottNFL if you support #StandForOurFlag , let @nbcsports , @espn , @cbssports , and @foxsports know they have lost you as a NFL viewer.;;@nbcsports @espn @cbssports @foxsports;#BoycottNFL #StandForOurFlag;9,12817E+17;https://twitter.com/9from145/status/912816629070929920
ghaynes57;26/09/2017 19:49;0;0;With Fox Sports & Rupert Murdock's $1B+ investment in the NFL , I think Shep's job is safe after calling Trump wrong on FNC!;;;;9,12811E+17;https://twitter.com/ghaynes57/status/912811325595807744
9from145;26/09/2017 19:46;0;0;@FOXSports if you are tracking, add me to the list of lost NFL viewers. #BoycotttheNFL #StandForOurFlag;;@FOXSports;#BoycotttheNFL #StandForOurFlag;9,12811E+17;https://twitter.com/9from145/status/912810605047898113
