username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BrooklynRoundup;13/04/2018 20:48;0;0;Did Conor McGregor and Floyd Mayweather Sign for a Rematch? http:// dlvr.it/QPT0QB pic.twitter.com/gqvzv09ecT;;;;9,84941E+17;https://twitter.com/BrooklynRoundup/status/984941366479237121
farley5417;13/04/2018 20:34;0;0;"@danawhite on a serious note @danawhite I say Connor does 1 free fight; proceeds to charity. He then get a shot at a title at weight or opponent of your choosing! Then you could drop the charges. Isn’t America about 2nd chances. @FloydMayweather @TheNot";;@danawhite @danawhite @FloydMayweather @TheNotoriousMMA;;9,84938E+17;https://twitter.com/farley5417/status/984937961094549504
beauticountry;13/04/2018 20:29;0;0;Did Conor McGregor and Floyd Mayweather Sign for a Rematch? http:// corneey.com/wOv1U9 pic.twitter.com/x9GRXW4NVD;;;;9,84937E+17;https://twitter.com/beauticountry/status/984936748487663616
YOURSCOREONAIR;13/04/2018 20:17;0;0;Its another Friday Night #combatsports . So much to talk give a call 614-641-0674 from 7-9pm her on Score Onair. I got UFC WWE Bellator MMA talk plus updates on Floyd Mayweather , Conor McGregor and #UFC223 and #Wrestlemania34 resuilts https://www. facebook.com/YOURSCOREONAIR /videos/1654829064604058/ …;;;#combatsports #UFC223 #Wrestlemania34;9,84934E+17;https://twitter.com/YOURSCOREONAIR/status/984933626424057856
dMarino24;13/04/2018 20:15;0;0;Conor McGregor warning sent to Floyd Mayweather as Dana White makes statement https://www. express.co.uk/sport/ufc/9450 06/Conor-McGregor-Floyd-Mayweather-Dana-White-UFC-News …;;;;9,84933E+17;https://twitter.com/dMarino24/status/984933185040601088
SimplifyReason;13/04/2018 20:14;1;0;FACT CHECK: Did Conor McGregor and Floyd Mayweather Sign for a Rematch? Did Conor McGregor and Floyd Mayweather Sign for a Rematch? via #Snopes #FactCheck pic.twitter.com/e6U0vUfBmW;;;#Snopes #FactCheck;9,84933E+17;https://twitter.com/SimplifyReason/status/984932821008560128
FactandMythCom;13/04/2018 20:09;0;0;Did Conor McGregor and Floyd Mayweather Sign for a Rematch? https:// ift.tt/2qw6ni1;;;;9,84932E+17;https://twitter.com/FactandMythCom/status/984931504542363648
niahpoo11;13/04/2018 19:57;0;0;I'd like to see Floyd Mayweather beat Conor McGregor . Cast your vote now! #MayMac365 https:// cards.twitter.com/cards/18ce54fs awy/4nesf …;;;#MayMac365;9,84929E+17;https://twitter.com/niahpoo11/status/984928682606256128
MattanzaMFedora;13/04/2018 18:46;0;0;I liked a @YouTube video http:// youtu.be/rlEyiKCxZCs?a Joe Rogan Explains Why Conor McGregor Gassed Against Floyd Mayweather;;@YouTube;;9,84911E+17;https://twitter.com/MattanzaMFedora/status/984910709296283648
Alejand60708764;13/04/2018 18:41;0;0;THE KING @thenotoriousmma @deedevlin1 @josealdojunior @floydmayweather sophialillis en… https://www. instagram.com/p/BhhbQ4Zhzkl/;;@thenotoriousmma @deedevlin1 @josealdojunior @floydmayweather;;9,84909E+17;https://twitter.com/Alejand60708764/status/984909342167130112
AweeesomeCars;13/04/2018 18:40;0;0;Please RT if you like!! #luxurycars #luxury #supercars #cars Floyd Mayweather Calls Out Conor McGregor http:// tinyurl.com/yadbz7tn pic.twitter.com/nEeGxi6D9G;;;#luxurycars #luxury #supercars #cars;9,84909E+17;https://twitter.com/AweeesomeCars/status/984909290677919744
thebigrighthand;13/04/2018 18:25;0;0;Conor McGregor warning sent to Floyd Mayweather as Dana White makes statement - http:// Express.co.uk - http:// tinyurl.com/y7qfb3jz pic.twitter.com/9DSKT0UjrC;;;;9,84905E+17;https://twitter.com/thebigrighthand/status/984905365023227905
mwhyatt91;13/04/2018 16:34;0;2;Floyd Mayweather is a bitch, fight under full UFC rules @FloydMayweather @TheNotoriousMMA can’t wait for #UFC223;;@FloydMayweather @TheNotoriousMMA;#UFC223;9,84877E+17;https://twitter.com/mwhyatt91/status/984877394929635329
mwhyatt91;13/04/2018 16:31;0;1;@FloydMayweather fight under full mma rules. B*tch! @TheNotoriousMMA #UFC223;;@FloydMayweather @TheNotoriousMMA;#UFC223;9,84877E+17;https://twitter.com/mwhyatt91/status/984876779495096322
williamlloyd99;13/04/2018 16:19;0;1;Connor is a good, trained boxer but Floyd broke him down in the boxing ring. BTW professional boxing and MMA have completely different rules.;;;;9,84874E+17;https://twitter.com/williamlloyd99/status/984873621771370496
syed_j_alam;13/04/2018 16:10;0;1;@TheNotoriousMMA should do a rematch with @FloydMayweather in @WWE . That way everyone gets rich. #Winning;;@TheNotoriousMMA @FloydMayweather @WWE;#Winning;9,84871E+17;https://twitter.com/syed_j_alam/status/984871406403022848
FOHx316;13/04/2018 15:15;0;1;If the rumors are true and @TheNotoriousMMA is gonna fight @FloydMayweather with certain rules in the cage, then personally it’s a cheaper version of their first fight. Rather see @TheNotoriousMMA vs @TeamKhabib for the strap!;;@TheNotoriousMMA @FloydMayweather @TheNotoriousMMA @TeamKhabib;;9,84858E+17;https://twitter.com/FOHx316/status/984857691397947392
LiamFrancis95;13/04/2018 14:45;0;0;Thank you pres;;;;9,8485E+17;https://twitter.com/LiamFrancis95/status/984849964097417217
GFofBoxing;13/04/2018 14:40;0;0;Conor McGregor vs Floyd Mayweather 2 edges closer Dana White makes huge statement https://www. express.co.uk/sport/ufc/9445 90/Conor-McGregor-Floyd-Mayweather-UFC-Fight-Dana-White-Statement …;;;;9,84849E+17;https://twitter.com/GFofBoxing/status/984848739612397568
McMillanWhiskey;13/04/2018 14:30;0;2;Dear @ufc if @FloydMayweather is unwilling to fight @TheNotoriousMMA 100% under the same rules as all UFC fighters, he doesn't deserve my money. #chicken pic.twitter.com/dqobJDAm95;;@ufc @FloydMayweather @TheNotoriousMMA;#chicken;9,84846E+17;https://twitter.com/McMillanWhiskey/status/984846260158042112
MCR_K_;13/04/2018 14:12;0;1;Are you serious !!!!????? Floyd Would Beat The Shit Out Of @TheNotoriousMMA Again !!!!;;@TheNotoriousMMA;;9,84842E+17;https://twitter.com/MCR_K_/status/984841794633523200
GavinHouk_;13/04/2018 14:05;0;0;Yeah he does. He boxes thats part of mma. Now figure the rest out;;;;9,8484E+17;https://twitter.com/GavinHouk_/status/984839964419674112
