username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
LesLukach;08/11/2017 21:58;5;20;#Pac -12 getting four @MDHS_ Baseball players . Incredible. Many more to come in next few classes. Monarchs are built to win now and in the coming years. https:// twitter.com/coachcornejo9/ status/928351224092434432 …;;@MDHS_;#Pac;9,28411E+17;https://twitter.com/LesLukach/status/928411477706383360;
ashtonbrooke_;08/11/2017 21:58;0;7;RIP Doc, I'll never forget watching that perfect game and deciding you were my favorite baseball player of all time. Made me proud to be a philly fan;;;;9,28411E+17;https://twitter.com/ashtonbrooke_/status/928411314145366017;
birdsonabatshow;08/11/2017 21:57;0;0;Heyward was a whinny bitch that was unhappy that he got sat a little but cause as you are finding out he is one of the most overrated players in baseball .;;;;9,28411E+17;https://twitter.com/birdsonabatshow/status/928411209661022208;
S_May56;08/11/2017 21:57;0;1;Nolan Arenado is the best player in baseball not named mike trout idc what you say;;;;9,28411E+17;https://twitter.com/S_May56/status/928411076424814594;
FactandMythCom;08/11/2017 21:56;0;0;Were Baseball Players Photographed Kneeling to Protest Lynchings in the 1950s? http:// ift.tt/2znntoC;;;;9,28411E+17;https://twitter.com/FactandMythCom/status/928410909403467776;
RProspects;08/11/2017 21:54;2;8;National Camp #RisingProspects players can now see their performance data from this past weekend's #baseball camp: http://www. risingprospects.com/page/show/3080 873-camp-schedule-and-player-performance-data … pic.twitter.com/VwD3TxTSEA;;;#RisingProspects #baseball;9,28411E+17;https://twitter.com/RProspects/status/928410506645291008;
aissar_c;08/11/2017 21:53;3;18;@AndyMorales8 two Nogales kids signing NLI to New Mexico State. Following @AliMarcel2 as Aggie baseball players . @NMStateBaseball pic.twitter.com/ADsAInjGlF;;@AndyMorales8 @AliMarcel2 @NMStateBaseball;;9,2841E+17;https://twitter.com/aissar_c/status/928410164130078720;
Reneetk6Renee;08/11/2017 21:53;1;8;I love this article about these two awesome guys, great friends and outstanding baseball players . Thank you @JonPoorman https:// twitter.com/conroesports/s tatus/928312179073327104 …;;@JonPoorman;;9,2841E+17;https://twitter.com/Reneetk6Renee/status/928410151639506945;
dl_hall33;08/11/2017 21:53;3;43;Shoutout to all the baseball players who signed their national letter of intent today to further their career and education and live out a dream! Enjoy, it’s an exciting time!;;;;9,2841E+17;https://twitter.com/dl_hall33/status/928410089072893952;
BarstoolFhs;08/11/2017 21:53;2;17;In case you didn't know the top baseball player in the country is originally from Fayetteville https:// twitter.com/_kumarrocker/s tatus/928329187336835074 …;;;;9,2841E+17;https://twitter.com/BarstoolFhs/status/928410070899183617;
_NASCARNerd;08/11/2017 21:51;1;9;Everyone congratulated Bowman on getting the 88. The difference is Wallace is going to be a unique face among our generation of drivers. That absolutely should be acknowledged until its no more strange than a black baseball player . Black kids need role models, Bubba's a good one;;;;9,2841E+17;https://twitter.com/_NASCARNerd/status/928409783304179712;
JFRANCETHAGREAT;08/11/2017 21:49;1;4;Proud of both of you. Watched you two grow as young men and baseball players over the last 9 years. https:// twitter.com/keithbenjamin2 9/status/928372162884395008 …;;;;9,28409E+17;https://twitter.com/JFRANCETHAGREAT/status/928409286270525440;
GOTFRlENDS;08/11/2017 21:49;0;9;@nickmara oof hope you weren’t planning on being a baseball player pic.twitter.com/P4hBOJ2r1U;;@nickmara;;9,28409E+17;https://twitter.com/GOTFRlENDS/status/928409246034735104;
collinizespace;08/11/2017 21:49;0;0;I used to wanna be a baseball player before my dad left...;;;;9,28409E+17;https://twitter.com/collinizespace/status/928409105684873216;
10NewsMel;08/11/2017 21:48;0;1;Not only an amazing baseball player but great #humanitarian #Royholladay helped @SunAnimalLeague pic.twitter.com/0egUacZ22B;;@SunAnimalLeague;#humanitarian #Royholladay;9,28409E+17;https://twitter.com/10NewsMel/status/928408898985517056;
GRemiker;08/11/2017 21:46;10;37;Saluting our 7 senior baseball players signing their NLI today #rolldons @antstab27 @CCHSAthletics pic.twitter.com/y4WVuzp29e;;@antstab27 @CCHSAthletics;#rolldons;9,28408E+17;https://twitter.com/GRemiker/status/928408380485525504;
Pimpdaddymormon;08/11/2017 21:46;0;1;When the game's best player and world series champion doesn't sell video games there's an issue. Baseball sells team brands instead of the product.;;;;9,28408E+17;https://twitter.com/Pimpdaddymormon/status/928408342036434945;
backpackchronic;08/11/2017 21:44;0;0;White Baseball Players Kneel in the 50's to protest Black Lynchings http:// fb.me/Ajx5xyfv;;;;9,28408E+17;https://twitter.com/backpackchronic/status/928408033272651777;
treyanatimai;08/11/2017 21:43;0;1;Proud of my favorite baseball player https:// twitter.com/kodydarcy/stat us/928294766726463490 …;;;;9,28408E+17;https://twitter.com/treyanatimai/status/928407664295645187;
jorel1876;08/11/2017 21:43;0;0;I didn’t know Troy Maserati was judge, jury and executioner for former baseball players . https:// twitter.com/tonymassarotti /status/928323930573692929 …;;;;9,28408E+17;https://twitter.com/jorel1876/status/928407584582914049;
FFLoser;08/11/2017 21:41;0;0;The former baseball player ? Bold strategy cotton https:// twitter.com/rotoworld_fb/s tatus/928004432922644482 …;;;;9,28407E+17;https://twitter.com/FFLoser/status/928407243464302594;
RealTaylorBoice;08/11/2017 21:40;0;1;"Sad to see two pro baseball players die the last two days. Roy Halladay was a legend and Daniel Flores had a very bright future in the game. Both were taken too soon; prayers for their families #RIPDoc";;;#RIPDoc;9,28407E+17;https://twitter.com/RealTaylorBoice/status/928406907005620225;
budluv26;08/11/2017 21:40;0;1;That’s a good young ball player . I love his game;;;;9,28407E+17;https://twitter.com/budluv26/status/928406849510133760;
scottmcintire;08/11/2017 21:40;0;0;@KarlravechEspn You’ve seen HS baseball players hit a ball. Thoughts about boys vs girls in Field Hockey? #MIAA http://www. bostonglobe.com/sports/2015/11 /27/miaa-must-draw-line-boys-playing-girls-field-hockey/ENPcVkxZbQgjcMfYAkkhAI/story.html …;;@KarlravechEspn;#MIAA;9,28407E+17;https://twitter.com/scottmcintire/status/928406807592259584;
SkyWarrior108;08/11/2017 21:39;0;1;I don't hate the idea. He's a baseball genius and has been a great mentor to the young players on the team. But him and the media is the thing that gives me pause.;;;;9,28407E+17;https://twitter.com/SkyWarrior108/status/928406694014660608;
lovebocaraton;08/11/2017 21:39;0;1;Baseball players , golfers, swimmers among early signees in Broward and Palm http://www. sun-sentinel.com/local/palm-bea ch/boca-raton/fl-sp-early-signing-roundup-20171108-story.html?utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/AvckavkZSh;;;;9,28407E+17;https://twitter.com/lovebocaraton/status/928406672954966016;
Jeannie0753;08/11/2017 21:39;0;1;YAY!!! Now I can do the whole thing each time a Gopher softball player or baseball player or soccer player scores on the road! #Gophers #SkiUMah https:// twitter.com/GopherSoftball /status/928399736192880642 …;;;#Gophers #SkiUMah;9,28407E+17;https://twitter.com/Jeannie0753/status/928406613710573568;
decaturdaily;08/11/2017 21:39;4;6;Prep recruiting roundup: Auburn prospect Wade among 5 Hartselle baseball players signing http://www. decaturdaily.com/sports/high_sc hool/prep-recruiting-roundup-auburn-prospect-wade-among-hartselle-baseball-players/article_4e1e7abf-9851-5f6e-871b-7cd49dc50bbd.html#utm_campaign=blox&utm_source=twitter&utm_medium=social …;;;#utm_campaign;9,28407E+17;https://twitter.com/decaturdaily/status/928406585432567808;
BradLancasterLT;08/11/2017 21:37;6;42;Congratulations to these LT Baseball players for signing letters of intent: Chase Ratliff - U of Colorado @Pueblo, Bryce Weisinger - Texas AM Corpus Christi, Dylan Weiss - Pepperdine U, Harrison Babbitt - U of Central Missouri, Hunter Salinas - U of Colorado @Pueblo pic.twitter.com/SlXIv1PH8M;;@Pueblo @Pueblo;;9,28406E+17;https://twitter.com/BradLancasterLT/status/928406126777044992;
gocubsgo13;08/11/2017 21:36;0;2;Baseball players getting after it! Work=Success https:// twitter.com/zachdechant/st atus/928286981498593281 …;;;;9,28406E+17;https://twitter.com/gocubsgo13/status/928405936384995328;
profoundlymark;08/11/2017 21:35;0;0;Baseball player 's plane crash. This guys reaction would be just like mine. I get very empathetic and it shakes me... http:// fb.me/7YjBOWh1z;;;;9,28406E+17;https://twitter.com/profoundlymark/status/928405728162992128;
JayWhiteSports;08/11/2017 21:35;0;7;From my twitter feed today, it seems @HailStateBB signed every breathing, upright available baseball player with eligibility.;;@HailStateBB;;9,28406E+17;https://twitter.com/JayWhiteSports/status/928405697842352129;
