username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
u2biker;24/10/2017 21:59;0;2;NFL Black Players Are Backing Far-Left Destroy Inner Structure Of Sports America ( NFL Football) That Is Also Killing Their Golden Goose...;;;;9,22976E+17;https://twitter.com/u2biker/status/922975794225442817
lifeonasandbar;24/10/2017 21:44;0;0;4 Black Players Just Made SICK Ultimatum To NFL Of What They Want To Force White Fans To Do For A Month http:// fb.me/1tFdQjj5n;;;;9,22972E+17;https://twitter.com/lifeonasandbar/status/922972184833937410
davis5_krista;24/10/2017 21:29;0;0;Indiana AG Proclaims NFL Players Should Be Protesting Black -on- Black Crime Instead of Anthem https:// staceydash.americanewshub.com/indiana-ag-pro claims-nfl-players-protesting-black-black-crime/ …;;;;9,22968E+17;https://twitter.com/davis5_krista/status/922968320218841089
maxmobley;24/10/2017 21:24;0;0;Thanks! Liberal = critical thinker. U should try it you extremist dullard. So based on your “race trolling data,” then you’d be okay if players knelt for black on black crime, just not cops killing unarmed black men? Otherwise u have no point.;;;;9,22967E+17;https://twitter.com/maxmobley/status/922967157469675520
braddavisdylan;24/10/2017 21:20;2;2;Indiana AG Curtis Hill: NFL players should protest black -on- black violence http://www. indystar.com/story/news/201 7/10/21/attorney-general-hill-if-nfl-players-protesting-loss-black-liveshould-protest-black-on-black-violenc/787124001/ …;;;;9,22966E+17;https://twitter.com/braddavisdylan/status/922966051326955521
zennie62;24/10/2017 20:52;0;0;Did Black NFL Players ‘Demand’ that the NFL Force ‘White Fans’ Into Community Activism? – http:// Snopes.com http:// ift.tt/2xljKne;;;;9,22959E+17;https://twitter.com/zennie62/status/922959090632085506
robbins_designs;24/10/2017 20:50;0;0;Black Official Has 1 Question For Black Lives Matter Activists and NFL Players Protesting Police http:// fb.me/8MSOoAlMQ;;;;9,22959E+17;https://twitter.com/robbins_designs/status/922958557498236928
dianasmystic;24/10/2017 20:37;0;0;4 Black Players Just Gave The NFL a Sick Ultimatum Of What They Want To Force White Fans To Do For A Month http:// fb.me/G0Bmfv6t;;;;9,22955E+17;https://twitter.com/dianasmystic/status/922955273706332160
ShabangShabazz;24/10/2017 20:31;0;0;@hammerandnigel Last thing we need is a black NFL player getting harassed by the cops while not drunk or on drugs arrested for drugs;;@hammerandnigel;;9,22954E+17;https://twitter.com/ShabangShabazz/status/922953688502677505
twitthiz123;24/10/2017 20:26;0;0;Lording over NFL players for acting on the 1st amendment. Lording over a Grieving Black Military wife and a Black Congresswoman who calls;;;;9,22952E+17;https://twitter.com/twitthiz123/status/922952443188654080
vincedorsett1;24/10/2017 20:22;0;0;Indiana AG Proclaims NFL Players Should Be Protesting Black -on- Black Crime Instead of Anthem https:// staceydash.americanewshub.com/indiana-ag-pro claims-nfl-players-protesting-black-black-crime/ …;;;;9,22952E+17;https://twitter.com/vincedorsett1/status/922951543162224641
IcePlayer10;24/10/2017 20:15;0;0;Ironic that over 46% will speak on a national anthem protest by black NFL players but only 3% will speak out over Trumps horrible behavior.;;;;9,2295E+17;https://twitter.com/IcePlayer10/status/922949619029630976
ROYALMRBADNEWS;24/10/2017 20:09;0;0;NFL Protests: 4 Black Players Just Made SICK Ultimatum To NFL White Fans https://www. youtube.com/watch?v=b611Pb mn3yI …;;;;9,22948E+17;https://twitter.com/ROYALMRBADNEWS/status/922948126691987457
sarcino_josh;24/10/2017 20:06;0;0;Race baiting again I see. Why aren't black players leaving then?;;;;9,22947E+17;https://twitter.com/sarcino_josh/status/922947372996587526
Acguiredtaste;24/10/2017 19:21;0;0;NFL Players want criminal justice reform? Bail reform? How about black cultural reform? Education importance, less criminality, more ethics;;;;9,22936E+17;https://twitter.com/Acguiredtaste/status/922936196602347520
TWEsq;24/10/2017 18:59;0;1;Since the NFL is allowing team celebrations, here’s a protest: have a white player pretend to cuff and shoot the black player who scored.;;;;9,22931E+17;https://twitter.com/TWEsq/status/922930597403807744
ArmySniper64;24/10/2017 18:59;0;0;4 Black Players Just Made SICK Ultimatum To NFL Of What They Want To Force White Fans To Do For A Month https:// conservativeflag.com/4-black-player s-just-made-sick-ultimatum-nfl-want-force-white-fans-month/ …;;;;9,2293E+17;https://twitter.com/ArmySniper64/status/922930489312403460
Chuckster520;24/10/2017 18:49;0;1;We could go back to the days when black players weren’t allowed to play if that makes you feel any better. NFL NBA MLB.;;;;9,22928E+17;https://twitter.com/Chuckster520/status/922928057291329536
Scout523;24/10/2017 18:47;0;1;"NFL was created for white entertainment"" yet more than half the players and coaches are black https:// twitter.com/ShaunKing/stat us/922925936017793025 …""";;;;9,22928E+17;https://twitter.com/Scout523/status/922927618873323520
zarathustra420;24/10/2017 18:46;0;0;89 black men murdered since NFL players started to pretend to care. Why is everyone including u Joy Taylor completely silent?? 89. 89 and not one god damn word from anyone. Message from NFL , we don't fucking care about black men being killed like its a war zone.;;;;9,22927E+17;https://twitter.com/zarathustra420/status/922927379764469760
