username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
J_Fahringer;20/10/2017 20:34;0;2;Lineup Brown just threw out there has no real shooters if Fultz doesn’ t shoot. That lineup won’ t work while Fultz is hesitant to shoot.;;;;9,2152E+17;https://twitter.com/J_Fahringer/status/921520076276330499
SI_NHL;20/10/2017 20:16;0;5;Lightning winger J . T . Brown is shifting his focus from protesting during the anthem to community outreach http:// on.si.com/2xbV00u;;;;9,21515E+17;https://twitter.com/SI_NHL/status/921515371445792770
cybrarian75x;20/10/2017 19:53;0;0;Lightning's J . T . Brown to stop protesting during anthem - NY Daily News https://www. google.com/amp/www.nydail ynews.com/amp/sports/hockey/lightning-t-brown-stop-protesting-anthem-article-1.3574062 …;;;;9,2151E+17;https://twitter.com/cybrarian75x/status/921509667599257600
elvisways;20/10/2017 18:36;0;0;#Celtics weren' t winning the title with Gordon Hayward anyway, have good faith that J . Brown /Tatum turns into an All-Star.;;;#Celtics;9,2149E+17;https://twitter.com/elvisways/status/921490235246116864
dnpolister;20/10/2017 18:13;0;0;J . T . Brown of the Tampa Bay Lightning, one of 30 black members of the National Hockey League, announced that he... http:// fb.me/1lkO7314l;;;;9,21485E+17;https://twitter.com/dnpolister/status/921484610957168642
zesty_lightning;20/10/2017 16:47;0;0;Lightning journal: Derrick Brooks helps J . T . Brown make a difference http://www. tampabay.com/sports/hockey/ lightning/lightning-journal-derrick-brooks-helps-jt-brown-make-a-difference/2341736 … pic.twitter.com/WzMlzDfAml;;;;9,21463E+17;https://twitter.com/zesty_lightning/status/921462888312852480
Shaad_J;20/10/2017 14:43;0;0;I can say no to coffee But I wouldn’ t be upset if hash browns disappeared;;;;9,21432E+17;https://twitter.com/Shaad_J/status/921431767277588480
SororCato;20/10/2017 12:27;0;0;Lightning forward J . T . Brown won' t raise fist during anthem again https:// usat.ly/2yxqHTs via @usatoday;;@usatoday;;9,21398E+17;https://twitter.com/SororCato/status/921397537344512002
Erick_J_Brown;20/10/2017 12:18;0;1;Kevin is smart & a good writer but he'd be a better writer if he wasn' t a jerk & talked to smart wonderful people like Elizabeth. Just sayin https:// twitter.com/ebruenig/statu s/921391627192750081 …;;;;9,21395E+17;https://twitter.com/Erick_J_Brown/status/921395150181584896
BlaqueBeautii89;20/10/2017 12:04;1;1;I applaud J . T . Brown for being true to himself! I pray you find a much suitable team to stand with u and not judge u @TBLightning;;@TBLightning;;9,21392E+17;https://twitter.com/BlaqueBeautii89/status/921391653507751936
Kev86_;20/10/2017 11:44;14;46;J . T . Brown B/W header! Any Likes or RTs are appreciated. pic.twitter.com/qNTN1DbQhv;;;;9,21387E+17;https://twitter.com/Kev86_/status/921386629255909376
BlackHillsKen;20/10/2017 10:42;0;0;Lightning journal: Derrick Brooks helps J . T . Brown make a difference | Tampa Bay Times: http:// fw.to/2lJoL0I;;;;9,21371E+17;https://twitter.com/BlackHillsKen/status/921371163053428737
J_Fxckin_Brown;20/10/2017 10:36;0;0;It may seem as if people aren’ t considering your boundaries to... More for Taurus http:// bit.ly/wMRKBc;;;;9,21369E+17;https://twitter.com/J_Fxckin_Brown/status/921369484949983233
TBTimes_Sports;20/10/2017 10:25;0;0;J . T . Brown said he got a lot of support from the #TBLightning , even if some would have preferred he not protest. http://www. tampabay.com/sports/hockey/ lightning/lightning-journal-derrick-brooks-helps-jt-brown-make-a-difference/2341736 …;;;#TBLightning;9,21367E+17;https://twitter.com/TBTimes_Sports/status/921366643590262784
DizzyJ03;20/10/2017 10:01;0;0;J ain’ t getting a damn thing;;;;9,21361E+17;https://twitter.com/DizzyJ03/status/921360800727683073
