username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
peykenz;11/10/2017 20:59;0;0;Thank you for putting this out there!! Love it!!';;;;9,18265E+17;https://twitter.com/peykenz/status/918264950023426048
scootie_little;11/10/2017 20:59;0;0;U right!;;;;9,18265E+17;https://twitter.com/scootie_little/status/918264940502441984
Jaketgreen44;11/10/2017 20:59;0;0;Nice skinny jeans;;;;9,18265E+17;https://twitter.com/Jaketgreen44/status/918264930582667264
drayegon22;11/10/2017 20:59;0;0;"Eminem Blasts Donald Trump; LeBron James, Colin Kaepernick Approve http:// nesn.com/?p=779726 via @NESN Please note L James dont take a knee.$$";;@NESN;;9,18265E+17;https://twitter.com/drayegon22/status/918264928242253824
ambermercer09;11/10/2017 20:59;0;0;u don't get it and thats fine;;;;9,18265E+17;https://twitter.com/ambermercer09/status/918264908260827141
TerriWh109;11/10/2017 20:59;0;0;Eminem probably has more of a following than Trump and more loyal.;;;;9,18265E+17;https://twitter.com/TerriWh109/status/918264907551920128
shags78us;11/10/2017 20:59;0;0;@Kaepernick7 As a well wisher, I request you to switch your mode of protest, stand up for the anthem but wear a white mask only to show your protest...at least it will bring unity, I think you want that;;@Kaepernick7;;9,18265E+17;https://twitter.com/shags78us/status/918264898139779072
aquablueeyes12;11/10/2017 20:59;0;2;We all do.;;;;9,18265E+17;https://twitter.com/aquablueeyes12/status/918264879538233344
GreatUsername19;11/10/2017 20:59;0;1;Corgis are better than Pepe @mrs_skorzeny;;@mrs_skorzeny;;9,18265E+17;https://twitter.com/GreatUsername19/status/918264866686857216
zach_duren22;11/10/2017 20:59;0;0;Unemployment is s'cool;;;;9,18265E+17;https://twitter.com/zach_duren22/status/918264833006604288
wandaransom;11/10/2017 20:59;0;0;Yes, well said, plain and simple;;;;9,18265E+17;https://twitter.com/wandaransom/status/918264796671180800
RealGamer27;11/10/2017 20:59;1;2;Fuck that Racist piece of shit Trump.;;;;9,18265E+17;https://twitter.com/RealGamer27/status/918264794200924160
RichardNava1;11/10/2017 20:59;0;0;Trump trying to come up with a Body Cam Bill for Law enforcement in America funded Federally pic.twitter.com/raClGgow5O;;;;9,18265E+17;https://twitter.com/RichardNava1/status/918264792795594752
TalkCenterTV;11/10/2017 20:59;0;0;"Well, Eminem said some things last night and mentioned Colin Kaepernick in his Ode to The Donald."" Robin will... http:// fb.me/7Z4hKw3Gq""";;;;9,18265E+17;https://twitter.com/TalkCenterTV/status/918264773636182016
EARTHZ_DIAMONDZ;11/10/2017 20:59;0;0;I liked a @YouTube video http:// youtu.be/Z_ebVUKcu7Y?a Professor Griff- Colin Kaepernick 's Protest Has Officially Been Whitewashed;;@YouTube;;9,18265E+17;https://twitter.com/EARTHZ_DIAMONDZ/status/918264768393293824
candyboot;11/10/2017 20:59;0;0;How about he took out the single worst terrorist our country has ever known;;;;9,18265E+17;https://twitter.com/candyboot/status/918264755646853121
scootie_little;11/10/2017 20:59;0;0;U think they know what that is? If not they r lookin it up now!;;;;9,18265E+17;https://twitter.com/scootie_little/status/918264743797936130
CurtisCal;11/10/2017 20:59;0;0;And Kaep said he'd stand if someone gave him a job. C'mon, how much money would you be willing to lose to make a political statement?;;;;9,18265E+17;https://twitter.com/CurtisCal/status/918264740127711232
MizzEugene;11/10/2017 20:59;0;0;Speak your mind and speak the truth;;;;9,18265E+17;https://twitter.com/MizzEugene/status/918264708528070656
Joooked;11/10/2017 20:59;0;0;Colin kaepernick talked about being oppressed multiple times;;;;9,18265E+17;https://twitter.com/Joooked/status/918264704929292288
lwsjff;11/10/2017 20:59;0;0;. @Kaepernick7 ’s stream is a good one to follow if you’re trying to claim yourself as an ally #ImWithKap #TakeAKnee #BlackLivesMatter pic.twitter.com/aAKKfg0Ptg;;@Kaepernick7;#ImWithKap #TakeAKnee #BlackLivesMatter;9,18265E+17;https://twitter.com/lwsjff/status/918264703868170241
FilipSierpinski;11/10/2017 20:59;0;1;We live in a time where each voice deserves to be heard. Props to @Eminem and @Kaepernick7 for taking a stand #oneworld #united https:// twitter.com/Kaepernick7/st atus/917955545197314048 …;;@Eminem @Kaepernick7;#oneworld #united;9,18265E+17;https://twitter.com/FilipSierpinski/status/918264702974775296
PATexas87;11/10/2017 20:58;0;0;Go sit down somewhere!;;;;9,18265E+17;https://twitter.com/PATexas87/status/918264665607671808
hangen_claude;11/10/2017 20:58;0;0;Trump: NFL should have suspended Colin Kaepernick for kneeling http://www. foxnews.com/politics/2017/ 10/11/trump-nfl-should-have-suspended-colin-kaepernick-for-kneeling.html … via the @FoxNews Android app;;@FoxNews;;9,18265E+17;https://twitter.com/hangen_claude/status/918264655641968643
leannmartineau;11/10/2017 20:58;0;0;Awe just sit on your sofa on sundays and watch OLD rap videos. Both are losers and childish.;;;;9,18265E+17;https://twitter.com/leannmartineau/status/918264654207639552
TheR3alJp77;11/10/2017 20:58;0;0;"All y'all blastin Trump would slob on his knob like some govt cheese if he gave out free shit. Cuz you oppressed ppl you some free shit.""";;;;9,18265E+17;https://twitter.com/TheR3alJp77/status/918264644539596800
m_childers65;11/10/2017 20:58;0;0;Bump Eminem what a punk;;;;9,18265E+17;https://twitter.com/m_childers65/status/918264631663132672
moe_roddy;11/10/2017 20:58;0;0;@Kaepernick7 you are a brave man Colin, plenty of us out here respect what you are doing and understand why. You have my support!;;@Kaepernick7;;9,18265E+17;https://twitter.com/moe_roddy/status/918264624788545536
Ironman_Ryan;11/10/2017 20:58;0;0;But y'all voted him in...... So confused lmao;;;;9,18265E+17;https://twitter.com/Ironman_Ryan/status/918264605469687808
AprilQueen75;11/10/2017 20:58;0;0;#AmericanHeroes ! Thank you!;;;#AmericanHeroes;9,18265E+17;https://twitter.com/AprilQueen75/status/918264573119029248
angeemathurin;11/10/2017 20:58;1;0;Dear Sir, I appreciate you. You are one the few Black Patriots. To kap, with Love;;;;9,18265E+17;https://twitter.com/angeemathurin/status/918264567985262593
RogueSassenach;11/10/2017 20:58;0;0;I hope you vote in the upcoming 2018 elections and encourage others to do so as well.;;;;9,18265E+17;https://twitter.com/RogueSassenach/status/918264557985964032
scootie_little;11/10/2017 20:58;0;0;I can hear ur adrenaline & see raw emotions #passion #compassion #UseYourPlatformToChangeTheWorld #courage;;;#passion #compassion #UseYourPlatformToChangeTheWorld #courage;9,18265E+17;https://twitter.com/scootie_little/status/918264547437436929
karyn_jetter;11/10/2017 20:58;0;0;Another uses his platform! Keep fighting for all!;;;;9,18265E+17;https://twitter.com/karyn_jetter/status/918264544836898816
Tumeketron;11/10/2017 20:58;0;0;Silent protest about human rights is hardly disgraceful. Just a free man being brave in the 'land of the free and home of the brave'.;;;;9,18265E+17;https://twitter.com/Tumeketron/status/918264543360434176
sgtpepper402;11/10/2017 20:58;0;0;Lol no ur not.;;;;9,18265E+17;https://twitter.com/sgtpepper402/status/918264520455450624
AnthonyRojas612;11/10/2017 20:58;0;0;Me too.;;;;9,18265E+17;https://twitter.com/AnthonyRojas612/status/918264509214507008
Anti_MSM_News;11/10/2017 20:58;0;0;Trump: NFL should have suspended Colin Kaepernick for kneeling http:// dlvr.it/PtylC4 pic.twitter.com/dQCUKuuKmm;;;;9,18264E+17;https://twitter.com/Anti_MSM_News/status/918264480525516805
MontanaTrav;11/10/2017 20:58;0;0;"Bitch About Trump To Stay Relevant"" is the new ""Play a Retarded Person In A Movie For An Easy Award."" Glorified Participation Trophy.""";;;;9,18264E+17;https://twitter.com/MontanaTrav/status/918264478579425280
JimRd1973;11/10/2017 20:58;0;0;Childish;;;;9,18264E+17;https://twitter.com/JimRd1973/status/918264476511518720
raindare_;11/10/2017 20:57;0;0;thank you galaxy pepe avatar person for your contribution. also no one *wants* to be protesting;;;;9,18264E+17;https://twitter.com/raindare_/status/918264440469913600
misslexxmarie;11/10/2017 20:57;0;1;Dear trump, try to understand I don’t want you as a fan pic.twitter.com/78dYyUNNer;;;;9,18264E+17;https://twitter.com/misslexxmarie/status/918264379254149120
belias8;11/10/2017 20:57;0;0;Rev. Jesse Jackson: Colin Kaepernick is a “Martyr” & Deserves the Right to Play Football https://www. democracynow.org/2017/10/11/rev _jesse_jackson_colin_kaepernick_is … via @democracynow;;@democracynow;;9,18264E+17;https://twitter.com/belias8/status/918264359263940608
PeterTurano;11/10/2017 20:57;0;4;Guys....nobody wants him on their team. No one wants to sign him.;;;;9,18264E+17;https://twitter.com/PeterTurano/status/918264342117838849
Shudupdog2;11/10/2017 20:57;0;0;Love it!!! Taking a knee with you Colin.;;;;9,18264E+17;https://twitter.com/Shudupdog2/status/918264341576724480
3Dworshipchurch;11/10/2017 20:57;0;0;Thank you!;;;;9,18264E+17;https://twitter.com/3Dworshipchurch/status/918264315303596032
Ricky__Wiebe94;11/10/2017 20:57;0;0;Y is he mocking the Texans that’s not cool man;;;;9,18264E+17;https://twitter.com/Ricky__Wiebe94/status/918264297205182464
shaunwilson34;11/10/2017 20:57;0;0;BBC Sport - Colin Kaepernick : From one man kneeling to a movement dividing a country http://www. bbc.com/sport/american -football/41530732 …;;;;9,18264E+17;https://twitter.com/shaunwilson34/status/918264296630403073
cfontenot2;11/10/2017 20:57;0;0;Both washed up;;;;9,18264E+17;https://twitter.com/cfontenot2/status/918264273369010177
t_post7;11/10/2017 20:57;0;0;Rev. Jesse Jackson: Colin Kaepernick is a “Martyr” & Deserves the Right to Play Football https://www. democracynow.org/2017/10/11/rev _jesse_jackson_colin_kaepernick_is … via @democracynow;;@democracynow;;9,18264E+17;https://twitter.com/t_post7/status/918264263751352320
Big_PHO;11/10/2017 20:57;0;1;They say we need to move forward from the kneeling that @Kaepernick7 started. Well he has it’s called @yourrightscamp do some research!;;@Kaepernick7 @yourrightscamp;;9,18264E+17;https://twitter.com/Big_PHO/status/918264214141014017
donaldtrumptru;11/10/2017 20:56;0;0;Trump: NFL should have suspended Colin Kaepernick for kneeling http:// bit.ly/2xzYvNK pic.twitter.com/4mNXLliSt8;;;;9,18264E+17;https://twitter.com/donaldtrumptru/status/918264171321483264
zhiraldo;11/10/2017 20:56;0;0;You and the WORLD appreciates him! Fan since 1998 pic.twitter.com/5cQy61JQKT;;;;9,18264E+17;https://twitter.com/zhiraldo/status/918264146969407488
TherealDex1;11/10/2017 20:56;0;1;Ur right. Just don't even put Trump in the same sentence as Obama. Obama led us towards greatness. Trump is leading us to great MESS!;;;;9,18264E+17;https://twitter.com/TherealDex1/status/918264146763878400
DSTucker82;11/10/2017 20:56;0;2;His #1 rcv was cut from the Det Lions because he couldn't earn the 4th rcv on the Lions. Think long and hard about that while you're talking;;;#1;9,18264E+17;https://twitter.com/DSTucker82/status/918264109099044864
Bahbuto;11/10/2017 20:56;0;0;Hi I'm a member of #TheResistance who is still mad at Colin Kaepernick for not voting!;;;#TheResistance;9,18264E+17;https://twitter.com/Bahbuto/status/918264076580605954
vingaetano;11/10/2017 20:56;0;0;"You can't spell crap"" without ""rap"". pic.twitter.com/lR8wmsqsq6""";;;;9,18264E+17;https://twitter.com/vingaetano/status/918264071048359937
donna_cray;11/10/2017 20:56;0;0;And YOU!!;;;;9,18264E+17;https://twitter.com/donna_cray/status/918264066367545344
MikeyFederali;11/10/2017 20:56;0;0;All lives matter.;;;;9,18264E+17;https://twitter.com/MikeyFederali/status/918264037187735558
TyyPeters;11/10/2017 20:56;0;0;He's asking to play again ppl don't turn in 30 mil god he's getting a lot of clout and he's bout to lose it real quick;;;;9,18264E+17;https://twitter.com/TyyPeters/status/918263972129845248
JohnG405;11/10/2017 20:56;0;0;Trump: NFL should have suspended Colin Kaepernick - Washington Times http://www. washingtontimes.com/news/2017/oct/ 11/trump-nfl-should-have-suspended-colin-kaepernick/ …;;;;9,18264E+17;https://twitter.com/JohnG405/status/918263965376905217
