username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
TheNotoriousMMA;23/08/2017 15:38;41457;96415;Dublin, Ireland STAND UP! This one is for you! Dedicated. @BeatsByDre #AboveTheNoise pic.twitter.com/oXjgfO0Ig4;;@BeatsByDre;#AboveTheNoise;9,00427E+17;https://twitter.com/TheNotoriousMMA/status/900426941542481920;
bchapsports;23/08/2017 20:59;0;0;Mayweather vs. McGregor fight is on Saturday. 50 million Americans are expected to watch! Will you be one of them? #BChapSportsPoll;;;#BChapSportsPoll;9,00508E+17;https://twitter.com/bchapsports/status/900507941710770176;
51190Migue;23/08/2017 20:59;0;0;Alguien sabe a qué hora es el sábado la pelea de Floyd y McGregor;;;;9,00508E+17;https://twitter.com/51190Migue/status/900507935767502851;
LaVendrickS;23/08/2017 20:28;6;9;Conor McGregor after he's done finessing everyone on Saturday pic.twitter.com/l3z8MsQGyt;;;;9,005E+17;https://twitter.com/LaVendrickS/status/900500060441628672;
BruhReport;23/08/2017 18:35;17766;30647;Mayweather: imma put 5 million on myself to beat McGregor IRS: pic.twitter.com/6ZJMBB7uKD;;;;9,00472E+17;https://twitter.com/BruhReport/status/900471553820721152;
ogbobejonson;23/08/2017 20:59;0;0;So, @TheNotoriousMMA is the only thing the @ufc has really got going right now. S/O to all those champs they don't promote.;;@TheNotoriousMMA @ufc;;9,00508E+17;https://twitter.com/ogbobejonson/status/900507926992781312;
StrengthINumber;22/08/2017 17:19;5;4;Barry Gibson shot dead for exposing Mayweather- McGregor scam? I too, believe it to be fixed! Money over Marciano record! Bet McGregor BIG! https:// twitter.com/depoprucol/sta tus/900085471031812097 …;;;;9,0009E+17;https://twitter.com/StrengthINumber/status/900090106182336512;
christyra1;23/08/2017 18:31;1;6;I absolutely can't wait to see my favorite fighter shock the world on Saturday! #TheNotorious @TheNotoriousMMA pic.twitter.com/Yyt7OZGtBz;;@TheNotoriousMMA;#TheNotorious;9,00471E+17;https://twitter.com/christyra1/status/900470506855563266;
Ronniegee26;23/08/2017 20:59;0;0;bruh stop hanging out with joe d for real mcgregor is not getting knocked out;;;;9,00508E+17;https://twitter.com/Ronniegee26/status/900507920705757186;
alex_r00;23/08/2017 20:59;0;0;Thanks for the exclusive clip, @DIRECTV . I'm standing with @TheNotoriousMMA . #McGregorFTW https:// cards.twitter.com/cards/18ce54fk zys/4obvt …;;@DIRECTV @TheNotoriousMMA;#McGregorFTW;9,00508E+17;https://twitter.com/alex_r00/status/900507915471142913;
CarlHunnell;23/08/2017 20:59;0;1;Agreed. @TheNotoriousMMA will get frustrated he can't hit @FloydMayweather . He will tire as he did in 1st Diaz fight. Stoppage.;;@TheNotoriousMMA @FloydMayweather;;9,00508E+17;https://twitter.com/CarlHunnell/status/900507911339868160;
SuperesportesMG;23/08/2017 20:59;0;3;Vencedor de Mayweather x McGregor ganhará cinturão com pedras preciosas http://www. mg.superesportes.com.br/app/noticias/m ma/mma-noticias/2017/08/23/noticia_mma,424038/vencedor-de-mayweather-x-mcgregor-ganhara-cinturao-simbolico.shtml … pic.twitter.com/JKs9ZtDYTx;;;;9,00508E+17;https://twitter.com/SuperesportesMG/status/900507908902973440;
TheNotoriousMMA;23/08/2017 15:38;41457;96415;Dublin, Ireland STAND UP! This one is for you! Dedicated. @BeatsByDre #AboveTheNoise pic.twitter.com/oXjgfO0Ig4;;@BeatsByDre;#AboveTheNoise;9,00427E+17;https://twitter.com/TheNotoriousMMA/status/900426941542481920;
VFXSev;23/08/2017 20:59;0;1;McGregor wins;;;;9,00508E+17;https://twitter.com/VFXSev/status/900507903316152325;
ltholmes;23/08/2017 20:59;0;0;MarketWatch: These bets might be more exciting than the Mayweather vs. McGregor fight http:// on.mktw.net/2iqh9oY;;;;9,00508E+17;https://twitter.com/ltholmes/status/900507902288515072;
xRyanReid;23/08/2017 20:59;0;0;McGregor in 4 by KO;;;;9,00508E+17;https://twitter.com/xRyanReid/status/900507893996417024;
ai_phannn;23/08/2017 20:59;0;1;McGregor bout to drop Mayweather!;;;;9,00508E+17;https://twitter.com/ai_phannn/status/900507887386144769;
OlivasJudith;23/08/2017 20:59;0;1;Acaso soy la única que sabe que la pelea de Mc Gregor con Mayweather está comprada y todo es publicidad? Alguien dígale a bae?;;;;9,00508E+17;https://twitter.com/OlivasJudith/status/900507884458561542;
kyle_kbt40;23/08/2017 20:59;0;0;Thanks for the clip @DIRECTV . McGregor doesn't stand a chance. #MayweatherFTW https:// cards.twitter.com/cards/18ce54fk zys/4obvt …;;@DIRECTV;#MayweatherFTW;9,00508E+17;https://twitter.com/kyle_kbt40/status/900507879513485313;
Garettrayy;23/08/2017 20:59;0;1;Thats sick af bro. We on the same page.;;;;9,00508E+17;https://twitter.com/Garettrayy/status/900507879249256448;
HazarGolundeyim;23/08/2017 20:59;0;0;O zaman h a y ı r l ı o l s u n a ğ a b e y;;;;9,00508E+17;https://twitter.com/HazarGolundeyim/status/900507870420246528;
EveningInStereo;23/08/2017 20:59;1;0;Mayweather vs McGregor is the most headass event of the century.;;;;9,00508E+17;https://twitter.com/EveningInStereo/status/900507863868612608;
k_stagg;23/08/2017 20:59;0;7;Still considering flying to Vegas to watch Mcgregor .. just need to find 15k;;;;9,00508E+17;https://twitter.com/k_stagg/status/900507863289921538;
thallysalvim;23/08/2017 20:59;0;0;O óbvio, @TheNotoriousMMA;;@TheNotoriousMMA;;9,00508E+17;https://twitter.com/thallysalvim/status/900507862098747396;
jayyy_jermaine;23/08/2017 20:59;0;8;McGregor is drunk Jaylen who thinks he's tough and can fight anyone https:// twitter.com/sportscenter/s tatus/900465125504798721 …;;;;9,00508E+17;https://twitter.com/jayyy_jermaine/status/900507860219699200;
MikeyBromley94;23/08/2017 20:59;0;0;I've actually lost interest in the Mayweather McGregor fight now;;;;9,00508E+17;https://twitter.com/MikeyBromley94/status/900507859078852612;
_LostNSauce;23/08/2017 20:59;0;0;Thanks for the clip. McGregor bitch ass doesn't stand a chance. #MayweatherFTW https:// cards.twitter.com/cards/18ce54fk zys/4obvt …;;;#MayweatherFTW;9,00508E+17;https://twitter.com/_LostNSauce/status/900507857333911553;
adamkrepinss;23/08/2017 20:59;0;0;Uz se nemuzu dockat soboty. A udivuje me, kolik lidi opravdu veri tomu, ze McGregor ma sanci. #MayweatherMcGregor #Mayweather;;;#MayweatherMcGregor #Mayweather;9,00508E+17;https://twitter.com/adamkrepinss/status/900507854049771520;
Falcon1k;23/08/2017 20:59;0;0;Thanks for the clip @DIRECTV . McGregor doesn't stand a chance. #MayweatherFTW https:// cards.twitter.com/cards/18ce54fk zys/4obvt …;;@DIRECTV;#MayweatherFTW;9,00508E+17;https://twitter.com/Falcon1k/status/900507852175007744;
InverMas;23/08/2017 20:59;0;0;Mayweather y McGregor guardan energía para la pelea del sábado - http:// ift.tt/2xeaSQT;;;;9,00508E+17;https://twitter.com/InverMas/status/900507849855520768;
HeySamWarden;23/08/2017 20:59;0;0;"Bit one sided tbh. No mention of reach and size and you even go so far as to say Mayweather is fresher"" at 40""";;;;9,00508E+17;https://twitter.com/HeySamWarden/status/900507836467236864;
_Tishaun;23/08/2017 20:59;0;1;Mayweather/ McGregor this Saturday. Got my popcorn ready;;;;9,00508E+17;https://twitter.com/_Tishaun/status/900507835922075648;
ido4me_period;23/08/2017 20:59;0;1;@rachelnmarcus I'm betting $20 on @TheNotoriousMMA to KO The Undisputed Woman Beater of the World!;;@rachelnmarcus @TheNotoriousMMA;;9,00508E+17;https://twitter.com/ido4me_period/status/900507823020400641;
DropDeadDavid;23/08/2017 20:59;0;0;This new Beats promo with @TheNotoriousMMA gave me chills https:// m.youtube.com/watch?v=nRKeam yoTsQ …;;@TheNotoriousMMA;;9,00508E+17;https://twitter.com/DropDeadDavid/status/900507817014169608;
likewatermma;23/08/2017 20:59;5;10;Deciding which to focus on: Mayweather vs McGregor or the Jon Jones situation? #mma #jonbonesjones #MayweathervMcGregor pic.twitter.com/gSL3HineWe;;;#mma #jonbonesjones #MayweathervMcGregor;9,00508E+17;https://twitter.com/likewatermma/status/900507812576452608;
Lawlig;23/08/2017 20:59;0;0;Thanks for the clip @DIRECTV . McGregor doesn't stand a chance. #MayweatherFTW https:// cards.twitter.com/cards/18ce54fk zys/4obvt …;;@DIRECTV;#MayweatherFTW;9,00508E+17;https://twitter.com/Lawlig/status/900507811557199872;
