username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
amloabc;02/10/2017 20:59;0;1;Hehehehehehe love the expression;;;;9,15003E+17;https://twitter.com/amloabc/status/915003286478032896;
HotChkNewsTweet;02/10/2017 20:58;0;0;Rams rookie Tanzel Smart made first start in victory over Dallas Cowboys (LA Times) http:// ift.tt/2yTW3Dy;;;;9,15003E+17;https://twitter.com/HotChkNewsTweet/status/915003127891419141;
sportmetweets;02/10/2017 20:58;0;0;Rams rookie Tanzel Smart made first start in victory over Dallas Cowboys http:// ift.tt/2xPibis http://www. dcd-ag.ch;;;;9,15003E+17;https://twitter.com/sportmetweets/status/915003067787079680;
WilliamMungall;02/10/2017 20:57;0;0;Rams rookie Tanzel Smart made first start in victory over Dallas Cowboys http:// ift.tt/2yTW3Dy;;;;9,15003E+17;https://twitter.com/WilliamMungall/status/915002779046998016;
FortheKing12;02/10/2017 20:56;1;0;#NFL Star Shares How God Broke Down His Walls, Gave Him Purpose https:// buff.ly/2y8A0bn #Cowboys #Dallas Go to: http:// ProvisionfortheVision.org pic.twitter.com/zWJ2HL7Bwz;;;#NFL #Cowboys #Dallas;9,15003E+17;https://twitter.com/FortheKing12/status/915002609609691136;
latimesfirehose;02/10/2017 20:56;1;0;Rams rookie Tanzel Smart made first start in victory over Dallas Cowboys http:// lat.ms/2xNGGyZ;;;;9,15003E+17;https://twitter.com/latimesfirehose/status/915002500045987840;
MMarks1355;02/10/2017 20:54;0;0;Spoken like a true girly man STAND UP be a MAN BALL OUT forget about this snowflake BS grow a PAIR and REPRESENT play like you get paid;;;;9,15002E+17;https://twitter.com/MMarks1355/status/915002122160111616;
DavidTIvy1;02/10/2017 20:54;0;0;Shut up & have a seat....TTM #talktomuch;;;#talktomuch;9,15002E+17;https://twitter.com/DavidTIvy1/status/915002007211175936;
cowboysfansmeet;02/10/2017 20:52;0;0;#Cowboys What is wrong with the Dallas Cowboys this year? - http:// FOXSports.com - https:// cowboysfansmeet.com/feed-items/wha t-is-wrong-with-the-dallas-cowboys-this-year-foxsports-com/ …;;;#Cowboys;9,15001E+17;https://twitter.com/cowboysfansmeet/status/915001479374577665;
BuzzzTeller;02/10/2017 20:51;0;0;Rams rookie Tanzel Smart made first start in victory over Dallas Cowboys CLICK BELOW FOR FULL STORY... http:// buzzteller.com/rams-rookie-ta nzel-smart-made-first-start-in-victory-over-dallas-cowboys/ …;;;;9,15001E+17;https://twitter.com/BuzzzTeller/status/915001288798101504;
