username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
Robert_Blair;30/09/2017 20:59;0;0;Trump supporters share fake photo of NFL player burning the flag http://www. huffingtonpost.com/entry/trump-fa ke-photo-burning-flag-seattle-seahawks_us_59cf558fe4b05f005d346cd2?ncid=engmodushpmg00000004 … via @HuffPost;;@HuffPost;;9,14279E+17;https://twitter.com/Robert_Blair/status/914278651121696769;
iamD4VID;30/09/2017 20:59;0;0;US Citizens are drying and trump is tweeting about the NFL . https:// twitter.com/realdonaldtrum p/status/914255264282480640 …;;;;9,14279E+17;https://twitter.com/iamD4VID/status/914278628703326209;
silbaugh_carol;30/09/2017 20:59;0;0;What you tweeted earlier Trump about the Mayor was a disgrace you are lazy all you were interested in was trying to have controversy NFL;;;;9,14279E+17;https://twitter.com/silbaugh_carol/status/914278592728715264;
ajoneida;30/09/2017 20:59;0;0;Pres Trump racism against ppl of color continues from when him and his dad were find for housing discrimination and Failure at NFL League pic.twitter.com/W3CVYe252M;;;;9,14279E+17;https://twitter.com/ajoneida/status/914278550445883393;
Froggo54;30/09/2017 20:59;0;0;So when white people bring Nazi and Confederate flags, Trump says there are good people with thembut when Black NFL players peacefully->;;;;9,14279E+17;https://twitter.com/Froggo54/status/914278513267572736;
Twizzlersraw1;30/09/2017 20:59;0;0;"Trump HATE; and the Central Park Five: the #racially charged rise of a demagogue@NFL @XXL @NBA @CNN https://www. theguardian.com/us-news/2016/f eb/17/central-park-five-donald-trump-jogger-rape-case-new-york?CMP=share_btn_tw …";;@NFL @XXL @NBA @CNN;#racially;9,14278E+17;https://twitter.com/Twizzlersraw1/status/914278438248210432;
USATODAY;30/09/2017 20:58;24;110;Donald Trump tweets it's 'very important' NFL players stand for anthem https:// usat.ly/2xRBNVi;;;;9,14278E+17;https://twitter.com/USATODAY/status/914278416609837056;
spicy763;30/09/2017 20:58;0;0;Four Star General, 39-year Vet smacks the hell out of Trump and his divisive NFL rhetoric - Impeach Donald J... http:// fb.me/2f7Mh2lXY;;;;9,14278E+17;https://twitter.com/spicy763/status/914278377925816320;
nflfeeds_;30/09/2017 20:58;0;0;President Donald Trump tweets its very important NFL players stand for anthem #nfl @usatoday_ nfl : President Donald… http:// dlvr.it/PrYnTT pic.twitter.com/jw1Wac26BM;;@usatoday_;#nfl;9,14278E+17;https://twitter.com/nflfeeds_/status/914278349597327360;
thebantaman;30/09/2017 20:58;0;0;I liked a @YouTube video http:// youtu.be/s6wdk4WTvsk?a REPORTER SAYS TRUMP ATTACKED NFL PLAYERS, SO SARAH SANDERS SHUT HER UP WITH FOUR;;@YouTube;;9,14278E+17;https://twitter.com/thebantaman/status/914278348150493188;
GTMGQ;30/09/2017 20:58;0;1;The NFL protest controversy. It was dying a natural death when Trump stirred it up.;;;;9,14278E+17;https://twitter.com/GTMGQ/status/914278325954134017;
Marknovakusa;30/09/2017 20:58;0;0;Can Trump just stop with NFL crap. No one believes he actually cares. He just likes pointless symbolism over substance.;;;;9,14278E+17;https://twitter.com/Marknovakusa/status/914278303539843077;
dcexaminer;30/09/2017 20:58;5;2;On game day, new polls show what Americans think about NFL protests, Trump http:// washex.am/2kcwJFI by @byronyork pic.twitter.com/PxFPh7H6kD;;@byronyork;;9,14278E+17;https://twitter.com/dcexaminer/status/914278275115094016;
DJBLHolla;30/09/2017 20:58;1;1;I see why Trump not going to PR until Tuesday. Bitch ass gotta watch all the NFL games to make sure players stand;;;;9,14278E+17;https://twitter.com/DJBLHolla/status/914278248338591744;
khalfani_El;30/09/2017 20:58;0;0;I liked a @YouTube video http:// youtu.be/bcMgV3ZvXGk?a The D Challenge, Cardi B, Donald Trump , NFL and More;;@YouTube;;9,14278E+17;https://twitter.com/khalfani_El/status/914278206550740992;
jai2ojai;30/09/2017 20:57;0;0;Full Interview: Michael Moore on His Broadway Show, Trump , Puerto Rico, NFL & Media Support for War http:// fb.me/8v2RJGulG;;;;9,14278E+17;https://twitter.com/jai2ojai/status/914278163571654656;
BobFinkelstein;30/09/2017 20:57;0;0;NFL teams will kneel BEFORE the anthem and STAND during the anthem (cowboys). Trump will claim victory. Watch! @realDonaldTrump;;@realDonaldTrump;;9,14278E+17;https://twitter.com/BobFinkelstein/status/914278116712906752;
TheRightScoop;30/09/2017 20:57;0;1;TRUMP TWEETS Alabama race, ‘Fake NEWS!’, Puerto Rico, and NFL !!! http:// wp.me/pqwpd-Lb5 pic.twitter.com/QWKWTn8wWq;;;;9,14278E+17;https://twitter.com/TheRightScoop/status/914278038279540736;
trscoop;30/09/2017 20:57;0;1;TRUMP TWEETS Alabama race, ‘Fake NEWS!’, Puerto Rico, and NFL !!! http:// wp.me/pqwpd-Lb5 pic.twitter.com/QaUqzybMQD;;;;9,14278E+17;https://twitter.com/trscoop/status/914278030046048256;
TheBFRoom;30/09/2017 20:57;0;0;"THE HILL:  Trump hits NFL players again while Puerto Rico recovers from Hurricane Maria http:// hill.cm/VNcNdWF pic.twitter.com/IqCpj0cQT9 """"";;;;9,14278E+17;https://twitter.com/TheBFRoom/status/914278025495236608;
citjotv;30/09/2017 20:57;0;0;CNN SMERCONISH 9/30/17 BREAKING NEWS TRUMP : BOB COSTAS ON NFL ANTHEM CONTROVERSY http://www. citjotv.com/2017/10/01/cnn -smerconish-93017-breaking-news-trump-bob-costas-on-nfl-anthem-controversy/ …;;;;9,14278E+17;https://twitter.com/citjotv/status/914278022869651456;
Mr205dan;30/09/2017 20:56;0;0;What Trump 's NFL , Curry remarks should signal to his base http:// news360.com/article/421369 196 …;;;;9,14278E+17;https://twitter.com/Mr205dan/status/914277850362019840;
blissfull74;30/09/2017 20:56;0;0;Trump having biggest twitter meltdown ever? 13 tweets on PR, one NFL bashing and one about Alabama after election. Dude has lost it;;;;9,14278E+17;https://twitter.com/blissfull74/status/914277773962756096;
LakersLover77;30/09/2017 20:56;0;1;Exactly!;;;;9,14278E+17;https://twitter.com/LakersLover77/status/914277767386079234;
will_buford;30/09/2017 20:56;1;11;Trump is president. Butch isn't fired The browns are no longer the worst team in the NFL Life just isn't right at the moment;;;;9,14278E+17;https://twitter.com/will_buford/status/914277757135310849;
LALewman;30/09/2017 20:56;0;1;People are dying in Puerto Rico and Trump 's biggest worry is whether or not NFL players protest racism tomorrow.;;;;9,14278E+17;https://twitter.com/LALewman/status/914277732611231744;
dubephnx;30/09/2017 20:55;0;0;Trump blocking @NFL @NFLPA Media, paying Fans from focusing on Puerto Rico, US Virgin Islands, Mexico, Florida, Texas Disasters! @MSNBC @CNN https:// twitter.com/realDonaldTrum p/status/914255264282480640 …;;@NFL @NFLPA @MSNBC @CNN;;9,14278E+17;https://twitter.com/dubephnx/status/914277659382734848;
Jeff_Caplan;30/09/2017 20:55;0;2;. @dallascowboys fans: #Trump vs #NFL : Winners, Losers & Haters. What #FakeNews won't tell u about serious issue: NEW http://www. star-telegram.com/news/local/art icle176379751.html …;;@dallascowboys;#Trump #NFL #FakeNews;9,14278E+17;https://twitter.com/Jeff_Caplan/status/914277588977283083;
KDHcharley;30/09/2017 20:55;0;0;#TakeAKnee Everyone. I know that the #NFL has rules to stand for the national anthem. I just want y'all to think about who #Trump is. https:// twitter.com/realDonaldTrum p/status/914255264282480640 …;;;#TakeAKnee #NFL #Trump;9,14277E+17;https://twitter.com/KDHcharley/status/914277496991899648;
rotepille;30/09/2017 20:55;0;0;NFL Getting Worried As Trump ’s Approval Rating Hits 45% And Football Fans Host Jersey Burning Parties http://www. dierotepille.com/index.php?id=1 4&url=672946 …;;;;9,14277E+17;https://twitter.com/rotepille/status/914277449512480769;
kimbafuzz;30/09/2017 20:54;4;8;It's scary. In 1 week, Trump will have silenced the first amendment rights of the protesting NFL players. And the issues will remain.;;;;9,14277E+17;https://twitter.com/kimbafuzz/status/914277349264326656;
Jeff_Caplan;30/09/2017 20:54;0;0;. @NFL fans: #Trump vs #NFL : The Winners, Losers & Haters. What #FakeNews won't tell u about a serious situatn: NEW: http://www. star-telegram.com/news/local/art icle176379751.html …;;@NFL;#Trump #NFL #FakeNews;9,14277E+17;https://twitter.com/Jeff_Caplan/status/914277241550462977;
PedroPepemundo;30/09/2017 20:54;0;0;Donald Trump Says It's 'Very Important' NFL Players Stand During National Anthem http:// festyy.com/q8SdhX #NFL #Breaking_News pic.twitter.com/JUeuEmIwKu;;;#NFL #Breaking_News;9,14277E+17;https://twitter.com/PedroPepemundo/status/914277206871859200;
IURadioNetwork;30/09/2017 20:54;1;0;Latest WaPo Info: Ahead of Sunday's NFL games, Trump renews his call for players to stand… http:// dlvr.it/PrYm98 via @IURadioNetwork pic.twitter.com/p17BrldWpV;;@IURadioNetwork;;9,14277E+17;https://twitter.com/IURadioNetwork/status/914277203382116352;
MercurialWench;30/09/2017 20:53;0;0;Who the hell does Donald Trump think he is to tell the NFL what to do lmaoooooooooooooooooooooooooooooooooooo;;;;9,14277E+17;https://twitter.com/MercurialWench/status/914277171853615105;
silbaugh_carol;30/09/2017 20:53;0;0;Too late Trump busy last weekend talking NFL not Puerto Rico;;;;9,14277E+17;https://twitter.com/silbaugh_carol/status/914277108066734085;
Magicscooter;30/09/2017 20:53;0;1;All over the place just like Trump . Trump 's recent Tweets jump from subject to subject. His mind is ricocheting!;;;;9,14277E+17;https://twitter.com/Magicscooter/status/914277041058566146;
suzmw03;30/09/2017 20:53;0;0;I Love you President Trump but I broke up with the NFL will not be watching anything they do. But will be watching NASCAR;;;;9,14277E+17;https://twitter.com/suzmw03/status/914277024541310976;
cgallegos3;30/09/2017 20:53;0;0;Trump is a moron who can't control himself..I say watch the NFL and bend the knee with every player..this ISN'T against flag or country!!!;;;;9,14277E+17;https://twitter.com/cgallegos3/status/914277015494156291;
fatheromalley1;30/09/2017 20:53;0;0;"She'd be as popular as kneeling NFL players. Want Trump landslide? Nominate Ms. Reparations""""";;;;9,14277E+17;https://twitter.com/fatheromalley1/status/914277001929936896;
thehill;30/09/2017 20:53;103;161;Trump hits NFL players again while Puerto Rico recovers from Hurricane Maria http:// hill.cm/VNcNdWF pic.twitter.com/Y5dUpY0ayU;;;;9,14277E+17;https://twitter.com/thehill/status/914276949891125248;
dubephnx;30/09/2017 20:52;0;0;WE ARE HELPING EACH OTHER, YOUR STILL THE OUTSIDER TRUMP !;;;;9,14277E+17;https://twitter.com/dubephnx/status/914276911496404992;
TMinusOneMinute;30/09/2017 20:52;0;0;Hey @NFL players now afraid of, and subservient to Trump ? He made you his bitch. Just like his redneck followers. Proud? #TakeTheKnee;;@NFL;#TakeTheKnee;9,14277E+17;https://twitter.com/TMinusOneMinute/status/914276892034977792;
RichinWriterss;30/09/2017 20:52;0;0;Ahead of Sunday’s NFL games, Trump renews his call for players to stand during anthem http:// richinwriters.com/ahead-of-sunda ys-nfl-games-trump-renews-his-call-for-players-to-stand-during-anthem/ …;;;;9,14277E+17;https://twitter.com/RichinWriterss/status/914276884678049792;
Difference30360;30/09/2017 20:52;0;0;BREAKING: NFL COMMISSIONER & TEAM OWNERS PLOT REVENGE AGAINST TRUMP & The American NFL Fans | Co... https:// youtu.be/qgbtfkQzzgo via @YouTube;;@YouTube;;9,14277E+17;https://twitter.com/Difference30360/status/914276884308828161;
BillyBlueEye;30/09/2017 20:52;0;0;Trump supporters share fake photo of NFL player burning the flag http://www. huffingtonpost.com/entry/trump-fa ke-photo-burning-flag-seattle-seahawks_us_59cf558fe4b05f005d346cd2?ncid=engmodushpmg00000004 … via @HuffPost;;@HuffPost;;9,14277E+17;https://twitter.com/BillyBlueEye/status/914276854659375104;
Billiken75;30/09/2017 20:52;0;0;Maria was 10 days ago. Past two weekends Trump was either golfing orcattackkng NFL players;;;;9,14277E+17;https://twitter.com/Billiken75/status/914276755673726976;
klangfilm;30/09/2017 20:52;0;0;If I were an NFL player I'd lay down on my back or go on strike. Why's football Trump 's agenda. Fuck that! Dont give in! You are Right!!!;;;;9,14277E+17;https://twitter.com/klangfilm/status/914276693862490112;
SeahawksUpdate;30/09/2017 20:52;0;0;Seahawks Take On Trump 's Attacks On NFL By Launching Charity ... - HuffPost http:// dlvr.it/PrYlbj;;;;9,14277E+17;https://twitter.com/SeahawksUpdate/status/914276693036081152;
PeterRMare;30/09/2017 20:51;0;0;Trump again knocks Jeff Sessions over Russia probe, says NFL feud ‘has really taken off’ https://www. wsj.com/articles/trump -again-criticizes-jeff-sessions-over-russia-probe-1506434848 … via @WSJ;;@WSJ;;9,14277E+17;https://twitter.com/PeterRMare/status/914276655350337536;
left_aardvark;30/09/2017 20:51;0;0;Ahead of Sundays NFL games, Trump renews his call for players to stand during anthem https://www. washingtonpost.com/news/post-poli tics/wp/2017/09/30/ahead-of-sundays-nfl-games-trump-renews-his-call-for-players-to-stand-during-anthem/ …;;;;9,14276E+17;https://twitter.com/left_aardvark/status/914276486672191489;
MichaelSladden1;30/09/2017 20:51;0;1;While Americans are dying in Puerto Rico, Trump is on the golf course tweeting about the NFL . What a sorry POS. #NotMyPresident;;;#NotMyPresident;9,14276E+17;https://twitter.com/MichaelSladden1/status/914276454187364352;
NFL_FanTeam_Ldr;30/09/2017 20:51;0;0;President Donald Trump tweets it's 'very important' NFL players stand for anthem http:// ift.tt/2fAbGaV;;;;9,14276E+17;https://twitter.com/NFL_FanTeam_Ldr/status/914276451658199040;
XXxjoker21xX;30/09/2017 20:51;0;0;REPORTER SAYS TRUMP ATTACKED NFL PLAYERS, SO SARAH SANDERS SHUT HER UP W... https:// youtu.be/s6wdk4WTvsk via @YouTube;;@YouTube;;9,14276E+17;https://twitter.com/XXxjoker21xX/status/914276428287500294;
JMEnigma;30/09/2017 20:50;0;1;Oh the same NFL that rejected Trumps many attempts to be an owner of a team in! Oops that slips his tweets. Research it, Fact!;;;;9,14276E+17;https://twitter.com/JMEnigma/status/914276413980790784;
sueinwny;30/09/2017 20:50;0;0;"@FoxNews ;;;; watching live Thank You President Trump NFL Ray Lewis realizes he was wrong !!!";;@FoxNews;;9,14276E+17;https://twitter.com/sueinwny/status/914276412084965376;
pjlarks;30/09/2017 20:50;1;1;Ur a racist u do not know what u r talking about. While they were laundering money @trumps hotel;;@trumps;;9,14276E+17;https://twitter.com/pjlarks/status/914276386373865473;
MzFineLady1;30/09/2017 20:50;0;0;Congressman Al Green DESTROYS Trump 's NFL Feud & CALLS FOR HIS IMPEACHMENT https:// youtu.be/iPLwhTGKXss via @YouTube;;@YouTube;;9,14276E+17;https://twitter.com/MzFineLady1/status/914276327514972160;
jedijoe;30/09/2017 20:50;0;0;Fine. They weren't that happy with Trump either- Survey: Trump supporters have turned against the NFL https://www. vox.com/policy-and-pol itics/2017/9/29/16384494/nfl-trump-favorability?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter … via @voxdotcom;;@voxdotcom;;9,14276E+17;https://twitter.com/jedijoe/status/914276270229377024;
buppers1954;30/09/2017 20:50;0;3;trump is killing more people than all NFL . Talk about respect the flag.;;;;9,14276E+17;https://twitter.com/buppers1954/status/914276237031469061;
