username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Arethusa13;27/06/2017 20:59;0;0;@KellyannePolls Oh, I bet all those disabled children will be able to get all those Trump jobs at Carrier.;;@KellyannePolls;;8,79852E+17;https://twitter.com/Arethusa13/status/879851786839785473
espressodoppio6;27/06/2017 20:59;0;0;@KellyannePolls You are of the Catholic faith, & should hear what the Bishops say about the loss of healthcare by Trumpcare! https:// twitter.com/kylegriffin1/s tatus/879497701464911873 …;;@KellyannePolls;;8,79852E+17;https://twitter.com/espressodoppio6/status/879851784377745408
GWfashionista;27/06/2017 20:59;0;0;That outfit you wore on January 20 was a Major Fail;;;;8,79852E+17;https://twitter.com/GWfashionista/status/879851751502905345
maryjanesmall;27/06/2017 20:59;0;0;Not understanding why the Ds keep saying 22 million will be without. How many are without now? Where's that ? No ones talking about that;;;;8,79852E+17;https://twitter.com/maryjanesmall/status/879851738861375488
808NaKoa5;27/06/2017 20:59;0;0;WTF !! Is ryan channeling the spirit of kellyanne conway now ? https:// twitter.com/RawStory/statu s/879761563334397953 …;;;;8,79852E+17;https://twitter.com/808NaKoa5/status/879851736818515969
DeborahRegister;27/06/2017 20:59;0;0;@KellyannePolls ~ Word of advise..... Learn how to sit when in front of an audience. ... Live Feed.... live anything ! COVER YOURSELF!;;@KellyannePolls;;8,79852E+17;https://twitter.com/DeborahRegister/status/879851674646564864
DSCIOREDA;27/06/2017 20:59;0;0;History will equate you with Joseph Goebbels. A lying fascist;;;;8,79852E+17;https://twitter.com/DSCIOREDA/status/879851641641545729
OldGringo2238;27/06/2017 20:59;0;0;You belong behind bars kellyanne;;;;8,79852E+17;https://twitter.com/OldGringo2238/status/879851638009327616
10jhez10;27/06/2017 20:59;0;0;Did Kellyanne Conway Try to Require NBA Champions to Visit the White House? http://www. snopes.com/kellyanne-conw ay-nba-champions/?utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/BF09QOjGTV;;;;8,79852E+17;https://twitter.com/10jhez10/status/879851616827957248
Oldgma3;27/06/2017 20:59;0;0;Most are folding to force a win vote for #trumpdeathbill . Any1 that can read knows that Rs colluded to sabotage ACA to line their pockets.;;;#trumpdeathbill;8,79852E+17;https://twitter.com/Oldgma3/status/879851591448252416
chantelwchase;27/06/2017 20:58;0;0;I'm hoping this is not true. If so please list companies willing to hire Alzheimer's patients. #KellyanneConway knows of them? ??? Ugh https:// twitter.com/cnbc/status/87 9162553913532417 …;;;#KellyanneConway;8,79852E+17;https://twitter.com/chantelwchase/status/879851551845732352
NOKNOWLOVE;27/06/2017 20:58;2;2;I invite u all to see the #HowtheACASavedMyLife stories.;;;#HowtheACASavedMyLife;8,79852E+17;https://twitter.com/NOKNOWLOVE/status/879851543918497793
Mike11182018;27/06/2017 20:58;0;0;Are you talking about your career choice ??? Totally agree... it's hard to spend each day defending an idiot.. especially when you are one..;;;;8,79851E+17;https://twitter.com/Mike11182018/status/879851376888631296
artistsproduct;27/06/2017 20:58;0;0;Public is entitled to same health care as gov't. That would be my version of a health care bill.;;;;8,79851E+17;https://twitter.com/artistsproduct/status/879851353543245824
mustangmods;27/06/2017 20:57;0;0;It is a decease in projected funding-ppl will receive less under this law compared to current;;;;8,79851E+17;https://twitter.com/mustangmods/status/879851216494366720
nihalsatyadev;27/06/2017 20:57;0;0;Whose hiring seniors with Alzheimer’s who need access to long term care? Lmk @KellyannePolls - I'll link them with the job opp. #snowflakes https:// twitter.com/CNBC/status/87 9162553913532417 …;;@KellyannePolls;#snowflakes;8,79851E+17;https://twitter.com/nihalsatyadev/status/879851170344259584
cindys33316;27/06/2017 20:57;0;0;Where did you find her! You're a joke!;;;;8,79851E+17;https://twitter.com/cindys33316/status/879851123649069058
