username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JSimpson_32;09/05/2017 20:36;0;1;Joakim Noah gone hit the side of the backboard https:// twitter.com/famouslos32/st atus/862040668012785664 …;;;;8,62089E+17;https://twitter.com/JSimpson_32/status/862088956833353728
PascoRevolution;09/05/2017 20:26;0;0;snopes: Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// ln.is/www.snopes.com /joaki/bYoE5 …;;;;8,62086E+17;https://twitter.com/PascoRevolution/status/862086425352785920
snopes;09/05/2017 20:21;1;0;Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// trib.al/uuUJXfF;;;;8,62085E+17;https://twitter.com/snopes/status/862085229833580545
vinnysgreen;09/05/2017 20:17;0;0;Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// dlvr.it/P61QGn @snopes pic.twitter.com/RNIAa1oGIE;;@snopes;;8,62084E+17;https://twitter.com/vinnysgreen/status/862084053406588928
zabdielm91;09/05/2017 19:44;0;0;Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// corneey.com/qAYEkE pic.twitter.com/2ykJJ9Eq1U;;;;8,62076E+17;https://twitter.com/zabdielm91/status/862075791948922880
VictorMiranda30;09/05/2017 19:44;0;0;Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// corneey.com/qAYEkf pic.twitter.com/Lzd94T25dC;;;;8,62076E+17;https://twitter.com/VictorMiranda30/status/862075788589285377
zabdielm91;09/05/2017 19:44;0;0;Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// corneey.com/qAYEkE pic.twitter.com/D9W2iK5EIQ;;;;8,62076E+17;https://twitter.com/zabdielm91/status/862075769236869120
beauticountry;09/05/2017 19:44;0;0;Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// corneey.com/qAYEjq pic.twitter.com/U8zSMiPBxJ;;;;8,62076E+17;https://twitter.com/beauticountry/status/862075767722618880
actividadnotice;09/05/2017 19:44;0;0;Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// corneey.com/qAYEkK pic.twitter.com/W0ZYkU3BBD;;;;8,62076E+17;https://twitter.com/actividadnotice/status/862075767290593280
ElioCollazo;09/05/2017 19:44;0;0;Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// corneey.com/qAYEkb pic.twitter.com/QefMo9oXIw;;;;8,62076E+17;https://twitter.com/ElioCollazo/status/862075765294219264
10jhez10;09/05/2017 19:44;0;0;Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// corneey.com/qAYElQ pic.twitter.com/o3El5PJU71;;;;8,62076E+17;https://twitter.com/10jhez10/status/862075764581081088
VictorMiranda30;09/05/2017 19:44;0;0;Joakim Noah Gives U.S. Soldiers the Finger, Refuses to Eat With Them? http:// corneey.com/qAYEkf pic.twitter.com/UWUojlqd7w;;;;8,62076E+17;https://twitter.com/VictorMiranda30/status/862075762932723712
