username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;;
wickedrain11;26/11/2016 21:59;0;2;a song i wrote in cuba, about cuba- seems appropriate with Fidel's passing #FidelCastro https:// brentmasonmusic.bandcamp.com/track/las-bris as …;;;#FidelCastro;8,02663E+17;https://twitter.com/wickedrain11/status/802663220653662210;;
OchoaSalvibiker;26/11/2016 21:59;0;0;Fidel Castro 's death elicits tempered tributes from Quebec politicans http://www. cbc.ca/1.3869509 pic.twitter.com/tqO4cRBWfL;;;;8,02663E+17;https://twitter.com/OchoaSalvibiker/status/802663218040573952;;
magali23_magali;26/11/2016 21:59;0;0;Justin Trudeau on Fidel Castro : ‘A legendary revolutionary’ who improved education and healthcare http://www. nationalpost.com/m/wp/news/cana da/blog.html?b=news.nationalpost.com/news/canada/justin-trudeau-on-fidel-castro-a-legendary-revolutionary-who-improved-education-and-healthcare …;;;;8,02663E+17;https://twitter.com/magali23_magali/status/802663217675767812;;
Based_Vader;26/11/2016 21:59;3;0;The President of the European Commission praising brutal Communist Dictator #FidelCastro , no wonder Europe is in such a state #ChangeComing https:// twitter.com/JunckerEU/stat us/802490752118861824 …;;;#FidelCastro #ChangeComing;8,02663E+17;https://twitter.com/Based_Vader/status/802663211904487424;;
Strykur;26/11/2016 21:59;0;0;BREAKING: Former Cuban President Fidel Castro dead at 90, brother Raul Castro... http:// ln.is/t2m5t by #GadiNBC via @c0nvey;;@c0nvey;#GadiNBC;8,02663E+17;https://twitter.com/Strykur/status/802663210679762944;;
MarcusStead;26/11/2016 21:59;0;1;This is Fidel Castro ... pic.twitter.com/Uh0fltzOhZ;;;;8,02663E+17;https://twitter.com/MarcusStead/status/802663205138886656;;
judymorris3;26/11/2016 21:59;0;0;#JustinTrudeau Says Castro Was ‘Larger Than Life Leader’ #FidelCastro #Cuba Creeps like Trudeau are praising... http:// fb.me/WDUXkgxh;;;#JustinTrudeau #FidelCastro #Cuba;8,02663E+17;https://twitter.com/judymorris3/status/802663205063389184;;
kickdown2010;26/11/2016 21:59;0;0;The internet's honeymoon with Justin Trudeau comes to an end after he praises Fidel Castro https:// goo.gl/fb/kVnHWI;;;;8,02663E+17;https://twitter.com/kickdown2010/status/802663192778326016;;
Dani_Aruba;26/11/2016 21:59;0;0;In a statement, @TomCottonAR let his feelings about the death of #FidelCastro ... http:// ln.is/SPWxf by #Isacastillo7 via @c0nvey;;@TomCottonAR @c0nvey;#FidelCastro #Isacastillo7;8,02663E+17;https://twitter.com/Dani_Aruba/status/802663191952105473;;
wilfredsenyange;26/11/2016 21:59;0;0;Cuba's Fidel Castro dies aged 90 http:// ln.is/kVC7N by #DEOGRATIOUS19 via @c0nvey;;@c0nvey;#DEOGRATIOUS19;8,02663E+17;https://twitter.com/wilfredsenyange/status/802663188974145536;;
