username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
WinesByRaz;09/10/2016 20:58;0;0;Haiti needs us due to Hurricane Matthew! Usain Bolt a champ and hero made a large donation! Pls ... http:// tmi.me/1fg19I;;;;7,85268E+17;https://twitter.com/WinesByRaz/status/785268225311473664
DeusExRoshede;09/10/2016 20:53;0;1;As sad as this makes me I have to just put it out there that @usainbolt did NOT donate 10 million to Haiti, he would have mentioned it too;;@usainbolt;;7,85267E+17;https://twitter.com/DeusExRoshede/status/785266896652292100
johnjzenes;09/10/2016 20:47;0;0;REAL hero's of the week #shakira 15M & #UsainBolt 10M of their own $ to #Haiti @usainbolt @shakira thank you for being good people #godbless;;@usainbolt @shakira;#shakira #UsainBolt #Haiti #godbless;7,85266E+17;https://twitter.com/johnjzenes/status/785265548544225284
spanky6973;09/10/2016 20:43;0;0;BREAKING NEWS: Usain Bolt Donate 10 Million Dollars to Haiti after Hurricane Matthew http:// fb.me/sEZUHExT;;;;7,85264E+17;https://twitter.com/spanky6973/status/785264415872475136
jmoore4444;09/10/2016 20:43;0;1;"@usweekly was not a dab"" it was a bob to Usain Bolt . Brady would NEVER dab.""";;@usweekly;;7,85264E+17;https://twitter.com/jmoore4444/status/785264412152193024
PeopleTalkDaily;09/10/2016 20:38;0;0;#UsainBolt is the real #MVP . #PrayforHaiti pic.twitter.com/vy9zNvvVvc;;;#UsainBolt #MVP #PrayforHaiti;7,85263E+17;https://twitter.com/PeopleTalkDaily/status/785263200572837888
Firefiend1;09/10/2016 20:34;0;4;when all ur bffs are sad and ur mind runnin faster than usain bolt tryna figure out what to do;;;;7,85262E+17;https://twitter.com/Firefiend1/status/785262182942515202
Nybergh;09/10/2016 20:30;0;0;#goodstuff Usain Bolt Donate 10 Million Dollars to Haiti after Hurricane Matthew - Jamyah http:// buff.ly/2dPj8Qf;;;#goodstuff;7,85261E+17;https://twitter.com/Nybergh/status/785261059984728064
ZSCoban;09/10/2016 20:29;0;0;Check Out the Girlfriend of Usain Bolt … Not Only Is She Beautiful But She Has A Booty Bigger Than Nicki Minaj http:// redindark.com/0d2114b77fd9b 1;;;;7,85261E+17;https://twitter.com/ZSCoban/status/785260855873138688
Phillybassd;09/10/2016 20:27;0;0;BREAKING NEWS: Usain Bolt Donate 10 Million Dollars to Haiti after Hurricane Matthew http:// fb.me/5iD2nnhKV;;;;7,8526E+17;https://twitter.com/Phillybassd/status/785260312245243904
Phillybassd;09/10/2016 20:26;0;0;BREAKING NEWS: Usain Bolt Donate 10 Million Dollars to Haiti after Hurricane Matthew http:// fb.me/1c2VRf7IR;;;;7,8526E+17;https://twitter.com/Phillybassd/status/785260300446658560
localtourkey;09/10/2016 20:25;0;0;‘I’m Dying Of Shame': Rio Girl Who ‘Spent The Night With Usain Bolt ’ After His Wild… http:// redindark.com/0d2114b7970b0;;;;7,8526E+17;https://twitter.com/localtourkey/status/785259877354594304
Global_Renewal;09/10/2016 20:22;0;0;". @melaninist ; Usain Bolt donated 10 million dollars to Haiti after hurricane Matthew God bless him pic.twitter.com/qRMlnWoVmc @UNOCHA @unhcr";;@melaninist @UNOCHA @unhcr;;7,85259E+17;https://twitter.com/Global_Renewal/status/785259074027974656
Fashionicide;09/10/2016 20:15;0;1;I sprinted out of there like Usain Bolt . Tail firmly between my legs!;;;;7,85257E+17;https://twitter.com/Fashionicide/status/785257471946481664
CrazyWeirdoe;09/10/2016 20:15;0;0;Usain Bolt on the paper when I chase that bar;;;;7,85257E+17;https://twitter.com/CrazyWeirdoe/status/785257337145688064
Ypn_Ant;09/10/2016 20:12;2;3;I'm black , im usain bolt out that bitch https:// twitter.com/davonnanicolee /status/785253917000990720 …;;;;7,85257E+17;https://twitter.com/Ypn_Ant/status/785256743311777792
StaceyCulbreath;09/10/2016 20:09;0;0;BREAKING NEWS: Usain Bolt Donate 10 Million Dollars to Haiti after Hurricane Matthew http:// fb.me/2tzASKry3;;;;7,85256E+17;https://twitter.com/StaceyCulbreath/status/785255821538041857
yaogourt;09/10/2016 20:08;1;0;excuse Usain bolt;;;;7,85256E+17;https://twitter.com/yaogourt/status/785255563370323969
UskateCIC;09/10/2016 20:06;0;0;BREAKING NEWS: Usain Bolt Donate 10 Million Dollars to Haiti after Hurricane Matthew http:// fb.me/1pR9ETKI4;;;;7,85255E+17;https://twitter.com/UskateCIC/status/785255162650689540
BluuRaeee;09/10/2016 20:05;0;0;Literally 3 little kids just ran up on a cat and that feline Usain Bolt 'd his ass down 10th;;;;7,85255E+17;https://twitter.com/BluuRaeee/status/785254814405931008
__gonzalez35;09/10/2016 20:04;0;1;niggas running for that money like usain bolt;;;;7,85255E+17;https://twitter.com/__gonzalez35/status/785254631978991616
MauriceMitchell;09/10/2016 20:03;0;0;BREAKING NEWS: Usain Bolt Donate 10 Million Dollars to Haiti after Hurricane Matthew http:// fb.me/1vALY9Woi;;;;7,85254E+17;https://twitter.com/MauriceMitchell/status/785254282413084672
odutola_peter;09/10/2016 19:55;0;0;Usain Bolt Did Not Donate $10 Million To Rebuild Haiti After Hurricane Matthew: http:// bit.ly/2ehaNp9;;;;7,85252E+17;https://twitter.com/odutola_peter/status/785252462928158720
RealTrouble_;09/10/2016 19:53;0;0;Usain Bolt donated 10 million usd orrrrrrr ??????????????????;;;;7,85252E+17;https://twitter.com/RealTrouble_/status/785251970445561856
maddiet5;09/10/2016 19:52;0;0;Usain Bolt donates $10 million to Haiti in the wake of Matthew <3;;;;7,85252E+17;https://twitter.com/maddiet5/status/785251660356386816
SeraphiqueVox;09/10/2016 19:48;0;0;"with a little bit of Usain Bolt archer shooting the stars"" thing""";;;;7,85251E+17;https://twitter.com/SeraphiqueVox/status/785250729225248768
SeraphiqueVox;09/10/2016 19:48;0;0;@vine looks more like Usain Bolt doing the archer shooting the stars;;@vine;;7,8525E+17;https://twitter.com/SeraphiqueVox/status/785250492838449153
odutola_peter;09/10/2016 19:45;0;0;Usain Bolt Did Not Donate $10 Million To Rebuild Haiti After Hurricane Matthew - Welcome To Dash Media https:// dashpee.blogspot.com.ng/2016/10/usain- bolt-did-not-donate-10-million-to.html …;;;;7,8525E+17;https://twitter.com/odutola_peter/status/785249934190776320
LerchBates;09/10/2016 19:41;0;0;The world’s fastest elevator is quicker than track legend Usain Bolt ... http:// fb.me/5MHOJSsji;;;;7,85249E+17;https://twitter.com/LerchBates/status/785248972596207616
CJINTHECUT;09/10/2016 19:41;0;0;Usain Bolt a.k.a. The 2nd fastest man alive, the first being Matt Damon #ImWatchingTheBourneSupremacyForTheFirstTime #PerfectBeachRunDamon;;;#ImWatchingTheBourneSupremacyForTheFirstTime #PerfectBeachRunDamon;7,85249E+17;https://twitter.com/CJINTHECUT/status/785248870385221632
