username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
duhpaypay;17/08/2016 20:14;0;1;ok but Marta Karolyi is 73... SEVENTY-THREE how does she do this;;;;7,66051E+17;https://twitter.com/duhpaypay/status/766050713386487808
MuggleStruggle2;17/08/2016 19:45;0;0;Just so everyone posting that meme knows... Marta Karolyi was never an illegal immigrant #fyi #checkyourfacts;;;#fyi #checkyourfacts;7,66043E+17;https://twitter.com/MuggleStruggle2/status/766043258690691073
ImmigreReform;17/08/2016 19:04;0;0;US Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants? - http:// snopes.com http:// dlvr.it/M3WZHf;;;;7,66033E+17;https://twitter.com/ImmigreReform/status/766032880711573504
patricey;17/08/2016 18:57;0;0;Okay so who can be the Marta Karolyi of @USFigureSkating ? Discuss: @SkatingLesson @Lily628;;@USFigureSkating @SkatingLesson @Lily628;;7,66031E+17;https://twitter.com/patricey/status/766031249894993920
giving_andrea;17/08/2016 18:37;0;0;USA Gymnastics Team Rocked! Thank you @MartaKarolyi for your incredible leadership. Best in World. https:// twitter.com/JackiZehner/st atus/765763112368734208 …;;@MartaKarolyi;;7,66026E+17;https://twitter.com/giving_andrea/status/766026273755844608
finenotesnews;17/08/2016 16:17;0;0;Marta Karolyi successor has tough act to follow http://www. finenotes.com/marta-karolyi- successor-has-tough-act-to-follow/ … pic.twitter.com/qNGnuwoiAu;;;;7,65991E+17;https://twitter.com/finenotesnews/status/765990834785308673
RunedWarrior09;17/08/2016 15:00;0;0;How does it feel to be Marta Karolyi 's final team? #AskFinalFive;;;#AskFinalFive;7,65972E+17;https://twitter.com/RunedWarrior09/status/765971701767077888
UFOParanormNews;17/08/2016 14:39;0;0;#Snopes U.S. Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants http:// goo.gl/zhLiRJ;;;#Snopes;7,65966E+17;https://twitter.com/UFOParanormNews/status/765966194247602176
5LiveNews;17/08/2016 14:36;0;0;Simone Biles and Aly Raisman send Marta Karolyi out on golden note at Rio Olympics #news pic.twitter.com/zqz4mVXgKJ;;;#news;7,65966E+17;https://twitter.com/5LiveNews/status/765965605879046144
tre0808;17/08/2016 14:25;0;2;#askfinalfive what does #martakarolyi mean to you? Best thing, worst thing? Bella?;;;#askfinalfive #martakarolyi;7,65963E+17;https://twitter.com/tre0808/status/765962754557554688
GymnasticsShow;17/08/2016 14:23;1;1;US Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants? - http:// snopes.com http:// dlvr.it/M3RfyM;;;;7,65962E+17;https://twitter.com/GymnasticsShow/status/765962206991167488
Gymnasticswatch;17/08/2016 14:23;0;1;US Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants? - http:// snopes.com http:// dlvr.it/M3Rfyq;;;;7,65962E+17;https://twitter.com/Gymnasticswatch/status/765962204399013888
CountryMusi24x7;17/08/2016 14:23;0;0;US Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants? - http:// snopes.com http:// dlvr.it/M3Rfvd;;;;7,65962E+17;https://twitter.com/CountryMusi24x7/status/765962185088524288
GymnasticsView;17/08/2016 14:11;3;1;US Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants? - http:// snopes.com http:// dlvr.it/M3RSY7;;;;7,65959E+17;https://twitter.com/GymnasticsView/status/765959165776769024
WomenWorldNews1;17/08/2016 13:48;0;0;#US #Immigration US Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants?: ... http:// bit.ly/2bege51 #USLatino #UniteBlue;;;#US #Immigration #USLatino #UniteBlue;7,65953E+17;https://twitter.com/WomenWorldNews1/status/765953458612477953
Nunyabidnid;17/08/2016 13:34;0;0;U.S. Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants?: Rumor claims U.S. Gymnastics coaches... http:// bit.ly/2bsrfhu;;;;7,6595E+17;https://twitter.com/Nunyabidnid/status/765949884176269312
rd_rmd1;17/08/2016 13:34;0;0;U.S. Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants?: Rumor claims U.S. Gymnastics coaches... http:// bit.ly/2bsqFAm;;;;7,6595E+17;https://twitter.com/rd_rmd1/status/765949881039015936
BlogQuixote;17/08/2016 13:34;0;0;U.S. Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants? http:// bit.ly/2bsr3ij;;;;7,6595E+17;https://twitter.com/BlogQuixote/status/765949877205409797
Legal_101HQ;17/08/2016 13:34;0;0;U.S. Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants?: Rumor claims U.S. Gymnastics coaches... http:// bit.ly/2bsraKV;;;;7,6595E+17;https://twitter.com/Legal_101HQ/status/765949872079970304
InternetScam;17/08/2016 13:34;0;0;IS IT TRUE? U.S. Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants?: Rumor claims U.S. Gymnas... http:// bit.ly/2bsqFAm;;;;7,6595E+17;https://twitter.com/InternetScam/status/765949867994681344
headlinepost;17/08/2016 13:34;0;0;Snopes- U.S. Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants? http:// bit.ly/2bsr3ij;;;;7,6595E+17;https://twitter.com/headlinepost/status/765949865499119616
UrbanLegends;17/08/2016 13:34;0;0;"urban legend: Rumor claims U.S. Gymnastics coaches Bela and Marta Karolyi were illegal immigrants"" to Americ... http:// bit.ly/2bsr3ij""";;;;7,6595E+17;https://twitter.com/UrbanLegends/status/765949860809891840
SkepNet;17/08/2016 13:34;0;0;Snopes: U.S. Gymnastics Coaches Bela and Marta Karolyi Were Illegal Immigrants?: Rumor claims U.S. Gymnastics... http:// bit.ly/2bsraKV;;;;7,6595E+17;https://twitter.com/SkepNet/status/765949855969665024
CapeTownFairy;17/08/2016 13:33;0;0;"An #OlympicGames Twitter meme claimed #usagymnastics coaches Bela and Marta Karolyi were illegal immigrants"": http://www. snopes.com/karolyi-illega l-immigrants/ …""";;;#OlympicGames #usagymnastics;7,6595E+17;https://twitter.com/CapeTownFairy/status/765949723845033984
