username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ThatDylanGuy14;17/06/2016 20:59;0;0;If you ever feel irrelevant remember that Steph Curry has a brother named Seth pic.twitter.com/LO6HDRtrr5;;;;7,43956E+17;https://twitter.com/ThatDylanGuy14/status/743956350355419136
jamesizdope;17/06/2016 20:59;0;0;@NBA should suspend steph curry;;@NBA;;7,43956E+17;https://twitter.com/jamesizdope/status/743956300480929793
Sir_Blizeek;17/06/2016 20:59;0;0;I'm buying my sister's dad the Steph Curry lows for his birthday;;;;7,43956E+17;https://twitter.com/Sir_Blizeek/status/743956290175664128
Hxnsen;17/06/2016 20:59;0;0;I still have way more respect for @StephenCurry30;;@StephenCurry30;;7,43956E+17;https://twitter.com/Hxnsen/status/743956263076192257
maihamantini;17/06/2016 20:59;0;0;this fine young steph curry lookin man just spit some game at me;;;;7,43956E+17;https://twitter.com/maihamantini/status/743956198588825600
Clos_Santana;17/06/2016 20:59;0;0;hellll nawwww fuck Steph curry;;;;7,43956E+17;https://twitter.com/Clos_Santana/status/743956173779402753
rileymcd;17/06/2016 20:59;0;0;Here's who wins from @warriors Game 7 http:// bizj.us/1mzr4s #NBAFinals #DubNation @StephenCurry30 pic.twitter.com/rHdBeBoCvd;;@warriors @StephenCurry30;#NBAFinals #DubNation;7,43956E+17;https://twitter.com/rileymcd/status/743956161267793920
SBTRileyMcD;17/06/2016 20:59;0;0;Here's who wins from @warriors Game 7 http:// bizj.us/1mzr4s #NBAFinals #DubNation @StephenCurry30 pic.twitter.com/fox0gYtWL3;;@warriors @StephenCurry30;#NBAFinals #DubNation;7,43956E+17;https://twitter.com/SBTRileyMcD/status/743956160953221120
SFBusinessTimes;17/06/2016 20:59;0;0;Here's who wins from @warriors Game 7 http:// bizj.us/1mzr4s #NBAFinals #DubNation @StephenCurry30 pic.twitter.com/FsMvOPhroH;;@warriors @StephenCurry30;#NBAFinals #DubNation;7,43956E+17;https://twitter.com/SFBusinessTimes/status/743956158751244288
ASAPJohn__;17/06/2016 20:58;0;0;Now they they fine Steph curry and Steve Kerr;;;;7,43956E+17;https://twitter.com/ASAPJohn__/status/743956130972336128
_trayhand;17/06/2016 20:58;0;0;A thotty needs to knock down Steph Curry . Give Ayesha something worth complaining about;;;;7,43956E+17;https://twitter.com/_trayhand/status/743956089805299713
Emefletcher;17/06/2016 20:58;0;0;you have to be kidding;;;;7,43956E+17;https://twitter.com/Emefletcher/status/743956086546276352
