username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Saymewell2k;28/08/2017 20:55;0;0;#Barcelona Transfer News: Agent in #Spain to complete #Gomes and #Di Maria moves http:// saywinwin.blogspot.com.ng/2017/08/barcel ona-transfer-news-agent-in-spain.html …;;;#Barcelona #Spain #Gomes #Di;9,02E+17;https://twitter.com/Saymewell2k/status/902318641089306624
Saywinwin30;28/08/2017 20:48;1;1;#Barcelona Transfer News: Agent in #Spain to complete #Gomes and #Di Maria moves http:// saywinwin.blogspot.com.ng/2017/08/barcel ona-transfer-news-agent-in-spain.html …;;;#Barcelona #Spain #Gomes #Di;9,02E+17;https://twitter.com/Saywinwin30/status/902317063435366400
barca_lya;28/08/2017 20:42;0;1;if this stupid @FCBarcelona board bring Di Maria to be a culé they have no respect for this club or the fans! WE DON'T WANT HIM @jmbartomeu;;@FCBarcelona @jmbartomeu;;9,02E+17;https://twitter.com/barca_lya/status/902315434795556864
Soccerloaded9ja;28/08/2017 20:42;0;0;Barcelona Transfer News: Agent in Spain to complete Gomes and Di Maria moves - http:// soccerloaded.com.ng/barcelona-tran sfer-news-agent-in-spain-to-complete-gomes-and-di-maria-moves/ …;;;;9,02E+17;https://twitter.com/Soccerloaded9ja/status/902315360455716864
FTransfersN;28/08/2017 20:23;0;0;Even though there was strong interest of #Barcelona . #DiMaria wont be leaving #PSG this summer pic.twitter.com/zEXW458znQ;;;#Barcelona #DiMaria #PSG;9,02E+17;https://twitter.com/FTransfersN/status/902310641934925825
BrazilStat;28/08/2017 19:54;107;149;Agent Jorge Mendes confirms that Di Maria is not joining Barcelona and is set to stay at PSG. http://www. espn.com.ar/video/clip/_/i d/3498269 …;;;;9,02E+17;https://twitter.com/BrazilStat/status/902303454567247872
sport24top;28/08/2017 19:46;0;0;Di Maria to Barcelona rumours rubbished by super agent Mendes http:// sport24top.com/?p=145306 #sport #news #football #tennis #basket #live #stream;;;#sport #news #football #tennis #basket #live #stream;9,02E+17;https://twitter.com/sport24top/status/902301294228070400
3tking;28/08/2017 19:30;0;0;Barcelona Transfer News: Latest Rumours on Philippe Coutinho and Angel Di Maria https:// goo.gl/fb/FL99BK;;;;9,02E+17;https://twitter.com/3tking/status/902297251757817857
scorehighlights;28/08/2017 19:29;0;0;Barcelona Transfer News: Angel Di Maria deal happening because of Lionel Messi and Neymar Click Here ... pic.twitter.com/TWmN13c3Hh;;;;9,02E+17;https://twitter.com/scorehighlights/status/902297094056280065
FootyRightNow;28/08/2017 19:27;1;0;Barcelona Transfer News: Agent in Spain to complete Gomes and Di Maria moves http:// dlvr.it/PjFtD2 pic.twitter.com/JYycXLKfhx;;;;9,02E+17;https://twitter.com/FootyRightNow/status/902296594694889473
