username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
dreamweaver0828;29/04/2014 20:51;0;0;Check out Faux John Madden 's post on @LockerDome http:// lockerdome.com/fauxjohnmadden /6169893797101633/6573746349686802 …;;@LockerDome;;4,61292E+17;https://twitter.com/dreamweaver0828/status/461291663348867072
DeanM78;29/04/2014 20:48;0;0;B -Eddie George Madden NFL 2001. John Madden + Barry Sanders background Madden NFL 2000. #TuesdayTrivia @EAMaddenNFL pic.twitter.com/ePpE28mA4v;;@EAMaddenNFL;#TuesdayTrivia;4,61291E+17;https://twitter.com/DeanM78/status/461290872240226306
bakerd41;29/04/2014 20:24;0;0;@EAMaddenNFL C! Barry Sanders appeared in the background behind John Madden on Madden 2000! #TriviaTuesday;;@EAMaddenNFL;#TriviaTuesday;4,61285E+17;https://twitter.com/bakerd41/status/461284906908127232
thescholar05;29/04/2014 20:23;0;0;@EAMaddenNFL was all John Madden until eddie george in 2000 / 2001 season #TriviaTuesday;;@EAMaddenNFL;#TriviaTuesday;4,61285E+17;https://twitter.com/thescholar05/status/461284710094606336
kaylin674;29/04/2014 20:12;0;0;http:// ift.tt/1mPTmqW #5: John Madden Duo CD Football TG16 Turbo Grafx 16 John Madden Duo CD Football TG16 Tu... pic.twitter.com/hfFvdiyyWN;;;#5;4,61282E+17;https://twitter.com/kaylin674/status/461281972242120705
MilanMakesBeats;29/04/2014 19:31;0;0;Did John Madden really die or is this another Facebook/Twitter hoax?;;;;4,61272E+17;https://twitter.com/MilanMakesBeats/status/461271523509407746
TheDrMueller;29/04/2014 18:48;0;0;"Self-praise is for losers. Be a winner. Stand for something. Always have class, and be humble."" - John Madden http:// christinem.myplexusproducts.com/contact""";;;;4,61261E+17;https://twitter.com/TheDrMueller/status/461260877103386624
ideastosucceed;29/04/2014 18:29;23;18;"Self-praise is for losers. Be a winner. Stand for something. Always have class, and be humble."" - John Madden""";;;;4,61256E+17;https://twitter.com/ideastosucceed/status/461256040558772225
TinyKyrus;29/04/2014 18:09;0;0;JOHN MADDEN ! JOHN MADDEN ! JOHN MADDEN ! JOHN MADDEN ! JOHN MADDEN ! JOHN MADDEN ! JOHN MADDEN ! JOHN MADDEN ! JOHN MADDEN ! JOHN MADDEN !;;;;4,61251E+17;https://twitter.com/TinyKyrus/status/461251044647772160
RMG_RiO;29/04/2014 18:00;0;0;John madden;;;;4,61249E+17;https://twitter.com/RMG_RiO/status/461248597195894785
GtbSayce;29/04/2014 17:59;0;0;300 Savage, We Blitz Niqqas Like John Madden !;;;;4,61248E+17;https://twitter.com/GtbSayce/status/461248342740467713
winbabywinwin;29/04/2014 17:55;0;0;here is one of my favorite John Madden commercials. funny stuff http://www. youtube.com/watch?v=Lh-foj e121s …;;;;4,61247E+17;https://twitter.com/winbabywinwin/status/461247353312124928
MrExclusive78;29/04/2014 17:40;0;0;One of my icons and legends John Madden passed away today! Wow! The greatest of all times! R.I.P.;;;;4,61244E+17;https://twitter.com/MrExclusive78/status/461243527813292033
supadupabrizz;29/04/2014 17:15;0;0;Still bumpin @ChiefKeef - John Madden;;@ChiefKeef;;4,61237E+17;https://twitter.com/supadupabrizz/status/461237397204643841
onepasthunter;29/04/2014 17:10;0;0;Nice to see the Panthers want to retain John Madden .;;;;4,61236E+17;https://twitter.com/onepasthunter/status/461236156353757184
acutivity;29/04/2014 17:05;0;0;The only yardstick for success our society has is being a champion. No one remembers anything else.' ( John Madden );;;;4,61235E+17;https://twitter.com/acutivity/status/461234876029886464
thatsonpoint;29/04/2014 17:03;0;0;Wynalda has a little John Madden /Brett Favre type thing going on with Bayern, no?;;;;4,61234E+17;https://twitter.com/thatsonpoint/status/461234301758357504
reccninc;29/04/2014 16:45;0;0;Check out Faux John Madden 's post on @LockerDome http:// lockerdome.com/fauxjohnmadden /6169893797101633/6573746349686802 …;;@LockerDome;;4,6123E+17;https://twitter.com/reccninc/status/461229702963679232
KateDavis21;29/04/2014 16:40;0;0;Check out Faux John Madden 's post on @LockerDome http:// lockerdome.com/fauxjohnmadden /6169893797101633/6573746349686802 …;;@LockerDome;;4,61229E+17;https://twitter.com/KateDavis21/status/461228608581693440
sayyesradio;29/04/2014 16:20;0;1;Self-praise is for losers. Be a winner. Stand for something. Always have class, and be humble. ~ John Madden;;;;4,61224E+17;https://twitter.com/sayyesradio/status/461223593008197634
kaylin674;29/04/2014 16:19;0;0;http:// ift.tt/1mPTmqW #4: John Madden Duo CD Football TG16 Turbo Grafx 16 John Madden Duo CD Football TG16 Tu... pic.twitter.com/Fy9dA4cor2;;;#4;4,61223E+17;https://twitter.com/kaylin674/status/461223331585609730
jordanverst;29/04/2014 16:12;0;1;@gusjohnson @EricWynalda11 fuck i'd rather have john madden commentate this game;;@gusjohnson @EricWynalda11;;4,61222E+17;https://twitter.com/jordanverst/status/461221565657792512
MacLean33;29/04/2014 15:42;0;1;How ugly is john madden;;;;4,61214E+17;https://twitter.com/MacLean33/status/461213952819871744
GWord20;29/04/2014 15:41;0;0;Magic Johnson just the John Madden of Twitter. Bruh be tweetin the most obvious stuff.;;;;4,61214E+17;https://twitter.com/GWord20/status/461213692122910721
RampageNate;29/04/2014 15:36;0;0;Tallon said today he'd like to keep John Madden and Brian Skrudland in the organization if possible. That sounds like a hell of a duo for SA;;;;4,61213E+17;https://twitter.com/RampageNate/status/461212528341569537
BethanyWormwood;29/04/2014 15:28;0;0;Ran into John Madden on the way to work. https://www. dropbox.com/s/eylb63uxuw2q u1b/IMG_20140429_132721.jpg …;;;;4,6121E+17;https://twitter.com/BethanyWormwood/status/461210460021616641
jodyyvette;29/04/2014 15:01;0;0;John Madden - listen, what do you think about this for Big Change? Should get FX changes back soon, must start... http:// fb.me/1gwzFlVcw;;;;4,61204E+17;https://twitter.com/jodyyvette/status/461203671678996480
TheWagonStore;29/04/2014 15:00;0;0;Don't worry about the horse being blind, just load the wagon. John Madden #Quotes;;;#Quotes;4,61203E+17;https://twitter.com/TheWagonStore/status/461203426961928193
magic_uno;29/04/2014 14:50;0;0;@FINALLEVEL some parody accounts exist 4 humorous reasons. everyone knows john madden doesn't tweet, so a fake 1 exists & tweets silly stuff;;@FINALLEVEL;;4,61201E+17;https://twitter.com/magic_uno/status/461200951630495746
LMVCompanies;29/04/2014 14:35;0;0;Self-praise is for losers. Be a winner. Stand for something. Always have class, and be humble. John Madden #Quote;;;#Quote;4,61197E+17;https://twitter.com/LMVCompanies/status/461197089046024192
melanderland;29/04/2014 14:28;0;0;@Russostrib Any word if John Madden got the axe too?;;@Russostrib;;4,61195E+17;https://twitter.com/melanderland/status/461195277030801410
TT_SHADD;29/04/2014 13:41;0;0;I stay makeN play john madden ain't got shyt on me;;;;4,61183E+17;https://twitter.com/TT_SHADD/status/461183498863534080
Vettel360;29/04/2014 13:25;0;0;Self-praise is for losers. Be a winner. Stand for something. Always have class, and be humble. John Madden #Quote;;;#Quote;4,61179E+17;https://twitter.com/Vettel360/status/461179459480350720
