username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
quintDESIGN;20/04/2015 20:54;1;0;The calm before the storm... #stormclouds #sydneyoperahouse #cityofsydney #ilovesydney #sydney #australia #clouds ... http:// fb.me/3LfpCSqit;;;#stormclouds #sydneyoperahouse #cityofsydney #ilovesydney #sydney #australia #clouds;5,90303E+17;https://twitter.com/quintDESIGN/status/590302544490016768;
BevanShields;20/04/2015 20:40;21;19;FYI: Sydney Opera House 'surfing' video is a fake. First did the rounds in 2012 https://www. youtube.com/watch?v=wl7r79 ujebQ … #sydneystorm pic.twitter.com/Wh7IBKYM0p;;;#sydneystorm;5,90299E+17;https://twitter.com/BevanShields/status/590299014593060864;
hannahh_cox;20/04/2015 20:28;0;1;I wanna go to the Sydney Opera House;;;;5,90296E+17;https://twitter.com/hannahh_cox/status/590296044375777280;
AussieScenes;20/04/2015 20:21;0;0;At http:// iqboom.com/australia -- Catch ya later #australia . #Sydney #sydneyoperahouse #vacationisover #itsbeenagoodone pic.twitter.com/1pkkHm9jnD;;;#australia #Sydney #sydneyoperahouse #vacationisover #itsbeenagoodone;5,90294E+17;https://twitter.com/AussieScenes/status/590294250962694144;
daveulloa;20/04/2015 20:08;0;2;So much to see, do and experience. The same architect who created the Sydney Opera House created the… https:// instagram.com/p/1tvLCYieiH/;;;;5,90291E+17;https://twitter.com/daveulloa/status/590291087341805568;
ShreyaParanjape;20/04/2015 19:44;0;2;Could get used to this view... Standing out even in this stormy weather- the Sydney Opera House @… https:// instagram.com/p/1tsaYMyd5Y/;;@;;5,90285E+17;https://twitter.com/ShreyaParanjape/status/590285017173118976;
TravelDealsInt;20/04/2015 19:28;0;0;Worlds Cheapest Flights: http:// bit.ly/Cheap_Flights_ SpecialOffer … harbour daze Sydney Opera House and the Sydney Harbour Bridge fr… pic.twitter.com/IgLf1J6Gi6;;;;5,90281E+17;https://twitter.com/TravelDealsInt/status/590280795971047424;
WyldeSoul;20/04/2015 18:42;0;0;Help make it happen for 'Ken Lavigne - Sydney Opera House Debut 2015!' http:// igg.me/p/ken-lavigne- sydney-opera-house-debut-2015/a2b4/7799143 … #indiegogo via @indiegogo;;@indiegogo;#indiegogo;5,90269E+17;https://twitter.com/WyldeSoul/status/590269359676739584;
Carly_Clarke;20/04/2015 18:21;0;0;Sydney Opera house from the Manly ferry Sunday morning. #Australia #picaday #catchup https:// instagram.com/p/1ti3XVS5zg/;;;#Australia #picaday #catchup;5,90264E+17;https://twitter.com/Carly_Clarke/status/590264025616932864;
AussieScenes;20/04/2015 18:17;0;0;At http:// iqboom.com/australia -- Typical Tourist Snap #sydneyoperahouse #sydney #sky #prettyview #sunset #travels pic.twitter.com/B1xtAwNa5t;;;#sydneyoperahouse #sydney #sky #prettyview #sunset #travels;5,90263E+17;https://twitter.com/AussieScenes/status/590263018044399617;
ShareVacayPics;20/04/2015 17:23;0;0;The World Famous Sydney Opera House . http:// bit.ly/KidyRB #Australia #vacation;;;#Australia #vacation;5,90249E+17;https://twitter.com/ShareVacayPics/status/590249364439883777;
Sydneyinframe;20/04/2015 17:12;0;0;Sydneyinframe wesite Sydney opera house : Check out these Sydney Opera House images: Sydney opera house Image b... http:// bit.ly/1D8xmhc;;;;5,90247E+17;https://twitter.com/Sydneyinframe/status/590246753644871680;
