username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
wisemanryder;29/01/2018 21:36;0;0;Over,looking this the NFL has become more like the Hollywood liberal elitist by the way their Commissioner allowed the player to disrespect something that was add to being more fans to their games the national anthem sad how those very spoiled ever rich men ignore who made them;;;;9,58122E+17;https://twitter.com/wisemanryder/status/958121802458419200
cfloatthegent;29/01/2018 21:34;0;0;It's a felony to Take A Knee during the National Anthem & punishable up to 10 yrs in prison!!! You're welcome @NFL;;@NFL;;9,58121E+17;https://twitter.com/cfloatthegent/status/958121190194843648
morfit88;29/01/2018 21:29;0;0;@realDonaldTrump uses his platform to say outrageous things. While talking w/Native Americans he called @elizabethforma “pochahantas” he went 2 nfl game just 2make point about national anthem . He spoke in front of CIA mem to officers & bragged about ;;@realDonaldTrump @elizabethforma;;9,5812E+17;https://twitter.com/morfit88/status/958120004544860160
UFOParanormNews;29/01/2018 21:26;0;0;#Snopes Did NFL Decide Not to Televise National Anthem Before Super Bowl https:// goo.gl/8CmF4a;;;#Snopes;9,58119E+17;https://twitter.com/UFOParanormNews/status/958119094888423424
LuvsDawgs;29/01/2018 21:09;0;0;Mr. Taylor, you are right. And Mr. Watson, you are wrong. If millions of people, black and white, condemn kneeling during our national anthem , then there is obviously something wrong with the way the message is being delivered. Change it or the NFL will continue to suffer.;;;;9,58115E+17;https://twitter.com/LuvsDawgs/status/958114996092841984
MarkVonVegas;29/01/2018 21:00;0;0;Righties will believe anything. FACT CHECK: Did the NFL Decide Not to Televise the National Anthem Before the Super Bowl? https://www. snopes.com/nfl-wont-telev ise-national-anthem-before-super-bowl/#.Wm-nh2OawJs.twitter …;;;#;9,58113E+17;https://twitter.com/MarkVonVegas/status/958112652961738754
sal_palazzola;29/01/2018 20:54;0;0;I don’t you talking about black football players kneeling during the national anthem because they hate racism are you fucking kidding me the NFL would not allow a commercial that says please stand because they consider that offensive;;;;9,58111E+17;https://twitter.com/sal_palazzola/status/958111128034344960
SportsWrld;29/01/2018 20:53;0;0;Did NFL Decide Not to Televise National Anthem Before Super Bowl? - http:// Snopes.com https:// goo.gl/x3JqrE pic.twitter.com/AzVE7L1e2g;;;;9,58111E+17;https://twitter.com/SportsWrld/status/958110937499799554
TonyDeplorable;29/01/2018 20:41;0;0;Another Reason to Boycott the NFL and Sponsors who support employees protesting during the National Anthem;;;;9,58108E+17;https://twitter.com/TonyDeplorable/status/958107850168991745
TonyDeplorable;29/01/2018 20:38;0;0;Who cares. Boycott the Super Bowl. Boycott the NFL and Sponsors who support employees protesting during the National Anthem;;;;9,58107E+17;https://twitter.com/TonyDeplorable/status/958107215851814914
mythmanjay;29/01/2018 20:35;0;0;Did NFL Decide Not to Televise National Anthem Before Super Bowl? https:// goo.gl/fb/wMhS6Q Really?;;;;9,58106E+17;https://twitter.com/mythmanjay/status/958106304270290944
