username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
Tanama88;03/10/2017 20:30;1;1;Lubbock Estacado Army JrROTC Thanks Midland Lee Football Players For Honoring Flag http:// mix979fm.com/lubbock-estaca do-army-jrrotc-thanks-midland-lee-football-players-for-honoring-flag/?trackback=twitter … @mix979;;@mix979;;9,15359E+17;https://twitter.com/Tanama88/status/915358520744259584;
ErikRichardsUSA;03/10/2017 20:24;1;13;Syracuse football C commit Tyrone Sampson to play in U.S. Army All-American Bowl http://www. syracuse.com/orangefootball /index.ssf/2017/10/tyrone_sampson_us_army_all-american_bowl_center_syracuse_football_commit.html …;;;;9,15357E+17;https://twitter.com/ErikRichardsUSA/status/915356917320601603;
Humblejoe1208;03/10/2017 20:10;0;1;The US Army football team took a knee. So what y’all gonna say about them? #TakeAKnee pic.twitter.com/ItgOxN6XIq;;;#TakeAKnee;9,15353E+17;https://twitter.com/Humblejoe1208/status/915353282389970945;
luhthump;03/10/2017 20:06;0;0;My high school football career have ended im going to the army or Air Force;;;;9,15352E+17;https://twitter.com/luhthump/status/915352352143626241;
salinterdonato;03/10/2017 19:34;0;3;#ArmyFootball wraps up Tuesday practice in preparation for Saturday's road game at Rice. https://www. instagram.com/p/BZzYRvUh0g4/;;;#ArmyFootball;9,15344E+17;https://twitter.com/salinterdonato/status/915344355145129984;
NunesMagician;03/10/2017 18:38;3;26;ICYMI: Four-star Syracuse football commit Tyrone Sampson will play in the U.S. Army All-American Bowl https://www. nunesmagician.com/2017/10/3/1641 3920/syracuse-football-commit-sampson-army-all-american-bowl-invite …;;;;9,1533E+17;https://twitter.com/NunesMagician/status/915330150388031488;
Zadabee;03/10/2017 18:26;0;0;US Army football team http:// fb.me/CuETteEb;;;;9,15327E+17;https://twitter.com/Zadabee/status/915327258658770945;
salinterdonato;03/10/2017 18:13;0;2;Ranger Jerseys (UTEP, defense): Alex Aukerman, Chandler Ramirez, John Voit, Ray Wright #ArmyFootball;;;#ArmyFootball;9,15324E+17;https://twitter.com/salinterdonato/status/915323957959696384;
salinterdonato;03/10/2017 17:58;0;6;Ranger Jerseys (UTEP, offense): Adams, Boylan, Bradshaw, Davidson, Ejekam, Holt, Houghton, Q. Parker, Toth, Walker #ArmyFootball;;;#ArmyFootball;9,1532E+17;https://twitter.com/salinterdonato/status/915320248823410688;
sbncollege;03/10/2017 17:45;0;0;Syracuse football commit earns Army All-American bowl invite https://www. nunesmagician.com/2017/10/3/1641 3920/syracuse-football-commit-sampson-army-all-american-bowl-invite …;;;;9,15317E+17;https://twitter.com/sbncollege/status/915316972233031681;
syracusebuzztap;03/10/2017 17:36;0;0;nunesmagician​.com >> Syracuse football commit earns Army All-American bowl invite http:// buzztap.com/-JRHc9e;;;;9,15315E+17;https://twitter.com/syracusebuzztap/status/915314740028637190;
NunesMagician;03/10/2017 17:35;1;10;Syracuse football commit . @TSamp_51 earns Army All-American bowl invite https://www. nunesmagician.com/2017/10/3/1641 3920/syracuse-football-commit-sampson-army-all-american-bowl-invite?utm_campaign=nunesmagician&utm_content=chorus&utm_medium=social&utm_source=twitter …;;@TSamp_51;;9,15314E+17;https://twitter.com/NunesMagician/status/915314312377458688;
HaleyBurtonNews;03/10/2017 17:34;0;0;Charleston Hartfield- Las Vegas police officer, an accomplished Nevada Army National Guard sergeant first class and a youth football coach;;;;9,15314E+17;https://twitter.com/HaleyBurtonNews/status/915314184941916160;
740KVOR;03/10/2017 17:30;0;0;Now this is a Sweet Deal to the last 4 Air Force Football HOME games including Army ! $240 value for only $120!... http:// fb.me/BCFfMZ9O;;;;9,15313E+17;https://twitter.com/740KVOR/status/915313139230691328;
rtormet;03/10/2017 17:07;0;0;Did the Army football team take a knee during the anthem this weekend?;;;;9,15307E+17;https://twitter.com/rtormet/status/915307434989760513;
resellrescue;03/10/2017 16:43;0;0;Check out Army vs. Columbia Official Football Game Program October 16th 1943 WWII ERA https://www. ebay.com/itm/2325090214 82 … @eBay #army #columbia;;@eBay;#army #columbia;9,15301E+17;https://twitter.com/resellrescue/status/915301223716319232;
Dan_T_Head;03/10/2017 16:23;0;0;"The new #ArmyFootball Preview has a whole section: How to Watch BeIN Sports"". More complicated than analyzing the actual game. #ARMYvsRICE""";;;#ArmyFootball #ARMYvsRICE;9,15296E+17;https://twitter.com/Dan_T_Head/status/915296154648182784;
s4G1989;03/10/2017 16:09;0;0;Go Army !!! Beat Navy!!!;;;;9,15293E+17;https://twitter.com/s4G1989/status/915292655134871552;
salinterdonato;03/10/2017 15:43;1;6;RECRUITING: Bishop O'Connell (Va,.) DE Nate Smith ( @nate_smith0804 ) tweets he's joined #ArmyFootball 2018 class. Army was Smith's 1st offer;;@nate_smith0804;#ArmyFootball;9,15286E+17;https://twitter.com/salinterdonato/status/915286120316928000;
artnbarb;03/10/2017 15:33;0;0;US Army football team takes a knee http:// fb.me/1BrUMttEb;;;;9,15284E+17;https://twitter.com/artnbarb/status/915283775201964033;
salinterdonato;03/10/2017 15:33;0;3;Realistic return for S Rhyan England (knee) may be at Air Force (Nov. 4) but probably not before, Coach Monken said. #ArmyFootball;;;#ArmyFootball;9,15284E+17;https://twitter.com/salinterdonato/status/915283578493308928;
bigbaby404;03/10/2017 15:30;0;0;This is the us army football team and I guess they're being unpatriotic. @TheOfficerTatum pic.twitter.com/9ldc2kYC1R;;@TheOfficerTatum;;9,15283E+17;https://twitter.com/bigbaby404/status/915282950895349761;
Moeboogiee;03/10/2017 15:09;0;0;@rickdamanager this not no damn army football why they lying lmao https:// twitter.com/premisedamc/st atus/914694012874915840 …;;@rickdamanager;;9,15278E+17;https://twitter.com/Moeboogiee/status/915277526754381824;
salinterdonato;03/10/2017 15:05;6;17;Players of week (UTEP): QB Ahmad Bradshaw, DE John Voit, LB Bayle Wolf, OL Mike Gerber & DL Alex Crawford #ArmyFootball pic.twitter.com/TRknQXvp36;;;#ArmyFootball;9,15277E+17;https://twitter.com/salinterdonato/status/915276608222752771;
