username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
VictorBird7;26/09/2017 20:45;0;0;Is it ture Budweiser leaving Nfl;;;;9,12825E+17;https://twitter.com/VictorBird7/status/912825421393203203
rbaker2888;26/09/2017 20:30;0;0;Protesting NFL sponsors, no more Budweiser or Papa Johns. Retweet your sponsor protest;;;;9,12822E+17;https://twitter.com/rbaker2888/status/912821640546930689
Ltlivingalie;26/09/2017 20:25;0;0;"My Budweiser football is tasting like politics and protests. My Sprite tastes like Bum"". Win on Sunday. Protest on Monday. #Protest NFL""";;;#Protest;9,1282E+17;https://twitter.com/Ltlivingalie/status/912820361833713664
beauticountry;26/09/2017 20:21;0;0;Did Budweiser Pull Advertising from the NFL Over National Anthem Protests? http://www. snopes.com/budweiser-pull -advertising-nfl-national-anthem-protest/?utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/5H3RWFDRfK;;;;9,12819E+17;https://twitter.com/beauticountry/status/912819348699463683
MouseWayne;26/09/2017 20:12;0;0;So I guess I need to stop buying budweiser on top of not watch the nfl ? Because budweiser sure didn't give a... http:// fb.me/xGubtFr0;;;;9,12817E+17;https://twitter.com/MouseWayne/status/912817078159024128
1bluifox;26/09/2017 20:09;0;0;@budweiserusa What about it Budweiser ? Tell the @NFL to stand or I no longer buy bud light.;;@budweiserusa @NFL;;9,12816E+17;https://twitter.com/1bluifox/status/912816451924512769
LucMatte9;26/09/2017 20:02;0;1;"Budweiser and Radisson Hotels tell @NFL Clean up your act quick"" Bud's sponsorship comes to $1.6 b over 6 years @nflcommish @potus""";;@NFL @nflcommish @potus;;9,12815E+17;https://twitter.com/LucMatte9/status/912814776975314944
MicroDeathAngel;26/09/2017 20:02;0;0;Here's the real disrespect -- to those who purchased Our Freedoms and ensured the survival of Our Nation: pic.twitter.com/IvfTueQQqr;;;;9,12815E+17;https://twitter.com/MicroDeathAngel/status/912814697421864960
LuwanaLee;26/09/2017 19:59;0;1;Budweiser supports the NFL hwre is a list of beers to avoidBudweiser Family Budweiser (World Beer Cup Bronze... http:// fb.me/2eHu9mRoY;;;;9,12814E+17;https://twitter.com/LuwanaLee/status/912813926823407616
KevinAMacomber;26/09/2017 19:58;0;0;@Budweiser you are class act and have partnered with the anti-American leadership of the NFL . Leave them or leave Veterans.;;@Budweiser;;9,12814E+17;https://twitter.com/KevinAMacomber/status/912813558534217734
ron_meeks88;26/09/2017 19:57;0;0;@AnheuserBusch not another Budweiser purchase until you drop @NFL . Too much blood spilt protecting this great nation! #bantheNFL;;@AnheuserBusch @NFL;#bantheNFL;9,12813E+17;https://twitter.com/ron_meeks88/status/912813478041223168
bobmichaels77;26/09/2017 19:55;0;0;Boycott the NFL advertisers. Start with Budweiser . Send a message to the players and NFL;;;;9,12813E+17;https://twitter.com/bobmichaels77/status/912812819908833280
AerialChannel;26/09/2017 19:51;0;0;Veterans Newscast 8K VETERANS ASK YOU TO BOYCOTT #StandForOurAnthem @FoxNews #FoxNews @oann #oann @NFL #NFl Budweiser @Budweiser #Budweiser pic.twitter.com/KjBMWFSYr6;;@FoxNews @oann @NFL @Budweiser;#StandForOurAnthem #FoxNews #oann #NFl #Budweiser;9,12812E+17;https://twitter.com/AerialChannel/status/912811798562254849
NFLMcHollington;26/09/2017 19:36;0;0;"#NFL - #Budweiser Talks the Talk"" about the ""Flag Protest"" against US & Veterans to a fan, let's see if the ""Walk the Walk"" & Speaks to NFL pic.twitter.com/90swPoP2i1""";;;#NFL #Budweiser;9,12808E+17;https://twitter.com/NFLMcHollington/status/912808188273033216
mrhayes1029;26/09/2017 19:36;0;0;does that mean boycott Budweiser during NFL , but patronize during World Series?;;;;9,12808E+17;https://twitter.com/mrhayes1029/status/912808161291022336
ekimdis;26/09/2017 19:28;0;0;@RAVENS @NFL @NFLNetwork @GIANTS @buffalobills @STEELERS Great example of Disrespectful millionaires. #BoycottNFLSponsors NIKE, Budweiser https:// twitter.com/ThePatriot143/ status/912805460172042240 …;;@RAVENS @NFL @NFLNetwork @GIANTS @buffalobills @STEELERS;#BoycottNFLSponsors;9,12806E+17;https://twitter.com/ekimdis/status/912806166836719616
tsmith3720;26/09/2017 19:20;0;0;BUDWEISER PULLING OUT OF NFL IS FALSE RUMOR !;;;;9,12804E+17;https://twitter.com/tsmith3720/status/912804182670954496
ekimdis;26/09/2017 19:20;0;1;F.U. @PapaJohns #BoycottNFLSponsors include: Pepsi, Budweiser , Marriott, Microsoft, McDonalds. American Patriots are Dumping the NFL . https:// twitter.com/Visa/status/90 8155894608703488 …;;@PapaJohns;#BoycottNFLSponsors;9,12804E+17;https://twitter.com/ekimdis/status/912804170750742540
TexasCigarGuy;26/09/2017 19:12;0;1;Memory serves me I bet #colinkaepernick thought that too. #Unemployed #BoycottNFLSponsors #BoycottNFL #NFL;;;#colinkaepernick #Unemployed #BoycottNFLSponsors #BoycottNFL #NFL;9,12802E+17;https://twitter.com/TexasCigarGuy/status/912802101960552451
Shaunmccallum4;26/09/2017 19:12;0;0;You might want to rethink the choice!;;;;9,12802E+17;https://twitter.com/Shaunmccallum4/status/912802074513039361
JohnnieVolume;26/09/2017 19:11;0;0;Armour: NFL should be rattled by Budweiser statement http:// fb.me/7pkP8MSzo;;;;9,12802E+17;https://twitter.com/JohnnieVolume/status/912801716004900864
OpineSOCIAL;26/09/2017 19:08;0;0;@OpineSOCIAL » Budweiser Pulling Advertising From NFL Due To National Anthem Protest Is A False Rumor http:// zpr.io/nnxss #Opines on #;;@OpineSOCIAL;#Opines #;9,12801E+17;https://twitter.com/OpineSOCIAL/status/912801196615794690
eopiniontv;26/09/2017 19:08;0;0;Veterans Newscast 8K VETERANS ASK YOU TO BOYCOTT #StandForOurAnthem @FoxNews #FoxNews @oann #oann @NFL #NFl Budweiser @Budweiser #Budweiser pic.twitter.com/flXMuv7oeG;;@FoxNews @oann @NFL @Budweiser;#StandForOurAnthem #FoxNews #oann #NFl #Budweiser;9,12801E+17;https://twitter.com/eopiniontv/status/912800955439157248
