username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bootysmashen;24/09/2017 20:59;0;0;If the NFL really is all about enforcing the rules then I can't wait to see the fines from today. pic.twitter.com/gpDpPJWCGH;;;;9,12104E+17;https://twitter.com/bootysmashen/status/912104215656443906
LeVanisF1;24/09/2017 20:57;0;0;@realDonaldTrump @seanhannity read the NFL RULE book regulations about the national Anthem and how they must stand or suffer fines /reprimand;;@realDonaldTrump @seanhannity;;9,12104E+17;https://twitter.com/LeVanisF1/status/912103825191964673
CharmingME1;24/09/2017 20:56;0;0;https://www. sbnation.com/nfl/2015/10/28 /9626040/deangelo-williams-cancer-cam-heyward-william-gay-fine … NFL FINES FOR EXPRESSING SUPPORT IN A NON SANCTIONED MANNER;;;;9,12104E+17;https://twitter.com/CharmingME1/status/912103515941752838
Dupes2k;24/09/2017 20:54;0;0;@StefanMolyneux NFL fines $50k for excessive celeb, fine $50k per game per player who protest the national anthem, donate to veterans groups;;@StefanMolyneux;;9,12103E+17;https://twitter.com/Dupes2k/status/912102934820872193
MaryGamber;24/09/2017 20:54;1;2;The #NFL talks abt respecting people's rights 2 free speech yet fines players 4 othr prsnl infractions. This is politics, plain & simple.;;;#NFL;9,12103E+17;https://twitter.com/MaryGamber/status/912102926222598145
SEM3376;24/09/2017 20:54;0;0;#NFL has a huge problem & nothing they can do about it, no matter if Players don't stand for the flag or he fines them the NFL loses fans.;;;#NFL;9,12103E+17;https://twitter.com/SEM3376/status/912102859117928448
GulfDogs;24/09/2017 20:53;2;0;★Flashback: NFL Players Threatened With Fines For Wearing Patriotic Cleats on 9/11➜ http://www. thegatewaypundit.com/2017/09/flashb ack-nfl-players-threatened-fines-wearing-patriotic-cleats-911/ … ★ #PJNET ★ #CCOT ★;;;#PJNET #CCOT;9,12103E+17;https://twitter.com/GulfDogs/status/912102791375736832
Dupes2k;24/09/2017 20:51;0;0;@Cernovich NFL fines $50k for excessive celeb, fine $50k per game per player who protest the national anthem, donate it to veterans groups.;;@Cernovich;;9,12102E+17;https://twitter.com/Dupes2k/status/912102238109257730
icapturpix;24/09/2017 20:50;0;0;The NFL fines and suspends players for wearing 9/11 patch or celebrating in end zone. Where are you with your free speech message there? https:// twitter.com/meyerwaduckfan /status/912067642835443712 …;;;;9,12102E+17;https://twitter.com/icapturpix/status/912101864836964352
Dupes2k;24/09/2017 20:50;0;0;@PrisonPlanet NFL fines $50k for excessive celeb, fine $50k per game per player who protest the national anthem, donate to veterans groups;;@PrisonPlanet;;9,12102E+17;https://twitter.com/Dupes2k/status/912101848332619776
bullriver3;24/09/2017 20:48;0;0;They don't. Players get Flags/ fines /suspensions 4 disrespecting NFL but not 4 American flag & rarely 4 women.;;;;9,12101E+17;https://twitter.com/bullriver3/status/912101390809526272
defanta;24/09/2017 20:48;0;0;NFL fines them for any little bit of behavior they dont agree with so they have no freedom of expression in NFL .;;;;9,12101E+17;https://twitter.com/defanta/status/912101370429411328
rockermom2;24/09/2017 20:47;0;0;@nflcommish @NFL where are the fines for the @steelers pic.twitter.com/HQOqXJDOyU;;@nflcommish @NFL @steelers;;9,12101E+17;https://twitter.com/rockermom2/status/912101233858695173
CharmingME1;24/09/2017 20:46;0;0;https://www. cbssports.com/nfl/news/doubl e-standard-odell-beckham-claims-nfl-fined-him-for-craig-sager-cleats/ … NFL FINES FOR SUPPORTING A CAUSE (fighting cancer);;;;9,12101E+17;https://twitter.com/CharmingME1/status/912100878680702976
cafenetamerica;24/09/2017 20:43;0;0;Flashback: NFL Players Threatened With Fines For Wearing Patriotic Cleats on 9/11 http:// dlvr.it/PqC7d4 #tcot pic.twitter.com/MSb7iWd4IP;;;#tcot;9,121E+17;https://twitter.com/cafenetamerica/status/912100111282401280
CharmingME1;24/09/2017 20:41;0;0;https://www. cbssports.com/nfl/news/doubl e-standard-odell-beckham-claims-nfl-fined-him-for-craig-sager-cleats/ … NFL FINES FOR SUPPORTING A CAUSE (fighting cancer);;;;9,121E+17;https://twitter.com/CharmingME1/status/912099808533532673
navorska;24/09/2017 20:41;0;0;@nflcommish NFL league rule book, pages A62-63: When willthe fines , suspensions and draft choice penalties be enforced? pic.twitter.com/Mt50vSUYMZ;;@nflcommish;;9,121E+17;https://twitter.com/navorska/status/912099749179863041
Flavinizer;24/09/2017 20:37;1;0;So @NFL fines players wearing 9.11 shoes, praying in End zone, but ok to #TakeTheKnee disrespecting veterans and ok for domestic violence;;@NFL;#TakeTheKnee;9,12099E+17;https://twitter.com/Flavinizer/status/912098624028344320
dawino6260;24/09/2017 20:36;0;0;BREAKING: NFL Fines Pittsburgh Steelers $1m Each For Skipping National Anthem http:// fb.me/u8BO4ctF;;;;9,12098E+17;https://twitter.com/dawino6260/status/912098332931231745
MongeraArmyof5;24/09/2017 20:35;0;0;@NFL you claim to want to protect players! Yeah ok. Open your eyes fines don’t work. Suspensions will. @RSherman_25 should have been ejected;;@NFL @RSherman_25;;9,12098E+17;https://twitter.com/MongeraArmyof5/status/912098216325242881
