username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NJ_Sports;14/10/2016 20:41;0;0;Eli Apple, Jason Pierre-Paul among 6 Giants questionable for Ravens game http:// nj-ne.ws/DkpOUtQ;;;;7,87076E+17;https://twitter.com/NJ_Sports/status/787075994951843840
NFL_FanTeam_Ldr;14/10/2016 20:02;0;0;[ http:// NJ.com ] - Eli Apple, Jason Pierre-Paul among 6 Giants questionable for Ravens game http:// ift.tt/2e4HG7V;;;;7,87066E+17;https://twitter.com/NFL_FanTeam_Ldr/status/787066195866419200
SandraC_FCB;14/10/2016 19:56;0;0;Eli Apple, Jason Pierre-Paul among 6 Giants questionable for Ravens game pic.twitter.com/vSNpwsK8bK;;;;7,87065E+17;https://twitter.com/SandraC_FCB/status/787064620175556612
giantsbuzztap;14/10/2016 19:49;0;0;nj​.com >> Eli Apple, Jason Pierre-Paul among 6 Giants questionable for Ravens game http:// buzztap.com/-B0ffaW;;;;7,87063E+17;https://twitter.com/giantsbuzztap/status/787062859570163712
FLGM_NFC_news;14/10/2016 19:46;0;0;NYG Star Ledger: Eli Apple, Jason Pierre-Paul among 6 Giants questionable for Ravens game http:// bit.ly/2ef3CtI;;;;7,87062E+17;https://twitter.com/FLGM_NFC_news/status/787062046093291520
Alida_gzlo;14/10/2016 19:46;0;0;Eli Apple, Jason Pierre-Paul among 6 Giants questionable for Ravens game: Both teams have lengthy injury reports. http:// bit.ly/2ef3CtI;;;;7,87062E+17;https://twitter.com/Alida_gzlo/status/787062044558184448
BuschLeagueNY;14/10/2016 19:39;0;0;Rashad Jennings, Jason Pierre-Paul questionable for Giants http:// trib.al/amGBt6u;;;;7,8706E+17;https://twitter.com/BuschLeagueNY/status/787060303255183360
tunotimundo;14/10/2016 19:39;0;0;Eli Apple, Jason Pierre-Paul among 6 Giants questionable for Ravens game http:// dlvr.it/MSKXdr pic.twitter.com/AdS3croelS;;;;7,8706E+17;https://twitter.com/tunotimundo/status/787060212674945024
FourthandGoal01;14/10/2016 18:05;0;0;#Ravens WR Steve Smith Sr. (ankle) listed as doubtful. #Giants DE Jason Pierre-Paul (groin) listed as questionable. http:// bit.ly/2dhM67f;;;#Ravens #Giants;7,87037E+17;https://twitter.com/FourthandGoal01/status/787036692792406016
LAmobslugger;14/10/2016 17:26;0;0;Jason Pierre-Paul and Olivier Vernon are looking for Giants pressure https:// af11.wordpress.com/2016/10/14/jas on-pierre-paul-and-olivier-vernon-are-looking-for-giants-pressure …;;;;7,87027E+17;https://twitter.com/LAmobslugger/status/787026876183171072
