username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HollywdNewsfeed;17/03/2016 20:59;0;0;Floyd Mayweather -- That Hot 19 Y/O Girl? ... I'm Totally NOT Hittin' It >> http:// goo.gl/InP;;;;7,10617E+17;https://twitter.com/HollywdNewsfeed/status/710616548927528961
felipeossacourt;17/03/2016 20:58;2;1;This, I love Floyd Mayweather Seen At Trump Rally, Fists Out, Wearing Muslim Headscarf http:// thekicker.com/floyd-mayweath er-seen-at-trump-rally-fists-out-wearing-muslim-headscarf/ … via @kickerofficial;;@kickerofficial;;7,10616E+17;https://twitter.com/felipeossacourt/status/710616452613722116
girlcollectionx;17/03/2016 20:58;0;0;Floyd Mayweather — That Hot 19 Y/O Girl? … I'm Totally NOT Hittin' It http:// checkusin.com/floyd-mayweath er-that-hot-19-yo-girl-im-totally-not-hittin-it/ … pic.twitter.com/XSzUvN5qlx;;;;7,10616E+17;https://twitter.com/girlcollectionx/status/710616374951878656
therollingstory;17/03/2016 20:58;0;0;Floyd Mayweather — That Hot 19 Y/O Girl? … I'm Totally NOT Hittin' It http:// checkusin.com/floyd-mayweath er-that-hot-19-yo-girl-im-totally-not-hittin-it/ … pic.twitter.com/Bc4jTBulct;;;;7,10616E+17;https://twitter.com/therollingstory/status/710616362519908352
newscoflash;17/03/2016 20:58;0;0;Floyd Mayweather — That Hot 19 Y/O Girl? … I'm Totally NOT Hittin' It http:// checkusin.com/floyd-mayweath er-that-hot-19-yo-girl-im-totally-not-hittin-it/ … pic.twitter.com/0L4vhzkxj2;;;;7,10616E+17;https://twitter.com/newscoflash/status/710616350922641412
jordanduran;17/03/2016 20:58;0;0;Floyd Mayweather — That Hot 19 Y/O Girl? … I'm Totally NOT Hittin' It http:// checkusin.com/floyd-mayweath er-that-hot-19-yo-girl-im-totally-not-hittin-it/ … pic.twitter.com/4L0NxfVkwZ;;;;7,10616E+17;https://twitter.com/jordanduran/status/710616336519421952
8rend;17/03/2016 20:57;0;0;Watch Floyd Mayweather enjoying himself at Birmingham sheesha... http:// dlvr.it/Kps9F6;;;;7,10616E+17;https://twitter.com/8rend/status/710616035699728384
DotGaDomains;17/03/2016 20:56;1;0;Floyd Mayweather -- That Hot 19 Y/O Girl? ... I'm Totally NOT Hittin' It http://www. tmz.com/2016/03/17/flo yd-mayweather-boxing-hot-girl/ … pic.twitter.com/P0XIjSORnt;;;;7,10616E+17;https://twitter.com/DotGaDomains/status/710615732363505664
DotCFDomains;17/03/2016 20:56;1;0;Floyd Mayweather -- That Hot 19 Y/O Girl? ... I'm Totally NOT Hittin' It http://www. tmz.com/2016/03/17/flo yd-mayweather-boxing-hot-girl/ … pic.twitter.com/10c6TfIh0a;;;;7,10616E+17;https://twitter.com/DotCFDomains/status/710615725342199808
DotMLDomains;17/03/2016 20:56;1;0;Floyd Mayweather -- That Hot 19 Y/O Girl? ... I'm Totally NOT Hittin' It http://www. tmz.com/2016/03/17/flo yd-mayweather-boxing-hot-girl/ … pic.twitter.com/sS76csEA6z;;;;7,10616E+17;https://twitter.com/DotMLDomains/status/710615724822110208
hollywoodnewz;17/03/2016 20:56;0;0;Floyd Mayweather -- That Hot 19 Y/O Girl? ... I'm Totally NOT Hittin' It http:// dlvr.it/Kps81H #hollywood;;;#hollywood;7,10616E+17;https://twitter.com/hollywoodnewz/status/710615719143079938
