username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
drawnlikemoths;24/10/2017 21:59;0;0;Announce Casillas @LFC https:// twitter.com/MARCAinENGLISH /status/922958519699103745 …;;@LFC;;9,22976E+17;https://twitter.com/drawnlikemoths/status/922975888882495488
AlexScully17;24/10/2017 21:58;0;0;This deffo either Britni or Veronica coming back not cara or anesaa;;;;9,22976E+17;https://twitter.com/AlexScully17/status/922975598968008704
starnote13;24/10/2017 21:57;0;0;"Both of you:  @MTVCoryWharton is naked again!!"" #TheChallengeXXX""";;@MTVCoryWharton;#TheChallengeXXX;9,22975E+17;https://twitter.com/starnote13/status/922975406613041152
Casillas_Beo;24/10/2017 21:57;0;0;I'm live right now! come check me out over on twitch. https://www. twitch.tv/mrkhubkayks@tw itchTVGaming … @PLAYERUNKNOWN;;@tw @PLAYERUNKNOWN;;9,22975E+17;https://twitter.com/Casillas_Beo/status/922975291575644160
JanicexLydia;24/10/2017 21:57;0;0;This looks SO GOOD... Can't WAIT to see why they look like this!;;;;9,22975E+17;https://twitter.com/JanicexLydia/status/922975256897310722
daggomit_t;24/10/2017 21:54;0;8;"Oh my God, Becky. Look at her butt.""""";;;;9,22975E+17;https://twitter.com/daggomit_t/status/922974735989903361
emily_hartlaub;24/10/2017 21:54;0;3;wait, i’m actually playing for how much money?!;;;;9,22974E+17;https://twitter.com/emily_hartlaub/status/922974494502936576
al_pac_23;24/10/2017 21:53;0;7;STOP! Nobody's scared of you, Camila!;;;;9,22974E+17;https://twitter.com/al_pac_23/status/922974321999536128
FratTasticTeddy;24/10/2017 21:49;0;0;"Do i look like yo daddy b**** !"" - vine""";;;;9,22973E+17;https://twitter.com/FratTasticTeddy/status/922973418395394048
Emily20047;24/10/2017 21:49;0;0;When I don't see @kailah_ casillas in a challenge episode;;@kailah_;;9,22973E+17;https://twitter.com/Emily20047/status/922973316884942848
JennaCompono;24/10/2017 21:45;33;477;Caption @kailah_ casillas face #thechallengexxx #mtv pic.twitter.com/Dpm89pbj3F;;@kailah_;#thechallengexxx #mtv;9,22972E+17;https://twitter.com/JennaCompono/status/922972367395151872
DQ_the_Man;24/10/2017 21:39;0;0;Best of luck tonight. Praying your still in after this Redemption Challenge. #TheChallengeXXX;;;#TheChallengeXXX;9,22971E+17;https://twitter.com/DQ_the_Man/status/922970903511818243
