username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AlejandroS1019;04/08/2017 20:59;1;0;Ya blame Karol for Neymar leaving. She plays too much smh pic.twitter.com/FjtyE5jzQa;;;;8,93623E+17;https://twitter.com/AlejandroS1019/status/893622565960163330
Qaladzayii;04/08/2017 20:59;0;0;@neymarjr learn bro learn https:// twitter.com/forcabarca_ar/ status/893602488061878272 …;;@neymarjr;;8,93623E+17;https://twitter.com/Qaladzayii/status/893622536222769156
Reembowww;04/08/2017 20:59;0;1;*cries in neymar * https:// twitter.com/transferrelate d/status/893234414678941696 …;;;;8,93623E+17;https://twitter.com/Reembowww/status/893622531415867393
bioy159_s;04/08/2017 20:59;0;0;Not happening while RM are around tho . We're going to win the copa and that's is .No laliga or cl final anymore without neymar;;;;8,93622E+17;https://twitter.com/bioy159_s/status/893622494426308608
transatlanticAK;04/08/2017 20:59;0;0;It seems @neymarjr finally realized how whack @FCBarcelona is;;@neymarjr @FCBarcelona;;8,93622E+17;https://twitter.com/transatlanticAK/status/893622488135061504
RXGUE1;04/08/2017 20:59;0;0;Lol tell that to your boy Neymar;;;;8,93622E+17;https://twitter.com/RXGUE1/status/893622427112030208
cnmeister_net;04/08/2017 20:59;0;0;Neymar Becomes Second Highest-Paid Footballer in the World [See top 10] http:// cnmeister.net/neymar-becomes -second-highest-paid-footballer-in-the-world-see-top-10/ …;;;;8,93622E+17;https://twitter.com/cnmeister_net/status/893622425157500928
FreddyFerocious;04/08/2017 20:59;0;0;Neymar really doing everything in life for the money, wow https:// twitter.com/beatsbydre/sta tus/893535978601795584 …;;;;8,93622E+17;https://twitter.com/FreddyFerocious/status/893622416353538049
CnMeister;04/08/2017 20:59;0;0;#MeisterLately : Neymar Becomes Second Highest-Paid Footballer in the World [See top 10] http:// cnmeister.net/neymar-becomes -second-highest-paid-footballer-in-the-world-see-top-10/ …;;;#MeisterLately;8,93622E+17;https://twitter.com/CnMeister/status/893622363979472896
QkTipcom;04/08/2017 20:59;0;0;UPDATE: Neymar : Leaving Barcelona ‘one of the toughest’ decisions https:// goo.gl/9nb75r;;;;8,93622E+17;https://twitter.com/QkTipcom/status/893622362423164928
thats_s0_habso;04/08/2017 20:59;1;6;@halimo_hassan remember when that Somali Canadian went through the mall impersonating Rihanna and it worked??;;@halimo_hassan;;8,93622E+17;https://twitter.com/thats_s0_habso/status/893622356316258304
AbuZara007;04/08/2017 20:59;0;0;In other news, Neymar says his move is about big dreams & ambition, not ...& errrmmmm, apparently he's after a £23m loyalty bonus too;;;;8,93622E+17;https://twitter.com/AbuZara007/status/893622349026783232
nyz_ar;04/08/2017 20:59;0;0;hahahahahaha, he couldn't process the Neymar deal...classic Ronaldo...you can't hate the guy...;;;;8,93622E+17;https://twitter.com/nyz_ar/status/893622335256875009
MMAonSiriusXM;04/08/2017 20:58;5;8;. @PhilSchoen thinks PSG will make their money back on Neymar jersey sales alone #TLTS @lthomasnews @SiriusXMFC https:// soundcloud.com/siriusxmrush/p hil-schoen-thinks-psg-will-make-their-money-back-on-neymar-jersey-sales-alone …;;@PhilSchoen @lthomasnews @SiriusXMFC;#TLTS;8,93622E+17;https://twitter.com/MMAonSiriusXM/status/893622308656566272
jtrmachine;04/08/2017 20:58;0;0;Neymar is gone, ha;;;;8,93622E+17;https://twitter.com/jtrmachine/status/893622288582680576
deeflo87;04/08/2017 20:58;0;0;I guess dybala;;;;8,93622E+17;https://twitter.com/deeflo87/status/893622272061128705
nguyencuong8866;04/08/2017 20:58;0;0;Psg hit back at ffp critics as neymar defends reason to leave barcelona | by Latest Top News: http:// youtu.be/3XloHQ3vII8?a via @YouTube;;@YouTube;;8,93622E+17;https://twitter.com/nguyencuong8866/status/893622262989041664
FinerMargins;04/08/2017 20:58;0;0;Michael looked at the deal from PSG's end and then considered how Barca should look to replace Neymar . https:// twitter.com/MC_of_A/status /893545359766507520 …;;;;8,93622E+17;https://twitter.com/FinerMargins/status/893622244752187392
soccer_mate;04/08/2017 20:58;0;0;The boys from Brazil: Neymar joins PSG's roll call of samba stars - http:// soccer-mate.com/08/the-boys-fr om-brazil-neymar-joins-psgs-roll-call-of-samba-stars/ … pic.twitter.com/hXxWPYb0eR;;;;8,93622E+17;https://twitter.com/soccer_mate/status/893622244328570882
KwameKingGh;04/08/2017 20:58;0;0;Neymar https:// twitter.com/AntoGriezmann/ status/893607177591586816 …;;;;8,93622E+17;https://twitter.com/KwameKingGh/status/893622227546984449
cerutimartin;04/08/2017 20:58;0;0;If he thinks his transfer will match (or even near...) Neymar 's or Mbappe's he'll be surprise to know he's not in the top 5 anymore.;;;;8,93622E+17;https://twitter.com/cerutimartin/status/893622226527727616
Marquihno7;04/08/2017 20:58;0;5;I'm really debating whether or not to pay $180 for a Neymar jersey;;;;8,93622E+17;https://twitter.com/Marquihno7/status/893622224393039873
ajadiay40;04/08/2017 20:58;0;0;Wehdone oo PSG!! I hear that the money is many gan, if by anyhow you need someone to be cleaning the post, I'm here. Eshay puppy.;;;;8,93622E+17;https://twitter.com/ajadiay40/status/893622219837919232
Khaterehh98;04/08/2017 20:58;0;0;Still not over the fact that Neymar actually left Barca;;;;8,93622E+17;https://twitter.com/Khaterehh98/status/893622164104122369
jackcoleman97;04/08/2017 20:58;0;0;C'mon now, who's still tripping balls over the neymar transfer he's worth the big bucks don't you worry pic.twitter.com/k9DgdTAbD6;;;;8,93622E+17;https://twitter.com/jackcoleman97/status/893622159599312896
BrazilStat;04/08/2017 20:58;27;78;"NEYMAR JR:  #Pelé is unique, and icon, an idol, the best player of all time. I'm grateful for his existence and that he is Brazilian."" pic.twitter.com/0XyG8ead75""";;;#Pel;8,93622E+17;https://twitter.com/BrazilStat/status/893622108139474945
CEFJ_2018;04/08/2017 20:58;0;0;Congrats #Ritsuki Welcome @neymarjr;;@neymarjr;#Ritsuki;8,93622E+17;https://twitter.com/CEFJ_2018/status/893622105333522436
AhmedMa08518855;04/08/2017 20:58;0;0;Neymar jr went to fc paris;;;;8,93622E+17;https://twitter.com/AhmedMa08518855/status/893622082009006081
azeh_roy;04/08/2017 20:58;0;0;Great men are born in every nation... All the best Neymer Jnr!;;;;8,93622E+17;https://twitter.com/azeh_roy/status/893622079291101185
M_Espino10;04/08/2017 20:57;0;0;I dont think its right for @PSG_English to pay that much for @neymarjr but at the end of the day its a business and I'm sure they will;;@PSG_English @neymarjr;;8,93622E+17;https://twitter.com/M_Espino10/status/893622051143069696
TripleeO;04/08/2017 20:57;0;0;Neymar agrees to join PSG for £450 million deal http:// oknaija.com.ng/neymar-agrees- to-join-psg-for-450-million-deal/ … pic.twitter.com/Ifl9FJXr5t;;;;8,93622E+17;https://twitter.com/TripleeO/status/893622046680395776
ItsEkoHD;04/08/2017 20:57;0;0;I liked a @YouTube video http:// youtu.be/0qL6pZx_mrk?a MY REACTION TO NEYMAR 'S £200M PSG MOVE! - IMO #32;;@YouTube;#32;8,93622E+17;https://twitter.com/ItsEkoHD/status/893622036848820225
