username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
wwwebs;01/02/2018 21:11;0;2;"To be fair Afobe's had words put in his mouth there. The quote should be: Mikey Burrows suggests Benik Afobe has unfinshed business and Benik doesn't disagree"" 44 seconds in... https:// youtu.be/mSfwWjfn1Wc""";;;;9,59203E+17;https://twitter.com/wwwebs/status/959202563584339970
nperrettecho;01/02/2018 21:05;3;14;This whole Benik Afobe saga has finally made me realise how grubby the game is, if I didn't already know. #afcb #wwfc;;;#afcb #wwfc;9,59201E+17;https://twitter.com/nperrettecho/status/959201021535883264
MarkEvans1977;01/02/2018 20:44;0;0;@benik_afobe @Wolves He will score goals... He will score just more n more He will score goals He will score them all Benik is on fire Your defence is terrified Beniks on fire (C’mon) na na na na nah na na na nah na na..... https:// twitter.com/fansofsp;;@benik_afobe @Wolves;;9,59196E+17;https://twitter.com/MarkEvans1977/status/959195751837503489
MarkEvans1977;01/02/2018 20:29;0;2;It’s magic ya know, Benik Afobe is hoooome;;;;9,59192E+17;https://twitter.com/MarkEvans1977/status/959192096803614721
tgould1823;01/02/2018 20:28;0;0;The legend has returned #benikafobe;;;#benikafobe;9,59192E+17;https://twitter.com/tgould1823/status/959191822923911170
SBR_WWFC;01/02/2018 19:59;3;57;Last night was a 'Super blue blood Moon' only seen every 150 years in the Western hemisphere. It was also the night Benik Afobe returned to Wolves. Some things are written in the stars... #wwfc;;;#wwfc;9,59185E+17;https://twitter.com/SBR_WWFC/status/959184548679553024
WolvesFanApp;01/02/2018 19:59;0;2;Bournemouth loan Benik Afobe back to Wolves http:// spont.ly/1RhiV9K;;;;9,59185E+17;https://twitter.com/WolvesFanApp/status/959184526344941568
Wolves_TT1;01/02/2018 19:49;0;1;Five reasons why Benik Afobe 's return makes sense for Wolves #WWFC https://www. expressandstar.com/sport/football /wolverhampton-wanderers-fc/2018/02/01/five-reasons-why-benik-afobes-return-makes-sense-for-wolves/ …;;;#WWFC;9,59182E+17;https://twitter.com/Wolves_TT1/status/959181927638077440
transfernews133;01/02/2018 19:41;0;1;Confirmed: Wolverhampton Wanderers complete deal for Benik Afobe https://www. afcb.co.uk/news/club-news /afobe-seals-loan-switch-to-wolves … #AFCB #EPL;;;#AFCB #EPL;9,5918E+17;https://twitter.com/transfernews133/status/959180032437563392
HITCdeadlineday;01/02/2018 19:39;0;3;Confirmed: Wolverhampton Wanderers complete deal for Benik Afobe https://www. afcb.co.uk/news/club-news /afobe-seals-loan-switch-to-wolves … #AFCB #EPL;;;#AFCB #EPL;9,59179E+17;https://twitter.com/HITCdeadlineday/status/959179314322399233
