username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OwenEdgy99;23/01/2018 21:50;0;0;The ev thinking they’ve gotta steel with getting rid off Aaron Lennon , he’s gunna be in Europe next season while use are gunna be belting that justice for the 39 shout beating ur wives up. Mongrels;;;;9,55951E+17;https://twitter.com/OwenEdgy99/status/955950917467168768
BXSport;23/01/2018 21:48;0;2;In pictures: New Clarets signing Aaron Lennon 's career in pictures https:// trib.al/h3XmWeL #twitterclarets pic.twitter.com/klN8tehOdD;;;#twitterclarets;9,5595E+17;https://twitter.com/BXSport/status/955950291999916032
BXSport;23/01/2018 21:44;0;0;Aaron Lennon wings into Turf Moor Read more at: https:// trib.al/BjoElkt #twitterclarets pic.twitter.com/8pwfo575Vr;;;#twitterclarets;9,55949E+17;https://twitter.com/BXSport/status/955949293369741312
popwos;23/01/2018 20:54;0;0;Good luck for the future @aaronlennon;;@aaronlennon;;9,55937E+17;https://twitter.com/popwos/status/955936838698590209
SportsRoadhouse;23/01/2018 20:53;0;0;#Soccer #Soccer Aaron Lennon signs for Burnley...and looks far happier than at his Everton unveiling http:// srhlink.com/QCT7w4 #SportsRoadhouse;;;#Soccer #Soccer #SportsRoadhouse;9,55936E+17;https://twitter.com/SportsRoadhouse/status/955936472019841024
The_SportMag;23/01/2018 20:52;0;0;Aaron Lennon raring to go after leaving Everton for Burnley https:// thesportmag.com/aaron-lennon-r aring-go-leaving-everton-burnley/ … pic.twitter.com/UIZCrjqqG2;;;;9,55936E+17;https://twitter.com/The_SportMag/status/955936328016912385
EllBretland;23/01/2018 20:48;19;223;The amount of really nice comments for Aaron Lennon from Evertonians wishing him all the best at Burnley. Scoring goals goes a long, long way but there's nothing like showing class, respect and effort for the badge. #EFC;;;#EFC;9,55935E+17;https://twitter.com/EllBretland/status/955935338668744705
dannyry75007315;23/01/2018 20:37;0;0;Good luck Aaron hope you do really well there,good team Burnley,good manager and good fans,sure they will make you very welcome,THERES ONLY 1 AARON LENNON;;;;9,55932E+17;https://twitter.com/dannyry75007315/status/955932436835262465
EvertonianJamie;23/01/2018 20:29;0;0;Already discussed the Captain of Ireland thing in another thread. And that is defo not captain material Aaron Lennon worked hard and gave 100% every time he played. Should he have been captain?;;;;9,55931E+17;https://twitter.com/EvertonianJamie/status/955930513683992578
scotthill1911;23/01/2018 20:21;0;0;Not soppy. P.s. Burnley are shit and skint. That's why they bought Aaron Lennon . They have no clue about football.;;;;9,55928E+17;https://twitter.com/scotthill1911/status/955928418138324996
RuthyWire;23/01/2018 20:16;0;0;Aaron Lennon with the smile of someone with a gun to his head #Burnley pic.twitter.com/AvQgcDT6qx;;;#Burnley;9,55927E+17;https://twitter.com/RuthyWire/status/955927357654732800
