username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BoruDortmundnew;31/01/2018 21:59;1;0;Arsenal Complete Marquee Signing of Borussia Dortmund Star Pierre-Emerick Aubameyang - 90min http:// dlvr.it/QDTvk5;;;;9,58852E+17;https://twitter.com/BoruDortmundnew/status/958852157494538242
arsenalmad37;31/01/2018 21:57;0;0;Pierre Emerick Aubameyang ► Funny Moments |HD https:// youtu.be/tUR8CLsp8Qk via @YouTube;;@YouTube;;9,58852E+17;https://twitter.com/arsenalmad37/status/958851821493133312
SportsHubOz;31/01/2018 21:57;0;0;Arsenal transfer news: Deadline Day, Pierre-Emerick Aubameyang , Mesut Ozil: DEADLINE day is… https:// goo.gl/fb/esxUed;;;;9,58852E+17;https://twitter.com/SportsHubOz/status/958851814429900800
NatalieHollyTat;31/01/2018 21:56;0;0;Deadline day transfer LIVE: Arsenal sign Pierre-Emerick Aubameyang , Riyad Mahrez staying at Leicester City Latest News http://www. newsnowchelseafc.info/deadline-day-t ransfer-live-arsenal-sign-pierre-emerick-aubameyang-riyad-mahrez-staying-at-leicester-city-latest-news.html … pic.twitter.com/CUgXeARt0U;;;;9,58852E+17;https://twitter.com/NatalieHollyTat/status/958851573622419461
AlhatAnupam;31/01/2018 21:56;0;0;I liked a @YouTube video http:// youtu.be/rQv6rdo95rs?a Pierre-Emerick Aubameyang signs for Arsenal!;;@YouTube;;9,58852E+17;https://twitter.com/AlhatAnupam/status/958851549203083264
WanguonlineNews;31/01/2018 21:56;0;0;Staff ReporterIt's official.Arsenal has confirmed the signing of striker Pierre-Emerick Aubameyang from Borussia Dor http://www. wanguonline.com/2018/02/boruss ia-dortmund-pays-club-record-56m.html …;;;;9,58851E+17;https://twitter.com/WanguonlineNews/status/958851411957215232
Lofin_Afo;31/01/2018 21:55;0;0;"I scored 8/10 in How well do you know Pierre-Emerick Aubameyang ?"" https://www. arsenal.com/news/can-you-a nswer-10-questions-aubameyang …""";;;;9,58851E+17;https://twitter.com/Lofin_Afo/status/958851225721692162
GunnersForum;31/01/2018 21:55;0;1;Pierre-Emerick Aubameyang signs for Arsenal! https://www. youtube.com/watch?v=rQv6rd o95rs …;;;;9,58851E+17;https://twitter.com/GunnersForum/status/958851224920522752
THE_ALPHAMASTER;31/01/2018 21:52;0;0;I liked a @YouTube video http:// youtu.be/muN8hcJZLnA?a Welcome To Arsenal Pierre-Emerick Aubameyang ! Could He Be The New Henry?;;@YouTube;;9,5885E+17;https://twitter.com/THE_ALPHAMASTER/status/958850432167751682
DailyStar_Sport;31/01/2018 21:52;0;0;Arsenal fans think Henrikh Mkhitaryan confirmed Pierre-Emerick Aubameyang deal LAST WEEK #TransferDeadlineDay http:// bit.ly/2rYilVE;;;#TransferDeadlineDay;9,5885E+17;https://twitter.com/DailyStar_Sport/status/958850383488737286
Daily_Star;31/01/2018 21:52;0;1;Arsenal fans think Henrikh Mkhitaryan confirmed Pierre-Emerick Aubameyang deal LAST WEEK #TransferDeadlineDay http:// bit.ly/2rYilVE;;;#TransferDeadlineDay;9,5885E+17;https://twitter.com/Daily_Star/status/958850382289043458
JailEgg;31/01/2018 21:48;0;0;I liked a @YouTube video http:// youtu.be/rQv6rdo95rs?a Pierre-Emerick Aubameyang signs for Arsenal!;;@YouTube;;9,58849E+17;https://twitter.com/JailEgg/status/958849409067909121
JoshSlinger;31/01/2018 21:46;0;17;The top 5 most expensive transfers of the January window: Philippe Coutinho > Barcelona > £106m Virgil van Dijk > Liverpool > £75m Ayermic Laporte > Manchester City > £57.2m Pierre-Emerick Aubameyang > Arsenal > £56m Cédric Bakambu > Beijing Guoan > 35.3m pic.twitter.com/4DYA5ww9Cf;;;;9,58849E+17;https://twitter.com/JoshSlinger/status/958849012685254656
