username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
obiy2k5;11/06/2017 20:59;0;0;Cristiano Ronaldo Becomes A Father Of Twins http:// thestreetreporters.com/cristiano-rona ldo-becomes-a-father-of-twins/ … pic.twitter.com/WbTnBpswxi;;;;8,74054E+17;https://twitter.com/obiy2k5/status/874053506923192320
AlexAgbo1;11/06/2017 20:59;0;0;Cristiano Ronaldo Becomes A Father Of Twins http:// thestreetreporters.com/cristiano-rona ldo-becomes-a-father-of-twins/ … pic.twitter.com/7uelBmwKLh;;;;8,74053E+17;https://twitter.com/AlexAgbo1/status/874053439541653512
streetreporters;11/06/2017 20:59;0;1;According to Portuguese TV they are called Eva and Mateo, Georgina Rodriguez and Cristiano Ronaldo expecting... http:// fb.me/4h4KWbt1M;;;;8,74053E+17;https://twitter.com/streetreporters/status/874053436399992832
streetreporters;11/06/2017 20:58;0;0;Cristiano Ronaldo Becomes A Father Of Twins http:// thestreetreporters.com/cristiano-rona ldo-becomes-a-father-of-twins/ … pic.twitter.com/LSWptK8VMc http:// fb.me/3LRK2fIbr;;;;8,74053E+17;https://twitter.com/streetreporters/status/874053350295085056
jamesezema;11/06/2017 20:58;0;0;Cristiano Ronaldo Becomes A Father Of Twins http:// thestreetreporters.com/cristiano-rona ldo-becomes-a-father-of-twins/ … pic.twitter.com/j7nBvB6nGk;;;;8,74053E+17;https://twitter.com/jamesezema/status/874053346147143680
PrettyTSR;11/06/2017 20:58;0;0;Cristiano Ronaldo Becomes A Father Of Twins http:// thestreetreporters.com/cristiano-rona ldo-becomes-a-father-of-twins/ … pic.twitter.com/BBGnXkWkTD;;;;8,74053E+17;https://twitter.com/PrettyTSR/status/874053335627833346
streetreporters;11/06/2017 20:58;1;0;Cristiano Ronaldo Becomes A Father Of Twins http:// thestreetreporters.com/cristiano-rona ldo-becomes-a-father-of-twins/ … pic.twitter.com/LSWptK8VMc;;;;8,74053E+17;https://twitter.com/streetreporters/status/874053300278231041
manwongbah84;11/06/2017 20:57;0;0;Cristiano Ronaldo Celebrates The Birth Of Twins http://www. topbuzz.com/article/i64302 97815112483337?app_id=1106&c=tw …;;;;8,74053E+17;https://twitter.com/manwongbah84/status/874052964415131648
CherezalIrobert;11/06/2017 20:56;0;0;Best;;;;8,74053E+17;https://twitter.com/CherezalIrobert/status/874052702938042369
diablogaming_;11/06/2017 20:53;0;0;I liked a @YouTube video http:// youtu.be/HDo1-x2hzY0?a Cristiano Ronaldo 16/17 • AMAZING Goals & Skills;;@YouTube;;8,74052E+17;https://twitter.com/diablogaming_/status/874051941814423552
oconnorc10;11/06/2017 20:52;0;0;Can the sculptor who made this @Cristiano sculpture make on Of this @TheJudge44 photo. pic.twitter.com/3lJsP61l8E;;@Cristiano @TheJudge44;;8,74052E+17;https://twitter.com/oconnorc10/status/874051783785578497
shashankS3007;11/06/2017 20:51;0;0;Real Madrid star Cristiano Ronaldo has become a father to twins with a surrogate mother, Portuguese media reported http://www. news18.com/news/sports/cr istiano-ronaldo-becomes-father-to-surrogate-twins-1429021.html …;;;;8,74051E+17;https://twitter.com/shashankS3007/status/874051419971702785
Ibrahim50275855;11/06/2017 20:50;0;0;is good;;;;8,74051E+17;https://twitter.com/Ibrahim50275855/status/874051226043904001
21stCenturyMen_;11/06/2017 20:49;0;0;@Cristiano you should have a chat with @evanspiegel and @elonmusk and teach them your ways #ronaldo #RealMadrid #soccer #snapchat #tesla;;@Cristiano @evanspiegel @elonmusk;#ronaldo #RealMadrid #soccer #snapchat #tesla;8,74051E+17;https://twitter.com/21stCenturyMen_/status/874051007700926464
es_tu_daddy;11/06/2017 20:49;0;1;Thanks;;;;8,74051E+17;https://twitter.com/es_tu_daddy/status/874050952197586944
Ralphlony;11/06/2017 20:48;0;0;New video reveals how Cristiano Ronaldo manages to score so many goals - FCNaija http:// fb.me/70tNWeTH8;;;;8,74051E+17;https://twitter.com/Ralphlony/status/874050822254075905
xbrunaldo7x;11/06/2017 20:48;0;0;I really hope manu sign @Cristiano time for him to go to a different team and league and time for him to return gome;;@Cristiano;;8,74051E+17;https://twitter.com/xbrunaldo7x/status/874050679576436736
miha38_28;11/06/2017 20:48;0;0;Nike Commercial Cristiano Ronaldo The Perfect Kick, Ronaldinho Vs Great Britain & Ireland, Sergio R https://www. youtube.com/watch?v=BzPchh UdrQc …;;;;8,74051E+17;https://twitter.com/miha38_28/status/874050646197977089
mercwdamouth;11/06/2017 20:47;0;0;there*;;;;8,74051E+17;https://twitter.com/mercwdamouth/status/874050605232214016
es_tu_daddy;11/06/2017 20:44;0;1;I was their to witness;;;;8,7405E+17;https://twitter.com/es_tu_daddy/status/874049762340687873
Abdul_Ent;11/06/2017 20:44;0;0;Cristiano Ronaldo ‘Welcomes Twins with Surrogate Mother’ http:// dlvr.it/PLYWYm pic.twitter.com/QHXxGCyunR;;;;8,7405E+17;https://twitter.com/Abdul_Ent/status/874049746066784256
