username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
FloridaBoi7;27/08/2017 20:59;5;2;Conor McGregor Vs Floyd Mayweather Highlight(Lights Out) https://www. youtube.com/watch?v=oagW2P 7Q2XE&feature=share …;;;;9,01957E+17;https://twitter.com/FloridaBoi7/status/901957498797686785
MattTheKing;27/08/2017 20:59;0;0;I thought maybe they were doing the Mayweather- McGregor .;;;;9,01957E+17;https://twitter.com/MattTheKing/status/901957491105427456
Wanani99;27/08/2017 20:59;1;1;The only punch McGregor landed https:// twitter.com/5dChess/status /901785558267043840 …;;;;9,01957E+17;https://twitter.com/Wanani99/status/901957487812849664
sbyrnes;27/08/2017 20:59;1;4;Where are the startup allegories where McGregor is the startup that starts strong but runs out of funding?;;;;9,01957E+17;https://twitter.com/sbyrnes/status/901957486894211072
Loghornfoghorn1;27/08/2017 20:59;0;0;Could marywheater do that. To. Triple GGG;;;;9,01957E+17;https://twitter.com/Loghornfoghorn1/status/901957484515962880
Kayexpressstore;27/08/2017 20:59;0;0;Mayweather- McGregor live updates: Who is winning the fight right now? http://www. smkgroove.com/2017/08/maywea ther-mcgregor-live-updates-who-is.html …;;;;9,01957E+17;https://twitter.com/Kayexpressstore/status/901957480875425793
calderone_nick2;27/08/2017 20:59;0;2;Connor Mcgregor;;;;9,01957E+17;https://twitter.com/calderone_nick2/status/901957475401916419
happy_pea_;27/08/2017 20:59;0;0;Conor McGregor Parties Hard After Mayweather Fight http:// ogafricans.com/conor-mcgregor -parties-hard-mayweather-fight/ …;;;;9,01957E+17;https://twitter.com/happy_pea_/status/901957474105876480
junesbroo;27/08/2017 20:59;0;0;Respect to @TheNotoriousMMA no matter what people say!;;@TheNotoriousMMA;;9,01957E+17;https://twitter.com/junesbroo/status/901957470662397957
gtisca;27/08/2017 20:59;1;5;mcgregor is the goat idc if he lost he was fucking up mayweather;;;;9,01957E+17;https://twitter.com/gtisca/status/901957465788497921
cmorrow322;27/08/2017 20:59;0;0;@TheNotoriousMMA just watched the fight again, you have to be the best overall all around fighter in the world hands down. Keep it up. #best;;@TheNotoriousMMA;#best;9,01957E+17;https://twitter.com/cmorrow322/status/901957442896097280
akynnis;27/08/2017 20:59;0;0;I’m finished, says Mayweather after McGregor rout https:// goo.gl/fb/S3pn5J via http:// omnigist.com;;;;9,01957E+17;https://twitter.com/akynnis/status/901957411778560000
MattWilson40;27/08/2017 20:59;0;0;Yo if you picture the mayweather begging for mercy as him turning his back to mcgregor a billion times this is so accurate. https:// twitter.com/niggacommentar y/status/901533171149410304 …;;;;9,01957E+17;https://twitter.com/MattWilson40/status/901957405830983684
EZcryptoAirdrop;27/08/2017 20:59;0;0;Buffalo Wild Wings on #Yelp : Mayweather vs McGregor #maymac #bww https://www. yelp.com/biz_photos/buf falo-wild-wings-chula-vista-2?pt=biz_photo&ref=twitter&select=OhHIkj0SqBPtbWReVdzDEA …;;;#Yelp #maymac #bww;9,01957E+17;https://twitter.com/EZcryptoAirdrop/status/901957400093048833
slowmotechnical;27/08/2017 20:59;0;0;https:// youtu.be/UgBADRgQpQY Full match highlights mayweather tko #MayweathervMcgregor #mayweather #MayweatherVsMcGregor #mcgregor;;;#MayweathervMcgregor #mayweather #MayweatherVsMcGregor #mcgregor;9,01957E+17;https://twitter.com/slowmotechnical/status/901957395202662400
mcraig585;27/08/2017 20:59;2;9;"I wasnt dazed or rattled or anything like that, i was just bolluxed as a term we call it in Ireland"" - @TheNotoriousMMA favorite quote ever""";;@TheNotoriousMMA;;9,01957E+17;https://twitter.com/mcraig585/status/901957394577707011
droman_80;27/08/2017 20:59;0;0;Come on homie,, @TheNotoriousMMA is on a whole different level then u..ur making urself look bad;;@TheNotoriousMMA;;9,01957E+17;https://twitter.com/droman_80/status/901957389339037698
lrfracing;27/08/2017 20:59;0;2;I blame @TheNotoriousMMA https:// twitter.com/christinablack r/status/901949950346518529 …;;@TheNotoriousMMA;;9,01957E+17;https://twitter.com/lrfracing/status/901957388634169344
traxus4420;27/08/2017 20:59;0;1;hey now, last i checked mcgregor was only a racist;;;;9,01957E+17;https://twitter.com/traxus4420/status/901957387602583552
sergiosoccer29;27/08/2017 20:59;0;0;@FloydMayweather okay little girl now is time to go into the octagon under @TheNotoriousMMA rules, he play your game now play his;;@FloydMayweather @TheNotoriousMMA;;9,01957E+17;https://twitter.com/sergiosoccer29/status/901957387418038272
EvingtonComms;27/08/2017 20:59;0;0;@TheNotoriousMMA Conor so Proud of you last night. From NZ. Stunning, impressive sportsmanship.;;@TheNotoriousMMA;;9,01957E+17;https://twitter.com/EvingtonComms/status/901957383643054084
DejaHill97;27/08/2017 20:59;0;5;I'm tired of people talking shit about Conor Mcgregor most them would never ever step foot inside the octagon or a boxing ring;;;;9,01957E+17;https://twitter.com/DejaHill97/status/901957382842052608
Codak_Moment;27/08/2017 20:59;0;5;McGregor had age, weight, reach, and a whole country on his side and he still got whooped. No excuses;;;;9,01957E+17;https://twitter.com/Codak_Moment/status/901957382028308480
norenmaryclaire;27/08/2017 20:59;0;0;Mayweather keeps his streak alive after winning the fight against McGregor #2150BH https:// twitter.com/espn/status/90 1668604269264896 …;;;#2150BH;9,01957E+17;https://twitter.com/norenmaryclaire/status/901957380392579072
DJRyan_Thomson;27/08/2017 20:59;0;0;I liked a @YouTube video http:// youtu.be/_bYCGpFV9hk?a Floyd Mayweather and Conor McGregor : highlights of post-fight press conference;;@YouTube;;9,01957E+17;https://twitter.com/DJRyan_Thomson/status/901957376479289344
chriskidd;27/08/2017 20:59;0;0;Floyd Mayweather made $178,000 fighting Conor McGregor ... per second #MayweatherMcGregor #MayweatherVsMcGregor;;;#MayweatherMcGregor #MayweatherVsMcGregor;9,01957E+17;https://twitter.com/chriskidd/status/901957374994415616
Ripp1212;27/08/2017 20:59;0;0;That's called selling a fight! The fact that you know nothing about mcgregor and you still talk shit is just sad;;;;9,01957E+17;https://twitter.com/Ripp1212/status/901957373832646656
UkUrbansFinest;27/08/2017 20:59;0;0;Floyd Mayweather Says He Could Make $350M Off McGregor Fight https:// youtu.be/0-_LJZQh_wY?z0n;;;;9,01957E+17;https://twitter.com/UkUrbansFinest/status/901957371563532288
jfinucane08;27/08/2017 20:59;0;0;The cards don't lie. Tired of hearing how well McGregor did. 5/27 scored rounds is hardly impressive and his punches had zero pop on them. pic.twitter.com/QPXOEdV936;;;;9,01957E+17;https://twitter.com/jfinucane08/status/901957367969042435
rastanto0726;27/08/2017 20:59;0;0;I'd like to see Conor McGregor beat Floyd Mayweather. Cast your vote now! #MayMac365 https:// cards.twitter.com/cards/18ce54fs awy/4nesf …;;;#MayMac365;9,01957E+17;https://twitter.com/rastanto0726/status/901957364663902210
BumperKingUSA;27/08/2017 20:59;0;1;Beat you mean, he ain't with her no more and regardless, he beat McGregor . He knocked the snot out of McGregor . #50-0 #MayweathervMcgregor;;;#50 #MayweathervMcgregor;9,01957E+17;https://twitter.com/BumperKingUSA/status/901957361341890560
jasonedmiston;27/08/2017 20:59;0;0;You can learn a lot about being a success in business from watching Conor McGregor (and Floyd Mayweather as well)... http:// fb.me/1ZCMbizOg;;;;9,01957E+17;https://twitter.com/jasonedmiston/status/901957360826142720
cookieguy07;27/08/2017 20:59;0;0;@TheNotoriousMMA Much respect for you Conor for the fight and way you handled the end results. Gltu man;;@TheNotoriousMMA;;9,01957E+17;https://twitter.com/cookieguy07/status/901957354983444480
koruGoesboom;27/08/2017 20:59;0;0;I just want to say congrats to @FloydMayweather for 50-0 it was a bomb fight congrats to @TheNotoriousMMA for putting in the work #respect;;@FloydMayweather @TheNotoriousMMA;#respect;9,01957E+17;https://twitter.com/koruGoesboom/status/901957349195345920
kevdoyle91;27/08/2017 20:59;0;1;I know lol appreciate ya Nancy Thx for that you rock!!!;;;;9,01957E+17;https://twitter.com/kevdoyle91/status/901957348960464897
tiaH_R;27/08/2017 20:59;0;0;Sports but does seem you lied about McGregor calling him a n****r.;;;;9,01957E+17;https://twitter.com/tiaH_R/status/901957336285286400
rtoberl;27/08/2017 20:59;0;0;Floyd Mayweather stops Conor McGregor in 10th round https:// lvrj.com/post/1164021 via @reviewjournal;;@reviewjournal;;9,01957E+17;https://twitter.com/rtoberl/status/901957325786898433
kyle_travis;27/08/2017 20:59;0;0;@John_Kavanagh after witnessing you and @TheNotoriousMMA take on your biggest challenge last night I guess it's time to jump in to this pic.twitter.com/rcedXeSFl5;;@John_Kavanagh @TheNotoriousMMA;;9,01957E+17;https://twitter.com/kyle_travis/status/901957324486664193
djibthizzin;27/08/2017 20:59;0;0;You guys seen the first rounds it were you blind to how the fight started??? Bet you were worried for 1,2,3...im just happy McGregor can box pic.twitter.com/azhJ5HdRzO;;;;9,01957E+17;https://twitter.com/djibthizzin/status/901957321349140481
gsandhu92;27/08/2017 20:59;0;0;My brother thinks he's Conor McGregor now;;;;9,01957E+17;https://twitter.com/gsandhu92/status/901957318224617472
newsjsie;27/08/2017 20:59;0;0;Notorious Irish Whiskey will hit Ireland soon as Conor McGregor reveals new business plan -… http:// dlvr.it/Pj2JbC #News pic.twitter.com/7URFnnA4Uv;;;#News;9,01957E+17;https://twitter.com/newsjsie/status/901957313409425408
Misskirstie15;27/08/2017 20:59;1;0;I liked a @YouTube video http:// youtu.be/AOfFYp2fAms?a Conor McGregor with a counter uppercut;;@YouTube;;9,01957E+17;https://twitter.com/Misskirstie15/status/901957312012840960
MarcosWebDev;27/08/2017 20:59;0;0;No he dont owe anything... mcgregor that said he could beat him on boxing. Mayweather never said he could beat him in MMA.;;;;9,01957E+17;https://twitter.com/MarcosWebDev/status/901957310280605698
sthomas141;27/08/2017 20:59;0;0;Nick did you have Conor McGregor winning the first couple of rounds? What did you think of his boxing debut in general?;;;;9,01957E+17;https://twitter.com/sthomas141/status/901957303926226947
William60768063;27/08/2017 20:59;0;0;oh! Absolutely but, Floyd doesn't have to do that. McGregor did to get $100,000.00. All cards and money Floyd's control;;;;9,01957E+17;https://twitter.com/William60768063/status/901957302311280640
scotdoink;27/08/2017 20:59;0;0;McGregor Is Launching His Own Brand Of Whiskey http:// share.theladbible.com/qqrk/4XMXdZjSXF pic.twitter.com/xl2dteTajq;;;;9,01957E+17;https://twitter.com/scotdoink/status/901957280131940360
Koallismo;27/08/2017 20:59;0;0;Did McGregor knocked out Big Show? I don't think so... LOL;;;;9,01957E+17;https://twitter.com/Koallismo/status/901957273676902401
TBO_Sports;27/08/2017 20:59;0;0;Jones: Mayweather- McGregor not a night for Conor McGregor , MMA http:// dlvr.it/Pj2JHX;;;;9,01957E+17;https://twitter.com/TBO_Sports/status/901957271365705728
RusevDayx;27/08/2017 20:59;0;0;McGregor -Diaz would be the money fight but i assume he'll have to defend first a bit overdue https:// twitter.com/411mania/statu s/901956781340897280 …;;;;9,01957E+17;https://twitter.com/RusevDayx/status/901957271063863296
tweetsbymitchh;27/08/2017 20:59;0;0;My Thoughts on Floyd Vs McGregor : http:// youtu.be/Bgay-8XtIbM?a via @YouTube;;@YouTube;;9,01957E+17;https://twitter.com/tweetsbymitchh/status/901957267922223104
BecauseLiberty;27/08/2017 20:59;0;0;@TheNotoriousMMA fuck the haters.;;@TheNotoriousMMA;;9,01957E+17;https://twitter.com/BecauseLiberty/status/901957267842412545
newsjsZW;27/08/2017 20:59;1;0;Floyd Mayweather Jr., a Defensive Mastermind, Beats Conor McGregor With His Fists - New York Times http:// dlvr.it/Pj2JBm #news pic.twitter.com/0YjV8GmSKO;;;#news;9,01957E+17;https://twitter.com/newsjsZW/status/901957264751206400
TylerKinney8;27/08/2017 20:59;0;0;Venmo/: tkinney8 The fight was;;;;9,01957E+17;https://twitter.com/TylerKinney8/status/901957259676221440
MissYim2;27/08/2017 20:59;0;0;Fuck Mayweather and McGregor .;;;;9,01957E+17;https://twitter.com/MissYim2/status/901957259638431744
Loghornfoghorn1;27/08/2017 20:59;0;0;Match. Floyd up.with. tripleGgg;;;;9,01957E+17;https://twitter.com/Loghornfoghorn1/status/901957258409418752
SunVideo;27/08/2017 20:59;0;1;Conor McGregor speaks to Irish fans during party after Floyd Mayweather defeat in Las Vegas https://www. thesun.co.uk/video/boxing/c onor-mcgregor-speaks-to-irish-fans-during-party-after-floyd-mayweather-defeat-in-las-vegas/ …;;;;9,01957E+17;https://twitter.com/SunVideo/status/901957251723915264
FloridaDuck;27/08/2017 20:58;0;0;I watched every minute of it. Mcgregor won maybe the first two rounds and then got hammered. The real judges saw the same.;;;;9,01957E+17;https://twitter.com/FloridaDuck/status/901957245654757377
NathanHvac83;27/08/2017 20:58;0;0;Is that McGregor 's side piece? It's not the baby momma;;;;9,01957E+17;https://twitter.com/NathanHvac83/status/901957244551520256
ogtodd_;27/08/2017 20:58;0;2;Who ever thought McGregor and floyd actually had beef y'all stupid they teamed up to make millions;;;;9,01957E+17;https://twitter.com/ogtodd_/status/901957241787473920
SubThoughtz;27/08/2017 20:58;0;0;like you who literally know nothing about boxing trying to switch up narratives and diminish the impressive performance McGregor put on;;;;9,01957E+17;https://twitter.com/SubThoughtz/status/901957241154232321
browny_19;27/08/2017 20:58;0;1;Legend @TheNotoriousMMA;;@TheNotoriousMMA;;9,01957E+17;https://twitter.com/browny_19/status/901957239304581120
latest_ooyuz;27/08/2017 20:58;0;0;Conor McGregor Muffles UFC's Monopsony Power With Financial Windfall After Maywe.... Related Articles: http:// bit.ly/2xp8VAO;;;;9,01957E+17;https://twitter.com/latest_ooyuz/status/901957236192313346
itsandre1998;27/08/2017 20:58;0;0;When? If @TheNotoriousMMA really did do that the media would be on top of it. Stop lying. Do your research. https:// twitter.com/mjstarlover/st atus/901676519495479298 …;;@TheNotoriousMMA;;9,01957E+17;https://twitter.com/itsandre1998/status/901957226591637505
alinevvidal;27/08/2017 20:58;0;0;Mcgregor and you?;;;;9,01957E+17;https://twitter.com/alinevvidal/status/901957224532242434
NGR_DailyGist;27/08/2017 20:58;0;0;[Recent News] Watch: Mayweather and McGregor show real respect with heartfelt embrace after super-fight http:// wp.me/p7178E-5Hj;;;;9,01957E+17;https://twitter.com/NGR_DailyGist/status/901957221713620992
DavisThompson20;27/08/2017 20:58;0;0;I was glad to see Mayweather put McGregor in his place;;;;9,01957E+17;https://twitter.com/DavisThompson20/status/901957219503280128
faku_bibyo;27/08/2017 20:58;0;0;McGregor looking at the ref and wondering why he's not blowing the whistle pic.twitter.com/9f7HYXmB65;;;;9,01957E+17;https://twitter.com/faku_bibyo/status/901957209931874304
VicMMoni;27/08/2017 20:58;0;0;im late but... McGregor got rocked.;;;;9,01957E+17;https://twitter.com/VicMMoni/status/901957207218106368
media_en;27/08/2017 20:58;0;1;Floyd Mayweather Jr., a Defensive Mastermind, Beats Conor McGregor With His… https:// goo.gl/fb/h8XFKn UK News Sports;;;;9,01957E+17;https://twitter.com/media_en/status/901957205297123329
donniejsackey;27/08/2017 20:58;0;4;How many ppl posting about Mayweather beating McGregor posted about Mayweather beating women? #MayweathervMcgregor http:// deadspin.com/heres-floyd-ma yweathers-sons-note-telling-how-his-dad-b-1701548806 …;;;#MayweathervMcgregor;9,01957E+17;https://twitter.com/donniejsackey/status/901957201723523073
vnuek;27/08/2017 20:58;1;1;When McGregor Faced Mayweather In the end, the much hyped fight played out as it was destined to. https://www.theatlantic.com:443/entertainment/archive/2017/08/mayweather-vs-mcgregor/538146/ theatlantic.com/entertainment/ …;;;;9,01957E+17;https://twitter.com/vnuek/status/901957186196209669
dchildonline;27/08/2017 20:58;0;0;"I'm the king of the world!"" #mayweathermcgregor #mayweather #mcgregor #ufc #mma https://www. instagram.com/p/BYUQf9GHuu1/""";;;#mayweathermcgregor #mayweather #mcgregor #ufc #mma;9,01957E+17;https://twitter.com/dchildonline/status/901957184254246912
gavenweber8;27/08/2017 20:58;0;1;Mcgregor a bitch just like his fans!!;;;;9,01957E+17;https://twitter.com/gavenweber8/status/901957183855878144
411mania;27/08/2017 20:58;0;1;Manager: Conor McGregor Wants Nate Diaz Trilogy But Open to Other Fights #ConorMcGregor #NateDiaz #UFC http:// fb.me/3KzeMScsx;;;#ConorMcGregor #NateDiaz #UFC;9,01957E+17;https://twitter.com/411mania/status/901957179481063424
Geniuz_Young;27/08/2017 20:58;0;0;Haha u a fool u seriously probably owe some one 100 dollars;;;;9,01957E+17;https://twitter.com/Geniuz_Young/status/901957170815754241
MathieuMarquis5;27/08/2017 20:58;0;0;You boxe like shit but you well dress ....;;;;9,01957E+17;https://twitter.com/MathieuMarquis5/status/901957169637097472
