username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
1983jayson;05/06/2016 20:59;0;0;dude robin works for ufc from time 2 time he'll get fired;;;;7,39608E+17;https://twitter.com/1983jayson/status/739607698287775744
KalamityJim;05/06/2016 20:59;0;0;@washingtonpost On the ball @arielhelwani;;@washingtonpost @arielhelwani;;7,39608E+17;https://twitter.com/KalamityJim/status/739607690016641024
JeanLeBaptist;05/06/2016 20:59;0;0;@bisping Our boy missed out on your moment @arielhelwani wow http://www. mixedmartialarts.com/news/Helwani-l oses-credentials-escorted-from-building-457418 …;;@bisping @arielhelwani;;7,39608E+17;https://twitter.com/JeanLeBaptist/status/739607675575664640
ChinchillaRudy;05/06/2016 20:59;0;0;Keep your head up, my man.;;;;7,39608E+17;https://twitter.com/ChinchillaRudy/status/739607588304625664
_Mic_hael_;05/06/2016 20:59;0;0;keep up the good work. In order for me to follow the sport I need someone to listen to where I don't think there is an agenda.;;;;7,39608E+17;https://twitter.com/_Mic_hael_/status/739607543098552321
sickle_rider;05/06/2016 20:59;1;1;@arielhelwani , you're the best in the biz! This almost got me not wanting to spend any more money on UFC products. #freearielhelwani;;@arielhelwani;#freearielhelwani;7,39608E+17;https://twitter.com/sickle_rider/status/739607525046112258
mt742;05/06/2016 20:59;0;0;@danawhite So immature. I will not be buying the ppv because of your pettiness. Only way you can be hurt is via pocketbook.;;@danawhite;;7,39608E+17;https://twitter.com/mt742/status/739607523024605184
JimmyClarke;05/06/2016 20:59;0;0;The UFC created a P.R. battle they're never going to win. I think people underestimate just how big Ariel Helwani is.;;;;7,39608E+17;https://twitter.com/JimmyClarke/status/739607519237156865
scottg_nolimits;05/06/2016 20:59;0;0;you were one of the best, still making it happen for us fans;;;;7,39608E+17;https://twitter.com/scottg_nolimits/status/739607516183592964
JimminyCricke20;05/06/2016 20:59;0;0;I've just UN-followed UFC on Twitter. No great loss, still have TheMMA HOUR.;;;;7,39608E+17;https://twitter.com/JimminyCricke20/status/739607515235651584
AdamStockinger;05/06/2016 20:58;0;0;Only thing @arielhelwani is guilty of is robbing us of an amazing surprise at the end of a promo, imagine the reaction if it wasn't spoiled;;@arielhelwani;;7,39607E+17;https://twitter.com/AdamStockinger/status/739607421979615232
edm272;05/06/2016 20:58;0;0;It's shitty what happened to @arielhelwani last night. The guy was doing his job and doing it well as allways. #FreeHelwani @danawhite @ufc;;@arielhelwani @danawhite @ufc;#FreeHelwani;7,39607E+17;https://twitter.com/edm272/status/739607415105200128
