username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
ABC2020;04/06/2016 20:59;37;53;Tonight we remember #MuhammadAli , “The Greatest.” #abc2020 pic.twitter.com/xjOvK1lggO;;;#MuhammadAli #abc2020;7,39245E+17;https://twitter.com/ABC2020/status/739245346501632000;
Anavu4;04/06/2016 20:59;0;0;Muhammad Ali : Remembering his 10 greatest fights http:// agetimes.net/sports/other-s ports/muhammad-ali-remembering-his-10-greatest-fights/ … pic.twitter.com/I5qnkXaEM9;;;;7,39245E+17;https://twitter.com/Anavu4/status/739245345608077317;
coolchiligirl;04/06/2016 20:59;0;0;Muhammad Ali Black Superman Song ...Ali, catch me if you can..! http:// youtu.be/KW5qF9fheXw;;;;7,39245E+17;https://twitter.com/coolchiligirl/status/739245340453281792;
GetPaidinBlood;04/06/2016 20:59;0;0;Powerful tribute to MuhammadAli on FS1 right now narrated by UFC president danawhite #UFC199;;;#UFC199;7,39245E+17;https://twitter.com/GetPaidinBlood/status/739245338792501249;
voderland;04/06/2016 20:59;0;0;Muhammad Ali 's Funeral Will Be Held in Louisville, Kentucky, on Friday http://www. people.com/article/muhamm ad-ali-dies-funeral-details … via @People;;@People;;7,39245E+17;https://twitter.com/voderland/status/739245336816848896;
DJF1010;04/06/2016 20:59;0;0;#angelica said she was sad #MuhammadAli is gone. One good thing from @JCPSKY or at least Nortan Elementary, they celebrated #GOAT;;@JCPSKY;#angelica #MuhammadAli #GOAT;7,39245E+17;https://twitter.com/DJF1010/status/739245331557306368;
GetPaidinBlood;04/06/2016 20:59;0;0;Kevin Casey fights to a split draw after losing his father-in-law Muhammad Ali on Friday http:// foxs.pt/1U1CYo4 pic.twitter.com/WrJdz5c3w3;;;;7,39245E+17;https://twitter.com/GetPaidinBlood/status/739245329594339328;
realfiregoddess;04/06/2016 20:59;0;0;RIP Muhammad Ali . Legend. Revolutionary. Muse. The greatest. And anyone who says different better go to sleep, wake up, and apologize!;;;;7,39245E+17;https://twitter.com/realfiregoddess/status/739245329459994624;
rjcaliente;04/06/2016 20:59;0;0;That magical day Muhammad Ali visited the Grove and touched so many http:// fw.to/WBHsciR;;;;7,39245E+17;https://twitter.com/rjcaliente/status/739245324405989377;
vintagecongo;04/06/2016 20:59;1;1;Muhammad Ali in Zaïre (now D.R.Congo) for Rumble in the Jungle. May he rest in peace https:// tmblr.co/ZgS0Wk27S7FOQ;;;;7,39245E+17;https://twitter.com/vintagecongo/status/739245323726491648;
Margari_Aziza;04/06/2016 20:59;1;1;What you won’t do to Muhammad Ali ’s memory - strugglinghijabi: Our dear brother Muhammad Ali just passed... https:// tmblr.co/ZHPMRo27S7EZ9;;;;7,39245E+17;https://twitter.com/Margari_Aziza/status/739245321461596161;
jnsanchez;04/06/2016 20:59;1;1;This Muhammad Ali tribute on @FS1 right now is absolutely incredible. All the feels. #UFC199;;@FS1;#UFC199;7,39245E+17;https://twitter.com/jnsanchez/status/739245314536837120;
Khoabr;04/06/2016 20:59;1;1;Muhammad Ali to have funeral in his home town of Louisville, Kentucky http://www. independent.co.uk/muhammad-ali-t o-have-public-funeral-in-his-home-town-of-louisville-kentucky-a7065791.html …;;;;7,39245E+17;https://twitter.com/Khoabr/status/739245313207193600;
filmoreanton1;04/06/2016 20:59;0;0;Septic shock caused Muhammad Ali death - http:// wp.me/p7tLt4-7fT https://twitter.com/dimitriarchiba1/status/739244441550999553/photo/1 pic.twitter.com/xr7EPfLzX6;;;;7,39245E+17;https://twitter.com/filmoreanton1/status/739245309654634500;
Milvec22;04/06/2016 20:59;0;0;Muhammad Ali funeral plans announced, last days revealed: Muhammad Ali , in death as in life, belongs to the world. http:// nydn.us/24pFfw1;;;;7,39245E+17;https://twitter.com/Milvec22/status/739245309595779072;
