username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
IWANTSUMMILLZ;18/10/2017 20:59;0;0;Gordon Hayward didn’t want to play with the celtics at all looks like it;;;;9,20802E+17;https://twitter.com/IWANTSUMMILLZ/status/920801664650452992
Rozzay809;18/10/2017 20:59;0;2;A clean break and surgery tonight for @gordonhayward #GodIsGood A minor setback for a MAJOR comeback!;;@gordonhayward;#GodIsGood;9,20802E+17;https://twitter.com/Rozzay809/status/920801662075248640
VtecNation1;18/10/2017 20:59;1;2;@Prettyboyfredo @gordonhayward #PrayforGordonHayward Gordon I feel really bad our prayers are with you. :( pic.twitter.com/5k8ZPCeylF;;@Prettyboyfredo @gordonhayward;#PrayforGordonHayward;9,20802E+17;https://twitter.com/VtecNation1/status/920801654269546496
Quailfish33;18/10/2017 20:59;0;0;You better get your ass back on that court so we can win ourselves a championship Get well soon @gordonhayward;;@gordonhayward;;9,20802E+17;https://twitter.com/Quailfish33/status/920801636020191232
BillSomhigh36;18/10/2017 20:59;0;1;@gordonhayward All the best for a successful surgery and full recovery. Celtics fans can't wait for your return.;;@gordonhayward;;9,20802E+17;https://twitter.com/BillSomhigh36/status/920801622858522624
Hockeymike30;18/10/2017 20:59;0;0;@gordonhayward good luck on your surgery tonight may God be with you.;;@gordonhayward;;9,20802E+17;https://twitter.com/Hockeymike30/status/920801603673759744
TheNBAFlash;18/10/2017 20:59;5;18;Gordon Hayward will have surgery tonight. It was a clean break, still no timetable per Brad Stevens.;;;;9,20802E+17;https://twitter.com/TheNBAFlash/status/920801591795466240
realJoshHurlock;18/10/2017 20:59;0;0;Get well @gordonhayward ! Still amped for the year! That dude Kyrie & about to watch Jaylen and Tatum become stars!;;@gordonhayward;;9,20802E+17;https://twitter.com/realJoshHurlock/status/920801589333336064
iheartceltics;18/10/2017 20:59;0;1;Good luck and best wishes in your surgery tonight @gordonhayward ! #celtics;;@gordonhayward;#celtics;9,20802E+17;https://twitter.com/iheartceltics/status/920801580441468928
Redskins_TT1;18/10/2017 20:59;0;0;Joe Theismann comments on Gordon Hayward 's injury #WashingtonRedskins https://www. scout.com/Bolt/Joe-Theis mann-comments-on-Gordon-Haywards-injury-109122910 …;;;#WashingtonRedskins;9,20802E+17;https://twitter.com/Redskins_TT1/status/920801556076707840
ASherrodblakely;18/10/2017 20:59;8;29;Source confirms @wojespn report that @gordonhayward is scheduled to have surgery tonight.;;@wojespn @gordonhayward;;9,20802E+17;https://twitter.com/ASherrodblakely/status/920801552230576129
2KJGaming1;18/10/2017 20:59;0;0;NBA 2K18 MyPark: Gordon Hayward injury! https://www. youtube.com/watch?v=a_I_62 W9FUM&feature=share …;;;;9,20802E+17;https://twitter.com/2KJGaming1/status/920801550909415424
TreiDontTweetIt;18/10/2017 20:59;0;1;The Celtics had 1 returner starter in their lineup, lost Gordon Hayward , but almost beat the Cavs. Playoffs are gonna be lit.;;;;9,20802E+17;https://twitter.com/TreiDontTweetIt/status/920801549181272065
aceyrodriguez;18/10/2017 20:59;0;0;Good luck with surgery tonight @gordonhayward #celtics;;@gordonhayward;#celtics;9,20802E+17;https://twitter.com/aceyrodriguez/status/920801544190115840
Marauder93;18/10/2017 20:59;0;1;The Gordon Hayward injury got me shook for players falling;;;;9,20802E+17;https://twitter.com/Marauder93/status/920801537294614528
YKimNBCBoston;18/10/2017 20:59;0;0;"Gordon Hayward to have surgery tonight, @tvabby reports. Injury was a clean break."" @NBCSBoston""";;@tvabby @NBCSBoston;;9,20802E+17;https://twitter.com/YKimNBCBoston/status/920801523365330944
IntPete2182;18/10/2017 20:59;0;0;#CelticPride Go get em Men @gordonhayward #StillPraying;;@gordonhayward;#CelticPride #StillPraying;9,20802E+17;https://twitter.com/IntPete2182/status/920801522740379648
Mitchel45220736;18/10/2017 20:59;0;0;@gordonhayward I hope and pray that you get better and come help lead the Boston Celtics to a championship;;@gordonhayward;;9,20802E+17;https://twitter.com/Mitchel45220736/status/920801519498289152
AJF559;18/10/2017 20:59;0;0;Give him a moments card;;;;9,20802E+17;https://twitter.com/AJF559/status/920801511424192513
zentrade_online;18/10/2017 20:59;0;0;Celtics expect Gordon Hayward to make a full recovery http:// zentrade.online/celtics-expect -gordon-hayward-to-make-a-full-recovery/?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter … #forward #news #recovery;;;#forward #news #recovery;9,20802E+17;https://twitter.com/zentrade_online/status/920801511369666562
JrockdaGod;18/10/2017 20:59;0;0;I cried last night on that shit;;;;9,20802E+17;https://twitter.com/JrockdaGod/status/920801510690193408
Boston_CP;18/10/2017 20:59;0;0;Brad Stevens: ‘Expecting a full recovery’ for Gordon Hayward http:// bhne.ws/a9DkN14;;;;9,20802E+17;https://twitter.com/Boston_CP/status/920801507242516481
Boston_CP;18/10/2017 20:59;0;0;Gordon Hayward sends message from his hospital bed! http:// toplocalnow.com/us/boston/at/1 9#t9047215 …;;;#t9047215;9,20802E+17;https://twitter.com/Boston_CP/status/920801506332307457
chris03101991;18/10/2017 20:59;0;0;He took it like a chamo tho;;;;9,20802E+17;https://twitter.com/chris03101991/status/920801500498075649
LSports101;18/10/2017 20:59;18;58;A message to Boston fans from Gordon Hayward #GordonHayward pic.twitter.com/RerjPFZlSG;;;#GordonHayward;9,20801E+17;https://twitter.com/LSports101/status/920801497406873601
luissenora;18/10/2017 20:59;0;0;@gordonhayward Return stronger!;;@gordonhayward;;9,20801E+17;https://twitter.com/luissenora/status/920801496614047744
YourSports;18/10/2017 20:59;10;30;From a Laker to a Celtic. Kobe is there for Gordon Hayward (Pic via @RTNBA ) #KiaTipOff17 #Celtics pic.twitter.com/9YP9R3p6oe;;@RTNBA;#KiaTipOff17 #Celtics;9,20801E+17;https://twitter.com/YourSports/status/920801472261918720
SouleBeckett;18/10/2017 20:59;0;1;@gordonhayward Wish you the best of luck!!! Get well soon!!;;@gordonhayward;;9,20801E+17;https://twitter.com/SouleBeckett/status/920801452397772801
braleygrace;18/10/2017 20:59;0;1;Me: did you see Gordon Hayward snapped his legs Ruel: First of all, how do you know who that is;;;;9,20801E+17;https://twitter.com/braleygrace/status/920801444403359744
