username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cubaescobar;18/10/2017 20:52;0;0;What’s the chances of Demarcus cousins signing in Houston next year , he is an unrestricted free agent in 2018;;;;9,208E+17;https://twitter.com/cubaescobar/status/920799860634161152
BoomerTJ3;18/10/2017 20:43;0;0;I added a video to a @YouTube playlist http:// youtu.be/84AKrZ1Fy1E?a Only Rudy Gay can SLAP DeMarcus Cousins ' head, & get away with it!;;@YouTube;;9,20797E+17;https://twitter.com/BoomerTJ3/status/920797470396780544
Thanks_Givens_;18/10/2017 20:41;0;0;Demarcus Cousins died;;;;9,20797E+17;https://twitter.com/Thanks_Givens_/status/920797108399095808
NOPelsBrasil;18/10/2017 20:36;1;4;STARTERS DO OPENING GAME: PG: Jrue Holiday SG: E'Twaun Moore SF: Dante Cunningham PF: Anthony Davis C: DeMarcus Cousins;;;;9,20796E+17;https://twitter.com/NOPelsBrasil/status/920795840528097280
FamilyHealthTod;18/10/2017 20:28;0;0;Pelicans center DeMarcus Cousins : 'The image they're pushing [of… http:// dlvr.it/PwQjqP http:// bit.ly/2MMMAF http://www. fhfusa.us;;;;9,20794E+17;https://twitter.com/FamilyHealthTod/status/920793770680913920
BasketBlog_com;18/10/2017 20:28;0;0;http:// BasketBlog.com : DeMarcus Cousins is selling his home, in case you want to see what the… http:// dlvr.it/PwQjLt #NBA #Basketball pic.twitter.com/OzaX8BTrZH;;;#NBA #Basketball;9,20794E+17;https://twitter.com/BasketBlog_com/status/920793654234570753
anniemsullivan;18/10/2017 20:26;0;0;Pelicans center DeMarcus Cousins : 'The image they're pushing [of… http:// dlvr.it/PwQj0j http:// bit.ly/2MMMAF http://www. fhfusa.us;;;;9,20793E+17;https://twitter.com/anniemsullivan/status/920793168072679424
amazonpromos1;18/10/2017 20:26;0;0;Pelicans center DeMarcus Cousins : 'The image they're pushing [of… http:// dlvr.it/PwQhxv http:// bit.ly/2MMMAF http://www. fhfusa.us;;;;9,20793E+17;https://twitter.com/amazonpromos1/status/920793154369892353
almaepreston;18/10/2017 20:26;0;0;Pelicans center DeMarcus Cousins : 'The image they're pushing [of… http:// dlvr.it/PwQhwP http:// bit.ly/2MMMAF http://www. fhfusa.us;;;;9,20793E+17;https://twitter.com/almaepreston/status/920793149353598978
pelicansengland;18/10/2017 20:13;0;0;Pelicans Starting 5 vs Grizzlies: PG: Jrue Holiday SG: E'Twaun Moore SF: Dante Cunningham PF: Anthony Davis C: DeMarcus Cousins;;;;9,2079E+17;https://twitter.com/pelicansengland/status/920789863703736320
PrimaScriptura;18/10/2017 20:07;0;0;Jrue Holiday, E'Twaun Moore, Dante Cunningham, Anthony Davis and DeMarcus Cousins will start Wednesday vs. Memphis.;;;;9,20788E+17;https://twitter.com/PrimaScriptura/status/920788449678036992
DailyNBALineups;18/10/2017 20:02;0;0;#Pelicans Jrue Holiday, E'Twaun Moore, Dante Cunningham, Anthony Davis and DeMarcus Cousins will start Wednesd... http:// nbastartingfive.com/playerProfile. jsp?player=E'Twaun%20Moore …;;;#Pelicans;9,20787E+17;https://twitter.com/DailyNBALineups/status/920787222839914496
thebirdwrites;18/10/2017 20:00;2;3;Anthony Davis and DeMarcus Cousins seeking to start the season with a win! https://www. thebirdwrites.com/2017/10/18/165 00766/pelicans-at-grizzlies-game-thread-anthony-davis-and-demarcus-cousins?utm_campaign=thebirdwrites&utm_content=chorus&utm_medium=social&utm_source=twitter … pic.twitter.com/FurIrKC71n;;;;9,20787E+17;https://twitter.com/thebirdwrites/status/920786593065197570
OlehKosel;18/10/2017 20:00;3;3;Can Anthony Davis and DeMarcus Cousins lead the Pelicans to an opening-day victory? https://www. thebirdwrites.com/2017/10/18/165 00766/pelicans-at-grizzlies-game-thread-anthony-davis-and-demarcus-cousins?utm_campaign=olehkosel&utm_content=chorus&utm_medium=social&utm_source=twitter … pic.twitter.com/UcfXoZMDyd;;;;9,20787E+17;https://twitter.com/OlehKosel/status/920786588602437632
DailyNBALineups;18/10/2017 19:56;1;1;#NBA #Lineup #Pelicans Jrue Holiday PG,E'Twaun Moore SG,Dante Cunningham SF,Anthony Davis PF, DeMarcus Cousins C http:// bit.ly/PsMI9f;;;#NBA #Lineup #Pelicans;9,20786E+17;https://twitter.com/DailyNBALineups/status/920785575530991621
kingdavid_03;18/10/2017 19:44;0;0;Is Demarcus cousins coming back home one day?;;;;9,20783E+17;https://twitter.com/kingdavid_03/status/920782646950555648
MavChemCotton;18/10/2017 19:44;0;0;@FantasyCruncher Demarcus Cousins #WinFreeFC;;@FantasyCruncher;#WinFreeFC;9,20783E+17;https://twitter.com/MavChemCotton/status/920782588469497856
nbariver;18/10/2017 19:37;0;0;Pelicans center DeMarcus Cousins : ‘The image they’re pushing [of me] doesn’t fit’. https:// sports.yahoo.com/pelicans-cente r-demarcus-cousins-image-theyre-pushing-doesnt-fit-222336300.html?src=rss …;;;;9,20781E+17;https://twitter.com/nbariver/status/920780786550411266
NBANewzBot;18/10/2017 19:32;0;0;Yahoo! Sports - http:// newzbots.me/?156G9GF - Pelicans center DeMarcus Cousins âThe image theyâre pushing [of me] doesnât fitâ;;;;9,2078E+17;https://twitter.com/NBANewzBot/status/920779537314713600
Donieeeb;18/10/2017 19:29;1;1;I might go Demarcus cousins out in public;;;;9,20779E+17;https://twitter.com/Donieeeb/status/920778912560492544
verticaljump3;18/10/2017 19:26;0;0;Pelicans center DeMarcus Cousins : ‘The image they’re pushing [of me] doesn’t fit’ http:// ift.tt/2yxYjSR;;;;9,20778E+17;https://twitter.com/verticaljump3/status/920778063415271424
sportmetweets;18/10/2017 19:24;0;0;Pelicans center DeMarcus Cousins : ‘The image they’re pushing [of me] doesn’t fit’ http:// ift.tt/2yxYjSR http:// ift.tt/KYVR4n;;;;9,20778E+17;https://twitter.com/sportmetweets/status/920777617405546496
bettingtips101;18/10/2017 19:01;0;0;Top Power Forwards: 1. Anthony Davis 2. Nikola Jokic 3. Lamarcus Aldridge 4. Demarcus Cousins 5. Greg Monroe #NBA #DFS;;;#NBA #DFS;9,20772E+17;https://twitter.com/bettingtips101/status/920771899713519620
BuzzzTeller;18/10/2017 18:50;0;0;NBA star DeMarcus Cousins puts his Granite Bay mansion in play at $5.4 million CLICK BELOW FOR FULL STORY... http:// buzzteller.com/nba-star-demar cus-cousins-puts-his-granite-bay-mansion-in-play-at-5-4-million/ …;;;;9,20769E+17;https://twitter.com/BuzzzTeller/status/920769032625651712
CandlestickWill;18/10/2017 17:49;0;0;16. Joel Embiid 17. Jimmy Butler 18. Nikola Jokic 19. DeMarcus Cousins 20. Chris Paul;;;;9,20754E+17;https://twitter.com/CandlestickWill/status/920753848863428608
joannepoesch;18/10/2017 17:49;0;0;NBA star DeMarcus Cousins puts his Granite Bay mansion in play at $5.4 million http:// dlvr.it/PwPhsK pic.twitter.com/2UXFknfSI1;;;;9,20754E+17;https://twitter.com/joannepoesch/status/920753621339324416
PelicansChat;18/10/2017 17:33;0;0;#TakeFlight #GeauxPels #Pels NBA star DeMarcus Cousins puts his Granite Bay mansion in play at $5.4 million http:// dld.bz/gnudb;;;#TakeFlight #GeauxPels #Pels;9,2075E+17;https://twitter.com/PelicansChat/status/920749770980974595
_BWD_;18/10/2017 17:15;0;0;It's stuffed with the kind of incisive cultural commentary you'd expect from any drawn-out analogy between Roy Moore and DeMarcus Cousins pic.twitter.com/KMNl99SwFA;;;;9,20745E+17;https://twitter.com/_BWD_/status/920745151693238272
Derrick_73;18/10/2017 17:14;0;0;DeMarcus Cousins on his excitement to begin the season http://www. youtube.com/watch?v=b0iXte t48HY … https:// adroed.com/demarcus-cousi ns-on-his-excitement-to-begin-the-season/ …;;;;9,20745E+17;https://twitter.com/Derrick_73/status/920745019627266048
dcousins_live;18/10/2017 16:56;0;0;2nite DeMarcus Cousins vs the #Grizzlies Fanduel $10200 Draft: http:// bit.ly/20xIIvW Draftkings $10000 Draft: http:// bit.ly/2gVC0PI;;;#Grizzlies;9,2074E+17;https://twitter.com/dcousins_live/status/920740483911077888
HAAL;18/10/2017 16:38;0;0;NBA star DeMarcus Cousins puts his Granite Bay mansion in play at $5.4 million by Neal J. Leitereg via latimes… http:// ift.tt/2gQWFT4;;;;9,20736E+17;https://twitter.com/HAAL/status/920735740354588672
CollectedN;18/10/2017 16:24;0;0;NBA star DeMarcus Cousins puts his Granite Bay mansion in play at $5.4 million http:// ift.tt/2x5yczy;;;;9,20732E+17;https://twitter.com/CollectedN/status/920732232335216640
atanbabball;18/10/2017 16:21;0;0;dannythompson Is This The Year The Pelicans Can Fly Back Into The http:// aroundtheassociation.com/is-this-the-ye ar-the-pelicans-can-fly-back-into-the-playoffs-pelicans-season-preview/ … #AnthonyDavis #DeMarcusCousins #JrueHoliday;;;#AnthonyDavis #DeMarcusCousins #JrueHoliday;9,20732E+17;https://twitter.com/atanbabball/status/920731648634867718
WilliamMungall;18/10/2017 16:18;0;0;NBA star DeMarcus Cousins puts his Granite Bay mansion in play at $5.4 million http:// ift.tt/2x5yczy;;;;9,20731E+17;https://twitter.com/WilliamMungall/status/920730905844559872
HotChkNewsTweet;18/10/2017 16:15;0;0;NBA star DeMarcus Cousins puts his Granite Bay mansion in play at $5.4 million (LA Times) http:// ift.tt/2x5yczy;;;;9,2073E+17;https://twitter.com/HotChkNewsTweet/status/920730172457963522
MrDjentlemen;18/10/2017 16:15;0;0;If I didn't tweet about how I miss DeMarcus Cousins then was I even on Twitter?;;;;9,2073E+17;https://twitter.com/MrDjentlemen/status/920730043650920454
latimesfirehose;18/10/2017 16:15;0;0;NBA star DeMarcus Cousins puts his Granite Bay mansion in play at $5.4 million http:// lat.ms/2gQ9yNf;;;;9,2073E+17;https://twitter.com/latimesfirehose/status/920730002840276994
latimesbiz;18/10/2017 16:15;0;0;NBA star DeMarcus Cousins puts his Granite Bay mansion in play at $5.4 million http:// lat.ms/2yrRnaL;;;;9,2073E+17;https://twitter.com/latimesbiz/status/920729971122933760
LATrealestate;18/10/2017 16:15;2;1;NBA star DeMarcus Cousins puts his Granite Bay mansion in play at $5.4 million http:// lat.ms/2gQN3rM;;;;9,2073E+17;https://twitter.com/LATrealestate/status/920729968681803777
LATHotProperty;18/10/2017 16:14;2;12;#Pelicans star DeMarcus Cousins is asking $5.4M for Northern California mansion. Has tennis court, pizza oven http:// lat.ms/2zksr1x pic.twitter.com/abt1D1xs6X;;;#Pelicans;9,2073E+17;https://twitter.com/LATHotProperty/status/920729894383788032
researchandwin;18/10/2017 15:35;1;0;What player do you think will have low ownership and help someone take down a #nba #dfs tournament? DeMarcus Cousins and Marc Gasol anyone?;;;#nba #dfs;9,2072E+17;https://twitter.com/researchandwin/status/920719981582716928
GooduBasketball;18/10/2017 14:57;0;0;DeMarcus Cousins thinks New Orleans Pelicans could set ‘new trend’ in NBA https:// wp.me/p8bmGO-eYN #New Orleans Pelicans;;;#New;9,20711E+17;https://twitter.com/GooduBasketball/status/920710533225091085
FanSided;18/10/2017 14:35;0;0;DeMarcus Cousins and the 10 players with the most to prove this NBA season (by @THElukenorris ) https:// fansided.com/2017/10/16/nba -season-preview-2017-18-players-most-prove/ …;;@THElukenorris;;9,20705E+17;https://twitter.com/FanSided/status/920704791197741056
jltunme;18/10/2017 13:59;1;1;Wow a national article that actually suggests DeMarcus Cousins not being traded pic.twitter.com/wfYvJ5qtR4;;;;9,20696E+17;https://twitter.com/jltunme/status/920695938435469312
numberFire_NBA;18/10/2017 13:45;1;1;Pelicans' DeMarcus Cousins , Anthony Davis could see big minutes together in 2017-18 http:// bit.ly/2gO50H9;;;;9,20692E+17;https://twitter.com/numberFire_NBA/status/920692224110641152
HoopBallTweets;18/10/2017 13:43;0;0;DeMarcus Cousins and Anthony Davis will share the floor often https://www. hoop-ball.com/nba-fantasy-ne ws-and-advice/fantasy-nba-player-news/demarcus-cousins-and-anthony-davis-will-share-the-floor-often/ …;;;;9,20692E+17;https://twitter.com/HoopBallTweets/status/920691910573948929
Waltober_;18/10/2017 13:34;0;0;LeBron, KD , Steph , Russ , Kawhi , James harden , Anthony Davis , Kyrie , demarcus cousins , john wall;;;;9,20689E+17;https://twitter.com/Waltober_/status/920689442695909378
DFSAddict;18/10/2017 13:09;0;0;Thoughts on a Chris Paul for DeMarcus Cousins trade? #Pelicans #Rockets;;;#Pelicans #Rockets;9,20683E+17;https://twitter.com/DFSAddict/status/920683231321645056
DailyNBALineups;18/10/2017 13:07;1;1;#Pelicans Alvin Gentry said he wants to have both DeMarcus Cousins and Anthony Davis on the floor as much as p... http:// nbastartingfive.com/playerProfile. jsp?player=DeMarcus%20Cousins …;;;#Pelicans;9,20683E+17;https://twitter.com/DailyNBALineups/status/920682771529584645
KingInMyOwnMind;18/10/2017 12:54;0;0;Celtics will be getting DeMarcus Cousins soon;;;;9,20679E+17;https://twitter.com/KingInMyOwnMind/status/920679439083671552
dcb97;18/10/2017 12:44;0;0;NBA Stars Paul George, Damian Lillard, DeMarcus Cousins & More Share Their Favorite Pre-Game Song http://www. billboard.com/articles/colum ns/hip-hop/8005616/nba-players-pre-game-playlists-paul-george-damian-lilliard … via @billboard;;@billboard;;9,20677E+17;https://twitter.com/dcb97/status/920676916771696641
PSR_1065;18/10/2017 12:37;0;0;For Pelicans' DeMarcus Cousins , there's no place like home and everyone has a story to tell - The Advocate (Baton... http:// fb.me/2fy6dv1e2;;;;9,20675E+17;https://twitter.com/PSR_1065/status/920675271757434881
HashtagDALEY;18/10/2017 12:35;0;0;EASILY B. A puts you right back in the DeMarcus Cousins purgatory.;;;;9,20675E+17;https://twitter.com/HashtagDALEY/status/920674704406355968
