username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
vashcash_;29/11/2017 21:59;0;0;a hahahahha;;;;9,36022E+17;https://twitter.com/vashcash_/status/936021949813350400
spicysarahhh;29/11/2017 21:59;0;0;@KingJames growing his beard cuz his head is lacking;;@KingJames;;9,36022E+17;https://twitter.com/spicysarahhh/status/936021919203241984
Yeeup_ThatsD;29/11/2017 21:59;0;0;A million dollars so I don't miss this money lol;;;;9,36022E+17;https://twitter.com/Yeeup_ThatsD/status/936021848810311681
jordangel23;29/11/2017 21:59;0;0;Mannnn would it be dope to see @chrisbosh back on the court again.. Hope the @cavs give him a call midway through the season.. Yo @KingJames @DwyaneWade give him a ring #Literally;;@chrisbosh @cavs @KingJames @DwyaneWade;#Literally;9,36022E+17;https://twitter.com/jordangel23/status/936021829902204928
ChrisPaulino3;29/11/2017 21:59;0;2;@KingJames @BlazePizza !! We need Blaze Pizza out here in NYC ... especially in Manhattan .. what’s up ???!!!???;;@KingJames @BlazePizza;;9,36022E+17;https://twitter.com/ChrisPaulino3/status/936021811556421632
Michael19488776;29/11/2017 21:59;0;0;Go cavs;;;;9,36022E+17;https://twitter.com/Michael19488776/status/936021784180281344
BowwowOH;29/11/2017 21:59;0;0;@KingJames had better stats in his short amount of minutes last night then @Enes_Kanter gets in a entire game lol;;@KingJames @Enes_Kanter;;9,36022E+17;https://twitter.com/BowwowOH/status/936021749879181313
GaryDetmanNews;29/11/2017 21:59;0;0;Who is Enos Kanter? @KingJames;;@KingJames;;9,36022E+17;https://twitter.com/GaryDetmanNews/status/936021713917267969
kadeemKDturner;29/11/2017 21:58;0;0;Lebron to the Sixers sounds like a ring to me , com'on Lil King James . Let the Lord lead you. #sixers Haters... http:// fb.me/6Mubq8jvw;;;#sixers;9,36022E+17;https://twitter.com/kadeemKDturner/status/936021698880696320
sojib92;29/11/2017 21:58;0;1;Nah man this guy I swear is a complete savage. He's like LeBron James he has no regard for human life https:// twitter.com/EN14YET/status /935931377375154178 …;;;;9,36022E+17;https://twitter.com/sojib92/status/936021616529756160
xJK47o;29/11/2017 21:57;0;0;How is this a strong reaction?;;;;9,36021E+17;https://twitter.com/xJK47o/status/936021316934696960
Coolmomin2;29/11/2017 21:57;0;0;Lebron James has been ejected for the first time in his career;;;;9,36021E+17;https://twitter.com/Coolmomin2/status/936021232243310593
sabloom1;29/11/2017 21:56;0;0;#FreeCyntoiaBrown @BillHaslam more than 430 000 have signed in 3 days. many people support #CyntoiaBrown @PiperPerabo @Alyssa_Milano @MsJackieCruz @Caradelevingne @KimKardashian (you know it) @rihanna @SnoopDogg @KingJames @afropunk @CharletChung @TheRoot and so much more... https:// twitter.com/sabloom1/statu s/934836414784655366 …;;@BillHaslam @PiperPerabo @Alyssa_Milano @MsJackieCruz @Caradelevingne @KimKardashian @rihanna @SnoopDogg @KingJames @afropunk @CharletChung @TheRoot;#FreeCyntoiaBrown #CyntoiaBrown;9,36021E+17;https://twitter.com/sabloom1/status/936021191227305985
SagiLamone;29/11/2017 21:56;0;3;Man LeBron this is Big Boy you doing more in a community than Oprah Tyler Perry and any other black person in power especially Michael Jordan big s***;;;;9,36021E+17;https://twitter.com/SagiLamone/status/936021175528017923
mr_novacane;29/11/2017 21:56;0;0;I liked a @YouTube video http:// youtu.be/GOS9jOq5Rk0?a Skip Bayless reacts to LeBron James being ejected against the Miami Heat | UNDISPUTED;;@YouTube;;9,36021E+17;https://twitter.com/mr_novacane/status/936021171593760768
abcxyz12890;29/11/2017 21:56;0;0;"Lebron like what he said to Drose prolly mean we don't even need IT here coz i can carry this shit""""";;;;9,36021E+17;https://twitter.com/abcxyz12890/status/936021157039558656
ChavoMark;29/11/2017 21:56;0;1;"We're going streaking!!"" - @KingJames""";;@KingJames;;9,36021E+17;https://twitter.com/ChavoMark/status/936021095202697216
hypervocal;29/11/2017 21:56;0;0;The 76ers could sign LeBron James in free agency next summer. Seriously. http:// bit.ly/2jxTaS7 pic.twitter.com/C57kMZdGZh;;;;9,36021E+17;https://twitter.com/hypervocal/status/936021031248105472
iSwervez;29/11/2017 21:56;0;0;Lebron james https:// twitter.com/primedruss/sta tus/936019974115622912 …;;;;9,36021E+17;https://twitter.com/iSwervez/status/936020990756134912
YesbananasSport;29/11/2017 21:56;0;0;LeBron James ejected for first time in career in game against Miami Heat http:// dlvr.it/Q3XxWn #esporte #sport;;;#esporte #sport;9,36021E+17;https://twitter.com/YesbananasSport/status/936020970321489920
Tonys_Reviews;29/11/2017 21:55;0;0;Top Lebron James Fans In The YouTube Community: http:// youtu.be/pznnArLJPKE?a via @YouTube;;@YouTube;;9,36021E+17;https://twitter.com/Tonys_Reviews/status/936020767267082241
eaglflyrs;29/11/2017 21:54;0;1;Interesting backdrop @KingJames #LeBronToPhilly #cavs pic.twitter.com/dIVXIAKS2o;;@KingJames;#LeBronToPhilly #cavs;9,36021E+17;https://twitter.com/eaglflyrs/status/936020565391011840
melanie_battles;29/11/2017 21:54;0;0;Watching @KingJames talk about his ejection somehow reminds me of Ts and Ss... in classrooms... pic.twitter.com/I3vZTsGPK6;;@KingJames;;9,36021E+17;https://twitter.com/melanie_battles/status/936020551558148097
surfomister;29/11/2017 21:53;0;0;Watch LeBron James Get Ejected For The First Time In His Career http:// fb.me/4jrfyOtKQ;;;;9,3602E+17;https://twitter.com/surfomister/status/936020341184380928
StacieNoble;29/11/2017 21:53;0;2;My brother, Steven Noble, made this product! Check him out at https://www. etsy.com/shop/AntiqueCh aracter?ref=hdr_shop_menu …;;;;9,3602E+17;https://twitter.com/StacieNoble/status/936020301330157568
Bshowjr;29/11/2017 21:53;0;0;I love how @KingJames continues to ignore @RealSkipBayless https:// twitter.com/jahki_jabarr/s tatus/935692351091159042 …;;@KingJames @RealSkipBayless;;9,3602E+17;https://twitter.com/Bshowjr/status/936020240386920448
danjanjohn;29/11/2017 21:52;0;0;@KingJames My 11yo son has an appt. @Cleve Clinic in Dec. He's been anxious & scared so we decided 2 make it a mini-vacation & c Cavs v 76ers on 12/9. Thank u 4 giving my son something to look forward 2. He can focus on seeing his fave player instead of w;;@KingJames @Cleve;;9,3602E+17;https://twitter.com/danjanjohn/status/936020170115551233
KitkaNatal;29/11/2017 21:52;0;1;This handcrafted wood case is only available from this seller https://www. etsy.com/shop/AntiqueCh aracter?ref=hdr_shop_menu …;;;;9,3602E+17;https://twitter.com/KitkaNatal/status/936020092462288897
MzNurseBee14;29/11/2017 21:52;1;2;Never seen the media cry this much over someone getting tossed out of a meaningless November game;;;;9,3602E+17;https://twitter.com/MzNurseBee14/status/936020009289121793
verticaljump3;29/11/2017 21:52;0;0;Sixers could reportedly target LeBron James , provide intriguing option in free agency http:// ift.tt/2inG7Gr;;;;9,3602E+17;https://twitter.com/verticaljump3/status/936020002796384257
lalalakersfan;29/11/2017 21:51;0;0;A day later and with all the Lebron James and the referee talk you would think that ref slapped Jesus. Who cares?;;;;9,3602E+17;https://twitter.com/lalalakersfan/status/936019810038767616
CavaliersViews;29/11/2017 21:51;0;0;#CavsNation #GoCavs #Cavaliers #Cavs LeBron James makes fun of first career ejection, discusses state of Cavs http:// dld.bz/gwuuT;;;#CavsNation #GoCavs #Cavaliers #Cavs;9,3602E+17;https://twitter.com/CavaliersViews/status/936019709346054145
gaelicG;29/11/2017 21:50;0;0;@KingJames bumblebee tuna pic.twitter.com/VgKYtPXosf;;@KingJames;;9,3602E+17;https://twitter.com/gaelicG/status/936019633634766849
