username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BomiElavia;31/01/2018 21:59;0;0;Mate i don’t think there’s any one here who disagrees that you gave your all for the gunners all the very best this move is Chelsea’s Gain;;;;9,58852E+17;https://twitter.com/BomiElavia/status/958852379461537792
ChelseaFC_Fanly;31/01/2018 21:59;0;1;Why Conte settled on Olivier Giroud #CFC https:// fanly.link/78e4b2f857 pic.twitter.com/Ar5ikvjSqL;;;#CFC;9,58852E+17;https://twitter.com/ChelseaFC_Fanly/status/958852358397624321
TheDonMaloba;31/01/2018 21:59;0;0;Good back up striker. We should have kept him for the Europa games and his impact from the bench.;;;;9,58852E+17;https://twitter.com/TheDonMaloba/status/958852330786406400
jesuisjt;31/01/2018 21:59;0;0;LOL I was wondering the same thing;;;;9,58852E+17;https://twitter.com/jesuisjt/status/958852319558369282
aadewale259;31/01/2018 21:59;0;0;So sad you left #NaNaNaNaa;;;#NaNaNaNaa;9,58852E+17;https://twitter.com/aadewale259/status/958852268748562432
anggriavan;31/01/2018 21:59;0;0;Merci bcoup @_ OlivierGiroud _ its sad to see you left @Arsenal;;@_ @Arsenal;;9,58852E+17;https://twitter.com/anggriavan/status/958852216135143424
nicolaou91;31/01/2018 21:59;0;0;Great professional never heard about him arguing with the players like Sanchez did i thought he was underappreciated all the best #OG 12;;;#OG;9,58852E+17;https://twitter.com/nicolaou91/status/958852211966119936
Rofiq_abdur87;31/01/2018 21:59;0;0;Thank you soo much ,Oli.. All the best for you.. #onceAgoonerAlwaysAgooner;;;#onceAgoonerAlwaysAgooner;9,58852E+17;https://twitter.com/Rofiq_abdur87/status/958852174267654144
HizkiaChr;31/01/2018 21:59;0;0;GOOD LUCK AT CHELSEA OLI, WE'LL MISS YOU;;;;9,58852E+17;https://twitter.com/HizkiaChr/status/958852160879411200
its_mikkyanu;31/01/2018 21:58;0;0;Retweeted Chelsea FC ( @ChelseaFC ): Welcome to Chelsea, @_ OlivierGiroud _ ! #GiroudIsBlue pic.twitter.com/NhlmfePHq7 https:// fb.me/3uvq5z8iV;;@ChelseaFC @_;#GiroudIsBlue;9,58852E+17;https://twitter.com/its_mikkyanu/status/958852078868115456
ndeemma;31/01/2018 21:58;0;1;That's was me being sarcastic. An attacker spends 5+ years in a club and scores only 105 goals. Little wonder the club hasn't won any major trophies. @Zamarni320 I think you club has a player problem not that of a manager.;;@Zamarni320;;9,58852E+17;https://twitter.com/ndeemma/status/958852076846571520
