username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
ReinaVona;13/11/2017 21:59;0;7;I think the biggest heart break I have ever experienced is that Italy isn’t in the World Cup and that Gigi Buffon cried #FinoAllaFine #Azzuri;;;#FinoAllaFine #Azzuri;9,30224E+17;https://twitter.com/ReinaVona/status/930223751781847042;
plutonian10;13/11/2017 21:59;0;0;No italy in world cup ?? Ventura pecat!!!!!;;;;9,30224E+17;https://twitter.com/plutonian10/status/930223739173724160;
charleswarrener;13/11/2017 21:59;0;0;It’s actually upsetting that Italy won’t be in the World Cup;;;;9,30224E+17;https://twitter.com/charleswarrener/status/930223731267514368;
ishaantharoor;13/11/2017 21:59;5;5;Italy will miss the World Cup for the first time in 60 years. http:// wapo.st/2hqCLOY?tid=ss _tw&utm_term=.e701ae9acb99 …;;;;9,30224E+17;https://twitter.com/ishaantharoor/status/930223726821507074;
mcowartlaw;13/11/2017 21:59;0;0;If the Netherlands & Italy competed in CONCACAF, they would qualify as 1st or 2nd every World Cup & split every Gold Cup between them.;;;;9,30224E+17;https://twitter.com/mcowartlaw/status/930223723403251712;
bystander696;13/11/2017 21:59;0;0;Okay. So U.S. doesn't qualify for the World Cup ? Believable. Italy doesn't qualify for the World Cup ? WHAT'S HAPPENING?!;;;;9,30224E+17;https://twitter.com/bystander696/status/930223691522363392;
FarEastFlynn7;13/11/2017 21:59;1;0;World Cup with no Italy ?????;;;;9,30224E+17;https://twitter.com/FarEastFlynn7/status/930223686300209157;
JloSLayMo;13/11/2017 21:59;0;0;Smh. This World Cup is dead to me. No USA, no Italy , no fun. https:// twitter.com/azzurri/status /930207948428673024 …;;;;9,30224E+17;https://twitter.com/JloSLayMo/status/930223669699158016;
MaelKallel;13/11/2017 21:59;1;5;No caption needed #WorldCup #Italy #Buffon pic.twitter.com/xeoNeNWwJc;;;#WorldCup #Italy #Buffon;9,30224E+17;https://twitter.com/MaelKallel/status/930223665924407296;
robfallon25;13/11/2017 21:59;0;1;Italy not making the World Cup is amazing. I love it;;;;9,30224E+17;https://twitter.com/robfallon25/status/930223653257666566;
