username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
cimnme;17/01/2018 21:59;0;0;"50 i love you man,if you need I will take few bullets for you. Please dont ever say SOCCER"" its motherfucking Football!""";;;;9,53779E+17;https://twitter.com/cimnme/status/953778929038446598;
lopezZuchi458;17/01/2018 21:59;0;0;Congratuletion;;;;9,53779E+17;https://twitter.com/lopezZuchi458/status/953778831499939840;
Jovo_Holmes;17/01/2018 21:59;0;0;I am actually gutted that @10Ronaldinho has retired from football. He was my favourite player, I grew up watching him. He was just fascinating to watch. Pure class, simply one of best. It’s a shame how he just seemed to fade away out of the limelight.;;@10Ronaldinho;;9,53779E+17;https://twitter.com/Jovo_Holmes/status/953778743906103297;
heirigogakumi;17/01/2018 21:59;0;0;Farewell! Ronaldinho officially retires from https:// footballpic.twitter.com/f0ZyASVeOi : Farewell! Ronaldinho officially retires from football pic…;;;;9,53779E+17;https://twitter.com/heirigogakumi/status/953778741565710336;
dorney4;17/01/2018 21:59;0;0;Best night and worse morning;;;;9,53779E+17;https://twitter.com/dorney4/status/953778729804759040;
HazoJK43;17/01/2018 21:59;0;2;Not really correcting grammar is it;;;;9,53779E+17;https://twitter.com/HazoJK43/status/953778725782466560;
KeithMonaghan2;17/01/2018 21:59;0;0;@andygoldstein05 Can we have some love for Ronaldinho ?;;@andygoldstein05;;9,53779E+17;https://twitter.com/KeithMonaghan2/status/953778725493051392;
Frank2Artistic;17/01/2018 21:58;0;0;Idolo @10ronaldinho @soccerbible golazoweekly @rldesignz @Ryanbabel bleacherreport https://www. instagram.com/p/BeEeLU8jKPY/;;@10ronaldinho @soccerbible @rldesignz @Ryanbabel;;9,53779E+17;https://twitter.com/Frank2Artistic/status/953778662398144512;
Yemzine;17/01/2018 21:58;0;1;Lool nah, Ronaldinho is a bastard https:// twitter.com/leandrogomes77 /status/953450723697676288 …;;;;9,53779E+17;https://twitter.com/Yemzine/status/953778652084305920;
AndySpyrou1;17/01/2018 21:58;0;0;Forgot how good he was;;;;9,53779E+17;https://twitter.com/AndySpyrou1/status/953778647332204544;
khaptain4real;17/01/2018 21:58;0;0;Get your ass serious crazy guy;;;;9,53779E+17;https://twitter.com/khaptain4real/status/953778625848987649;
Acimana1;17/01/2018 21:58;0;0;Sad that i will never see Ronaldinho and Xavi play in my life time as they were my footballer idol... i do hope i dont miss @Lionel_Messi and @andresiniesta8 too, the last of the legends!;;@Lionel_Messi @andresiniesta8;;9,53779E+17;https://twitter.com/Acimana1/status/953778545951621120;
Lukespeck2;17/01/2018 21:58;0;1;Unlike you, fraud of a player;;;;9,53779E+17;https://twitter.com/Lukespeck2/status/953778537818939393;
scotangus94;17/01/2018 21:58;0;7;Why are you correcting the grammar of a man whose first language is French?;;;;9,53778E+17;https://twitter.com/scotangus94/status/953778470261280769;
Mike_Ligue1;17/01/2018 21:57;0;0;Ronaldinho on Paris was electric, never lost possession created for others.... Ultimate teammate and loved immensely, especially while I lived there;;;;9,53778E+17;https://twitter.com/Mike_Ligue1/status/953778448035610635;
Hotcizzz;17/01/2018 21:57;0;1;Today one of my favorite futbol players of all time hung up his boots. His play and creativity really made the game fun, exciting and beautiful. Obrigado @10Ronaldinho #JogaBonito;;@10Ronaldinho;#JogaBonito;9,53778E+17;https://twitter.com/Hotcizzz/status/953778432877490178;
CantonasChip;17/01/2018 21:57;1;1;Mate Ronaldinho 's official retirement has made me so sad. Can we rewind to prime Figo and Ronaldinho ?!;;;;9,53778E+17;https://twitter.com/CantonasChip/status/953778321808150533;
