username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
fauzild;13/03/2018 20:59;0;1;As I told my friends, Roma is the one who’s gonna win last night instead of Manchester United;;;;9,7371E+17;https://twitter.com/fauzild/status/973710296085708800;
BaiBabu_;13/03/2018 20:59;0;0;Boy hard luck;;;;9,7371E+17;https://twitter.com/BaiBabu_/status/973710267619201024;
mahdiaritama;13/03/2018 20:59;0;0;the team news also didn't make it much better. well done, @ManUtd .;;@ManUtd;;9,7371E+17;https://twitter.com/mahdiaritama/status/973710267308679168;
SnakehipsSam;13/03/2018 20:59;1;10;Only got urself to blame @ManUtd .... @ManCity used to be the laughing stock..But ur probably not arsed with fan feelings unless ur fleecing them https:// twitter.com/sam_kenney/sta tus/973706048090656768 …;;@ManUtd @ManCity;;9,7371E+17;https://twitter.com/SnakehipsSam/status/973710256718204929;
Ryrigger64;13/03/2018 20:59;0;0;Announce Moyes return;;;;9,7371E+17;https://twitter.com/Ryrigger64/status/973710255631818752;
NvhaR3D_;13/03/2018 20:59;1;1;It's over. Get him the fuck out of the club please i'm begging @ManUtd https:// twitter.com/BBCSport/statu s/973704589022257152 …;;@ManUtd;;9,7371E+17;https://twitter.com/NvhaR3D_/status/973710246433775617;
BBCSport;13/03/2018 20:59;17;90;Man City are out of the running, but Shakhtar Donetsk's Fred is still a target for Manchester United . Gossip http:// bbc.in/1QqNGBp pic.twitter.com/w9PaC0vV1N;;;;9,7371E+17;https://twitter.com/BBCSport/status/973710242704908288;
YorkshireCafu;13/03/2018 20:59;0;0;Let’s be honest you guys would’ve won if City didn’t spend 50 million pounds on full backs.;;;;9,7371E+17;https://twitter.com/YorkshireCafu/status/973710231686574081;
Karlosb;13/03/2018 20:59;0;0;Great shout mate! I was talking to the guy next to me tonight and we were struggling to come up with anyone credible but Bailly is a great shout!;;;;9,7371E+17;https://twitter.com/Karlosb/status/973710219996991488;
JonathanNgan;13/03/2018 20:59;0;2;I was optimistic but also realistic about Manchester United 's chances in the UCL ... but to go out like this ...;;;;9,7371E+17;https://twitter.com/JonathanNgan/status/973710219925602304;
