username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
clops83;28/05/2018 20:58;0;1;Although his playing days were a bit before my time, I had the pleasure of meeting Neale Cooper on more than one occasion. Genuinely nice guy, with some funny stories! Thoughts with his family and friends. RIP Tattie #gothenburggreat #DONS;;;#gothenburggreat #DONS;1,00125E+18;https://twitter.com/clops83/status/1001251275370123264
twiggybw1;28/05/2018 20:57;0;0;Another footballing legend and a top player taken too soon, terrible news, thoughts and prayers for his family x as a Bolton fan & im sure every fan, football takes a back seat at terrible times like this and unite as one, R.I.P Neale Cooper x;;;;1,00125E+18;https://twitter.com/twiggybw1/status/1001251028770148353
shoaibmubashir1;28/05/2018 20:52;0;0;Ex-footballer Neale Cooper dies after collapsing https:// 2newsnow.com/ex-footballer- neale-cooper-dies-after-collapsing/ … pic.twitter.com/sdEDDWWQon;;;;1,00125E+18;https://twitter.com/shoaibmubashir1/status/1001249967875469312
sorourkeITV;28/05/2018 20:51;3;10;RIP Neale Cooper . I knew him as a Hartlepool manager who didn’t see the glass ceiling. I also remember me and the Mrs sitting with him in the Egypt Cottage for a few hours one Sunday and he was lovely. This is so sad. @HUFC;;@HUFC;;1,00125E+18;https://twitter.com/sorourkeITV/status/1001249756721623040
huxleyorama;28/05/2018 20:50;0;1;So young. Tragic for everyone he leaves a legacy fans will keep alive for generations. #ynwa #NealeCooper;;;#ynwa #NealeCooper;1,00125E+18;https://twitter.com/huxleyorama/status/1001249413350744064
NewsOnScotland;28/05/2018 20:49;1;0;‘He was a pal, he was a son, he was everything to me’: Joe Harper pays tribute to Neale Cooper https://www. eveningexpress.co.uk/fp/news/local/ he-was-a-pal-he-was-a-son-he-was-everything-to-me-joe-harper-pays-tribute-to-neale-cooper/ … #Scotland #aberdeen pic.twitter.com/WtMlC56rrE;;;#Scotland #aberdeen;1,00125E+18;https://twitter.com/NewsOnScotland/status/1001249202314403840
JamesMcCreadie3;28/05/2018 20:46;0;0;RIP Neale Cooper , Dons Legend. https:// twitter.com/dolly_1966/sta tus/1001195035562512385 …;;;;1,00125E+18;https://twitter.com/JamesMcCreadie3/status/1001248348018442240
johnminoz;28/05/2018 20:45;0;0;Neale Cooper , Gone But Not Forgotten. Thoughts with his family and friends.;;;;1,00125E+18;https://twitter.com/johnminoz/status/1001248156477149184
davidtmilne;28/05/2018 20:44;0;3;RIP Neale Cooper . Such a shame. Dons legend.;;;;1,00125E+18;https://twitter.com/davidtmilne/status/1001247762053320704
AberdeenFC_News;28/05/2018 20:43;1;0;Aberdeen legend Neale Cooper is the first Gothenburg Great to ... - https:// ift.tt/2Jat6vg;;;;1,00125E+18;https://twitter.com/AberdeenFC_News/status/1001247640070361088
FootyRightNow;28/05/2018 20:31;0;0;Scotland boss Alex McLeish leads tributes to Neale Cooper http:// dlvr.it/QVPtyT;;;;1,00124E+18;https://twitter.com/FootyRightNow/status/1001244707484151808
FootyRightNow;28/05/2018 20:31;0;0;Neale Cooper dead at 54: Sir Alex Ferguson’s legendary former Aberdeen midfielder and ex-Rangers star passes away after collapsing at the weekend http:// dlvr.it/QVPtxN;;;;1,00124E+18;https://twitter.com/FootyRightNow/status/1001244698806177792
madeofgranite;28/05/2018 20:27;0;4;High Praise #NealeCooper https:// twitter.com/henrywinter/st atus/1001201792561106945 …;;;#NealeCooper;1,00124E+18;https://twitter.com/madeofgranite/status/1001243499247931393
TheMarkETurner;28/05/2018 20:26;0;0;Tragic. BBC News - Ex-footballer Neale Cooper dies after collapsing http://www. bbc.co.uk/news/uk-scotla nd-north-east-orkney-shetland-44278758 …;;;;1,00124E+18;https://twitter.com/TheMarkETurner/status/1001243321006731264
scott_melville;28/05/2018 20:26;0;1;Top player from a Top team under Fergie in the early 80s Ally RIP Neale Cooper x;;;;1,00124E+18;https://twitter.com/scott_melville/status/1001243294255468549
CONNECTPROSEARC;28/05/2018 20:24;1;0;Pain floods Pittodrie as Neale Cooper dies aged 54 http://www. dailymail.co.uk/sport/football /article-5780673/Pain-floods-Pittodrie-Neale-Cooper-dies-aged-54.html …;;;;1,00124E+18;https://twitter.com/CONNECTPROSEARC/status/1001242871201193984
Rangers9IAR;28/05/2018 20:23;0;12;Terribly sad news about the loss of another 9IAR player today. RIP Neale Cooper . https:// twitter.com/Rangers9IAR/st atus/856255056835997698 …;;;;1,00124E+18;https://twitter.com/Rangers9IAR/status/1001242482527662081
riddell_ross;28/05/2018 20:20;0;0;RIP Neale Cooper . A true Scottish football legend.;;;;1,00124E+18;https://twitter.com/riddell_ross/status/1001241906033123328
markrowland69;28/05/2018 20:20;0;0;Former Dons player Neale Cooper dies http://www. bbc.co.uk/news/uk-scotla nd-north-east-orkney-shetland-44278758 …;;;;1,00124E+18;https://twitter.com/markrowland69/status/1001241868506746880
scott_melville;28/05/2018 20:15;0;4;As a celtic fan growing up in the early 80s Aberdeen FC were the Premier team in Scotland and Neale Cooper was a big part of that trophy winning side RIP Neale ynwa x;;;;1,00124E+18;https://twitter.com/scott_melville/status/1001240688808398850
startupcrunch;28/05/2018 20:14;1;0;Neale Cooper , former Hartlepool boss, has died aged 54 after collapsing at home http://www. bing.com/news/apiclick. aspx?ref=FexRss&aid=&tid=950778334F3E48849B4C43C173B4D54A&url=https%3A%2F%2Fwww.gazettelive.co.uk%2Fnews%2Fteesside-news%2Fneale-cooper-former-hartlepool-boss-14717142&c=13784225582685673686&mkt=en-us&utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/q3970xGFx7;;;;1,00124E+18;https://twitter.com/startupcrunch/status/1001240212305936384
MarkWotte;28/05/2018 20:13;2;10;Rip Neale Cooper https:// twitter.com/ericmca/status /1001151668841603074 …;;;;1,00124E+18;https://twitter.com/MarkWotte/status/1001240073638162432
kneehigh1981;28/05/2018 20:12;0;0;That moment 1 min 40 ish in and that commentary will always e a favourite. Rest in peace neale cooper . #nealecooper #AberdeenFC https:// youtu.be/GoSiBq2Q0MU;;;#nealecooper #AberdeenFC;1,00124E+18;https://twitter.com/kneehigh1981/status/1001239899138396165
JimboCambo;28/05/2018 20:12;0;0;#NealeCooper rest in peace;;;#NealeCooper;1,00124E+18;https://twitter.com/JimboCambo/status/1001239728384102400
