username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
colmac20;28/05/2018 20:20;0;0;Manchester United to join FA Women 's Championship - Official Manchester United Website http://www. manutd.com/en/News-And-Fe atures/Football-News/2018/May/club-announcement-on-man-united-women-after-fa-accepts-application-to-join-fa-womens-championship.aspx …;;;;1,00124E+18;https://twitter.com/colmac20/status/1001241771282763781
Awxxs_;28/05/2018 19:15;0;3;Liverpool out here signing Fabinho and we out here establishing a womens team;;;;1,00123E+18;https://twitter.com/Awxxs_/status/1001225521756278785
GusRedDevil7;28/05/2018 18:18;0;0;Manchester United to join FA Women 's Championship - Official Manchester United Website http://www. manutd.com/en/News-And-Fe atures/Football-News/2018/May/club-announcement-on-man-united-women-after-fa-accepts-application-to-join-fa-womens-championship.aspx …;;;;1,00121E+18;https://twitter.com/GusRedDevil7/status/1001211020642324480
nicholsonworld;28/05/2018 18:13;1;0;Unfortunately the FA has destroyed the credibility of the women 's game by including Manchester United . They formed in March. #workforsuccess #cplfc https:// twitter.com/isthmianleague /status/1001159875836203010 …;;;#workforsuccess #cplfc;1,00121E+18;https://twitter.com/nicholsonworld/status/1001209834002202624
_Junior_Buf_;28/05/2018 17:26;0;1;The Football Association has approved Manchester United ’s application to establish a professional women ’s team in the FA Women ’s Championship, starting later this year.;;;;1,0012E+18;https://twitter.com/_Junior_Buf_/status/1001198087052976128
t1mbo83;28/05/2018 17:16;0;0;@FA why @ManUtd ladies get straight into women ’s championship when other teams have battled all season won league won cup . We know why because your as bent as fifa and ufea . Your killing grassroots because the only way you get to the top is if you ha;;@FA @ManUtd;;1,0012E+18;https://twitter.com/t1mbo83/status/1001195512836575232
Just_Alo;28/05/2018 17:09;0;0;Manchester United to join FA Women 's Championship - Official Manchester United Website http://www. manutd.com/en/News-And-Fe atures/Football-News/2018/May/club-announcement-on-man-united-women-after-fa-accepts-application-to-join-fa-womens-championship.aspx …;;;;1,00119E+18;https://twitter.com/Just_Alo/status/1001193794841309184
BramwelManoah;28/05/2018 16:55;0;0;Welcome our women let red be the great army;;;;1,00119E+18;https://twitter.com/BramwelManoah/status/1001190165610713088
DTRadioBen;28/05/2018 16:44;0;2;RT @ManUtd : #MUFC 's application to establish a professional women 's team has been approved by The @FA . More information: http:// manutd.co/Koa pic.twitter.com/fR4Lx7yFSf;;@ManUtd @FA;#MUFC;1,00119E+18;https://twitter.com/DTRadioBen/status/1001187442878177284
stretford_end;28/05/2018 16:17;7;17;OFFICIAL: The Football Association has approved Manchester United ’s application to establish a professional women ’s team in the FA Women ’s Championship, starting later this year. #MUFC;;;#MUFC;1,00118E+18;https://twitter.com/stretford_end/status/1001180631131459585
ItsFoxedUp;28/05/2018 15:43;0;0;Leicester City and Manchester United earn place in FA Women 's Championship http:// dlvr.it/QVNsNV;;;;1,00117E+18;https://twitter.com/ItsFoxedUp/status/1001172231911698433
annabelault;28/05/2018 15:43;0;1;The @FA have dropped Sunderland out of the professional WSL structure whilst letting Manchester United play in the Championship without yet having played a competitive match- all for supporting the teams who take professional women 's football seriously, but this is so dubious;;@FA;;1,00117E+18;https://twitter.com/annabelault/status/1001172096762957826
TFS_Leicester;28/05/2018 15:10;0;0;Leicester City and Manchester United earn place in FA Women 's Championship #lcfc #mufc https://www. leicestermercury.co.uk/sport/football /football-news/leicester-manchester-united-womens-championship-1616195 … http:// dlvr.it/QVNk60;;;#lcfc #mufc;1,00116E+18;https://twitter.com/TFS_Leicester/status/1001163932545908736
yournews365;28/05/2018 15:06;0;0;Manchester United granted place in Women 's Championship by FA https://www. yournews365.com/manchester-uni ted-granted-place-in-women-s-championship-by-fa?code=b73c2d22763d1ce2143a3755c1d0ad3a …;;;;1,00116E+18;https://twitter.com/yournews365/status/1001162799861641216
Levett09;28/05/2018 14:59;0;2;1971 the ban was lifted for women to play football in an FA team... Well done @ManUtd only took you 47 years #FA https:// twitter.com/SkySportsNews/ status/1001041308079796224 …;;@ManUtd;#FA;1,00116E+18;https://twitter.com/Levett09/status/1001160995388129286
KukretiAshwin;28/05/2018 14:47;0;1;I heard there will be major signings for women 's team let's hope for some world class players who at least play attacking football;;;;1,00116E+18;https://twitter.com/KukretiAshwin/status/1001158023782400000
IndyFootball;28/05/2018 14:46;4;5;Manchester United granted place in Women 's Championship by FA Details here: http:// ind.pn/2J9bkbD pic.twitter.com/KfmR2O7a9L;;;;1,00116E+18;https://twitter.com/IndyFootball/status/1001157695469182977
ManchesterPlaza;28/05/2018 14:45;0;0;Manchester United Women to play in FA Women 's Championship next season - ESPN http:// dlvr.it/QVNcLW;;;;1,00116E+18;https://twitter.com/ManchesterPlaza/status/1001157485581889536
