username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SportsVideoWave;23/05/2018 20:57;0;0;Nashville Lands 2019 NFL Draft http://www. youtube.com/watch?v=pd9g58 9h-lg … http:// sportsvideowave.com/2018/05/23/nas hville-lands-2019-nfl-draft/ …;;;;9,99439E+17;https://twitter.com/SportsVideoWave/status/999439152688005121
Tricearatops;23/05/2018 20:56;0;0;It is gonna be in Nashville huh;;;;9,99439E+17;https://twitter.com/Tricearatops/status/999439079665258496
edonnellymdphd;23/05/2018 20:55;1;2;NFL Draft officially coming to Nashville in 2019 https://www. tennessean.com/story/money/20 18/05/23/nfl-draft-nashville-tennessee-host-city-april-2019/634475002/ … pic.twitter.com/9zwUDe57oT;;;;9,99439E+17;https://twitter.com/edonnellymdphd/status/999438588566802432
MidTNBrowns;23/05/2018 20:48;0;1;#MTBB .... If you haven't heard the 2019 NFL Draft is coming to our City... #Nashville We already have plenty to look forward to this year, but this will be fun! http://www. nfl.com/news/story/0ap 3000000933939/article/nashville-selected-as-host-of-2019-nfl-draft … pic.twitter.com/iTC8OLabPE;;;#MTBB #Nashville;9,99437E+17;https://twitter.com/MidTNBrowns/status/999437061684940800
3HL1045;23/05/2018 20:44;0;6;. @Titans President and CEO Steve Underwood talks about #Nashville hosting the 2019 #NFL Draft. http:// bit.ly/2s5PgFd;;@Titans;#Nashville #NFL;9,99436E+17;https://twitter.com/3HL1045/status/999435872373063680
mikesillybands;23/05/2018 20:36;3;28;Nashville may host the NFL draft but Memphis was on Wheel of Fortune tonight pic.twitter.com/6zbbWEZqhR;;;;9,99434E+17;https://twitter.com/mikesillybands/status/999433823724232705
1025TheGame;23/05/2018 20:34;1;5;" Nashville is a city that has a sterling reputation.. I love the fact the stadium is right downtown."" @wingoz on the NFL Draft.""";;@wingoz;;9,99434E+17;https://twitter.com/1025TheGame/status/999433504604729345
KAISER1776;23/05/2018 20:33;0;0;And no the nfl draft is heading to Nashville;;;;9,99433E+17;https://twitter.com/KAISER1776/status/999433248160800768
suntimes_sports;23/05/2018 20:30;1;0;ICYMI: The NFL draft is moving to its fourth city in as many years: Nashville , Tenn. http:// bit.ly/2s1QCAO;;;;9,99432E+17;https://twitter.com/suntimes_sports/status/999432327410446341
fizbanmoose;23/05/2018 20:29;0;0;Music City gets NFL Draft and USMNT vs Mexico today. Just another day in Nashville .;;;;9,99432E+17;https://twitter.com/fizbanmoose/status/999432103107485696
thatgirlfromnsh;23/05/2018 20:26;1;3;News reporter: “The NFL Draft in Nashville will be the biggest event this city has ever seen.” Hockey fans: pic.twitter.com/nyq8wRqtm3;;;;9,99431E+17;https://twitter.com/thatgirlfromnsh/status/999431399043162112
SkonieSkoop;23/05/2018 20:24;0;0;Nashville named host city for 2019 NFL Draft http://www. wjhl.com/top-news/tenne ssee/nashville-named-host-city-for-2019-nfl-draft/1194337068 …;;;;9,99431E+17;https://twitter.com/SkonieSkoop/status/999430855272615937
ThinkMM;23/05/2018 20:23;0;4;Proud to be a member of the Nashville Convention & Visitors Corp and excited the @NFL Draft is coming to our city! #NFLDraft #Nashville @visitmusiccity https:// twitter.com/visitmusiccity /status/999288068887674881 …;;@NFL @visitmusiccity;#NFLDraft #Nashville;9,99431E+17;https://twitter.com/ThinkMM/status/999430657641271298
1025TheGame;23/05/2018 20:19;0;2;"Our downtown campus can really hold events second to none.."" Scott Ramsey on the NFL Draft to Nashville . #NFLDraft2019""";;;#NFLDraft2019;9,9943E+17;https://twitter.com/1025TheGame/status/999429605407821829
LoveSportsMom;23/05/2018 20:19;0;0;“ Nashville will host the 2019 NFL Draft” https:// twitter.com/i/moments/9993 03510662504448 …;;;;9,9943E+17;https://twitter.com/LoveSportsMom/status/999429578400632832
TheNamesJuicy;23/05/2018 20:15;0;0;Sounds like you’ve never been to Nashville bud.;;;;9,99429E+17;https://twitter.com/TheNamesJuicy/status/999428598296694784
joehills;23/05/2018 20:12;0;10;Also, it turns out that liking Nashville was the only good decision the NFL made today. If you plan to converge on the event to protest, book a room now—that weekend is also Nashville ’s Music City Marathon!;;;;9,99428E+17;https://twitter.com/joehills/status/999427901765365760
StephenWaldman;23/05/2018 20:11;0;0;Everything good has been happening to Nashville . funny but since you came on the scene Nashville has really grown. You’re a great singer. awesome person that represents the town with such class. Keep it up Carrie looking forward to seeing you at Hard Rock if I could get tix;;;;9,99428E+17;https://twitter.com/StephenWaldman/status/999427728033157120
scale_whoop_em;23/05/2018 20:10;0;0;Nashville Music City will host the 2018 NFL Draft, no city in America throws a party like Nashville #musiccity #titanup;;;#musiccity #titanup;9,99427E+17;https://twitter.com/scale_whoop_em/status/999427427758731265
NFL_FanTeam_Ldr;23/05/2018 20:08;0;0;Nashville to host 2019 NFL draft https:// ift.tt/2xainfC;;;;9,99427E+17;https://twitter.com/NFL_FanTeam_Ldr/status/999426790799093762
923TheFan;23/05/2018 20:07;1;1;Read what the Cleveland committee had to say about Nashville getting the 2018 NFL Draft here. https:// 923thefan.radio.com/articles/nfl-a wards-2019-nfl-draft-nashville …;;;;9,99426E+17;https://twitter.com/923TheFan/status/999426498464440320
610SportsKC;23/05/2018 20:06;0;1;Listen LIVE here: https:// player.radio.com/listen/station /610-sports … We've got @RealMNchiefsfan joining us to discuss today's anthem news, Words of Wisdom With Uncle Al, @mctait on to talk KU's AD search, our reaction to Nashville getting the NFL Draft and it's the final show for @IAmJoeSummers ! https:// twitter.com/StephenSerda/s tatus/999424924321304576 …;;@RealMNchiefsfan @mctait @IAmJoeSummers;;9,99426E+17;https://twitter.com/610SportsKC/status/999426302816980993
markwade351;23/05/2018 20:04;0;0;2019 NFL Draft is officially in Nashville #pumped;;;#pumped;9,99426E+17;https://twitter.com/markwade351/status/999425846581645312
CameronWolfe;23/05/2018 20:04;2;6;‘‘Tis is true. Live in-studio on 102.5 with @BuckReising now until 7p. Talking Nashville NFL Draft, Titans, thoughts on new NFL anthem policy and more: https:// twitter.com/1025thegame/st atus/999413488475951104 …;;@BuckReising;;9,99426E+17;https://twitter.com/CameronWolfe/status/999425785965568000
Titans_TT;23/05/2018 19:59;0;0;NFL Draft in Nashville : NFL world reacts to 2019 Draft coming to Music City #TennesseeTitans https:// eu.tennessean.com/story/sports/n fl/titans/2018/05/23/nfl-draft-nashville-nfl-world-reacts-2019-draft-coming-music-city/634752002/ …;;;#TennesseeTitans;9,99425E+17;https://twitter.com/Titans_TT/status/999424585538957312
BrandonFosterTN;23/05/2018 19:54;1;4;April, 2019: the NFL draft, Rock and Roll marathon, with potentially a Predators game, Nashville Sounds game, and Nashville Soccer Club game all on the same day/weekend in late April. Great for Nashville , bad for traffic.;;;;9,99423E+17;https://twitter.com/BrandonFosterTN/status/999423343735558145
MHtz12;23/05/2018 19:54;0;2;Buddy, viewership is fine for the league. Next.;;;;9,99423E+17;https://twitter.com/MHtz12/status/999423318896898048
marietk28;23/05/2018 19:52;0;0;I keep hoping for Pittsburgh. It always looks like such a fun time. I'm thinking Nashville will probably be the best one to date.;;;;9,99423E+17;https://twitter.com/marietk28/status/999422728829571073
LonelyTinTN;23/05/2018 19:51;0;0;Nashville Selected To Host 2019 NFL Draft https://www. newschannel5.com/news/nashville -selected-to-host-2019-nfl-draft …;;;;9,99423E+17;https://twitter.com/LonelyTinTN/status/999422575297089536
SoBroHerbie_B;23/05/2018 19:48;73;428;Growing up in Nashville , if you would have told me that the city would host the NHL Draft, NHL All-Star Game, the Stanley Cup Finals, and now the NFL Draft there’s 0% chance I’d believe any of them. Insane to see how much this city has grown.;;;;9,99422E+17;https://twitter.com/SoBroHerbie_B/status/999421937284734977
615Living;23/05/2018 19:48;0;0;I live in Nashville myself and there aren’t KKK rallies in my neighborhood;;;;9,99422E+17;https://twitter.com/615Living/status/999421736255934464
jordan_thechamp;23/05/2018 19:47;0;0;So Nashville is going to host the NFL Draft, have a marathon, and a Preds home playoff game. What a weekend in the Music City next April.;;;;9,99422E+17;https://twitter.com/jordan_thechamp/status/999421599710408712
RedZoneLayton;23/05/2018 19:46;0;0;Nashville officially named the city for the NFL Draft in 2019.;;;;9,99421E+17;https://twitter.com/RedZoneLayton/status/999421354259730432
LuisNFL96;23/05/2018 19:46;0;1;Nashville is officially home to the 2019 NFL Draft. https:// twitter.com/carrieunderwoo d/status/999306421887012866 …;;;;9,99421E+17;https://twitter.com/LuisNFL96/status/999421280985190400
_coldenswindell;23/05/2018 19:40;0;9;The 2019 @NFL Draft is coming to Nashville ! Y’all can check out the official announcement here: http:// visitmusiccity.com/nfldraft @VisitMusicCity #NFLDraft #TheFutureIsNow pic.twitter.com/OM6rjyewsE;;@NFL @VisitMusicCity;#NFLDraft #TheFutureIsNow;9,9942E+17;https://twitter.com/_coldenswindell/status/999419942834499585
hairmetalhenry;23/05/2018 19:39;0;1;So you say the @nfl draft will be in Nashville next year? pic.twitter.com/Fop4XgPvqV;;@nfl;;9,9942E+17;https://twitter.com/hairmetalhenry/status/999419530156879874
yeahnoworries;23/05/2018 19:30;1;1;Fans #thrilled Nashville picked to host 2019 NFL Draft - WKRN News 2 http://www. wkrn.com/sports/fans-th rilled-nashville-picked-to-host-2019-nfl-draft/1194660736?unique_ID=636627168563008574 … via @yeahnoworries #thrilled;;@yeahnoworries;#thrilled #thrilled;9,99417E+17;https://twitter.com/yeahnoworries/status/999417291023572992
TheXtra_Point;23/05/2018 19:30;0;0;Nashville , Tennessee Titans to host 2019 NFL Draft http:// fw.to/MWyvimW #NFL #NFLDraft #Nashville;;;#NFL #NFLDraft #Nashville;9,99417E+17;https://twitter.com/TheXtra_Point/status/999417260761632768
PorthGame;23/05/2018 19:30;0;2;Tune in for additional coverage of Nashville getting the NFL Draft! @BuckReising & @CameronWolfe have you covered starting at 6 pm on @1025TheGame ! https:// twitter.com/1025TheGame/st atus/999413488475951104 …;;@BuckReising @CameronWolfe @1025TheGame;;9,99417E+17;https://twitter.com/PorthGame/status/999417235117617152
One_News_Page;23/05/2018 19:29;0;0;Denver Loses Out To Nashville On 2019 NFL Draft Hosting Bid: https://www. onenewspage.com/video/20180523 /10105355/Denver-Loses-Out-To-Nashville-On-2019-NFL.htm … #NFLOwners;;;#NFLOwners;9,99417E+17;https://twitter.com/One_News_Page/status/999417140158648321
AllanBell247;23/05/2018 19:29;0;1;Smart play by the race organization. Attach yourself to the NFL any way possible, great branding. As for Nashville , whew, that is a ton of action in one centralized location (including possible hockey, too).;;;;9,99417E+17;https://twitter.com/AllanBell247/status/999417008184799232
BarstoolBelmont;23/05/2018 19:26;2;21;What are we gonna do when the NFL Draft comes to Nashville pic.twitter.com/6yw5SQY7Y0;;;;9,99416E+17;https://twitter.com/BarstoolBelmont/status/999416419400998914
APPSportsDesk;23/05/2018 19:26;0;1;NFL Draft officially coming to Nashville in 2019: Why Music City got the draft https:// on.app.com/2s2xGlA via @AsburyParkPress;;@AsburyParkPress;;9,99416E+17;https://twitter.com/APPSportsDesk/status/999416353038757888
clevelandstar;23/05/2018 19:23;0;0;Nashville named as host of 2019 NFL Draft http://www. clevelandstar.com/news/257332815 /nashville-named-as-host-of-2019-nfl-draft …;;;;9,99416E+17;https://twitter.com/clevelandstar/status/999415640971759616
dgbwharper;23/05/2018 19:23;0;1;Nashville and 2019 NFL draft. #YEAH;;;#YEAH;9,99416E+17;https://twitter.com/dgbwharper/status/999415553730273280
nashvilleherald;23/05/2018 19:22;0;0;Nashville named as host of 2019 NFL Draft http://www. nashvilleherald.com/news/257332815 /nashville-named-as-host-of-2019-nfl-draft …;;;;9,99415E+17;https://twitter.com/nashvilleherald/status/999415410150789121
barbaragilling2;23/05/2018 19:22;0;3;That will be awesome for all the fans around Nashville;;;;9,99415E+17;https://twitter.com/barbaragilling2/status/999415397039325184
Titans;23/05/2018 19:20;23;126;City of Nashville Reacts to Hosting 2019 NFL Draft Press Conference Photos » http:// titanup.co/aqoORo pic.twitter.com/Ebk03dgzJ9;;;;9,99415E+17;https://twitter.com/Titans/status/999414814236659713
3HL1045;23/05/2018 19:17;2;26;". @DawnDavenportTN is reporting the Marathon will in fact take place the same weekend as the 2019 NFL Draft. Nashville will host both events on the same weekend in April of 2019. As Babs said, the Marathon “ain’t moving’."";;@DawnDavenportTN;;999414160059486209""";https://twitter.com/3HL1045/status/999414160059486209;;;;
LaythGafoor;23/05/2018 19:15;0;0;#ICYMI the #NFLDraft will be moving to #Nashville in 2019 #NFL #Football #Sports https:// sprtsnt.ca/2kl7Rce;;;#ICYMI #NFLDraft #Nashville #NFL #Football #Sports;9,99413E+17;https://twitter.com/LaythGafoor/status/999413413435584512
ralf_baier3;23/05/2018 19:14;0;0;@JosephinSkriver Exited for the NFL Draft Day in 2019? It‘s coming to Nashville .;;@JosephinSkriver;;9,99413E+17;https://twitter.com/ralf_baier3/status/999413169012531201
MapleRidgeEvnts;23/05/2018 19:13;0;0;Music City is starting to look more and more like a sports town . We look forward to Nashville hosting the 2019 NFL Draft next April! https://www. facebook.com/MapleRidgeEven ts/posts/1595392460558007 …;;;;9,99413E+17;https://twitter.com/MapleRidgeEvnts/status/999413078361026566
adam_hamby;23/05/2018 19:10;0;0;You should see Nashville during CMA fest... #ballstothewallppl;;;#ballstothewallppl;9,99412E+17;https://twitter.com/adam_hamby/status/999412265253265409
NC5_AKoehn;23/05/2018 19:09;2;4;Nashville has been selected to host the NFL draft and it's scheduled the same weekend as the Rock N Roll Marathon. Busy times here in Music City!!! https://www. newschannel5.com/news/nashville -selected-to-host-2019-nfl-draft …;;;;9,99412E+17;https://twitter.com/NC5_AKoehn/status/999412123452178432
Midday180;23/05/2018 19:08;1;2;NFL Draft in Nashville on The Midday 180 @NFL @ploreilly #Midday180 #NFLDraft http:// post.futurimedia.com/wgfx/playlist/ 23/listen-436.html?cb=1527113335.893975 …;;@NFL @ploreilly;#Midday180 #NFLDraft;9,99412E+17;https://twitter.com/Midday180/status/999411884376952833
NashvilleoGoing;23/05/2018 19:05;0;0;What's going on? Nashville Will Take the 2019 NFL Draft to the Next Level - http:// atozsportsnashville.com http:// dlvr.it/QTtDmH Get found -> http:// goo.gl/GNn5iH;;;;9,99411E+17;https://twitter.com/NashvilleoGoing/status/999411130106720256
NashvilleoGoing;23/05/2018 19:05;0;0;What's going on? NFL Draft: ' Nashville is ready' for large scale event - The Tennessean http:// dlvr.it/QTtDlm Get found -> http:// goo.gl/GNn5iH;;;;9,99411E+17;https://twitter.com/NashvilleoGoing/status/999411128579964928
