username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
brd_dispatch;16/04/2018 20:59;0;0;NFL bans 10 helmet models, Brady and Brees among those impacted https:// trib.al/rOrPXko pic.twitter.com/yjgVrfnPpm;;;;9,86031E+17;https://twitter.com/brd_dispatch/status/986031476352352263
TheReal_KDubb;16/04/2018 20:52;0;0;NFL , NFLPA ban the use of certain helmets - http:// klou.tt/lq91qjomfcyv;;;;9,8603E+17;https://twitter.com/TheReal_KDubb/status/986029546892812288
Sport_Electr;16/04/2018 20:50;0;0;#10: Official NFL Helmet Green Bay Packers Logo Black Soft Gel Case for Apple iPod Touch 5G… https:// goo.gl/fb/fWZwfe #Electronics #Sports;;;#10 #Electronics #Sports;9,86029E+17;https://twitter.com/Sport_Electr/status/986029079043493895
JeffRutherford;16/04/2018 20:48;0;0;NFL helmet safety testing results: Vicis ranks first again for its high-tech head protector https:// buff.ly/2JPTo3x pic.twitter.com/PlIiQ0Id8R;;;;9,86028E+17;https://twitter.com/JeffRutherford/status/986028480134557696
EastsideHBC;16/04/2018 20:46;25;32;NFL releases the results of a study detailing the safest, and most dangerous, helmets http:// footballscoop.com/news/nfl-relea ses-results-study-detailing-safest-worst-helmets/ …;;;;9,86028E+17;https://twitter.com/EastsideHBC/status/986028161422036997
BruceKrell;16/04/2018 20:43;0;0;Check out what I just added to my closet on Poshmark: NFL Dallas Cowboys Vintage Men's Helmet Polo. https:// poshmark.com/listing/59ac2b 818f0fc4727f062196?utm_campaign=referral_code%3DKICKNKRELL&utm_content=feature%3Dsh_l%26rfuid%3D56a04610d4486c997601ef47%26ext_trk%3Dbranch&utm_source=tw_sh_pub … via @poshmarkapp #shopmycloset;;@poshmarkapp;#shopmycloset;9,86027E+17;https://twitter.com/BruceKrell/status/986027218693275648
reporteyes1;16/04/2018 20:42;0;0;New post ( NFL to prohibit use of certain helmets for 1st time - WAOW) has been published on ReportEyes - https:// reporteyes.com/nfl-to-prohibi t-use-of-certain-helmets-for-1st-time-waow/ …;;;;9,86027E+17;https://twitter.com/reporteyes1/status/986027047330897920
bfrazier65;16/04/2018 20:41;0;0;NFL bans 10 helmet models, Brady and Brees among those impac... http://www. inforum.com/sports/footbal l/4432450-nfl-bans-10-helmet-models-brady-and-brees-among-those-impacted#.WtU0wm3GHwY.twitter …;;;#;9,86027E+17;https://twitter.com/bfrazier65/status/986026937834463232
mcallister9804;16/04/2018 20:41;0;2;If Dak doesn’t have a star on his helmet , this doesn’t get asked;;;;9,86027E+17;https://twitter.com/mcallister9804/status/986026934206386176
UgochiWBRC;16/04/2018 20:37;0;0;NFL to prohibit use of certain helmets for 1st time http://www. wbrc.com/story/37967635 /nfl-to-prohibit-use-of-certain-helmets-for-1st-time …;;;;9,86026E+17;https://twitter.com/UgochiWBRC/status/986025758358466560
sabahmajujaya;16/04/2018 20:36;0;0;#NFL bans 10 #helmet models after 2018, including Brady’s https:// goo.gl/fb/qRZGyE #news #sports #bill #china;;;#NFL #helmet #news #sports #bill #china;9,86026E+17;https://twitter.com/sabahmajujaya/status/986025668675817472
NEPatriotsNews4;16/04/2018 20:33;0;0;NFL bans 10 helmet models after 2018, including Brady’s - https:// ift.tt/2Hw4Frv #Patriots;;;#Patriots;9,86025E+17;https://twitter.com/NEPatriotsNews4/status/986024787473518597
lizagraham240;16/04/2018 20:31;0;0;The NFL bans 10 helmet models over safety concerns - including Brady's https:// dailym.ai/2H23uwo via @MailOnline;;@MailOnline;;9,86024E+17;https://twitter.com/lizagraham240/status/986024208013709312
