username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Mr_MigL;29/05/2018 20:59;0;0;Right.;;;;1,00161E+18;https://twitter.com/Mr_MigL/status/1001613973060435973
LibonatiBoxing;29/05/2018 20:58;0;1;Sad very good Fighter. Stop walking on your hands, not good for your shoulders.;;;;1,00161E+18;https://twitter.com/LibonatiBoxing/status/1001613786980106240
dennymishler;29/05/2018 20:58;0;3;I had the same surgery. Shoulder is better than it was pre-injury. Heal fast champ!;;;;1,00161E+18;https://twitter.com/dennymishler/status/1001613758341332992
Boxing_FOF;29/05/2018 20:54;0;0;Wow Vasyl Lomachenko Injured in 2nd round vs Linares https:// youtu.be/5hiPXxO4Sow via @YouTube;;@YouTube;;1,00161E+18;https://twitter.com/Boxing_FOF/status/1001612763960107009
Boxing_FOF;29/05/2018 20:53;0;0;Wow Vasyl Lomachenko Injured in 2nd round vs Linares: http:// youtu.be/5hiPXxO4Sow?a via @YouTube;;@YouTube;;1,00161E+18;https://twitter.com/Boxing_FOF/status/1001612610196901889
AllenGC90;29/05/2018 20:44;0;0;Let's ignore shite scorecards for a moment. Vasyl Lomachenko tore his labrum early in the Linares fight. He fought on, outboxed and stopped a bigger man essentially one armed. He's P4P top 3. Nobody can deny that.;;;;1,00161E+18;https://twitter.com/AllenGC90/status/1001610148010450944
RingsideRave;29/05/2018 20:41;0;0;He sure has a strong argument for it;;;;1,00161E+18;https://twitter.com/RingsideRave/status/1001609397192347649
mont_bradley;29/05/2018 20:40;0;0;Exactly! He ducked the HELL out of ward;;;;1,00161E+18;https://twitter.com/mont_bradley/status/1001609210918993921
mont_bradley;29/05/2018 20:39;0;0;When your knocking out itâ€™s possible;;;;1,00161E+18;https://twitter.com/mont_bradley/status/1001608962154881025
MzFightDiva40;29/05/2018 20:37;0;2;Just when I thought Lomachenko was already a beast, he goes out and finishes Linares with a torn labrum. There are some fighters we like then there are fighters we just plain respect. @VasylLomachenko leaves no doubt. #boxing;;@VasylLomachenko;#boxing;1,00161E+18;https://twitter.com/MzFightDiva40/status/1001608562303528961
RingsideRave;29/05/2018 20:35;0;1;That's what we're still trying to figure out Loma is definitely a top 3 fighter in the world ...at very worst.;;;;1,00161E+18;https://twitter.com/RingsideRave/status/1001608074107523077
boxingforum_24;29/05/2018 20:30;0;0;More skilled: Vasyl Lomachenko or Ricardo Lopez https:// goo.gl/fb/v1fE4g;;;;1,00161E+18;https://twitter.com/boxingforum_24/status/1001606712799965184
RingsideRave;29/05/2018 20:30;0;1;"Yes he did. I guess he's a nice player....but he's no Hi-Tech"" #RingsideRave""";;;#RingsideRave;1,00161E+18;https://twitter.com/RingsideRave/status/1001606645523283968
JarrodRudolph;29/05/2018 20:26;0;0;No way heâ€™s before Crawford or Spence, no way. Total disrespect to those guys the way this narrative disregards those undefeated champions.;;;;1,00161E+18;https://twitter.com/JarrodRudolph/status/1001605742300983296
RingsideRave;29/05/2018 20:26;0;2;He has a STRONG claim for that crown of p4p #1 in our eyes as well;;;#1;1,00161E+18;https://twitter.com/RingsideRave/status/1001605660562386945
Jbenjamin81;29/05/2018 20:24;0;0;I can get behind that. IMO I don't think it's that outlandish considering the level of competition he's faced in those 12 fights. Looking forward to another solid year of fights;;;;1,00161E+18;https://twitter.com/Jbenjamin81/status/1001605202607255552
Dylan_JBrath;29/05/2018 20:13;0;0;@VasylLomachenko stopped an elite level pound for pound fighter with one arm CRIKEY;;@VasylLomachenko;;1,0016E+18;https://twitter.com/Dylan_JBrath/status/1001602543083016192
sportingnewsww;29/05/2018 20:10;0;0;Lomachenko to have shoulder surgery: Vasyl Lomachenko is to undergo shoulder surgery w.. http:// dld.bz/gQmsC pic.twitter.com/reuIQXut0Q;;;;1,0016E+18;https://twitter.com/sportingnewsww/status/1001601723088109569
JarrodRudolph;29/05/2018 20:08;0;1;Itâ€™s rushed, my man. He may one day be P4P, but if weâ€™re going by standards historically associated with mythical title then heâ€™s not there. Early title shots be damned, 12 fights with a loss isnâ€™t enough work. Itâ€™s like leading league in scoring after first month of season;;;;1,0016E+18;https://twitter.com/JarrodRudolph/status/1001601150192365568
MikeJoh32378259;29/05/2018 20:07;0;0;Ok all good my dude take care;;;;1,0016E+18;https://twitter.com/MikeJoh32378259/status/1001600942683324418
TheMikeDAddario;29/05/2018 20:05;0;0;I wasnâ€™t calling you names either. I was just speaking generally at the nonsense I read about GGG on a daily basis. Itâ€™s sickening considering the modeled citizen heâ€™s been and the fact that heâ€™s been willing to fight anybody. Thatâ€™s all Iâ€™m saying. You the man.;;;;1,0016E+18;https://twitter.com/TheMikeDAddario/status/1001600521306804225
MikeJoh32378259;29/05/2018 20:02;0;0;I'm not I'm just stating that everyone wasn't ducking him. I didn't call u names my man. My point was he was willing to go to 68 for Froch and JCC Jr but he wanted Ward at 64 in other words I don't want to fight. Which is fine just say that instead of every one is ducking me.;;;;1,0016E+18;https://twitter.com/MikeJoh32378259/status/1001599727409008641
IAMGenoGreen;29/05/2018 19:56;0;1;@VasylLomachenko is one of my favorite fighters right now https:// twitter.com/RingsideRave/s tatus/1001549465822605312 â€¦;;@VasylLomachenko;;1,0016E+18;https://twitter.com/IAMGenoGreen/status/1001598067089567744
MikeJoh32378259;29/05/2018 19:51;0;2;Just like everyone was ducking GGG sure. But Ward moved up to fight the killer at 75 but he ducked GGG lol ok;;;;1,0016E+18;https://twitter.com/MikeJoh32378259/status/1001596948535758848
dustin_rellez;29/05/2018 19:50;0;0;Itâ€™s not like he had 100 amatuer fights and then went to the pros and did this heâ€™s more experienced then most of the champs heâ€™s beat;;;;1,0016E+18;https://twitter.com/dustin_rellez/status/1001596794130714624
dustin_rellez;29/05/2018 19:50;0;0;Someone who stayed amatuer wayyyy longer than needed. Not hating on him heâ€™s amazing but if you let a ray Leonard or Floyd stay amatuer that long they wouldâ€™ve been ready for those world title fights much earlier in there pro careers;;;;1,0016E+18;https://twitter.com/dustin_rellez/status/1001596610734841857
TheMikeDAddario;29/05/2018 19:48;0;0;Spreading around lies as the Ward camp, I see. Andre Ward said heâ€™d fight GGG after the Lemieux fight was signed. Tom Loeffler has the corresponding emails to back this up and advised Ward to release them because theyâ€™re dated. Ward never has. Stop the lies.;;;;1,0016E+18;https://twitter.com/TheMikeDAddario/status/1001596183851171840
TigerBalmBoxing;29/05/2018 19:43;0;0;Vasyl Lomachenko Shoulder Surgery: http:// youtu.be/E3ULs7TCIrk?a via @YouTube;;@YouTube;;1,0016E+18;https://twitter.com/TigerBalmBoxing/status/1001595011912388608
FLIPS305;29/05/2018 19:42;0;1;Who overrates him ?;;;;1,00159E+18;https://twitter.com/FLIPS305/status/1001594535674343424
Jbenjamin81;29/05/2018 19:37;0;0;Again, not taking anything away from the other guys, they're great! Just saying it ain't crazy to put Loma at the top right now. And I can tell you beating Jeff Horn and Carlos Ocampo aint gonna move the needle.;;;;1,00159E+18;https://twitter.com/Jbenjamin81/status/1001593514159935488
MikeJoh32378259;29/05/2018 19:37;0;2;Andre Ward says hi;;;;1,00159E+18;https://twitter.com/MikeJoh32378259/status/1001593419775569920
Jbenjamin81;29/05/2018 19:34;0;3;Come on man, there's more nuance to this discussion than W-L record. Loma took an unconventional approach and fought Solido in his 2nd fight meanwhile other guys are fighting 20 bums before you even know their names.;;;;1,00159E+18;https://twitter.com/Jbenjamin81/status/1001592759369846785
harrydarc;29/05/2018 19:34;0;2;Heâ€™s not overrated canâ€™t rate the kid enough . Guys just need to punch not where he is but where heâ€™s going to be . Easier said than done . Helluva fighter . Floyd should go at 140 and get his tatties mashed;;;;1,00159E+18;https://twitter.com/harrydarc/status/1001592676972625921
BBCSport;29/05/2018 19:31;8;65;Vasyl Lomachenko will have surgery on his shoulder on Wednesday and is expected to be out of the ring until December. https:// bbc.in/2sipIF0 pic.twitter.com/VwolM4BH56;;;;1,00159E+18;https://twitter.com/BBCSport/status/1001591824895627264
BasecampTrades;29/05/2018 19:28;0;0;@VasylLomachenko hope the surgery goes well.;;@VasylLomachenko;;1,00159E+18;https://twitter.com/BasecampTrades/status/1001591012635041792
JarrodRudolph;29/05/2018 19:27;0;0;Heâ€™s 11-1, how can you be king if you have a loss? So I assume @SUPERJUDAH , @ShaneMosley_ , @Timbradleyjr were also kings of the sport after 12 fights? The Lomo talk is crazy. Heâ€™s not undefeated and got dropped his last fight, but heâ€™s king at 11-1? These guys didnâ€™t lose rounds;;@SUPERJUDAH @ShaneMosley_ @Timbradleyjr;;1,00159E+18;https://twitter.com/JarrodRudolph/status/1001591004313604097
Mac_GSTQ;29/05/2018 19:27;0;1;Didn't Mo Salah go off in the champions league final with a dislocated shoulder? Work that one out......;;;;1,00159E+18;https://twitter.com/Mac_GSTQ/status/1001590808863236096
Standing__8;29/05/2018 19:24;0;1;@VasylLomachenko Wishing you the best on your surgery... Godspeed on your recovery. Coming soon.... #MatrixReloaded @KlimasBoxing @UkraineAtamans;;@VasylLomachenko @KlimasBoxing @UkraineAtamans;#MatrixReloaded;1,00159E+18;https://twitter.com/Standing__8/status/1001590144841891840
SparkItBack;29/05/2018 19:24;0;0;lol youre wrong for that;;;;1,00159E+18;https://twitter.com/SparkItBack/status/1001590013879111680
SparkItBack;29/05/2018 19:24;0;1;I noticed he was kinda shaking out his arm like it wasnt working right just before he got clipped;;;;1,00159E+18;https://twitter.com/SparkItBack/status/1001590009701519367
OutsidersBoxing;29/05/2018 19:16;0;0;@VasylLomachenko set to undergo surgery for a torn labrum, on his right shoulder he suffered in the 2nd round, of his fight with @JorgeLinares . Says he will be back this year.;;@VasylLomachenko @JorgeLinares;;1,00159E+18;https://twitter.com/OutsidersBoxing/status/1001588084624916480
Jbenjamin81;29/05/2018 19:14;0;2;"The guy is currently the best fighter in 3 weight classes and just got the belt in a 4th. Love Crawford and Spence but I don't think they're reaching by calling Lomo the King""""";;;;1,00159E+18;https://twitter.com/Jbenjamin81/status/1001587632726519810
sdnsports;29/05/2018 19:14;0;0;Huge story, if we go by history, he will never be the same fighter again.;;;;1,00159E+18;https://twitter.com/sdnsports/status/1001587589214765057
BoxerTraxxy;29/05/2018 19:08;0;1;My boxing coach showed me him about 3 years ago, been a fan ever since, and I'm amazed by what he has accomplished so far;;;;1,00159E+18;https://twitter.com/BoxerTraxxy/status/1001586051243266049
faith4him77;29/05/2018 19:07;0;1;"He's so good. I tell everyone... Even if you don't like boxing not only will you like him, you'll know how special he is."" #boxing #HiTech""";;;#boxing #HiTech;1,00159E+18;https://twitter.com/faith4him77/status/1001585788528812032
hrtlssbuttface;29/05/2018 19:07;0;0;WWRD - What Would Rigo Do w/ a torn Labrum in the 2nd Round?;;;;1,00159E+18;https://twitter.com/hrtlssbuttface/status/1001585753359466498
Bl8knstuff;29/05/2018 19:05;1;1;I'm a Loma fan Ron! But I'm starting to think Arum does the shoulder injury trick to build his fighters up, or so they have an excuse why they loss. Waiting to hear Loma hurt his shoulder 8 months before the Salido fight next!;;;;1,00159E+18;https://twitter.com/Bl8knstuff/status/1001585462526361600
JarrodRudolph;29/05/2018 19:03;0;2;Pound-for-pound king? The guy has 12 fights and a loss, how does he get the nod over @budcrawford402 or @ErrolSpenceJr ? The bias hurts the sport as much as bad scorecards;;@budcrawford402 @ErrolSpenceJr;;1,00158E+18;https://twitter.com/JarrodRudolph/status/1001584786291544064
JTL1908;29/05/2018 19:02;0;0;If Garcia beats Loma that in no way means Loma is overrated. If you need to go up multiple weight classes before anyone beats you, and that anyone is a legit top p4p guy, then youâ€™re a bad ass;;;;1,00158E+18;https://twitter.com/JTL1908/status/1001584473195003904
theamedpost;29/05/2018 18:58;0;0;Vasyl Lomachenko To Have Surgery On Shoulder Injury Suffered During Jorge LinaresÂ Win https:// amedpost.com/vasyl-lomachen ko-to-have-surgery-on-shoulder-injury-suffered-during-jorge-linares-win/ â€¦;;;;1,00158E+18;https://twitter.com/theamedpost/status/1001583651669323778
WhatsTheRumpass;29/05/2018 18:56;0;1;"@VasylLomachenko told ESPN: I couldn't use my right arm, throw my right hook, and it was very uncomfortable to continue my fight"" So to recap, Loma tears his labrum in the 2nd round, fights essentially 1-armed for 8 more rounds, climbs off the deck in â€¦";;@VasylLomachenko;;1,00158E+18;https://twitter.com/WhatsTheRumpass/status/1001583138877984768
Babs_SP;29/05/2018 18:54;0;1;Stick and move boxing 101 had Rogan creaming his pants. Jesus. I hope no one shows him too much Vasyl Lomachenko;;;;1,00158E+18;https://twitter.com/Babs_SP/status/1001582673649905666
Ireland2Canada;29/05/2018 18:53;0;0;That sucks! Hope heâ€™s able to fight in December.;;;;1,00158E+18;https://twitter.com/Ireland2Canada/status/1001582323396038656
Ringfan72;29/05/2018 18:53;0;0;Get well soon champ;;;;1,00158E+18;https://twitter.com/Ringfan72/status/1001582223039004674
cryptojazzz;29/05/2018 18:47;0;0;no, whyyyyyyyyyyyy;;;;1,00158E+18;https://twitter.com/cryptojazzz/status/1001580720282914816
SunSport;29/05/2018 18:46;2;3;Pound-for-pound king Vasyl Lomachenko gets some bad news http:// thesun.uk/6019D9ikS pic.twitter.com/wndGZGc7nl;;;;1,00158E+18;https://twitter.com/SunSport/status/1001580569124392960
BalMann15;29/05/2018 18:46;0;1;No chance is he overrated, proper fighting machine is Loma...Iâ€™m gonna say it...Best pound 4 pound in the world in my Eyes..;;;;1,00158E+18;https://twitter.com/BalMann15/status/1001580457459437568
dsmart86;29/05/2018 18:43;0;0;So much for Mikey Garcia;;;;1,00158E+18;https://twitter.com/dsmart86/status/1001579691210403840
4MikeyWilliams;29/05/2018 18:41;7;28;Wishing a speedy recovery to our champion @VasylLomachenko . @trboxing #mikeyshotya pic.twitter.com/qvO2Alcddd;;@VasylLomachenko @trboxing;#mikeyshotya;1,00158E+18;https://twitter.com/4MikeyWilliams/status/1001579307200798720
SunBoxing;29/05/2018 18:41;3;5;Vasyl Lomachenko to have surgery on shoulder injury suffered during Jorge Linares win https://www. thesun.co.uk/sport/boxing/6 406974/vasyl-lomachenko-injury-return-jorge-linares/ â€¦;;;;1,00158E+18;https://twitter.com/SunBoxing/status/1001579303639937024
newsatspeed;29/05/2018 18:40;0;0;New post (Boxing news: Vasyl Lomachenko injury forces surgery with return date ...) has been published on News ... - https:// newsatspeed.com/boxing-news-va syl-lomachenko-injury-forces-surgery-with-return-date-unknown-boxing-sport/ â€¦;;;;1,00158E+18;https://twitter.com/newsatspeed/status/1001578942501998593
obolyeldarb;29/05/2018 18:39;0;0;"P4P isn't a real thing. You can have whoever you want as  P4P King"". I know I certainly would not have Golovkin on top""";;;;1,00158E+18;https://twitter.com/obolyeldarb/status/1001578769042345986
suepesas;29/05/2018 18:36;0;1;Martinez was a recognized also ran at 130. No Berchelt. No Vargas. No Miura. No Mares. No Frampton. No LSC or Valdez at 126. Just Russell. The Walters win was top notch, but at 130, where Walters did nothing. Loma's record is gaudy, but his strength of opposition is only relative;;;;1,00158E+18;https://twitter.com/suepesas/status/1001578145126858752
