username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
004nino;25/05/2018 20:37;0;0;RIP 18 264) #BBC @BBC #Sport - #British #Dean #Francis : #Former #European #champion #boxer #dies #cancer aged 44 http://www. bbc.com/sport/boxing/4 4250522 …;;@BBC;#BBC #Sport #British #Dean #Francis #Former #European #champion #boxer #dies #cancer;1,00016E+18;https://twitter.com/004nino/status/1000158934689304576
FiveStarBoxing;25/05/2018 20:25;0;0;R.I.P. BRENDAN INGLE & DEAN FRANCIS https:// topclassboxing.co.uk/2018/05/25/r-i -p-brendan-ingle-dean-francis/ … #Boxing pic.twitter.com/T7EscN9H2p;;;#Boxing;1,00016E+18;https://twitter.com/FiveStarBoxing/status/1000155876278329344
xboxing2;25/05/2018 20:16;0;0;British Boxing Fans Mourn The Deaths of Brendan Ingle and Dean Francis https://www. boxing-news.me/british-boxing -fans-mourn-the-deaths-of-brendan-ingle-and-dean-francis/ …;;;;1,00015E+18;https://twitter.com/xboxing2/status/1000153560380829696
TOPCLASSBOXING;25/05/2018 20:14;3;10;R.I.P. BRENDAN INGLE & DEAN FRANCIS http:// topclassboxing.co.uk/2018/05/25/r-i -p-brendan-ingle-dean-francis/ … pic.twitter.com/iy1DcBkAnf;;;;1,00015E+18;https://twitter.com/TOPCLASSBOXING/status/1000153216645025792
DeanLeh;25/05/2018 20:03;0;0;Pope Francis reassures bishops the Catholic Church is still totally anti-gay https:// thinkprogress.org/pope-francis-g ay-priests-f9122a9c0a40/ … via @thinkprogress;;@thinkprogress;;1,00015E+18;https://twitter.com/DeanLeh/status/1000150289440161792
catchablackrat;25/05/2018 20:00;0;0;Man, Dean Francis passed as well, R.I.P fellas, sad day for British boxing...;;;;1,00015E+18;https://twitter.com/catchablackrat/status/1000149639402852358
TMooresy;25/05/2018 19:49;0;2;Sad to hear about the passing of Dean Francis;;;;1,00015E+18;https://twitter.com/TMooresy/status/1000146937696407552
IanMcNeilly;25/05/2018 19:27;0;0;I am sad today. This man was talented, lovely, intelligent and vulnerable. Agh. Such a loss. Sleep well, Champ Dean Francis : Former European champion boxer dies aged 44 - BBC Sport https://www. bbc.co.uk/sport/boxing/4 4250522 …;;;;1,00014E+18;https://twitter.com/IanMcNeilly/status/1000141324820115463
RPopBox;25/05/2018 19:12;0;0;RIP Dean Francis;;;;1,00014E+18;https://twitter.com/RPopBox/status/1000137482955051008
boxing_lowdown;25/05/2018 19:10;0;1;TBL News | Brendan Ingle and Dean Francis pass away The boxing world mourned today upon hearing the news legendary trainer Brendan Ingle and former fighter Dean Francis passed away My thoughts: https:// youtu.be/gaRR4ln0mN0 Listen | Like | Comment | Subscribe #Boxing pic.twitter.com/NSxyRJA5fb;;;#Boxing;1,00014E+18;https://twitter.com/boxing_lowdown/status/1000136936747687939
360mediaX;25/05/2018 19:06;0;0;Former super-middleweight champion boxer Dean Francis dies aged 44: Francis , who is survived by his wife Ghalia and… http:// dlvr.it/QV6q3w;;;;1,00014E+18;https://twitter.com/360mediaX/status/1000136124323381248
britboxs;25/05/2018 19:06;2;5;Former super-middleweight champion boxer Dean Francis dies aged 44 : Francis , who is .. http:// dld.bz/gPTD3 pic.twitter.com/1xJMoqoPNf;;;;1,00014E+18;https://twitter.com/britboxs/status/1000135952579420160
Miketyson2007;25/05/2018 19:01;0;0;Just heard about Dean Francis passing ...so young very sad;;;;1,00013E+18;https://twitter.com/Miketyson2007/status/1000134778643984384
universalmindpo;25/05/2018 19:01;0;0;Friends, family and boxing world pay tribute to Dean Francis , a 'warrior and true inspiration' https:// ift.tt/2s9EOfP;;;;1,00013E+18;https://twitter.com/universalmindpo/status/1000134747132133380
BoxingNewsED;25/05/2018 19:00;19;52;Former champion Dean Francis dies at the age of 44: https:// buff.ly/2koOK0N pic.twitter.com/7Z6InGvvnM;;;;1,00013E+18;https://twitter.com/BoxingNewsED/status/1000134553418248193
Invinci55265273;25/05/2018 18:58;0;0;Dean Francis dies at the age of 44: http://www. boxingnewsonline.net/former-champio n-dean-francis-dies/ … pic.twitter.com/ew13Vsmo97;;;;1,00013E+18;https://twitter.com/Invinci55265273/status/1000134022171910144
CanaryAndy03;25/05/2018 18:51;0;0;Rest in peace Dean . A good fighter and a good man ' Dean Francis passes away aged 44' http://www. skysports.com/share/11384893;;;;1,00013E+18;https://twitter.com/CanaryAndy03/status/1000132224895930369
uklocalnet;25/05/2018 18:50;0;0;‘ Dean Francis was one of our own – Bristol has lost a sporting legend’ – Bristol Live http:// uklocal.net/dean-francis-w as-one-of-our-own-bristol-has-lost-a-sporting-legend-bristol-live/ …;;;;1,00013E+18;https://twitter.com/uklocalnet/status/1000131941029568512
orriblesaint1;25/05/2018 18:35;0;0;RIP Basingstoke’s Dean Francis .God bless you champ;;;;1,00013E+18;https://twitter.com/orriblesaint1/status/1000128207289573376
SouthpawBoxNews;25/05/2018 18:34;1;15;It’s rare to find quality commentators in British sport. So @SkySportsBoxing should be clinging onto @mattmacklin & @MattCBoxingNews for all future events. Excellent today, with classy tributes to Brendan Ingle & Dean Francis . More please @SkySports;;@SkySportsBoxing @mattmacklin @MattCBoxingNews @SkySports;;1,00013E+18;https://twitter.com/SouthpawBoxNews/status/1000127905127649281
tawallah23;25/05/2018 18:27;1;1;It’s a sad day for British boxing. We’ve lost two outstanding people. The genius that was Brendan Ingle and the talented, hard as nails Dean Francis . Condolences to both families. Rest in peace. #Britishboxinglegends;;;#Britishboxinglegends;1,00013E+18;https://twitter.com/tawallah23/status/1000126197240619008
audleyharrison;25/05/2018 18:18;5;71;Saddened to catch up on the news of #BrendanIngle & #DeanFrancis passing - both were incredible ambassadors for - dean was a true soldier, so I offer my condolences to his wife & family & Brendan did it all, his sons will carry on his legacy. Tough news for boxing world- RIP;;;#BrendanIngle #DeanFrancis;1,00012E+18;https://twitter.com/audleyharrison/status/1000123956513333248
richiewoodhall;25/05/2018 18:10;9;114;A very sad day for boxing with the passing of Brendan Ingle and Dean Francis . Brendan was a boxing genius who turned everyday kids into world champions. Dean was class and would have been world champ if not for injury. My thoughts and prayers are with the families of both. RIP;;;;1,00012E+18;https://twitter.com/richiewoodhall/status/1000122049090801666
jonglenellyn;25/05/2018 18:08;0;0;What ? Is Dean Koontz 6 years old ?;;;;1,00012E+18;https://twitter.com/jonglenellyn/status/1000121434625265664
GRANT_MARMION;25/05/2018 18:01;0;0;RIP Brendan Ingle and Dean Francis pic.twitter.com/qS7lP3zL6h;;;;1,00012E+18;https://twitter.com/GRANT_MARMION/status/1000119603467640833
TheIronTurk_;25/05/2018 17:55;0;0;Sending out my deepest condolences to the legend of boxing Brendan Ingle and a super talented Dean Francis families. My heart goes out to you all x Brendans name still runs through our gym daily, conversing of his amazing work with some of the worlds best xx RIP great men xx;;;;1,00012E+18;https://twitter.com/TheIronTurk_/status/1000118146047664128
AllTheBeltsApp;25/05/2018 17:55;0;0;Brendan Ingle and Dean Francis pass away http:// dlvr.it/QV6YYw http:// cli.re/download-atb;;;;1,00012E+18;https://twitter.com/AllTheBeltsApp/status/1000118072219385856
Asadmaleki2012;25/05/2018 17:42;0;0;"Died in age of 44 > https:// en.wikipedia.org/wiki/Dean_Fran cis … Dean Star"" Francis (23 January 1974 – 25 May 2018) was an English professional super middle/light heavy/cruiserweight boxer of the 1990s, 2000s and 2010s who has won the British Boxing Board of Control @emma5watson @EmmaWatson""";;@emma5watson @EmmaWatson;;1,00011E+18;https://twitter.com/Asadmaleki2012/status/1000114849043496960
DownUnderBoxing;25/05/2018 17:32;0;0;Brendan Ingle and Dean Francis pass away http:// dlvr.it/QV6TWS;;;;1,00011E+18;https://twitter.com/DownUnderBoxing/status/1000112296344027137
TheDukeLukeMc;25/05/2018 17:18;0;0;"Brendan Ingle and Dean Francis pass away"" https:// ift.tt/2LxK6Kb #Boxing #News #Sports""";;;#Boxing #News #Sports;1,00011E+18;https://twitter.com/TheDukeLukeMc/status/1000108831333126146
RectitudeNGlory;25/05/2018 17:17;0;0;Brendan Ingle and Dean Francis pass away https:// ift.tt/2LxK6Kb via Bad Left Hook - All Posts;;;;1,00011E+18;https://twitter.com/RectitudeNGlory/status/1000108538012807168
BoxingPlaza;25/05/2018 17:08;0;0;Dean Francis : Former European champion boxer dies aged 44 - BBC Sport http:// dlvr.it/QV6NVJ;;;;1,00011E+18;https://twitter.com/BoxingPlaza/status/1000106240159072256
Boxingshare;25/05/2018 17:08;0;0;Dean Francis : Former European champion boxer dies aged 44 - BBC Sport http:// dlvr.it/QV6NSV;;;;1,00011E+18;https://twitter.com/Boxingshare/status/1000106236564549633
badlefthook;25/05/2018 17:06;1;1;Brendan Ingle and Dean Francis pass away https://www. badlefthook.com/2018/5/25/1739 6398/brendan-ingle-and-dean-francis-pass-away?utm_campaign=badlefthook&utm_content=chorus&utm_medium=social&utm_source=twitter …;;;;1,00011E+18;https://twitter.com/badlefthook/status/1000105732786868225
SaleemDean;25/05/2018 16:42;0;0;Shocked ... RIP #deanfrancis thank you for your contribution to British Boxing https:// twitter.com/frankbrunoboxe r/status/1000010761979260930 …;;;#deanfrancis;1,0001E+18;https://twitter.com/SaleemDean/status/1000099886191165440
