username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Smith_D17;25/05/2018 20:54;0;1;Spine-tingling tribute to Brendan Ingle on Sky Sports News. Top drawer stuff #RIP;;;#RIP;1,00016E+18;https://twitter.com/Smith_D17/status/1000163228981317633
socnetsheffield;25/05/2018 20:47;0;0;Top story: @JayMitchinson : 'For #BrendanIngle and his family, a respectful and … pic.twitter.com/dvthgg1PgR , see more http:// tweetedtimes.com/socnetsheffiel d?s=tnp …;;@JayMitchinson;#BrendanIngle;1,00016E+18;https://twitter.com/socnetsheffield/status/1000161516170219520
Carters_MC;25/05/2018 20:40;0;0;Great to witness #Petemckee in full performance mode tonight at #Greysonespub . That new liver is in fine shape & fully functional. An #NHS endorsement of epic proportions!! Fantastic #Petemckee . A fitting tribute to #Brendaningle .Apprecieted by all;;;#Petemckee #Greysonespub #NHS #Petemckee #Brendaningle;1,00016E+18;https://twitter.com/Carters_MC/status/1000159792923660288
RubenInie;25/05/2018 20:39;0;1;RIP BRENDAN INGLE NOT ONLY A GREAT BOXING COACH #coachtothechampions BUT ALSO A GREAT PERSON 1 IN A MILLION;;;#coachtothechampions;1,00016E+18;https://twitter.com/RubenInie/status/1000159512920297482
HillGuitar28;25/05/2018 20:36;0;1;RIP Brendan Ingle , what a character he was;;;;1,00016E+18;https://twitter.com/HillGuitar28/status/1000158610578657281
004nino;25/05/2018 20:34;0;1;RIP 18 263) #BBC @BBC #Sport - #Irish #Brendan #Ingle : #World #champion #boxing #trainer #dies May 25, 2018 #aged 77 http://www. bbc.com/sport/boxing/4 4250458 …;;@BBC;#BBC #Sport #Irish #Brendan #Ingle #World #champion #boxing #trainer #dies #aged;1,00016E+18;https://twitter.com/004nino/status/1000158232709664773
Gns_Tequila;25/05/2018 20:30;0;0;RIP #BrendanIngle trainer of some of England finest boxers and inspiration to so many young #Sheffield kids. Thanks for the amazing memories and great fights.;;;#BrendanIngle #Sheffield;1,00016E+18;https://twitter.com/Gns_Tequila/status/1000157249782865922
inboxing;25/05/2018 20:28;1;0;Tributes pour in for Irish boxing trainer Brendan Ingle http:// dlvr.it/QV74nB;;;;1,00016E+18;https://twitter.com/inboxing/status/1000156564609679360
pops131;25/05/2018 20:27;0;0;Brendan Ingle 'was a legend and treated champions and six-year-olds the same' - BBC Sport: https://www. bbc.co.uk/sport/boxing/4 4252130 …;;;;1,00016E+18;https://twitter.com/pops131/status/1000156426776600577
FiveStarBoxing;25/05/2018 20:25;0;0;R.I.P. BRENDAN INGLE & DEAN FRANCIS https:// topclassboxing.co.uk/2018/05/25/r-i -p-brendan-ingle-dean-francis/ … #Boxing pic.twitter.com/T7EscN9H2p;;;#Boxing;1,00016E+18;https://twitter.com/FiveStarBoxing/status/1000155876278329344
CareBearHickey;25/05/2018 20:19;0;0;RIP Brendan Ingle;;;;1,00015E+18;https://twitter.com/CareBearHickey/status/1000154503977594881
xboxing2;25/05/2018 20:16;0;0;British Boxing Fans Mourn The Deaths of Brendan Ingle and Dean Francis https://www. boxing-news.me/british-boxing -fans-mourn-the-deaths-of-brendan-ingle-and-dean-francis/ …;;;;1,00015E+18;https://twitter.com/xboxing2/status/1000153560380829696
TOPCLASSBOXING;25/05/2018 20:14;3;10;R.I.P. BRENDAN INGLE & DEAN FRANCIS http:// topclassboxing.co.uk/2018/05/25/r-i -p-brendan-ingle-dean-francis/ … pic.twitter.com/iy1DcBkAnf;;;;1,00015E+18;https://twitter.com/TOPCLASSBOXING/status/1000153216645025792
ShamirMasri;25/05/2018 20:08;2;24;"Good memories last a lifetime.. Brendan Ingle gave so many of us so many. We spoke of politics often, and how different things should be, and could be, but aren't.. every single human being"" can learn a lot from this man.. #smile #lovenothate #educateyourself pic.twitter.com/WwFWva5Tk6""";;;#smile #lovenothate #educateyourself;1,00015E+18;https://twitter.com/ShamirMasri/status/1000151769954045953
