username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
VoiceOfReasonRx;25/05/2018 20:52;0;0;Jack Johnson is dead. Want to impress me, pardon a living person who has been prosecuted by racial bigotry..... it’s a safe bet that they are many.;;;;1,00016E+18;https://twitter.com/VoiceOfReasonRx/status/1000162802861072384;
Cheapalock;25/05/2018 20:50;0;0;https:// youtu.be/oiggzc7-Umo Jack Johnson what a puncher he was! @realDonaldTrump;;@realDonaldTrump;;1,00016E+18;https://twitter.com/Cheapalock/status/1000162231995322368;
AndreBrantley;25/05/2018 20:50;0;1;(NBSN) NETWORK Report: TRUMP Just PARDONED...The 1st BLACK HEAVYWEIGHT BOXING CHAMPION... JACK JOHNSON For Undoing Their WRONG....WHY Didn't OBAMA Do It? https://www. youtube.com/watch?v=qI2y1D VWX44 …;;;;1,00016E+18;https://twitter.com/AndreBrantley/status/1000162137325662208;
iheartsportzz;25/05/2018 20:48;0;0;Trump grants pardon of late boxer Jack Johnson https://www. thescore.com/boxing/news/15 49164 …;;;;1,00016E+18;https://twitter.com/iheartsportzz/status/1000161682772119552;
1kterafile;25/05/2018 20:44;0;0;I hate his music, but I gotta agree with Trump that Jack Johnson doesn't deserve to be in jail for it;;;;1,00016E+18;https://twitter.com/1kterafile/status/1000160709433409536;
bigleaguepol;25/05/2018 20:40;28;64;HUGE: President Donald Trump Pardons Boxing Champion Jack Johnson In Oval Office https:// buff.ly/2IRdB8h;;;;1,00016E+18;https://twitter.com/bigleaguepol/status/1000159591353737222;
dmyoung69;25/05/2018 20:37;0;0;Where to start with this. Jack Johnson Posthumously Tells Donald Trump to Kiss His Ass https://www. theroot.com/jack-johnson-p osthumously-tells-donald-trump-to-kiss-hi-1826309720 … via @TheRoot;;@TheRoot;;1,00016E+18;https://twitter.com/dmyoung69/status/1000159037961441286;
GailRosenthal;25/05/2018 20:37;0;0;Trump pardons late black boxing champion Jack Johnson https://www. reuters.com/article/us-usa -trump-pardon/trump-pardons-late-black-boxing-champion-jack-johnson-idUSKCN1IP31F …;;;;1,00016E+18;https://twitter.com/GailRosenthal/status/1000159015932977152;
AA4TRUMP;25/05/2018 20:36;0;0;WATCH: President Trump posthumously pardons boxer Jack Johnson https:// youtu.be/T5u_GKzXWXc via @YouTube;;@YouTube;;1,00016E+18;https://twitter.com/AA4TRUMP/status/1000158657374556166;
TheTrumpCard45;25/05/2018 20:36;0;0;Yesterday, President Trump posthumously pardoned heavyweight boxing champion Jack Johnson . pic.twitter.com/Y8XLJGMWsK;;;;1,00016E+18;https://twitter.com/TheTrumpCard45/status/1000158595869130752;
AA4TRUMP;25/05/2018 20:35;0;0;"DEONTAY WILDER SPEAKS AT JACK JOHNSON PARDON; THANKS PRESIDENT TRUMP , WH... https:// youtu.be/oiggzc7-Umo via @YouTube";;@YouTube;;1,00016E+18;https://twitter.com/AA4TRUMP/status/1000158530106724352;
WashPress45;25/05/2018 20:34;0;1;Trump 's pardon of Jack Johnson a jab to Obama legacy https:// trib.in/2GRVf4S;;;;1,00016E+18;https://twitter.com/WashPress45/status/1000158153282084868;
Transferbr3;25/05/2018 20:34;0;0;I liked a @YouTube video http:// youtu.be/KEcHy2V-t8g?a Mayweather Boxing Club on Donald Trump pardoning Jack Johnson;;@YouTube;;1,00016E+18;https://twitter.com/Transferbr3/status/1000158138316636160;
TheRoot;25/05/2018 20:31;17;35;Trump pardons late heavyweight champ Jack Johnson in the latest swipe at former President Barack Obama https:// trib.al/MvlPhMO pic.twitter.com/JLBt0lNtTq;;;;1,00016E+18;https://twitter.com/TheRoot/status/1000157377650405376;
sherrywilkins;25/05/2018 20:28;0;0;Trump Pardons Jack Johnson , Heavyweight Boxing Champion https:// mobile.nytimes.com/2018/05/24/spo rts/jack-johnson-pardon-trump.html …;;;;1,00016E+18;https://twitter.com/sherrywilkins/status/1000156599372140544;
malhicks1;25/05/2018 20:27;0;1;Context is everything. Trump 's pardon of Jack Johnson a jab to Obama legacy http:// bit.ly/JohnsonPardon;;;;1,00016E+18;https://twitter.com/malhicks1/status/1000156401677647872;
shsu05;25/05/2018 20:18;0;0;Ironic how the same people cheering Trump for doing this would’ve drug Jack Johnson ’s legacy through the mud had Obama done it. Trump supporters would be demanding the pardon be undone somehow. *not just an assumption, it’s fact.;;;;1,00015E+18;https://twitter.com/shsu05/status/1000154206131642375;
nobodyhere23;25/05/2018 20:18;3;3;Mayweather Boxing Club on Donald Trump pardoning Jack Johnson https:// youtu.be/KEcHy2V-t8g via @YouTube What happen @BarackObama ?;;@YouTube @BarackObama;;1,00015E+18;https://twitter.com/nobodyhere23/status/1000154114112802817;
zone_202;25/05/2018 20:17;0;0;Trump pardoning Jack Johnson tells us alot about Barack Obama https:// youtu.be/Z1FDtBpAFv4 via @YouTube;;@YouTube;;1,00015E+18;https://twitter.com/zone_202/status/1000153965915451392;
grannyman2013;25/05/2018 20:17;1;0;People Are Questioning Donald Trump 's Motives For Pardoning Legendary Boxer Jack Johnson https://www. essence.com/news/donald-tr ump-posthumous-pardon-boxer-jack-johnson-motives?utm_source=twitter.com&utm_medium=social&utm_campaign=social-button-sharing … via @ESSENCE;;@ESSENCE;;1,00015E+18;https://twitter.com/grannyman2013/status/1000153950744608768;
nobodyhere23;25/05/2018 20:17;0;0;"DEONTAY WILDER SPEAKS AT JACK JOHNSON PARDON; THANKS PRESIDENT TRUMP , WH... https:// youtu.be/oiggzc7-Umo via @YouTube";;@YouTube;;1,00015E+18;https://twitter.com/nobodyhere23/status/1000153906498990080;
AMHateRadio;25/05/2018 20:16;0;0;One Act @realDonaldTrump Did For Afro-Americans He Pardoned A Famous Black Boxer Who's Been Dead For Decades Jack Johnson Big Deal Unemployment For #AfroAmericans Still High #DonaldTrump Hasn't Been In @WhiteHouse Long Enough Re: Proof Of His Policies Helping Black Community @WSJ;;@realDonaldTrump @WhiteHouse @WSJ;#AfroAmericans #DonaldTrump;1,00015E+18;https://twitter.com/AMHateRadio/status/1000153731856560128;
TrainerGonzo;25/05/2018 20:16;0;0;Some Latino #Boxing fans are upset with the WBC for creating a belt with President Trump ’s likeness to commerate his signing of Jack Johnson ’s pardon.;;;#Boxing;1,00015E+18;https://twitter.com/TrainerGonzo/status/1000153570421784577;
LilHobbit17;25/05/2018 20:14;0;0;'It's about time': Trump pardons late boxer Jack Johnson https://www. yahoo.com/news/trump-par dons-boxer-jack-johnson-171248007--politics.html …;;;;1,00015E+18;https://twitter.com/LilHobbit17/status/1000153200857501696;
snkscoyote;25/05/2018 20:13;0;0;Jack Johnson Posthumously Tells Donald Trump to Kiss His Ass http://www. theroot.com/jack-johnson-p osthumously-tells-donald-trump-to-kiss-hi-1826309720?utm_medium=sharefromsite&utm_source=The_Root_twitter … via @TheRoot;;@TheRoot;;1,00015E+18;https://twitter.com/snkscoyote/status/1000152931897921539;
dmataconis;25/05/2018 20:11;0;0;Jack Johnson , First Black Heavyweight Champion, Pardoned By President Trump http:// dlvr.it/QV4Lpf pic.twitter.com/1hVxy8Bcpi;;;;1,00015E+18;https://twitter.com/dmataconis/status/1000152338697515009;
TheFlakeNews;25/05/2018 20:10;0;0;Trump Administration Removes Last Remaining Note From Shoebox Labeled “Ideas That People Won’t Hate” With Jack Johnson Pardon #BreakingNews at http:// TheFlakeNews.com #JackJohnson #whitehouse #pardon Get the story now: http:// theflake.news/pardon-jack pic.twitter.com/1t9CuCtez7;;;#BreakingNews #JackJohnson #whitehouse #pardon;1,00015E+18;https://twitter.com/TheFlakeNews/status/1000152202500104192;
Monte36453510;25/05/2018 20:10;0;0;Notice how Jesse Jackson jumped into the photos of Jack Johnson ’s family speaking about Donald Trump ’s pardon. Where were the other administrations on this? It took this President to right the wrong. Give him the credit due. He sure don’t look like the racist he was called.;;;;1,00015E+18;https://twitter.com/Monte36453510/status/1000152183386660864;
