username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
wsportsweekly;22/05/2018 20:51;0;0;American heavyweight boxer Eric Molina has been handed a two-year ban by the United Kingdom Anti-Doping organisation for failing a drugs test following his defeat to @anthonyfjoshua at the Manchester Arena in December 2016. Read more http:// worldsportsweekly.com/american-heavy weight-boxer-eric-molina-has-been-handed-a-two-year-ban-by-the-united-kingdom-anti-doping-organisation … pic.twitter.com/z93pd12gOX;;@anthonyfjoshua;;9,99075E+17;https://twitter.com/wsportsweekly/status/999075234941685760
WorldBoxingNews;22/05/2018 20:47;2;0;Former Anthony Joshua opponent banned for two-years: UKAD outline full ruling against Eric Molina http://www. worldboxingnews.net/2018/05/22/new s/former-anthony-joshua-opponent-banned-for-two-years-ukad-outline-full-ruling-against-eric-molina …;;;;9,99074E+17;https://twitter.com/WorldBoxingNews/status/999074176802611201
Boxing_365;22/05/2018 20:34;0;0;Eric Molina has received a two-year ban from UK Anti-Doping after testing positive for a prohibited substance;;;;9,99071E+17;https://twitter.com/Boxing_365/status/999070950523097088
Boxing_365;22/05/2018 20:33;0;0;Eric Molina tested positive for a banned substance after defeat by @anthonyfjoshua;;@anthonyfjoshua;;9,99071E+17;https://twitter.com/Boxing_365/status/999070795539320832
LizDavies14;22/05/2018 20:15;0;0;Eric Molina banned for failing drug test after Anthony Joshua fight https://www. telegraph.co.uk/boxing/2018/05 /22/eric-molina-banned-failing-drug-test-anthony-joshua-fight/?WT.mc_id=tmg_share_tw … via @TelegraphSport;;@TelegraphSport;;9,99066E+17;https://twitter.com/LizDavies14/status/999066293818011648
BoxingKingdom14;22/05/2018 19:56;5;28;The Eric Molina ban highlights just how embarrassing drug testing and bans are in boxing at the moment. We have a guy getting banned for a fight two years ago & he's fought twice since then and will fight again on the weekend. Some say the substance isn't even enhancing.;;;;9,99061E+17;https://twitter.com/BoxingKingdom14/status/999061490077388801
WorldBoxingNews;22/05/2018 19:40;2;3;WATCH: Eric Molina elaborates further on failed test, takes responsibility for anti-inflammatory http://www. worldboxingnews.net/2018/05/22/new s/watch-eric-molina-elaborates-further-on-failed-test-takes-responsibility-for-anti-inflammatory … #EricMolina pic.twitter.com/W5QJnbCkW3;;;#EricMolina;9,99057E+17;https://twitter.com/WorldBoxingNews/status/999057316417765377
dbofbb;22/05/2018 19:34;0;0;** Eric Molina banned for 2 years following failed drug test after Joshua bout : A.. : http:// dld.bz/gP8Ex pic.twitter.com/WBgq7VQ9US;;;;9,99056E+17;https://twitter.com/dbofbb/status/999055939746529282
Kobafernalateri;22/05/2018 19:28;0;0;BBC Sport - Eric Molina : Anthony Joshua opponent banned after failing doping test http://www. bbc.com/sport/boxing/4 4212756 … why did canelo only get 6 months?;;;;9,99054E+17;https://twitter.com/Kobafernalateri/status/999054301195522049
BetFastcom;22/05/2018 19:28;0;0;BBCSport: Eric Molina has been suspended from boxing after testing positive for a banned substance following his heavyweight fight with Anthony Joshua. https:// bbc.in/2IBfKJ8 pic.twitter.com/NtjLktk4pj http:// btf.st/BetNow;;;;9,99054E+17;https://twitter.com/BetFastcom/status/999054298351714304
BehindTheGloves;22/05/2018 19:24;2;4;BANNED! Heavyweight Eric Molina tests positive (By UKAD) for a non performance enhancing drug after the AJ fight (Dexamethasone). The drug IS on the WADA prohibited list when “IN” Competition. The drug although is in fact permitted out of competition by WADA to.;;;;9,99054E+17;https://twitter.com/BehindTheGloves/status/999053530433576967
Boxing_com;22/05/2018 19:10;0;0;Eric Molina : Anthony Joshua opponent banned after failing doping test http://www. boxing.com/eric_molina_an thony_joshua_opponent_banned_after_failing_doping_test.html?utm_source=dlvr.it&utm_medium=twitter …;;;;9,9905E+17;https://twitter.com/Boxing_com/status/999050001757093890
BBCSport;22/05/2018 19:04;13;65;Eric Molina has been suspended from boxing after testing positive for a banned substance following his heavyweight fight with Anthony Joshua. https:// bbc.in/2IBfKJ8 pic.twitter.com/ziOLYVczz5;;;;9,99048E+17;https://twitter.com/BBCSport/status/999048366892994562
msnsport;22/05/2018 19:02;0;1;Eric Molina banned for failing drug test after Anthony Joshua fight http://www. msn.com/en-gb/sport/bo xing/eric-molina-banned-for-failing-drug-test-after-anthony-joshua-fight/ar-AAxEJ30?ocid=ob-tw-engb-1509461899179 …;;;;9,99048E+17;https://twitter.com/msnsport/status/999047871516176385
WorldBoxingNews;22/05/2018 18:36;2;2;EXCLUSIVE: Eric Molina GIVES REACTION to TWO-YEAR UKAD suspension http://www. worldboxingnews.net/2018/05/22/new s/exclusive-eric-molina-gives-reaction-to-two-year-ukad-suspension … #EricMolina pic.twitter.com/Hue0Qwoujx;;;#EricMolina;9,99041E+17;https://twitter.com/WorldBoxingNews/status/999041209883549697
motolese56;22/05/2018 18:27;0;0;BBC Sport - Eric Molina : Anthony Joshua opponent banned after failing doping test http://www. bbc.com/sport/boxing/4 4212756 …;;;;9,99039E+17;https://twitter.com/motolese56/status/999039113109090304
HotUteh;22/05/2018 18:20;0;0;Welcome to Ruthnekky's blog: Anthony Joshua opponent Eric Molina banned after f... http:// nnekatheposer.blogspot.com/2018/05/anthon y-joshua-opponent-eric-molina.html?spref=tw …;;;;9,99037E+17;https://twitter.com/HotUteh/status/999037227685629952
