username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
richardozzy0;31/05/2018 20:59;0;0;Would u welcome zidane at United some point in the future?;;;;1,00234E+18;https://twitter.com/richardozzy0/status/1002338922427543553
SleekyAustine;31/05/2018 20:59;0;0;Zidane out, Winger in. Halla Madrid.;;;;1,00234E+18;https://twitter.com/SleekyAustine/status/1002338907416072192
Slim_jnrr;31/05/2018 20:59;0;0;2012 penalties And when Di maria left the club Zidane doesn't really sadden me;;;;1,00234E+18;https://twitter.com/Slim_jnrr/status/1002338883894431745
1Healh;31/05/2018 20:59;0;0;Eating for a healthy heart means filling your plate with heart-healthy foods.. https://www. instagram.com/healh_fitness_ 1/ … #MVTMocion #Zidane #AmaiaPrimaveraSound #dafBAMA2018EXO #AdiosRajoy pic.twitter.com/s1m9I6n4iq;;;#MVTMocion #Zidane #AmaiaPrimaveraSound #dafBAMA2018EXO #AdiosRajoy;1,00234E+18;https://twitter.com/1Healh/status/1002338855020892163
drunkenemotion;31/05/2018 20:59;0;0;I'm actually nervous about this change, Zidane wasn't a tactical manager but he was the only one that could deal with the egos in the team, the only one that could bench the starters without having to beg them. I'm very nervous;;;;1,00234E+18;https://twitter.com/drunkenemotion/status/1002338828231856129
FiveStarFooty;31/05/2018 20:59;0;1;Tottenham fear boss Mauricio Pochettino will replace Zinedine Zidane at Real Madrid http:// feedproxy.google.com/~r/daily-expre ss-football-news/~3/hetsnVkWMUI/Real-Madrid-news-Tottenham-boss-Mauricio-Pochettino-Zinedine-Zidane … #Football pic.twitter.com/txeTAB0J2j;;;#Football;1,00234E+18;https://twitter.com/FiveStarFooty/status/1002338822649188352
gionumber26;31/05/2018 20:59;1;1;Pep/ Zidane XI: 433 Navas, Alves, Puyol, Ramos, Marcelo, Busquets, Modric, Xavi, Messi, Ronaldo, Iniesta. Iniesta LW was hard to do but no way can you not include Modric so had to be done.;;;;1,00234E+18;https://twitter.com/gionumber26/status/1002338794438381568
lovejerusalemok;31/05/2018 20:59;0;0;Money is the power. It is impossible for Zidane to refuse such an offer.;;;;1,00234E+18;https://twitter.com/lovejerusalemok/status/1002338750964404225
Prolific0901;31/05/2018 20:59;0;0;Manchester United's hopes of signing Gareth Bale, look set to end, with the Wales international expected to stay with Real following Zidane 's exit.;;;;1,00234E+18;https://twitter.com/Prolific0901/status/1002338696828542976
bebomallah;31/05/2018 20:58;0;1;I am living in a Dream that #Zidane will manage #MUFC;;;#Zidane #MUFC;1,00234E+18;https://twitter.com/bebomallah/status/1002338644370313216
CRonaldoBRA;31/05/2018 20:58;0;4;"When I heard that #Zizou is leaving @RealMadrid Zinedine Zidane announced this Thursday that he will leave the technical command of Real Madrid. I made the decision not to continue as coach of Real Madrid, it is a strange moment, but the team needs a c… https:// ift.tt/2spWNOu pic.twitter.com/W9j3QVLspd""";;@RealMadrid;#Zizou;1,00234E+18;https://twitter.com/CRonaldoBRA/status/1002338641392427008
THEE_Hollywood;31/05/2018 20:58;0;1;Is Earnie Stewart gonna hire Zidane to manage our @ussoccer_mnt squad??;;@ussoccer_mnt;;1,00234E+18;https://twitter.com/THEE_Hollywood/status/1002338618323529728
Prolific0901;31/05/2018 20:58;0;1;Chelsea will attempt to persuade Zidane to become their new manager.;;;;1,00234E+18;https://twitter.com/Prolific0901/status/1002338566070865920
RNRF32;31/05/2018 20:58;0;1;There is no complete manager. Again it is about the club priorities. I imagine in Madrid they’ll be more than happy to repeat what Zidane did in the future. I mean after some rebuilding takes place.;;;;1,00234E+18;https://twitter.com/RNRF32/status/1002338537436573696
