username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BMPNOW;26/05/2018 20:59;0;0;Ayeeeee the championships way #HalaMadrid #UCLfinal #13chips #3peat;;;#HalaMadrid #UCLfinal #13chips #3peat;1,00053E+18;https://twitter.com/BMPNOW/status/1000526996256899072
Zicutake;26/05/2018 20:59;0;0;[Zicutake] Real Madrid beat Liverpool to win Champions League https:// goo.gl/fb/kSUjEz;;;;1,00053E+18;https://twitter.com/Zicutake/status/1000526990754172929
NOfNews_Ireland;26/05/2018 20:59;0;0;Fans slam Loris Karius after Liverpool goalkeeper gifts Real Madrid TWO goals in Champions League final For the first mistake the Reds number one rolled the ball straight on to the French striker's foot and watched it rebound into... https:// is.gd/bil2cZ;;;;1,00053E+18;https://twitter.com/NOfNews_Ireland/status/1000526972433264640
ismaelmedel;26/05/2018 20:59;0;1;I’m sad for the injured players and for Karius. Good for the @realmadrid players who tried to console him - something his own teammates would not do. Whatever happened to the “you’ll never walk alone”? The attacks he is receiving are disgraceful. #UefaChampionsLeague pic.twitter.com/X4FRCe8han;;@realmadrid;#UefaChampionsLeague;1,00053E+18;https://twitter.com/ismaelmedel/status/1000526970386571264
SpeirsAllison;26/05/2018 20:59;0;0;What’s a worldly x x he he x x;;;;1,00053E+18;https://twitter.com/SpeirsAllison/status/1000526955215769600
footballoutlet_;26/05/2018 20:59;0;0;Anyone? I Shipped worldwide #UCLFinals #LiverpoolVsRealMadrid #YNWA #HalaMadrid #Salah #Ramos #Ronaldo Liverpool Real Madrid pic.twitter.com/PZ6qC3h0HN;;;#UCLFinals #LiverpoolVsRealMadrid #YNWA #HalaMadrid #Salah #Ramos #Ronaldo;1,00053E+18;https://twitter.com/footballoutlet_/status/1000526955115003904
_mascalzone_;26/05/2018 20:59;0;0;@SergioRamos killed @MoSalah intentionally... #AsiGanaElMadrid @realmadrid beated @juventusfc thanks to referee... Peoples don't forget!;;@SergioRamos @MoSalah @realmadrid @juventusfc;#AsiGanaElMadrid;1,00053E+18;https://twitter.com/_mascalzone_/status/1000526953827524608
momenfarouk85;26/05/2018 20:59;0;0;#ramos_the_animal Real animal there is no fair play on what u did tonight I was one of the fans of Real Madrid but this is stopped till u get out of the team @SergioRamos;;@SergioRamos;#ramos_the_animal;1,00053E+18;https://twitter.com/momenfarouk85/status/1000526940837695488
Bdracm1;26/05/2018 20:59;0;0;I don’t support Real Madrid , I only draw Zidane , and i have drawing Salah as well , so relax buddy;;;;1,00053E+18;https://twitter.com/Bdracm1/status/1000526935724904449
Curt_AN;26/05/2018 20:59;0;1;Real Madrid win 3 Champions Leagues in a row that’s impressive;;;;1,00053E+18;https://twitter.com/Curt_AN/status/1000526933027934208
