username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
arsenallover201;31/01/2018 21:32;0;0;Olivier Giroud, Mathieu Debuchy , Francis Coquelin & Theo Walcott celebrate a goal against BATE in the Europa League in December - all of them have now left Arsenal this month pic.twitter.com/vRE7KzTqgk;;;;9,58846E+17;https://twitter.com/arsenallover201/status/958845510722441216
giroud_12_fc;31/01/2018 21:31;0;1;good luck for you too @MatDebuchy , on @ASSEofficiel sad unfortunately different paths again for my favs,but with the same goal that is to play football. I love you. #MathieuDebuchy #Debuchy #Girouchy #Debuch2 #MatDebuchy Debuch2 pic.twitter.com/sxXUa17Tqm;;@MatDebuchy @ASSEofficiel;#MathieuDebuchy #Debuchy #Girouchy #Debuch2 #MatDebuchy;9,58845E+17;https://twitter.com/giroud_12_fc/status/958845168916094976
Sport__Agent;31/01/2018 21:26;0;0;Mathieu Debuchy joins Saint Etienne after Arsenal terminate contract - BBC Sport #debuchy https:// dragplus.com/post/id/430212 97 …;;;#debuchy;9,58844E+17;https://twitter.com/Sport__Agent/status/958843859378802689
Sport__Agent;31/01/2018 21:26;0;0;Mathieu Debuchy joins Saint Etienne after Arsenal terminate contract - BBC Sport #debuchy https:// dragplus.com/post/id/430212 96 …;;;#debuchy;9,58844E+17;https://twitter.com/Sport__Agent/status/958843855931105285
Opti_Smith;31/01/2018 21:26;0;0;@BBCSport : Arsenal's Mathieu Debuchy has joined Saint Etienne on a free transfer after his contract was terminated. http:// bbc.in/2GyZ1kJ;;@BBCSport;;9,58844E+17;https://twitter.com/Opti_Smith/status/958843840437223424
_JoshM73;31/01/2018 21:11;0;1;Let’s see... Pierre-Emerick Aubameyang and Henrikh Mkhitaryan IN. Mesüt Özil extending his contract. Oliver Giroud, Alexis Sánchez, Theo Walcott and Mathieu Debuchy OUT. I can confirm I am happy with the business my club has done.;;;;9,5884E+17;https://twitter.com/_JoshM73/status/958840313375789056
ArsenalJournal;31/01/2018 21:08;0;1;Arsenal: Mathieu Debuchy and Chuba Akpom seal moves away http:// dlvr.it/QDTgSq #Dailymail;;;#Dailymail;9,5884E+17;https://twitter.com/ArsenalJournal/status/958839528835268608
kennydenz;31/01/2018 21:00;1;1;DONE DEAL: Mathieu Debuchy has joined Saint-Etienne on a free transfer after terminating his contract with Arsenal, signing a four-year contract. pic.twitter.com/ghvwE47oht;;;;9,58837E+17;https://twitter.com/kennydenz/status/958837439182835712
1kingAazukAa;31/01/2018 20:57;0;0;Arsenal right-back Mathieu Debuchy has joined Ligue 1 side Saint-Etienne until the end of the season after his contract was terminated.;;;;9,58837E+17;https://twitter.com/1kingAazukAa/status/958836713773727747
AFCSuporter;31/01/2018 20:56;0;0;Arsenal: Mathieu Debuchy and Chuba Akpom seal moves away http:// dlvr.it/QDTcKF;;;;9,58836E+17;https://twitter.com/AFCSuporter/status/958836318041096192
IsaacOdey5;31/01/2018 20:54;0;0;Arsenal news: Mathieu Debuchy , Jeff Reine-Adelaide, Chuba Akpom and Krystian Bielik all make Emirates exit http://www. worldlatest.tk/arsenal-news-m athieu-debuchy-jeff-reine-adelaide-chuba-akpom-and-krystian-bielik-all-make-emirates-exit/ … pic.twitter.com/nzGmRftg9E;;;;9,58836E+17;https://twitter.com/IsaacOdey5/status/958835786819997696
1kingAazukAa;31/01/2018 20:38;0;0;Arsenal right-back Mathieu Debuchy has joined Ligue 1 side Saint-Etienne on a free transfer after his contract was terminated.;;;;9,58832E+17;https://twitter.com/1kingAazukAa/status/958831967524540416
kelvinalex24;31/01/2018 20:21;0;0;Mathieu Debuchy joins Saint Etienne after Arsenal terminate contract Arsenal right-back Mathieu Debuchy joins Saint Etienne on a free transfer after his contract is terminated. from BBC Sport - Football http:// ift.tt/2rWaxDz via IFTTT pic.twitter.com/t0ZdlZiGew;;;;9,58828E+17;https://twitter.com/kelvinalex24/status/958827637039869955
